Cycle,0.971409615385
Average Width,4.7022859606
Width,,4.71196935307,4.61943525546,4.79611344285,4.32885902631,4.57154101396,4.62769229632,4.7792374794,4.83292566469,4.45326355368,4.93595174965,4.53891695607,3.46380768738,4.05518027134,5.34726137155,6.07479088888,4.12468617772,4.67282207391,4.53655464382,5.64814339932,4.85285330196,4.4716512667,4.45078130656,4.68533130054,4.97651359631,4.85324296843,4.84990892981
Point0,H1,(6.75560174027 40),(6.00722872896 244),(7.28447520095 459),(6.11522402492 673),(5.82405211022 860),(7.52060328947 1072),(7.76772068017 1276),(7.70050049946 1486),(6.80280195135 1697),(7.9245832075 1906),(6.65376073757 2114),(2.20732456906 2226),(7.69985208787 2303),(9.785963962 2530),(10.0118445265 2737),(8.01439566956 2925),(8.75976784876 3133),(9.7502276855 3341),(10.4260903046 3548),(8.85852215174 3754),(7.9458174996 3962),(8.21861643523 4179),(9.15817536461 4380),(8.42569105604 4593),(8.17072691055 4802),(7.64345654784 5009),(7.0068986934 5195),
Point0,H2,,,(3.88330742661 492),(0.203924673 758),,,(3.95383467203 1321),,,,(0.542100923403 2171),,,,,,(8.19957764639 3147),,(2.29075793872 3655),,,(3.605198234 4222),,(5.3290705182e-15 4727),,,
Point0,H3,,,(3.96042289099 500),(1.02610384343 782),,,(4.59458792178 1334),,,,(0.550381399054 2175),,,,,,(8.21142860492 3151),,(2.4036622372 3664),,,(3.65246214761 4228),,(0.30207771365 4739),,,
Point0,H4,(0.593609280009 152),(2.54326721229 309),(-0.00251461231101 608),(2.22044604925e-15 806),,(0.613491881811 1203),(0.814556783384 1401),,,,,,,,,(0.855819601793 3058),(-0.00222977108782 3287),(0.933686704373 3477),(0.547444008885 3689),,,,(2.40003831174 4470),(0.0122601782584 4750),(3.5527136788e-15 4944),,
Point0,H5,(1.47773130828 178),(2.62535764905 320),(5.96258659041 656),(0.462848354438 821),,(1.67473867963 1220),(1.40535839724 1421),,,,,,,,,(0.956969120276 3069),(0.574185235256 3302),(1.15964415928 3490),(0.698205591092 3700),,,,(2.65454337626 4485),(7.8202946599 4783),(7.3234474488 4988),,
Point0,H6,(2.22044604925e-15 206),(2.6645352591e-15 409),(-0.00251461231101 608),(2.22044604925e-15 806),(2.22044604925e-15 1029),(2.22044604925e-15 1239),(-1.7763568394e-15 1444),(-5.3290705182e-15 1650),(-0.159140905018 1817),(-0.00178576839899 2067),(3.99680288865e-15 2194),(2.22044604925e-15 2272),(-8.881784197e-16 2479),(-2.6645352591e-15 2684),(-2.22044604925e-15 2873),(-7.54951656745e-15 3098),(-0.00222977108782 3287),(-4.4408920985e-15 3513),(-5.3290705182e-15 3719),(-6.66133814775e-15 3923),(0.0 4131),(5.3290705182e-15 4335),(-0.000564219403684 4540),(5.3290705182e-15 4727),(3.5527136788e-15 4944),(-1.7763568394e-15 5157),
Point1,H1,(10.2647532691 36),(9.52582480236 242),(11.3273640054 445),(10.1088422355 652),(9.80177132307 857),(11.4409316548 1068),(11.3873974448 1274),(11.6989346009 1484),(11.0683900708 1694),(11.2358471531 1906),(9.95559785187 2106),(12.336129972 2302),(14.0565083719 2527),(14.177084998 2717),(12.4243630642 2924),(14.1375823541 3131),(13.850503226 3340),(14.8036503766 3547),(13.435859816 3754),(13.2264471933 3961),(12.5501652694 4176),(13.3532672395 4379),(12.6973811605 4574),(12.3648594841 4781),(11.8298515147 4987),(10.9479490207 5195),
Point1,H2,,(2.05381714471 346),(10.7911857353 457),,,,(5.33989418363 1321),(6.35220802115 1529),(1.14210791353 1781),,,,(7.25212846173 2562),,(11.3146189845 2939),(5.24902486259 3196),,(12.9267556881 3564),,(5.0967934039 4012),(4.88716082216 4225),,(12.2734515757 4585),(11.4436104912 4795),,,
Point1,H3,,(2.08978131772 353),(10.8774531738 463),,,,(6.2343711149 1335),(6.72941151099 1540),(1.21410038636 1791),,,,(7.25519397085 2564),,(11.3432494783 2944),(5.25444786498 3200),,(12.962507692 3569),,(5.37304882094 4022),(4.89029304939 4227),,(12.3399460601 4591),(11.4536029817 4799),,,
Point1,H4,(0.669776639536 152),(1.19091133163 374),(6.0501776573 493),,,,(1.13365440467 1400),(2.41210056212 1595),(0.460311668585 1827),,(-7.54951656745e-15 2192),,,,,(9.7699626167e-15 3288),(1.13512653608 3479),(1.14297302739 3684),,(1.2056724855 4099),(2.08929958995 4267),(3.13754324643 4471),(0.743651879614 4726),(1.22765141938 4919),,,
Point1,H5,(1.4690384784 172),(1.37348479313 387),(6.11337013194 498),,,,(2.16664003931 1421),(2.43658343941 1601),(0.752477128946 1841),,(1.86080109345 2224),,,,,(0.352737468741 3300),(1.18230933497 3486),(1.59707411187 3698),,(2.04416708728 4114),(2.11110474929 4274),(3.21375176214 4482),(0.825664095676 4735),(1.23016883292 4922),,,
