Cycle,0.787701612903
Average Width,8.66047780444
Width,,5.6561942455,7.94376790964,7.14840290511,6.47300699826,8.52032003225,0.0,0.0,5.21726319621,5.32317530233,10.5775237429,7.27606650444,7.884019125,7.2395471595,12.2235690556,0.0,14.8385187176,0,11.9848155987,12.3244952993,7.87702392255,9.31055489982,7.24686621368,16.9740293332,9.07590189963,9.01788960701,8.53640327064,6.53299041696,6.25639953775,6.43362312511,7.65001563881,9.31030101456,7.64069385236
Point0,H1,(12.4256252298 132),(15.5561480968 292),(12.920594981 438),(14.3447461666 630),(13.3949954819 790),(19.8109796011 955),(26.8983864373 1096),(12.0673255506 1223),(11.9765299633 1300),(20.3273763406 1403),(13.6516515187 1636),(15.4587800656 1756),(13.9678105708 1975),(16.3205133699 2149),(15.0661075361 2257),(16.238578053 2484),(13.7054240614 2603),(15.8001690871 2805),(14.6084347283 2965),(14.6905637838 3139),(14.6146277648 3304),(13.1119396007 3478),(15.4985305416 3621),(15.546488549 3780),(14.223610798 3988),(14.6904596679 4153),(13.7957757544 4325),(14.0979059572 4497),(13.2109398481 4677),(14.5926212993 4851),(14.8012233361 4997),(15.2628405506 5172),
Point0,H2,,,(12.0244469491 455),,,(4.77407578913 996),,,(4.61852778244e-14 1326),(-0.00303196361516 1502),,,(1.42108547152e-14 2012),,,,(11.9731989101 2629),,,,(1.24344978758e-14 3342),,(14.0193216227 3641),,(-7.1054273576e-15 4020),,,,,,(13.8239924573 5014),,
Point0,H3,,,(12.4974547815 465),,,(4.80618267595 1000),,,(19.1190463974 1380),(12.543897082 1583),,,(14.76404683 2092),,,,(13.328903561 2645),,,,(8.85121950314 3388),,(14.1154787884 3647),,(11.0170619452 4079),,,,,,(14.7701538925 5027),,
Point0,H4,(-0.0068885860233 171),,(-1.59872115546e-14 496),(-0.00965132654453 670),,,,,,(12.3945766941 1596),,,(14.4231276746 2104),,,,(-1.42108547152e-14 2680),(-0.000422155107442 2843),,(1.06581410364e-14 3170),(8.25267067927 3401),,(-2.30926389122e-14 3676),,(10.9078491001 4087),(-7.1054273576e-15 4189),(-7.1054273576e-15 4362),(-3.5527136788e-15 4540),(-5.3290705182e-15 4714),,,,
Point0,H5,(14.4322755117 266),,(13.1035411965 599),(11.8989070167 752),,,,,,(12.4599972328 1605),,,(15.2209469624 2120),,,,(14.612507591 2780),(14.3383110669 2933),,(13.638046004 3273),(12.1156096137 3442),,(11.0697043816 3726),,(14.1740417687 4119),(13.6892795794 4295),(13.7823361997 4474),(12.8453069234 4646),(14.1063485081 4818),,,,
Point0,H6,(-0.0639048033257 2),(-0.0068885860233 171),(-0.0022635674335 331),(-1.59872115546e-14 496),(-0.00965132654453 670),(-0.0104659040522 826),(-0.0598014187559 1027),(1.50990331349e-14 1158),(4.33849042592 1259),(4.61852778244e-14 1326),(-0.00303196361516 1502),(-0.0209821654855 1670),(1.42108547152e-14 1839),(1.42108547152e-14 2012),(7.1054273576e-15 2182),(-1.7763568394e-15 2349),(-5.3290705182e-15 2514),(-1.42108547152e-14 2680),(-0.000422155107442 2843),(1.95399252334e-14 3006),(1.06581410364e-14 3170),(1.24344978758e-14 3342),(-8.881784197e-15 3510),(-2.30926389122e-14 3676),(-2.48689957516e-14 3851),(-7.1054273576e-15 4020),(-7.1054273576e-15 4189),(-7.1054273576e-15 4362),(-3.5527136788e-15 4540),(-5.3290705182e-15 4714),(7.1054273576e-15 4885),(-3.5527136788e-15 5058),
Point1,H1,(6.65238070419 131),(9.62421744794 263),(7.06730904708 422),(8.18315690867 573),(6.66499302367 734),(6.76392306121 789),(12.2964359643 953),(20.4477692541 1095),(7.52893929862 1221),(14.1214157069 1375),(6.63714814081 1579),(9.26190341676 1728),(7.69623557812 1920),(10.400909548 2092),(10.6568215014 2256),(10.5315361585 2431),(7.99759988818 2598),(9.30663713517 2779),(9.76618378342 2917),(8.70941649736 3139),(8.52922812728 3267),(8.25280874904 3479),(10.5754122728 3612),(10.5970576967 3779),(8.9170092553 3953),(9.36553147274 4112),(8.41893800324 4296),(7.77239393087 4455),(7.49428879717 4614),(8.37365926223 4806),(9.21754906989 4984),(9.10381651425 5161),
Point1,H2,,(9.54706253061 275),(6.31220756445 453),,(6.54461433111 748),,,,,(13.703511749 1386),,,,(9.86359071408 2108),,(8.31272446503 2471),,(8.78690823584 2793),(4.4408920985e-15 3006),,,,(8.56768952716 3640),(8.48035969455 3805),(8.14393316448 3975),,(6.87660483047 4318),,(6.89140918856 4637),(7.78075565421 4834),,,
Point1,H3,,(9.60579273155 285),(6.76533264072 466),,(6.56111759764 755),,,,,(14.047836701 1399),,,,(9.92354107175 2116),,(9.41277971207 2485),,(9.24704742381 2805),(6.15941319711 3058),,,,(8.77114377421 3649),(8.56230108799 3813),(8.27022002279 3983),,(6.90660257682 4323),,(6.91254405088 4643),(8.27876948923 4849),,,
Point1,H4,,,(1.68753899743e-14 496),(7.2675212283 614),,(-0.0389978408002 826),,,(-0.536108569899 1258),,(5.45993514961 1622),,(6.48000403817 1959),(8.94658170667 2134),(8.55831378976 2287),(-5.3290705182e-15 2513),(6.57840148652 2631),,(6.15492488344 3062),,,,,,(-8.881784197e-15 4021),(-9.7699626167e-15 4190),(-0.000230601418069 4363),(7.26195131323 4475),(5.94167237262 4666),(-0.00316863264625 4886),(7.56772053881 5016),,
Point1,H5,,,(7.06553415083 547),(7.51016636929 626),,(11.770504488 911),,,(4.80906572322 1302),,(6.14017868253 1637),,(6.98756698102 1976),(10.1476366855 2149),(8.76308417975 2299),(5.17994001153 2543),(6.78989885717 2642),,(8.10466195576 3111),,,,,,(8.14421327988 4077),(8.11917774973 4261),(5.29604923219 4398),(7.69799751948 4494),(6.14622494642 4677),(8.95457998992 4960),(7.74294246499 5025),,
Point1,H6,(-0.029550449568 1),(-1.95399252334e-14 171),(6.2172489379e-15 332),(1.68753899743e-14 496),(-0.0113658978457 671),(-0.0389978408002 826),(-0.0381388342324 1030),(6.66133814775e-15 1163),(-0.536108569899 1258),(-0.00459401206596 1324),(-0.036273430454 1503),(-0.01544057971 1670),(1.59872115546e-14 1840),(1.33226762955e-14 2011),(1.7763568394e-15 2182),(7.1054273576e-15 2349),(-5.3290705182e-15 2513),(-0.00188987908014 2681),(8.881784197e-16 2844),(4.4408920985e-15 3006),(-0.00374402131786 3171),(-6.2172489379e-15 3342),(-0.00209485116977 3510),(-2.6645352591e-15 3676),(7.1054273576e-15 3852),(-8.881784197e-15 4021),(-9.7699626167e-15 4190),(-0.000230601418069 4363),(-1.7763568394e-15 4542),(-0.00137835793728 4713),(-0.00316863264625 4886),(1.7763568394e-15 5059),
Point2,H1,(27.5103265335 28),(25.1526726786 199),(26.2477347973 361),(28.8987277547 524),(25.6913203518 695),(25.8884438331 857),(23.5388999785 1018),(18.7421836267 1105),(25.5960868773 1188),(29.2758643502 1356),(27.416965681 1530),(25.7982536969 1697),(25.2882701819 1868),(24.7857340063 2040),(18.7397625946 2208),(21.9840904513 2377),(21.5946651321 2544),(22.8550948142 2710),(22.2872506986 2871),(24.7963153432 3034),(23.4319257864 3198),(22.8553451583 3370),(18.7987631726 3537),(22.7480521752 3707),(22.7575429148 3880),(22.7735698809 4049),(23.7037831201 4219),(26.8053409751 4392),(24.110188091 4569),(23.5702663862 4745),(23.7737973376 4913),(24.4700742254 5086),
Point2,H2,,,,,,,,,,,,,,(7.74831802847 2119),(7.28218685261 2249),,,,,,,,,(6.31697826874 3786),,,(9.53108159929 4269),,,,,
Point2,H3,,,,,,,,,,,,,,(7.81732908664 2126),(7.89158943617 2262),,,,,,,,,(6.35533051897 3791),,,(9.68303374845 4277),,,,,
Point2,H4,(2.71100552025 135),(3.66606353962 297),(2.19349111501 469),(4.2916892329 630),,(0.894426575819 969),,,,,(4.60287902014 1637),(2.39688848865 1819),(2.23739377048 1974),(3.99469972602 2153),(3.09732078928 2305),,(3.58221813136 2644),(3.98609457768 2808),,(3.33525285077 3142),,(1.43875152644 3476),(0.0826492839945 3662),(3.24386022064 3814),(4.46137980846 3990),,(3.99812432437 4325),,(3.20488566722 4679),(3.69003408438 4854),,
Point2,H5,(2.753614441 140),(3.71404118752 302),(3.27265033876 482),(4.69674979226 639),,(1.2232876322 978),,,,,(4.92883597176 1647),(2.40006187063 1822),(2.3912876269 1982),(4.08622579893 2159),(3.10528191511 2309),,(4.58905321455 2657),(4.17038277225 2815),,(4.06552860507 3153),,(2.83522231467 3491),(0.113625689887 3666),(4.30216330528 3826),(5.25564741113 4001),,(4.3430943133 4335),,(3.27993331831 4685),(4.46813602486 4865),,
Point2,H6,(-0.00293238622215 163),(0.0 324),(1.59872115546e-14 496),(1.59872115546e-14 660),(-0.0024100537235 821),(-0.00859395998543 990),(-2.13162820728e-14 1063),(1.95399252334e-14 1157),(-0.000930701175882 1303),(-0.0256163269192 1499),(-1.59872115546e-14 1666),(-3.5527136788e-14 1839),(2.84217094304e-14 2006),(1.7763568394e-15 2179),(-1.95399252334e-14 2345),(-1.59872115546e-14 2515),(-7.1054273576e-15 2676),(-1.7763568394e-14 2836),(1.7763568394e-15 2998),(1.24344978758e-14 3170),(-0.00537424968329 3336),(0.0 3506),(-0.00434549818546 3673),(1.7763568394e-15 3845),(-5.3290705182e-15 4019),(5.3290705182e-15 4188),(-1.42108547152e-14 4356),(7.1054273576e-15 4531),(1.06581410364e-14 4707),(2.13162820728e-14 4883),(3.5527136788e-15 5057),
