Cycle,0.720591397849
Average Width,4.74684357849
Width,,4.32966233998,4.46026165384,4.48554040377,4.5424661618,4.61986978712,4.73764805886,4.55905539518,4.42610613297,4.26724658182,4.84938153726,4.90159561873,4.73928188462,4.29229249384,4.92642008736,4.69926650317,4.99484229307,5.27705717481,4.82228549902,5.45796794337,4.70707348562,4.85115299036,4.53312566877,4.72201408998,4.74580365343,4.88290369572,4.88160079147,4.6873044101,4.9361609609,5.0956415439,4.93527475932,4.59387880331,4.93881210806
Point0,H1,(7.11604118444 35),(8.63329666307 178),(8.648461043 337),(10.2191561896 496),(10.6705858076 647),(10.755124194 799),(7.8273066612 946),(9.26088650661 1090),(8.8556345837 1224),(8.57910931701 1366),(7.72706631084 1512),(8.02451179746 1679),(7.68185025458 1839),(8.93177009274 2004),(9.32537180197 2173),(10.0384049672 2339),(11.0608469219 2498),(10.8307908091 2645),(10.2363484546 2796),(9.73146584052 2946),(10.0793110891 3081),(8.13607777531 3229),(9.60717133908 3378),(10.6080430209 3513),(10.5628452166 3651),(9.96643468293 3796),(8.59148265602 3940),(10.0309896212 4074),(10.578380847 4211),(11.646796571 4353),(10.0010822185 4501),(8.93691898281 4645),
Point0,H2,,(3.06736796276 208),(4.66294163347 363),(4.15064120678 526),(5.28624894431 681),,,,,,(4.12915693066 1547),(3.65385531591 1705),,(3.24272188242 2028),,(3.42389839315 2367),(4.09075351537 2527),(4.50128840559 2690),,(5.20006843908 2973),,,(4.08890610796 3403),,,(4.07843268641 3820),,,,(5.22689641761 4381),,
Point0,H3,,(4.17625585418 230),(5.27661099641 380),(5.72973295906 549),(5.69541230882 696),,,,,,(4.71467948459 1566),(4.43877722496 1723),,(4.26588273089 2058),,(4.66482123665 2392),(4.80887573471 2550),(4.65746560848 2700),,(6.0737317952 3001),,,(4.47436673174 3413),,,(4.47657713083 3834),,,,(6.27075174796 4401),,
Point0,H4,(2.47067541933 59),(1.06933019144 274),(0.629103712775 436),(0.328462520371 595),(0.855306978517 741),(5.54456974928 831),(2.08879258923 973),(2.48375293592 1118),(3.70236536138 1260),(3.18088579426 1403),(1.74244300011 1615),(1.43150785765 1778),,(1.47571704445 2112),(5.09544907986 2202),(0.945347820406 2433),(0.0622419960697 2599),(1.51219085419 2738),(4.44247035455 2829),(2.3330065986 3028),(1.91359351595 3174),(2.11230256671 3260),(0.0731269159998 3460),(4.68515916 3550),(5.05093513945 3675),(4.47644339357 3835),(2.34277513585 3969),(3.62624813769 4111),(4.96806750096 4236),(-0.00821751639234 4452),,
Point0,H5,(3.68444267356 89),(1.39159467945 286),(0.906694577162 447),(0.539793724921 606),(0.918661185336 748),(5.84589637269 845),(4.02160583038 1003),(4.05173045847 1148),(4.39075488537 1276),(3.73186638538 1420),(2.09928281826 1628),(2.29007077845 1792),,(1.70056156086 2123),(5.83419279538 2219),(1.0663439446 2443),(0.178275241209 2607),(2.03085255903 2750),(5.45920662671 2847),(2.97423319193 3039),(1.97991665352 3180),(2.90975463184 3279),(0.521702007601 3472),(5.14850244904 3564),(6.93175163439 3702),(5.07873741758 3852),(3.33920269087 3995),(4.57892446421 4127),(5.64399085046 4253),(0.277655051056 4464),,
Point0,H6,(-0.00536981060081 143),(-1.02140518266e-14 303),(-0.000718682199648 462),(0.0 618),(-8.881784197e-16 764),(-0.0106854968549 907),(2.6645352591e-15 1056),(1.33226762955e-14 1197),(0.0 1335),(-1.7763568394e-15 1485),(4.4408920985e-16 1648),(-3.10862446895e-15 1809),(-0.00620193883584 1974),(1.7763568394e-15 2142),(0.0 2306),(-8.881784197e-16 2462),(2.6645352591e-15 2616),(7.1054273576e-15 2767),(5.3290705182e-15 2910),(8.881784197e-15 3056),(-4.4408920985e-15 3199),(-0.00625691209679 3338),(-6.2172489379e-15 3483),(-5.3290705182e-15 3614),(-8.881784197e-15 3766),(-4.4408920985e-15 3909),(-0.000894000107214 4043),(-3.5527136788e-15 4176),(-3.5527136788e-15 4315),(-0.00821751639234 4452),(2.6645352591e-15 4617),
Point1,H1,(8.50977734143 35),(9.95883235562 178),(10.2056203516 337),(11.8664267815 497),(12.2983119901 647),(12.4653051436 799),(9.59835601527 947),(11.0980985172 1091),(10.3287641533 1225),(9.45083680111 1365),(8.44136589603 1513),(8.99947681989 1679),(9.42446913275 1841),(10.3853566946 2005),(10.5969895137 2173),(10.9112065282 2340),(11.706955304 2499),(11.8370900731 2646),(10.655544596 2798),(10.9387529747 2946),(11.1260378447 3083),(9.48828958509 3231),(10.6187701433 3379),(11.8921155078 3513),(11.5814712592 3651),(11.389573303 3797),(10.3340067125 3941),(11.3862913383 4074),(11.6771254578 4212),(13.1026165895 4354),(11.373232584 4502),(9.92236439714 4645),
Point1,H2,,(4.06583203374 206),(5.26325281027 364),(4.35090756092 524),,,(2.84509379994 974),,(4.11899699911 1263),(3.14477468392 1393),(4.61318767209 1548),,(3.47561640205 1870),(3.85388959208 2029),,(4.00982521103 2366),(4.12259271094 2525),(4.96339562389 2690),(4.30509943602 2830),(5.24155357857 2975),,,(4.19220733758 3403),,,,(2.8412463236 3968),,,(6.0670985845 4381),,
Point1,H3,,(5.02714055859 229),(5.94015300143 382),(5.73973138461 550),,,(4.73181567002 1007),,(4.97314667776 1279),(4.00252145296 1419),(5.06947737422 1566),,(4.15375024992 1887),(5.00750832892 2052),,(5.3517578785 2393),(4.90293152473 2544),(5.20545420288 2700),(5.56613984041 2848),(7.12604686262 2996),,,(4.91420198173 3416),,,,(4.66977711307 3996),,,(6.94309990118 4399),,
Point1,H4,(2.9484664596 63),(1.29145596019 271),(0.870371698192 433),(0.459163047765 602),(5.95066783973 688),(6.37024984968 832),(1.28181324901 1034),(3.44653472378 1117),(-0.00898035272938 1320),(1.57593024993 1462),(1.4498240592 1618),,(0.456515264843 1937),(1.71547059571 2113),(5.52867770799 2205),(0.473621117822 2434),(0.128745178194 2599),(1.55864991619 2737),(1.35304037771 2883),(2.39288481402 3029),(5.03387639326 3124),(2.96076489965 3261),(0.40052853446 3462),(4.66130593654 3552),(5.25754363135 3677),(4.02641705776 3822),(1.74765679761 4023),(3.98933648079 4110),(5.08306318437 4237),(-0.00737353747118 4454),,
