Cycle,0.771470588235
Average Width,0
Width,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.00144777165 47),(9.04430247466 205),(5.83789053739 347),(7.21388570519 526),(8.48362018046 657),(7.37793996398 848),(8.96349178336 1021),(6.27037466697 1193),(7.58830305438 1331),(10.6728406239 1519),(7.25096740787 1645),(8.65672936604 1842),(9.78546829663 2013),(9.44762490381 2179),(9.51020078952 2346),(9.14502643057 2510),(8.997016692 2649),(10.947719036 2830),
Point0,H2,(2.96106042526 105),,(1.15171190145 404),,,,(4.73857564827 1069),(3.42476709919 1224),(2.21703684842 1404),,,(0.926525287712 1919),,,,,,
Point0,H3,(3.15737265183 116),,(1.22923020397 420),,,,(4.82861228684 1077),(3.68882396572 1236),(2.32034297637 1413),,,(1.02453644663 1929),,,,,,
Point0,H4,(1.59352654609 137),,(0.860776620565 449),,,(2.73044812978 917),(4.07060755439 1094),(-0.0041594237525 1280),(0.00930103261656 1467),(2.88437710212 1568),,(0.849851745976 1943),,(2.05340793316 2251),(0.742001461261 2439),(2.17887497178 2556),,
Point0,H5,(1.85602888655 147),,(1.00586852497 462),,,(2.76783912694 925),(4.79497055566 1109),(0.00156344483445 1284),(0.0679222514035 1476),(2.91311055597 1573),,(0.901361683456 1951),,(2.40843734995 2263),(1.2218280258 2453),(2.41333109864 2567),,
Point0,H6,(-4.4408920985e-15 166),(-0.00374230042738 309),(-0.00533358010898 489),(-0.00898593449955 612),(-0.0044759294782 808),(-0.00423896228371 971),(0.0 1158),(-0.00917001434922 1290),(-8.881784197e-16 1483),(8.881784197e-16 1610),(-3.5527136788e-15 1810),(-0.00284991466745 1971),(-1.02140518266e-14 2139),(-7.9936057773e-15 2306),(-0.002308755242 2471),(-3.5527136788e-15 2610),(-8.881784197e-16 2787),
Point1,H1,(8.03318705573 36),(9.67208181352 208),(5.80009999374 348),(8.03028331719 528),(9.33490070642 655),(7.99465243709 849),(9.68492544404 1022),(6.79079948836 1192),(8.01252187871 1330),(10.7114646106 1520),(7.62140276635 1646),(9.32294481995 1841),(10.2111014161 2014),(10.3572571574 2179),(10.1975517112 2345),(9.93945835793 2510),(9.41009935571 2650),(11.6813924351 2829),
Point1,H2,(2.05870430456 105),,,,,,(4.56324694243 1069),(3.17297225046 1227),,,,,,,,,(4.67297097662 2684),,
Point1,H3,(2.49799046401 118),,,,,,(4.88807730314 1080),(3.25018022096 1236),,,,,,,,,(5.03300347523 2696),,
Point1,H4,(0.864231689874 137),,(-0.00108197166769 407),,,(2.44561393805 920),(4.03291428534 1096),(-0.000916528087987 1281),(0.762124723944 1441),,,(0.742783584736 1923),,(2.41430090781 2252),(0.504228568881 2442),,(2.69517194977 2728),,
Point1,H5,(1.51274039224 150),,(1.22276727004 462),,,(2.56672809849 930),(4.73561077539 1110),(0.00475778809942 1285),(0.799011573745 1449),,,(0.868153788026 1948),,(2.65693107833 2264),(0.837687900716 2455),,(3.06376179652 2742),,
Point1,H6,(6.2172489379e-15 167),(-0.0126186609088 310),(-0.00108197166769 407),(-0.00905870535741 487),(8.881784197e-15 614),(2.6645352591e-15 808),(-0.00333057641142 977),(8.43769498715e-15 1159),(-0.0357719248844 1292),(7.54951656745e-15 1484),(-0.000374862352253 1611),(1.33226762955e-15 1811),(-2.22044604925e-15 1971),(6.66133814775e-15 2140),(5.3290705182e-15 2307),(5.77315972805e-15 2471),(3.10862446895e-15 2609),(-3.5527136788e-15 2788),
