Cycle,1.03416085947
Average Width,7.1258003221
Width,,6.70070724715,6.9239183409,6.92950947583,7.4118070167,6.59034316308,7.68331300666,6.91291297287,7.10696569859,6.70680571974,7.19931290064,6.87512617838,6.90834361124,7.02426695066,6.80422391387,6.65394867978,6.7272591092,6.72111091404,8.40533302107,7.18683898734,7.16564679864,7.34406450539,7.61292149837,7.27347852156,8.42939314827,7.33861642321,7.33290354147,7.23928133064,7.18478016094,7.2322309261,7.53345171967,7.0067957548,6.96236326198,7.44970966119,6.09055473151,7.2928116508,6.77401159978,7.37759960531,7.00219284867,6.85436453746,6.94792955762,7.24066451515
Point0,H1,(6.65243661593 25),(8.554372644 249),(7.35658708028 504),(10.4662950416 725),(5.78460376614 905),(11.4533736794 1124),(8.18213643113 1338),(8.87169748394 1556),(6.17558631792 1770),(8.58761969016 1993),(8.05057511423 2210),(7.50316412078 2424),(8.74539353081 2646),(6.86654883571 2911),(6.84903493997 3073),(6.72179367846 3318),(7.07994099235 3509),(7.33224748607 3787),(10.2991890753 3957),(10.097318829 4151),(10.0849858806 4362),(11.935569749 4572),(10.7207489049 4792),(16.6073884847 5025),(9.58515591987 5212),(9.62808045466 5419),(9.92728349997 5671),(8.5090862912 5849),(9.61796016782 6058),(10.9934174838 6310),(7.37073212354 6487),(7.75725303445 6545),(7.62874795172 6728),(7.22825414392 6907),(6.34305806903 7035),(7.30915837041 7185),(6.32615213007 7376),(9.0310840223 7597),(5.64582669756 7840),(8.62332196182 7990),(6.52228571517 8271),(8.72098115372 8478),(6.76653486085 8703),
Point0,H2,,,,(9.86998689374 741),,,,,,,,(5.15743792898 2442),(5.66388864688 2670),,,(3.33336933503 3384),,,,(7.86650048771 4171),,,,(11.1604465593 5050),,,,,,,(6.45352274062 6503),,(4.96420983772 6789),(6.0705168051 6927),(-0.000256983219173 7088),,,,(0.599826971378 7909),,(4.21342461364 8327),,,
Point0,H3,,,,(10.1269765407 753),,,,,,,,(5.75959809405 2457),(6.517079894 2691),,,(3.58822996622 3398),,,,(8.03376135224 4179),,,,(11.7435959718 5062),,,,,,,(6.94823219859 6517),,(5.53741221908 6805),(6.07742441452 6931),(6.85892014526 7123),,,,(1.04844204336 7922),,(4.39242274594 8342),,,
Point0,H4,,,(0.780726805793 627),(7.99633731931 781),,,,,,,,(5.71415043167 2464),(-8.881784197e-15 2826),(0.958353602494 3014),,(1.74680088115 3438),,,,(-0.000678533747786 4305),,(5.73100545999 4665),,(0.723140106351 5158),,,,,,(4.76247068996 6368),,,(1.2432384115 6853),(5.96746194792 6942),(5.27432208356 7140),(0.436417977849 7275),,,(4.4408920985e-16 7938),,(-7.1054273576e-15 8398),(-0.00554235989666 8614),,
Point0,H5,,,(1.11669477551 639),(8.04948627384 790),,,,,,,,(6.06613599863 2479),(6.30091960824 2856),(1.05297254978 3022),,(2.3262482263 3453),,,,(0.602533082019 4321),,(5.88036544422 4674),,(0.92518567932 5167),,,,,,(4.79776354666 6375),,,(1.5561133224 6863),(6.48670425505 6958),(7.23997032147 7159),(1.94769201638 7296),,,(2.2217492339 7956),,(8.55049418403 8428),(5.94840144964 8646),,
Point0,H6,(-0.000242221566183 218),(-4.88498130835e-15 406),(-0.0128518379638 656),(-0.0968530389512 880),(-0.0144336305965 970),(-0.0538061840516 1086),(-0.0254639202643 1289),(-1.02140518266e-14 1519),(-1.06581410364e-14 1743),(7.54951656745e-15 1954),(6.2172489379e-15 2176),(-1.42108547152e-14 2399),(-1.33226762955e-14 2610),(-8.881784197e-15 2826),(-3.10862446895e-15 3039),(-1.37667655054e-14 3260),(-4.88498130835e-15 3474),(1.33226762955e-15 3684),(4.4408920985e-15 3905),(0.0 4117),(-0.000678533747786 4305),(4.4408920985e-15 4541),(-0.00311850756112 4752),(1.24344978758e-14 4971),(-0.000146320201837 5182),(1.24344978758e-14 5389),(-1.7763568394e-15 5601),(-8.881784197e-16 5816),(9.7699626167e-15 6032),(8.881784197e-16 6240),(-0.00313832121013 6451),(-2.6645352591e-15 6670),(-2.6645352591e-15 6880),(-0.0124264229907 7006),(-0.000256983219173 7088),(1.06581410364e-14 7314),(-0.0455660271238 7432),(5.3290705182e-15 7488),(3.99680288865e-15 7748),(4.4408920985e-16 7938),(-0.00402024430342 8177),(-7.1054273576e-15 8398),(-0.00554235989666 8614),
Point1,H1,(12.4226317225 31),(13.8638368844 249),(12.614481103 500),(13.3745919448 697),(13.883944241 907),(15.2113111423 1124),(14.3511232354 1337),(15.4352584266 1557),(11.5973845191 1771),(14.5067134649 1992),(13.3150399796 2214),(13.7189013678 2425),(14.3048853885 2648),(11.6328545317 2856),(12.820390539 3077),(12.1254125368 3314),(13.3279147711 3511),(12.2941951561 3749),(16.0044823365 3952),(15.6515718754 4151),(15.1421675676 4362),(17.985985486 4573),(17.309016187 4791),(20.3748619075 5024),(14.4573725271 5212),(15.0441476966 5420),(14.9799253065 5639),(13.9080668281 5850),(14.5993640762 6059),(15.8150414341 6269),(13.3854274336 6488),(13.2049456335 6721),(10.8705117396 6908),(4.97894759163 7033),(13.441915511 7126),(11.4166941327 7368),(13.5143414269 7565),(9.87555249055 7783),(13.0283774332 7992),(11.2494314281 8217),(13.678776745 8431),(11.1993920815 8648),
Point1,H2,,(0.464950698251 403),,,,(5.13041349353 1210),,,(10.5276835618 1785),(7.84639559473 2043),,(11.1999979536 2442),,(9.79563164692 2871),,,,(10.2708718339 3769),(6.27454336187 4028),(12.5714903478 4170),(13.5855955023 4375),,,(12.6641964514 5051),,,(13.5326681787 5656),(5.82494790749 5949),(2.86408238601 6182),,,(6.32247632191 6795),,,,(1.875583504 7435),(13.1226878181 7575),,(10.9370826893 8006),(9.05005947034 8256),,
Point1,H3,,(0.86043209117 418),,,,(5.21319440513 1217),,,(10.6841377616 1794),(7.89289956297 2048),,(11.428108682 2450),,(10.9664775892 2885),,,,(10.595088527 3780),(6.35629486035 4034),(12.7633483278 4177),(13.9876580804 4385),,,(13.0039858444 5060),,,(13.8499904335 5666),(6.28508869261 5964),(3.22376229911 6194),,,(6.39311480115 6803),,,,(1.94187341744 7443),(13.3717624849 7586),,(12.8551727939 8021),(9.35362801289 8271),,
Point1,H4,,(2.04281036531e-14 439),(1.89822575391 628),,,,,,(1.47381836235 1922),(0.814152994808 2146),(2.44619240758 2370),(1.98864757351 2581),(0.805537448095 2808),(1.69226355788 3012),,(2.49593652612 3442),(5.3290705182e-15 3686),(2.81171805521 3874),(1.87286096072 4083),(0.00560769824259 4308),(1.42453686885 4512),(2.59207905551 4723),,(0.809815823086 5155),,,(0.652108338902 5800),(2.54417741734 6002),(2.13409590851 6210),,,(2.12853091461 6854),,,,,(1.72745814945 7705),,(0.630338526927 8149),,,
Point1,H5,,(12.2581570916 472),(1.93161575753 634),,,,,,(1.77416963128 1934),(1.97088077272 2160),(2.65727794363 2380),(2.03881124554 2587),(0.887182625937 2815),(1.77546803554 3020),,(2.82089942029 3453),(11.8667328928 3719),(3.43874710174 3886),(2.04309445487 4092),(0.608202598953 4321),(2.06538229792 4526),(2.8241837756 4733),,(1.29302531549 5167),,,(0.680441838728 5805),(3.05029003252 6013),(2.99790167841 6223),,,(2.30807602801 6862),,,,,(2.71780393046 7725),,(0.681236279916 8157),,,
Point1,H6,(8.881784197e-16 220),(2.04281036531e-14 439),(1.24344978758e-14 656),(1.06581410364e-14 879),(0.0 1088),(-6.2172489379e-15 1304),(3.5527136788e-15 1521),(8.881784197e-15 1742),(0.0 1955),(-8.881784197e-15 2176),(-1.68753899743e-14 2398),(-1.86517468137e-14 2611),(-2.84217094304e-14 2828),(-2.93098878501e-14 3039),(-1.42108547152e-14 3261),(3.5527136788e-15 3474),(5.3290705182e-15 3686),(-8.881784197e-15 3904),(-1.06581410364e-14 4117),(-0.00379088051609 4331),(-0.000488783186317 4541),(1.33226762955e-14 4754),(-3.5527136788e-15 4973),(2.13162820728e-14 5181),(-3.5527136788e-15 5390),(1.7763568394e-15 5601),(-1.42108547152e-14 5819),(-4.4408920985e-15 6031),(-1.59872115546e-14 6239),(-7.1054273576e-15 6450),(-1.7763568394e-15 6669),(-1.7763568394e-15 6879),(-0.00123231292851 7006),(-8.881784197e-16 7086),(8.881784197e-15 7313),(2.6645352591e-15 7494),(1.42108547152e-14 7747),(-1.7763568394e-15 7937),(-0.00522349493748 8176),(-8.881784197e-15 8398),(-0.00652363400137 8616),
Point2,H1,(17.7420385646 33),(18.1014934373 248),(17.0630060539 472),(18.4528201097 696),(19.1185851838 906),(20.8902250632 1124),(19.4882018319 1336),(20.3526782454 1559),(16.0243626348 1770),(19.9594694703 1991),(19.9124525448 2220),(18.702521139 2425),(19.5594841922 2647),(18.0706067354 2856),(19.0194628133 3078),(18.750718288 3289),(19.2353706285 3512),(18.4330019003 3720),(23.2648418879 3950),(23.0288717293 4152),(23.6450078924 4361),(24.8257172739 4573),(25.1243102713 4792),(28.0003627242 5024),(22.7705015057 5211),(22.8081930614 5440),(24.1519253306 5639),(21.8667523248 5848),(22.36721899 6059),(23.6898685214 6271),(21.6663781643 6488),(22.175212089 6721),(18.0643036728 6911),(21.8479819161 7127),(18.5472607366 7347),(20.3707278521 7564),(17.2031787083 7783),(19.4985408744 7995),(19.4303085164 8216),(20.5866270734 8435),(17.9539309109 8648),
Point2,H2,(7.80052782596 122),,,,,,,(10.694896382 1609),,,,,,,(10.6368142374 3128),,,,,,,(23.7982807102 4585),(13.7131685585 4841),(15.8528937387 5050),,,(13.6287918371 5692),,(3.54239774213 6185),,,,,,,(19.4153144202 7576),,(18.2700997376 8006),(12.4946098248 8266),,,
Point2,H3,(7.83098576769 127),,,,,,,(10.9992938102 1618),,,,,,,(11.0043465107 3138),,,,,,,(23.814129764 4588),(14.0179073631 4849),(16.4256825195 5060),,,(13.6307229039 5694),,(3.77618320464 6194),,,,,,,(19.5780763928 7583),,(19.0590214715 8017),(12.5582601756 8272),,,
Point2,H4,(1.40548691102 197),,,(1.50839351848 854),,,,(1.58080525461 1714),,,(2.58248312456 2372),,(1.56656458166 2806),,(0.921466666885 3235),,,,(7.49980510692 4029),,,(2.3920751919 4724),(1.05924025247 4949),(1.33414217665 5155),,,,,(2.73933864394 6210),,,,(7.9936057773e-15 7007),,(1.7763568394e-15 7505),(1.49424490045 7710),,(0.921695493594 8147),(3.86617858514 8373),(1.4203824458 8581),,
Point2,H5,(1.53400337595 206),,,(1.62506512556 862),,,,(2.52688091371 1727),,,(2.80254819446 2381),,(1.64601792362 2813),,(1.81454518766 3248),,,,(7.52099039122 4033),,,(2.77733793724 4734),(1.21879494243 4958),(2.48065924301 5168),,,,,(3.62703618975 6222),,,,(5.12427088379 7032),,(1.01484194613 7521),(2.32076897356 7726),,(1.13655951117 8158),(3.87474009795 8376),(1.47501559205 8588),,
