Cycle,0.893825757576
Average Width,5.83837769452
Width,,6.0658755622,6.01927026742,6.1722418561,5.99312673621,6.00992013724,5.90153319708,5.91801917375,5.8279509062,5.69571410329,5.76792217209,5.93968750721,5.73780433773,5.89305166319,5.83381678044,5.91148776909,5.78879581836,5.80102263815,5.94039856577,6.03994127817,5.82382423893,5.79055370768,6.0013941954,5.86209283204,5.6398519396,5.8835463629,5.87486081706,5.85392634751,5.79701007663,5.6584929159,5.73271199914,5.69775375342,5.71575604729,5.78186385758,5.72824621671,5.79856975453,5.68940600761,5.77099166457,5.58176318141,6.00278754264,5.85924849713,5.94498119252,5.80478568841,5.79396189784,5.6993401998,5.68169484936
Point1,H5,(1.13027608477 126),(3.95897664198 287),(1.31761413697 473),(3.63635081449 657),(4.74595789733 834),(3.42946109691 990),(2.41014017392 1168),(1.70089632494 1328),(3.49409055895 1473),(4.21794901201 1632),(2.87606535078 1841),,(3.04623008655 2186),,(5.06748612512 2572),(2.50893511543 2770),(4.30238666699 2945),(1.47194673862 3154),,(2.58825344638 3504),(0.360087852562 3684),(4.88738966401 3874),(4.53463193064 4081),(3.84837797588 4257),(2.38623204145 4427),(4.42186197084 4625),,(3.35804320709 5006),(3.48121578157 5178),(4.23885840665 5377),,(4.72706267064 5745),(3.59297635464 5912),(4.36588596528 6128),(3.15790089464 6321),(4.01601586504 6496),(2.90167762523 6665),,,(5.12281947121 7249),(3.54032196165 7426),(3.15183259938 7618),(0.522757230207 7788),,
Point1,H6,(-3.5527136788e-14 147),(-5.86197757002e-14 306),(-0.00302887256878 495),(7.1054273576e-15 675),(5.3290705182e-15 849),(-3.5527136788e-15 1010),(-1.7763568394e-15 1182),(4.4408920985e-14 1341),(1.42108547152e-14 1490),(3.37507799486e-14 1649),(2.13162820728e-14 1855),(7.1054273576e-15 2033),(8.881784197e-15 2209),(3.5527136788e-15 2411),(-1.24344978758e-14 2594),(-3.01980662698e-14 2783),(-6.39488462184e-14 2961),(-7.1054273576e-14 3165),(-2.30926389122e-14 3345),(-0.000460311199371 3524),(-0.380989461897 3668),(-8.881784197e-15 3889),(-1.06581410364e-14 4096),(1.59872115546e-14 4273),(3.37507799486e-14 4453),(2.13162820728e-14 4640),(1.42108547152e-14 4826),(-1.48779960494e-05 5026),(-5.3290705182e-15 5203),(-1.59872115546e-14 5392),(8.881784197e-15 5570),(8.881784197e-15 5761),(-0.0013510873476 5947),(1.06581410364e-14 6146),(1.7763568394e-14 6335),(-1.06581410364e-14 6514),(5.3290705182e-15 6700),(1.06581410364e-14 6881),(-2.30926389122e-14 7089),(-2.13162820728e-14 7266),(1.7763568394e-15 7442),(-1.59872115546e-14 7631),(-7.1054273576e-15 7806),(-1.24344978758e-14 8017),
Point2,H1,(40.9856686258 26),(40.9697608782 183),(41.7268837905 341),(44.8749185634 536),(41.7846446011 711),(44.3294173945 876),(45.9508028016 1048),(46.2051680559 1210),(45.6611439589 1370),(46.5881181315 1529),(49.4452963908 1689),(50.3710077176 1883),(45.350632492 2072),(48.3996474618 2250),(48.4928834596 2443),(47.7779565265 2633),(46.3035188613 2811),(43.1900302257 2995),(46.7723248376 3194),(44.0182210701 3376),(42.388213096 3561),(46.2524510056 3737),(46.1557884712 3922),(46.3605461298 4124),(44.0385147229 4309),(46.9962074385 4490),(45.9807055213 4670),(48.5902184826 4858),(48.2889754706 5065),(46.6800208608 5241),(47.8930590793 5420),(49.4790007783 5610),(46.831144734 5795),(48.3167175314 5978),(48.7569842336 6185),(47.8506169607 6363),(47.0489530627 6553),(43.6266462036 6731),(46.2081610135 6921),(45.2808630253 7116),(42.0959369894 7297),(45.8881282614 7481),(45.0302829516 7659),(43.1275671464 7849),(42.9356916574 8045),
Point2,H2,(7.54487805557 74),,,,,(14.3857064467 925),,,(11.1022811193 1421),,(7.70714386645 1776),(16.2594756925 1932),(5.94044597809 2154),,(14.6592459995 2492),,,(0.752209506022 3123),(13.7329466376 3242),,,(6.41299419434 3837),(5.56800708038 4043),(15.1191849463 4171),,(5.62500124196 4589),,(13.5855502112 4909),,(6.20598101249 5341),,,,(13.7229612448 6029),,(14.9154774326 6411),,,,(5.91515580113 7213),(5.988838537 7387),,(9.92437597495 7708),,
Point2,H3,(8.42100539447 86),,,,,(14.6857238879 931),,,(11.1075386028 1423),,(7.76570098988 1782),(16.677526027 1939),(6.12012785968 2161),,(15.3089170975 2500),,,(0.773907066687 3128),(14.7889619865 3252),,,(6.42473838386 3840),(5.79890750336 4051),(16.0227906804 4180),,(5.66445647817 4593),,(13.6481344556 4913),,(6.24648651496 5345),,,,(13.7704684733 6033),,(15.6036083597 6420),,,,(6.0022015313 7218),(6.11249561156 7393),,(10.337965777 7716),,
Point2,H4,,(3.55115768932 275),(2.08980051385 467),(2.44201922732 642),(3.50785990064 819),(3.9608146378 979),(1.75216823384 1160),(0.881207978269 1318),(3.65483314075 1457),(4.04812610668 1618),(2.08791449197 1828),(4.38031198283 2003),(3.12780116965 2182),(1.06672607174 2392),(5.64067306676 2561),(1.91270217307 2754),,(0.429409261361 3139),(4.48121095575 3316),(3.89510646871 3491),(1.93571257462 3666),(3.83567935523 3859),(3.01594500888 4068),(3.70816764775 4242),(3.26959279142 4422),(3.64550308612 4611),,(3.02334177793 4994),(4.60297580239 5171),(3.67444753395 5364),(4.95036051453 5541),(4.21419372784 5732),,(2.92511310323 6113),(2.20051548516 6310),(3.11447096332 6484),(3.43117519411 6653),,(2.55098394899 7057),(4.15405297374 7235),(3.54806472403 7412),(3.12742131516 7603),(0.716481148316 7777),,
Point2,H5,,(4.89519711715 288),(2.26825220265 475),(3.92478544546 657),(6.24583288912 834),(4.73299410037 990),(2.20982611266 1169),(1.38863963186 1329),(5.32852540134 1472),(6.15811867271 1633),(3.45117243495 1841),(5.78246993027 2016),(3.56938829034 2191),(1.50956992266 2401),(6.2428286782 2572),(4.05095843314 2769),,(1.46007936277 3153),(6.9733229489 3329),(4.38418660377 3502),(2.50143183116 3678),(6.33457214774 3873),(5.92363139967 4082),(5.97893507534 4257),(3.27543270993 4425),(6.31182837406 4625),,(3.96315499878 5007),(5.26212618548 5182),(5.98574667777 5377),(5.05273676735 5547),(6.49130208496 5745),,(4.95195669416 6129),(3.27629970539 6321),(4.40489768828 6497),(3.9255036556 6665),,(6.78866439124 7074),(6.76372556025 7249),(5.07814598757 7425),(5.22164878122 7617),(0.878969789665 7786),,
Point2,H6,(-0.00327895159184 147),(-0.00163296798667 305),(-1.24344978758e-14 498),(-7.1054273576e-15 674),(-0.0048301127156 848),(-7.1054273576e-15 1010),(2.30926389122e-14 1181),(-2.84217094304e-14 1340),(7.1054273576e-15 1490),(2.84217094304e-14 1650),(4.26325641456e-14 1854),(4.4408920985e-14 2033),(3.19744231092e-14 2210),(-1.42108547152e-14 2412),(-1.42108547152e-14 2594),(2.30926389122e-14 2783),(5.3290705182e-15 2961),(2.6645352591e-14 3164),(-2.48689957516e-14 3345),(0.0 3523),(1.06581410364e-14 3698),(2.48689957516e-14 3889),(5.86197757002e-14 4096),(4.26325641456e-14 4273),(4.79616346638e-14 4452),(3.5527136788e-14 4641),(4.79616346638e-14 4825),(4.26325641456e-14 5027),(2.84217094304e-14 5203),(0.0 5392),(-7.1054273576e-15 5571),(-1.06581410364e-14 5761),(1.59872115546e-14 5946),(3.5527136788e-15 6145),(1.7763568394e-15 6334),(1.7763568394e-14 6514),(-0.000170466135495 6700),(4.61852778244e-14 6881),(4.4408920985e-14 7089),(2.48689957516e-14 7265),(7.1054273576e-15 7442),(-0.0217589948685 7632),(-0.00398923192943 7804),(5.3290705182e-15 8017),
Point3,H1,(32.6082942241 26),(31.5125664122 184),(31.6017028537 341),(34.1223648834 537),(31.3873825863 711),(33.4256270674 876),(33.2844471108 1048),(33.8100619126 1211),(34.8760371017 1371),(35.4173667055 1529),(37.142151282 1689),(41.015305931 1884),(32.7088610263 2070),(33.5872621803 2250),(37.1127196761 2443),(35.0729170002 2633),(34.1648224773 2811),(33.0636514967 2994),(35.4096539121 3195),(34.4769380395 3375),(33.0860785582 3561),(35.765171387 3738),(36.0464014253 3921),(35.4842038798 4125),(33.4728031365 4307),(36.2060725551 4490),(36.0258233614 4670),(36.8241898071 4859),(37.4999565749 5066),(35.4534971545 5242),(36.8054514723 5421),(38.4302046483 5610),(36.2957153278 5793),(36.8808790886 5979),(37.1710379335 6184),(35.9701777557 6363),(34.2377131203 6554),(37.2225018436 6731),(38.285313905 6918),(33.5272187926 7117),(33.39359844 7297),(35.0961609244 7481),(35.2822559503 7660),(33.3882619988 7850),(34.1147940113 8045),
Point3,H2,(7.94726703323 76),,,,,(12.5232588435 925),,,,,(6.86207697964 1776),(13.3255621602 1933),(4.64797014757 2156),,(12.6844973042 2492),(1.82627065278 2737),(11.8762062079 2860),(-0.0606085463355 3121),(12.4003195247 3243),,,,,(13.0471787262 4172),,(4.60514944221 4591),,,,,,,,,,(12.343403085 6411),,,,(4.7584837234 7214),,,,,,
