Cycle,0.770740740741
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.62314898911 101),(10.4853300619 297),(9.31779837923 468),(8.75562491481 629),(10.4623719029 789),(9.4809799962 947),(11.7783687339 1113),(8.88520985593 1269),(12.9524766912 1429),(12.1318446356 1590),(13.9511046684 1739),(11.9135024469 1935),(7.89075265756 2099),(9.26773349607 2259),(12.1392741749 2409),(9.49446132351 2563),(9.94130431985 2713),(9.89875864805 2866),(10.353032837 3022),(8.78455550981 3140),(11.0259000731 3334),(6.62631243406 3502),(13.0184918326 3643),(9.81573386752 3772),(9.64510248885 3963),(10.2363840204 4149),(10.6672780631 4308),(9.35382143688 4459),
Point0,H2,,,(-4.4408920985e-15 498),(-0.000919370191856 662),(-7.9936057773e-15 817),(-0.00576896368842 979),,(0.0 1297),,,(12.5464967026 1756),(-8.881784197e-15 1968),,(-0.00984794063456 2289),,,,(2.6645352591e-15 2895),,,,,,(9.11100181476 3793),,,,,
Point0,H3,,,(6.928111462 538),(7.83502712424 714),(6.96968167825 869),(7.17123795282 1029),,(7.17854404783 1340),,,(12.743742231 1764),(5.84320268347 2010),,(5.86506517255 2332),,,,(6.41413595878 2947),,,,,,(9.13854667589 3799),,,,,
Point0,H4,,(-0.0062326667893 332),(6.23746124631 558),(7.64086483806 726),(6.95717422159 873),(7.13491271083 1036),,(5.69836833341 1356),(8.881784197e-16 1460),,(0.0 1800),(4.95253829061 2027),(-9.7699626167e-15 2132),(5.67864789921 2342),,(7.1054273576e-15 2594),,(6.40963164335 2950),(-3.5527136788e-15 3054),,(-0.0518606433826 3372),(-0.064074635251 3532),,(8.65893513299 3816),(8.881784197e-16 4018),,,,
Point0,H5,,(3.74774108572 364),(8.66696468356 597),(9.37390453305 758),(8.38614265572 906),(9.54096975571 1084),,(11.8920418828 1404),(10.7595955235 1552),,(7.58156338514 1849),(6.94216880046 2056),(5.4218811503 2167),(9.41105412575 2374),,(7.23634417185 2636),,(9.23769326125 2985),(7.992210248 3106),,(2.97412108494 3400),(12.5069246577 3620),,(9.25978707403 3828),(5.84628201719 4062),,,,
Point0,H6,(-1.59872115546e-14 161),(-0.0062326667893 332),(-4.4408920985e-15 498),(-0.000919370191856 662),(-7.9936057773e-15 817),(-0.00576896368842 979),(-0.0114225649297 1149),(0.0 1297),(8.881784197e-16 1460),(0.0 1630),(0.0 1800),(-8.881784197e-15 1968),(-9.7699626167e-15 2132),(-0.00984794063456 2289),(3.5527136788e-15 2445),(7.1054273576e-15 2594),(-0.00529023470049 2749),(2.6645352591e-15 2895),(-3.5527136788e-15 3054),(9.7699626167e-15 3213),(-0.0518606433826 3372),(-0.0201742420404 3448),(-0.064074635251 3532),(-0.00963674505072 3696),(-2.6645352591e-15 3856),(8.881784197e-16 4018),(7.1054273576e-15 4175),(-7.1054273576e-15 4337),(-8.881784197e-15 4497),
