Cycle,0.677902421652
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point2,H1,(14.1538580916 32),(13.7152186003 171),(12.0394180058 311),(13.5794472397 454),(14.2452772595 594),(13.1268845177 734),(12.5614559922 872),(12.9182812011 1009),(13.2549196539 1145),(13.5579571014 1287),(11.7766947086 1428),(12.2298921193 1561),(12.1789522486 1704),(12.7243877987 1846),(12.1012108276 1990),(11.62506979 2125),(12.4274284686 2263),(13.0248654581 2402),(12.6509060657 2538),(11.5185102279 2674),(13.1714940027 2820),(12.7687213343 2967),(11.9640892043 3111),(11.8812521959 3254),(12.8661582136 3400),(12.5878076644 3552),(12.7478654407 3704),(13.0419989569 3849),
Point2,H2,(6.39708832941 62),,,,(6.0180770427 623),(5.22920803298 767),(5.49142497476 899),(5.77539133486 1039),,,,(5.01677618509 1596),,(5.18977095385 1892),(4.17231672909 2016),(4.55045732703 2157),(4.87947009137 2290),(6.3688451527 2434),,(4.3382712408 2704),,(5.43435598527 2995),,(3.7167225799 3282),(5.52052093887 3435),(5.26714116676 3583),,
Point2,H3,(7.5458625974 79),,,,(7.38894767345 642),(6.4143590917 783),(5.65632800046 916),(6.69601263259 1055),,,,(5.70828092119 1611),,(5.21302341368 1897),(5.52848125261 2040),(5.42317481417 2172),(6.08581239201 2314),(7.13616762224 2448),,(6.01204018385 2723),,(5.80751916739 3012),,(5.69405947792 3303),(6.3434411654 3453),(6.70066352448 3602),,
Point2,H4,(2.04803679784 118),(5.51546610108 206),(4.29630643885 341),(5.52095677574 481),(1.49965122883 677),(0.990782967258 824),(0.475758950052 950),(1.88210089339 1096),(5.9552254008 1188),(5.49113855181 1316),(4.92070083536 1455),(-3.31361135721e-05 1654),(5.00597685861 1737),(0.0462821654402 1948),(1.66172328657 2069),(-8.881784197e-16 2214),(2.27224184321 2345),(1.63140503791 2486),(5.12166943592 2572),(1.71786545873 2756),(6.00294184358 2849),(0.597177067582 3063),(4.50744954295 3140),(0.0220346177853 3351),(1.3059842294 3491),(1.18800068767 3654),,
Point2,H5,(2.25428370003 127),(6.70783502055 222),(5.55798250476 364),(7.02380483844 503),(2.22987702197 689),(0.999221734948 828),(1.11158257466 962),(1.90918812698 1101),(6.21973203281 1198),(5.95284045722 1338),(6.25530127438 1473),(0.266017509919 1666),(5.55652371888 1754),(0.0589947662452 1952),(2.09095775983 2080),(0.285037051505 2228),(2.27706314486 2348),(1.90135819692 2495),(6.28630438411 2590),(1.79446764524 2763),(6.84325068374 2867),(0.744218463406 3072),(5.50998599783 3162),(0.272826637247 3361),(1.89999474345 3504),(1.43819808394 3663),,
Point2,H6,(9.7699626167e-15 143),(-0.00881925626682 282),(1.7763568394e-15 419),(-0.00822998544939 560),(1.50990331349e-14 705),(1.42108547152e-14 844),(9.7699626167e-15 976),(-2.6645352591e-15 1118),(-8.881784197e-16 1258),(-1.7763568394e-15 1394),(-7.1054273576e-15 1533),(-3.31361135721e-05 1654),(3.5527136788e-15 1811),(8.881784197e-15 1959),(-0.000370303535476 2097),(-8.881784197e-16 2214),(-8.881784197e-16 2369),(8.881784197e-16 2511),(-1.7763568394e-15 2642),(3.5527136788e-15 2785),(-1.06581410364e-14 2935),(-1.33226762955e-14 3084),(-1.15463194561e-14 3224),(-7.9936057773e-15 3370),(-7.1054273576e-15 3520),(-9.7699626167e-15 3678),(-7.1054273576e-15 3822),
Point3,H1,(19.2491498159 31),(19.2250431472 170),(17.72024993 310),(19.2906386185 453),(19.3122771264 593),(18.6548432877 734),(18.5709681865 871),(19.2163840469 1007),(19.6148031617 1145),(20.1077912537 1286),(18.8641833535 1428),(19.6567869235 1560),(19.7394724074 1702),(20.2508626112 1845),(19.4690877502 1989),(18.9188759894 2124),(19.3035050502 2262),(20.1597451205 2401),(21.095127701 2537),(19.155582715 2672),(20.9112005229 2819),(20.9855692942 2965),(19.9252092895 3110),(19.5596730318 3253),(21.9243562788 3398),(21.4646845553 3551),(20.8913902313 3703),(21.8704484212 3848),
Point3,H2,(8.69496280072 61),(7.18687778464 205),,,(8.89791342474 622),,(8.26716070402 898),(8.93351928446 1039),,,(7.71847081719 1455),(7.8928938282 1593),,,(7.02228806811 2014),(6.54051911548 2156),,(9.58844632405 2432),(8.84897223932 2572),(7.32780742961 2701),,(8.79876406916 2994),,(6.22958474506 3279),(9.50631830877 3432),(8.75807482135 3581),,
Point3,H3,(10.6929336975 78),(9.37939315744 222),,,(10.9593679247 640),,(8.79272065549 917),(10.4609327707 1055),,,(9.48370473142 1472),(9.15946113721 1610),,,(8.49318158403 2035),(8.4742140358 2172),,(10.5392522881 2446),(10.190650227 2588),(9.35795391305 2719),,(8.96736783154 3012),,(8.7844571678 3302),(10.7009258783 3450),(10.7377979934 3600),,
Point3,H4,(2.55981706357 116),(0.927679636514 263),(6.48816272807 339),(7.85288082476 479),(2.4153587855 676),(8.00269392322 766),(1.80430948452 951),(2.45434401868 1093),(8.69984963625 1186),(8.36970996837 1314),(1.94314568007 1510),(0.185212486033 1657),(7.70725497986 1731),(8.40468204641 1873),(2.88021959914 2068),(0.0 2219),(7.69508698711 2290),(2.33948784214 2484),(3.68143155275 2618),(1.78817481529 2755),(9.32558513266 2848),(0.827464066966 3062),(7.58838315027 3138),(0.0931912247791 3349),(2.64135511249 3489),(1.49959960446 3653),,
Point3,H5,(2.84802834455 125),(0.97619132758 269),(7.7553897146 363),(9.6397874975 501),(3.03742850633 687),(9.04853323489 780),(1.9753228159 958),(2.7413298175 1102),(9.36524449672 1197),(8.84093602926 1336),(2.10191610949 1517),(0.236938292282 1663),(8.72026944447 1750),(8.8402586198 1892),(3.23035699067 2077),(0.0248989556404 2224),(8.55945417589 2308),(3.0341869827 2495),(3.6816008004 2619),(2.14598512813 2765),(10.4541807671 2864),(1.00043603478 3070),(8.56587368371 3161),(0.686923932374 3360),(3.95438338394 3503),(1.78383510695 3662),,
Point3,H6,(0.0 142),(-2.6645352591e-15 282),(5.3290705182e-15 419),(-0.00357398938455 559),(-0.00726334196436 704),(6.2172489379e-15 843),(-0.00643481062575 974),(5.3290705182e-15 1118),(6.2172489379e-15 1256),(6.2172489379e-15 1393),(8.881784197e-16 1533),(-6.2172489379e-15 1671),(0.0 1811),(-1.7763568394e-15 1958),(-1.06581410364e-14 2095),(0.0 2219),(-1.7763568394e-15 2367),(0.0 2510),(-1.7763568394e-15 2640),(-4.4408920985e-15 2784),(8.881784197e-15 2931),(8.881784197e-15 3082),(1.06581410364e-14 3223),(5.3290705182e-15 3370),(-1.7763568394e-15 3520),(-5.3290705182e-15 3676),(-1.24344978758e-14 3821),
