Cycle,0.820678104575
Average Width,0
Width,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Point0,H1,(22.7966603442 56),(19.7215273879 243),(20.0520873647 410),(18.7307903851 612),(19.0458023971 787),(20.1299816806 978),(19.3060029353 1148),(19.1881189631 1346),(21.1371282298 1519),(20.6725612355 1716),(21.5516679295 1883),(21.1897608702 2060),(21.0355865303 2237),(20.3203134789 2426),(18.2293393333 2607),(21.8573624404 2795),(19.9582061452 2972),(20.9153670492 3165),
Point0,H2,(15.1769549923 91),,(11.3340756613 461),,,,(9.72278157357 1198),,(1.16863796477 1638),,,,(20.2406012659 2248),,(17.9078559169 2616),,,
Point0,H3,(15.3156718965 98),,(11.3423058499 464),,,,(9.7365992264 1202),,(1.41227999295 1647),,,,(20.4681226492 2256),,(17.9702532391 2621),,,
Point0,H4,(2.48689957516e-14 190),,(1.7763568394e-14 549),,(1.7763568394e-15 921),(1.48888221546 1077),(-0.0054955992855 1289),(3.7668306414 1449),(5.3290705182e-15 1661),,,(10.0824592053 2108),(2.84561126572 2357),(2.65293548936 2524),,(4.37964395073 2903),,
Point0,H5,(18.7018944313 222),,(18.3349262503 587),,(19.7662063894 956),(1.60261679866 1085),(19.1848007946 1325),(3.76746292526 1450),(19.6989167139 1694),,,(10.2116561935 2114),(2.91498105702 2363),(2.87797069777 2533),,(4.38912741112 2906),,
Point0,H6,(2.48689957516e-14 190),(-0.00352163082761 371),(1.7763568394e-14 549),(3.5527136788e-15 734),(1.7763568394e-15 921),(5.3290705182e-15 1107),(-0.0054955992855 1289),(1.7763568394e-15 1472),(5.3290705182e-15 1661),(1.42108547152e-14 1842),(-1.7763568394e-15 2019),(1.7763568394e-15 2202),(-3.5527136788e-15 2384),(-1.59872115546e-14 2573),(-1.59872115546e-14 2754),(-3.5527136788e-15 2932),(-3.5527136788e-15 3117),
Point1,H1,(23.5852573508 81),(20.1604675274 265),(20.3129772928 343),(24.4351269393 518),(5.74968606985 594),(9.9587986385 699),(20.9174314749 886),(25.1301171993 1059),(18.8911273417 1254),(17.7086523268 1432),(20.1368273458 1624),(20.2570159155 1800),(17.5363938452 1982),(18.9702044288 2165),(20.9928361844 2342),(22.488357082 2535),(23.6458382407 2714),(21.4803324513 2886),(20.9832144409 3080),
Point1,H2,(21.8289784502 108),(18.3551598946 290),,,,(-0.368883987589 733),,(-3.01980662698e-14 1107),,,,(1.59872115546e-14 1840),(0.0 2018),(-0.00278636878615 2197),(-0.00274395667752 2386),,,,
Point1,H3,(22.8292200065 124),(19.116879461 314),,,,(14.7602635656 787),,(1.74070626143 1120),,,,(13.4756634913 1889),(1.90255998753 2033),(0.461769212398 2207),(13.2667211924 2437),,,,
Point1,H4,(21.906680057 138),,(-0.0501393861452 377),,,(14.437197394 795),(-0.0492562479865 929),(1.54889508022 1127),,,(-0.0145277495155 1659),(12.10180468 1902),(1.60184584709 2041),,(13.2415996421 2441),,(1.06581410364e-14 2754),,
Point1,H5,(22.7681943772 150),,(23.9330068246 495),,,(20.6453506824 842),(15.1101330017 1003),(10.0001159257 1154),,,(13.2083632433 1716),(17.4362922622 1944),(14.3475134005 2117),,(21.5561628149 2510),,(9.70529951317 2798),,
Point1,H6,(-0.0676055837577 192),(-0.0501393861452 377),(-1.46882946352 567),(3.70814490225e-14 649),(-0.368883987589 733),(-0.0492562479865 929),(-3.01980662698e-14 1107),(-1.7763568394e-14 1304),(-0.00114404523583 1469),(-0.0145277495155 1659),(1.59872115546e-14 1840),(0.0 2018),(-0.00278636878615 2197),(-0.00274395667752 2386),(0.0 2582),(1.06581410364e-14 2754),(0.0 2930),(-0.00673010391482 3126),
