Cycle,0.604267676768
Average Width,6.48357172092
Width,,6.61579233664,6.62352139321,6.55330322084,6.53100314318,6.49259709043,6.12793153206,6.45387023192,6.31960983575,6.38540763146,6.46035745314,6.41472538529,6.45698229556,6.46743987719,6.41512836349,6.8364402839,6.63426931562,6.57701025889,6.58333447349,6.47995434612,6.33161856567,6.4306136712,6.28554670175,6.56197750783,6.70803259336,6.54700279317,6.60214251212,6.40926618746,6.34562642597,6.38451005184,6.55666257971,6.42059044415,6.56930374292,6.63039088918,6.22947537685
Point1,H5,(3.35627445394 83),(3.26410203273 215),(1.72736213058 369),(2.07394036322 495),(5.21776038877 596),(4.61065988697 726),(3.59413263577 851),(4.64858498389 973),,(1.18616508355 1265),(1.90763525852 1390),(3.75566201152 1492),(2.97097643685 1613),(1.14775876531 1778),(2.92158165478 1874),(2.4039126606 2010),(2.35076963793 2139),(2.5981329417 2287),(2.61481908501 2388),(3.69334756609 2507),(4.00213737835 2627),(2.77437614516 2743),(2.79742580843 2855),(3.26591061276 2969),(2.33655234233 3083),(3.06229347651 3206),(0.499644083176 3364),(1.1183660485 3487),(1.62762465618 3590),(1.9046720466 3727),(3.5046621714 3830),(0.176172362279 3987),(3.96333441251 4079),,
Point1,H6,(-0.0093286950191 1),(-0.00518117218237 127),(-0.000926571991569 255),(-1.7763568394e-15 384),(4.4408920985e-15 513),(1.15463194561e-14 641),(3.5527136788e-15 768),(-0.00344889590574 883),(-0.00457308556104 1009),(-6.2172489379e-15 1139),(-5.3290705182e-15 1278),(-1.86517468137e-14 1407),(-1.7763568394e-15 1528),(-0.00149552889184 1650),(8.881784197e-16 1790),(8.881784197e-16 1917),(-5.77315972805e-15 2039),(-0.0110270493084 2174),(8.881784197e-16 2304),(-0.000800128509357 2420),(2.6645352591e-15 2544),(-5.3290705182e-15 2657),(-0.00261894767017 2768),(-6.2172489379e-15 2883),(-4.4408920985e-15 3004),(-7.9936057773e-15 3119),(-7.1054273576e-15 3240),(-2.6645352591e-15 3351),(-0.00206861857362 3502),(-1.7763568394e-15 3567),(1.3324919678 3685),(-8.881784197e-16 3744),(6.2172489379e-15 3870),(0.0 3979),(2.6645352591e-15 4124),
Point2,H1,(20.4771758609 27),(21.3566794906 165),(21.804068002 286),(21.6658375688 413),(22.0460111153 544),(22.4527373882 672),(22.0640047126 795),(23.4021448442 919),(25.9232726967 1044),(24.1633550165 1174),(24.5376849065 1306),(22.3501869168 1436),(22.5609139024 1559),(24.7999164077 1687),(23.0514987412 1818),(22.0418356244 1958),(21.3606774763 2086),(22.9184158835 2210),(22.0601438882 2330),(23.9104485033 2454),(23.4736429252 2572),(21.4956645275 2689),(21.6751562902 2804),(20.8626895813 2919),(21.6481033673 3032),(22.859754969 3148),(22.5457662891 3271),(22.3980603673 3399),(20.4588512924 3528),(21.7104798046 3654),(20.5197382561 3773),(21.5804569098 3897),(23.5469378172 4025),(22.5972203633 4153),
Point2,H2,,,(3.86492310101 324),,,,,,,(4.86385386475 1227),(4.7299707276 1345),,,(4.98474852815 1730),,(2.59061402794 1989),,(3.43381425012 2243),,,,,,,,,(2.37092200773 3309),(3.50876677671 3441),,(2.67079761817 3684),(2.84706882907 3811),(1.87656438363 3939),,,
Point2,H3,,,(5.8389404581 340),,,,,,,(4.8669199516 1229),(7.90369103547 1364),,,(5.84164583234 1744),,(2.79026847184 1999),,(5.64118635033 2261),,,,,,,,,(3.66120511828 3329),(4.95789487428 3458),,(5.11768919918 3703),(4.98911084037 3828),(4.46663003455 3957),,,
Point2,H4,(3.1094327689 65),(4.0780179062 195),(2.54775736657 359),(4.67758082675 452),(5.89731674581 580),(4.59219261186 707),(3.51481536612 832),(6.5230142312 953),,(1.44483496618 1253),(3.55710889743 1387),(3.39226825507 1471),(3.55835910065 1596),(1.18812735404 1768),(3.73460836044 1858),(0.0176763623181 2042),(2.08008602045 2117),(2.55772630146 2280),(2.76005063883 2371),(4.24427344588 2485),(4.76473340697 2608),(3.27682469953 2722),(2.49719544771 2837),(1.55582781493 2951),(3.12215313737 3067),(3.56458995915 3185),(0.12366899684 3356),(0.700596605929 3480),(1.48408256961 3562),(3.01952965027 3723),(1.2927401914 3848),(0.818238669615 3981),(5.92479883176 4062),,
Point2,H5,(4.67490915501 81),(6.7987574658 214),(3.13281704236 369),(6.72846658269 468),(7.89429468784 596),(7.50466766526 726),(5.41629150145 853),(6.89345874571 965),,(2.40994451941 1265),(3.56508859816 1389),(6.57013526462 1492),(4.65147013248 1615),(1.54269914844 1777),(5.27871019706 1874),(0.0858296669772 2049),(4.45608424614 2138),(3.03340608753 2289),(5.42443869616 2391),(6.03957089495 2505),(5.79441292117 2624),(4.77540261663 2746),(3.87839767201 2855),(4.1469248016 2970),(4.2235846011 3082),(4.74287272217 3202),(0.161620487234 3361),(1.34503883257 3490),(4.24262445872 3586),(3.04560618445 3727),(1.91758749025 3858),(0.826727703717 3983),(6.14215176284 4072),,
Point2,H6,(-0.0164831789999 128),(-1.95399252334e-14 257),(-1.50990331349e-14 385),(-1.24344978758e-14 512),(-1.06581410364e-14 641),(-2.75335310107e-14 768),(-7.1054273576e-15 887),(0.0 1010),(-1.7763568394e-15 1139),(8.881784197e-16 1279),(-1.42108547152e-14 1408),(-0.000101925131575 1526),(-0.0079840573298 1643),(2.6645352591e-15 1790),(-5.3290705182e-15 1917),(9.7699626167e-15 2055),(2.08008602045 2117),(-0.0177590247131 2177),(9.7699626167e-15 2304),(7.1054273576e-15 2419),(-5.3290705182e-15 2544),(-1.42108547152e-14 2657),(-1.33226762955e-14 2770),(-5.3290705182e-15 2889),(9.7699626167e-15 3004),(-0.000271899749611 3120),(-1.29516032956e-05 3240),(-0.00270442123943 3368),(7.1054273576e-15 3502),(1.06581410364e-14 3614),(-6.2172489379e-15 3744),(-5.3290705182e-15 3871),(-0.00449612232463 3995),(-0.00212319374654 4123),
Point3,H1,(22.3001454663 27),(22.0479432452 165),(23.0218098596 285),(22.6961509954 413),(22.3441466589 544),(22.6380228786 672),(22.8031713243 795),(24.0639994315 919),(25.8588054606 1044),(24.6910565212 1174),(24.5709435217 1306),(22.41294538 1436),(23.1224160045 1559),(25.0573093751 1687),(22.6753196742 1818),(22.0972779495 1957),(21.8027610163 2086),(22.9272778179 2210),(22.0365324012 2331),(24.6710981968 2454),(23.2355781156 2572),(21.801349494 2689),(21.9677698589 2804),(21.3715811225 2919),(22.7180212408 3031),(23.4313824329 3148),(24.1073173417 3271),(23.6588740864 3399),(21.6327764022 3528),(21.4930525046 3653),(21.322338802 3773),(22.2017100526 3897),(24.2230963458 4025),(24.3096432642 4153),
Point3,H2,,,(4.6334344903 324),,,,,(7.03922629947 950),,,(4.94213377133 1345),,,(4.80975053765 1731),,(2.81314369354 1988),,(3.65383358178 2242),,,,,,,,,,(4.09848308215 3439),,(3.15955277599 3684),(3.15779685087 3811),(2.63427193395 3938),,,
