Cycle,0.837636626055
Average Width,55.9977889722
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9977889722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Point0,H1,(11.7708387385 132),(8.85294376026 305),(10.6439600731 485),(7.74643539606 702),(9.02895746038 901),(7.49435167581 1131),(9.48832222496 1274),(5.98580275853 1492),(8.59078249087 1719),(9.04568968687 1893),(8.42127981087 2098),(8.75081272497 2159),(7.93826150749 2351),(7.19235984303 2494),(7.62734310328 2563),(8.83696283539 2706),(9.74060018043 2888),(8.32504224202 3091),(7.85228326598 3317),(10.2451099102 3534),(9.08431530373 3723),(9.76582674589 3865),(9.71695480532 3934),(12.7354096093 4084),(3.00924005829 4218),(4.48932048502 4349),(13.7171897524 4482),
Point0,H2,,,,,,,,,(7.91236649868 1742),,,,,,(-0.0274060031246 2594),,(9.26040488005 2908),(6.36747380455 3112),,(-4.4408920985e-15 3604),,,,,,,,
Point0,H3,,,,,,,,,(8.46495115165 1761),,,,,,(-0.00769356494777 2599),,(9.71356276747 2929),(7.61563790262 3135),,(7.49470421833 3661),,,,,,,,
Point0,H4,(1.50990331349e-14 187),,,(5.46769749834 725),,(8.881784197e-16 1195),,,(2.6645352591e-15 1810),,(7.85073661514 2119),,,(5.86223679742 2518),(-0.0107130610507 2602),,(-0.0026825486489 2989),(1.50990331349e-14 3181),,(7.4789290799 3666),,,(-0.000811351982584 3981),(11.3057884794 4103),(1.93681663227 4238),,,
Point0,H5,(5.87522028103 241),,,(7.14796013817 743),,(7.1114744142 1242),,,(7.88796969119 1862),,(8.35451315572 2140),,,(6.66432783877 2533),(6.73584282912 2646),,(4.37667271261 3035),(6.12432758723 3255),,(7.71380563875 3681),,,(8.66086660843 4029),(11.9615612312 4116),(2.80904733076 4258),,,
Point0,H6,(1.50990331349e-14 187),(1.7763568394e-15 396),(1.42108547152e-14 607),(-1.7763568394e-15 799),(6.2172489379e-15 1012),(8.881784197e-16 1195),(-0.00783500386443 1407),(-0.00585025918241 1603),(2.6645352591e-15 1810),(6.2172489379e-15 2014),(-8.881784197e-16 2204),(-0.00171856238983 2403),(-0.0274060031246 2594),(5.3290705182e-15 2802),(-0.0026825486489 2989),(1.50990331349e-14 3181),(-0.00524174512792 3389),(-4.4408920985e-15 3604),(6.98668293481 3699),(8.881784197e-16 3775),(8.94318628203 3894),(-0.000811351982584 3981),(-1.08472423811 4192),(-0.0126669781465 4286),(-0.173698757987 4376),(-0.20737417138 4597),(-4.09791152377 4707),
Point1,H1,(9.86933129645 133),(7.42614013626 320),(9.05684615479 536),(6.83214246645 748),(7.39924858624 902),(7.61106248635 1154),(7.84998757573 1277),(4.69358733736 1493),(7.9608831764 1687),(8.61173767855 1759),(7.14552200835 1898),(7.04310774263 1956),(9.3075337481 2162),(8.13324025762 2354),(7.26217154946 2560),(7.68033970395 2737),(8.50992187738 2932),(7.48884052299 3142),(7.40848588009 3324),(8.08312622672 3442),(9.48035864917 3539),(7.3450558752 3724),(9.03592124083 3932),(8.79517300904 4119),(8.33799310197 4261),(9.01688196699 4329),(6.63189528534 4536),
Point1,H2,,(7.18943166209 340),,,,,,(3.30726153228 1513),,,,(7.9936057773e-15 2014),,(-8.881784197e-16 2402),,,(-2.6645352591e-15 2990),,(7.35110275795 3334),,(3.5527136788e-15 3604),(0.00900372405455 3778),(-0.00238878586526 3983),,
Point1,H3,,(7.2169794261 346),,,,,,(3.68835083949 1527),,,,(5.95863893443 2055),,(6.26501853247 2502),,,(4.14981012606 3035),,(7.35193997629 3336),,(5.45058285634 3655),(0.0176614990583 3781),(5.26628578043 4024),,
Point1,H4,(1.50990331349e-14 189),(1.15463194561e-14 398),,,,,,(3.21128774679 1543),(7.42275716724 1703),(-0.0015157143699 1811),,(5.66653667545 2071),,(5.9143509089 2518),(-0.0038014771053 2591),(-5.3290705182e-15 2801),(4.11221983677 3041),(-9.7699626167e-15 3182),,(6.26817190046 3462),(5.09693528929 3668),(-6.2172489379e-15 3787),(5.14400124013 4034),,
Point1,H5,(4.65997729966 234),(8.80373519896 488),,,,,,(3.59379955058 1558),(7.69568048873 1718),(5.85249762811 1861),,(7.32433632165 2132),,(6.3970243164 2537),(4.70301029429 2647),(4.23482355787 2825),(6.7670644306 3092),(4.93481839618 3252),,(7.73272568043 3482),(5.6376194949 3684),(7.73398686236 3857),(8.27158312256 4087),,
Point1,H6,(1.50990331349e-14 189),(1.15463194561e-14 398),(0.0 605),(-4.4408920985e-15 802),(-0.00736382763045 1012),(3.5527136788e-15 1195),(-0.000758133881997 1404),(-0.00672361174108 1603),(-0.0015157143699 1811),(7.9936057773e-15 2014),(8.881784197e-16 2209),(-8.881784197e-16 2402),(-0.0038014771053 2591),(-5.3290705182e-15 2801),(-2.6645352591e-15 2990),(-9.7699626167e-15 3182),(-3.5527136788e-15 3391),(3.5527136788e-15 3604),(5.04987636709 3699),(-6.2172489379e-15 3787),(-0.00238878586526 3983),(-5.3290705182e-15 4174),(-1.7763568394e-15 4380),(2.6645352591e-15 4593),
Point2,H1,(9.50546960287 122),(7.8042038754 344),(9.37266608203 545),(9.06694503454 750),(9.10008222664 951),(8.31011431685 1151),(8.48333531874 1355),(5.29392027014 1551),(9.91456055738 1756),(8.25720326174 1956),(11.0658510601 2159),(8.60413658624 2354),(8.14903893748 2552),(8.62138901945 2747),(9.48980227109 2941),(8.11183756678 3140),(7.92279212907 3333),(7.87757108905 3443),(9.5158911721 3538),(10.8044742768 3729),(2.75947831788 3820),(5.24607974437 3940),(11.7198406981 4086),(9.78840002042 4334),(7.71148950087 4527),
Point2,H2,(-0.00381524061908 197),(-0.000182204222746 399),(2.6645352591e-15 608),,(-5.3290705182e-15 1010),(0.0 1200),(-5.3290705182e-15 1408),,(-3.5527136788e-15 1811),,(7.1054273576e-15 2203),,,(-0.00147949236145 2800),,,,(5.80484708738 3464),,,(2.54305055106 3832),,(11.2046568307 4106),,
Point2,H3,(4.95720133419 236),(8.31181626489 489),(5.603472271 662),,(3.77891171497 1037),(7.53333880665 1271),(4.2190902663 1438),,(7.15726305554 1896),,(5.1252989051 2246),,,(4.90870207873 2831),,,,(6.94303482016 3482),,,(2.61060428019 3840),,(11.3968237471 4120),,
Point2,H4,(4.36466350458 253),(8.23431611408 498),(5.42684243161 673),(8.881784197e-16 802),(3.63985312837 1047),(6.97794160401 1286),(3.54672737787 1459),(-1.37667655054e-14 1600),(6.97262100692 1908),(-7.1054273576e-15 2003),(4.78723742241 2260),(-0.00250778705127 2402),(8.881784197e-16 2594),(4.88136565226 2836),,(-8.881784197e-15 3181),,,(-0.0142669453529 3602),,,,(-0.202776328244 4189),,
Point2,H5,(7.32595484361 301),(9.01329346739 520),(6.81814846146 699),(8.10612930198 911),(7.60509542166 1121),(7.56148992514 1302),(5.12226102677 1497),(8.33666546744 1699),(7.41180005544 1927),(7.89291902744 2086),(6.05055253616 2287),(6.67209551614 2515),(7.5107182325 2681),(9.19233402102 2922),,(4.68622685871 3232),,,(8.66217627971 3685),,,,(7.84610841501 4259),,
