Cycle,0.846737433862
Average Width,5.76560822137
Width,,6.12739651306,5.99340571436,5.98214557523,5.87207025006,5.84909492451,5.80089476798,5.88691070975,5.93926024134,6.02229992376,6.14698870741,5.75552814529,5.61240609906,5.67966699788,5.89344900368,5.70669240077,5.75424322251,5.90458470849,6.00162003947,5.59513548122,5.5241484768,5.61773099897,5.71915730619,5.8418926445,5.70480320226,5.62696183651,5.65854028683,5.7557609691,5.53207955856,5.55805298592,5.77538566,5.53963838123,5.58521062542,5.46690018394,5.73412856899,5.59307478748,5.80463607082
Point0,H1,(9.86962863755 94),(8.05412246049 243),(7.46075404089 335),(8.37038226239 508),(8.78366328501 585),(8.19519201972 671),(9.46285088555 800),(9.76723274674 1000),(9.54559562966 1150),(9.11241086435 1310),(11.1581360594 1455),(10.801752712 1511),(13.5475482114 1628),(7.02695069934 1779),(6.2445222842 1876),(9.94466705273 1990),(11.8199640043 2178),(10.4323261708 2442),(3.39212302561 2513),(4.01756264425 2622),(4.43417811093 2696),(4.89436947575 2828),(10.9285685191 2926),(8.49125969329 3185),(6.22671135918 3266),(6.65533656535 3363),(8.92534690788 3490),(4.7541768392 3627),(5.77900588388 3757),(12.1938576323 3856),(5.15772306894 4122),(5.08411683671 4188),(3.95396921807 4303),(8.5003604937 4459),(8.24956992827 4609),(8.80364022164 4674),(10.159326581 4799),(9.86215483763 4988),(11.1801925278 5314),(9.38274376367 5578),(4.21059139463 5682),(5.2410053464 5809),(10.4054435501 5902),(7.73457649779 6107),(8.79082878242 6180),(16.8712224398 6331),
Point0,H2,(8.10242871394 127),(7.06179399559 272),,,,,,,(6.2172489379e-15 1187),,,,,(5.17481421933 1808),,,,(-0.0679020558389 2473),(1.85383440305 2532),,,,,,(5.75534063308 3282),,(7.11406878134 3526),,,(9.18864656589 3907),,,,,(7.97345991735 4627),,,,(10.7153096891 5327),(8.91457997495 5597),,
Point0,H3,(8.75521309887 146),(7.43741149676 288),,,,,,,(7.24828924215 1227),,,,,(6.12032701036 1829),,,,(0.131946281189 2482),(1.94201212739 2540),,,,,,(5.95462347728 3298),,(7.99500640202 3546),,,(10.1457450622 3929),,,,,(8.10186449369 4639),,,,(11.1112433934 5340),(9.01189225863 5605),,
Point0,H4,(8.50675593722 157),,,,,(-8.881784197e-16 705),,(9.7699626167e-15 1030),(4.09078350509 1250),(7.9936057773e-15 1345),,(-1.06581410364e-14 1541),(6.96813410221 1674),,(-0.0148129670752 1907),,,,,,,(-0.0419444001029 2851),,,,(1.7763568394e-15 3394),,,(-0.165780311898 3782),(-0.189839902151 3973),,(-0.0332685921656 4241),(-0.145243726326 4326),(-3.5527136788e-15 4516),,,,,(7.10174384651 5406),,,
Point0,H5,(8.74150712602 166),,,,,(8.83285461572 758),,(6.70320089438 1075),(7.87753219235 1284),(10.0966603806 1400),,(10.1707795985 1594),(7.2671635823 1697),,(7.73069382012 1960),,,,,,,(9.89120032419 2902),,,,(7.7381759675 3449),,,(11.1286185577 3833),(2.00203461777 4017),,(1.04415793137 4269),(8.45065445428 4434),(8.10303405434 4564),,,,,(7.99437777632 5420),,,
Point0,H6,(8.881784197e-15 194),(-0.00676726987277 369),(-0.00029227862453 535),(-8.881784197e-16 705),(-2.6645352591e-15 870),(9.7699626167e-15 1030),(6.2172489379e-15 1187),(7.9936057773e-15 1345),(-1.06581410364e-14 1541),(1.33226762955e-15 1733),(-0.0148129670752 1907),(-7.9936057773e-15 2100),(-0.00891869567714 2289),(-0.0679020558389 2473),(-0.029834005429 2570),(-0.0557595383007 2653),(-1.33781874467e-14 2769),(-0.0419444001029 2851),(-0.00506734689733 3039),(7.9936057773e-15 3218),(1.7763568394e-15 3394),(-0.0794255862922 3587),(-0.0749184106953 3709),(-0.165780311898 3782),(-0.189839902151 3973),(-0.113062203857 4063),(-1.7763568394e-15 4146),(-0.0332685921656 4241),(-0.145243726326 4326),(-3.5527136788e-15 4516),(-2.6645352591e-15 4723),(-6.2172489379e-15 4900),(-1.14221739098 5099),(-0.0590174645829 5180),(-0.0795042240508 5265),(-0.0037486384203 5458),(-0.0180757512102 5638),(-0.0249929958421 5758),(-0.0797459947279 5839),(-0.000157813683254 6025),(-0.0343450189 6210),
Point1,H1,(20.2349036689 54),(17.8438061187 247),(17.8420841762 422),(18.2670437741 598),(20.3977272559 759),(18.6788260703 923),(16.3722542838 1082),(17.3309301285 1238),(20.7881708099 1399),(16.0654455561 1612),(22.0565058541 1781),(25.5191369445 1959),(22.1104675572 2172),(21.0975334518 2343),(19.1890572401 2530),(20.7787763907 2709),(21.3100879066 2907),(19.6186317931 3094),(17.7038437303 3271),(21.0274245927 3448),(21.5133837509 3638),(18.2540591929 3848),(21.0666879598 4021),(21.844568669 4200),(22.5955835662 4389),(21.4372146549 4569),(19.5481258372 4775),(20.3537914752 4951),(21.4675431664 5140),(20.9394002082 5320),(21.5448061194 5510),(21.1237054227 5689),(22.4341757164 5895),(21.627511674 6076),(20.6380742377 6264),(14.5936257352 6461),
Point1,H2,,(5.25818137365 294),,,,,,,,,(1.85838006948 1864),,(9.02055396329 2207),,,(0.136306577345 2820),(4.5579188497 3002),,,(7.73555384213 3496),,,,(2.6420582827 4295),(3.5652822235 4489),,(8.67942782355 4824),(8.21483071799 5001),,,,,(9.00105004295 5944),(9.87400286845 6123),,,
Point1,H3,,(5.59744759006 303),,,,,,,,,(1.90737041676 1870),,(9.0809926189 2213),,,(0.798952027252 2834),(4.55886598725 3003),,,(7.80516149925 3501),,,,(2.78616093436 4303),(3.58128631093 4494),,(8.87134861484 4831),(8.24150713154 5005),,,,,(9.0650056065 5949),(9.88017217117 6126),,,
Point1,H4,(0.851650399999 192),(0.111563324973 369),(2.23795469274 529),,(2.04894991263 865),,(1.28071902532 1162),,,,(-0.011467258999 1906),,,(0.601419455254 2461),(0.859390677373 2640),(0.138141608592 2847),(2.6202481403 3026),(-0.000600545515403 3217),(-2.97241152412e-05 3389),(1.29972255611 3568),(1.93132158871 3772),(0.326410581653 3949),(0.985772726824 4144),(1.61241993778 4321),(2.33835368497 4514),(1.47408490615 4707),,(2.38042302938 5070),(3.06460877471 5243),(0.816618257842 5441),(2.36880537596 5633),,(2.56876896177 6017),,,,
Point1,H5,(1.69761286694 206),(0.482983191396 382),(2.5377439888 539),,(2.54412913946 876),,(1.50477774966 1172),,,,(0.55227910744 1918),,,(1.98503381621 2478),(1.21680057662 2652),(1.65927176714 2863),(3.05276264358 3036),(0.610107554562 3230),(1.67880542322 3408),(1.89854186707 3581),(2.8491592461 3788),(0.761092632033 3964),(1.65001657574 4157),(1.97620334679 4332),(2.63596808219 4524),(1.54386705496 4715),,(2.75513248811 5082),(3.13895907977 5251),(1.21896039721 5453),(3.12825510268 5645),,(3.14331562171 6029),,,,
Point1,H6,(-1.7763568394e-14 219),(4.4408920985e-15 392),(3.01980662698e-14 558),(2.48689957516e-14 726),(2.13162820728e-14 892),(-1.33226762955e-14 1053),(-4.4408920985e-15 1207),(-0.00181294706048 1324),(-5.3290705182e-15 1567),(-0.00142626559876 1740),(-0.011467258999 1906),(0.0 2124),(-1.7763568394e-14 2310),(6.2172489379e-15 2492),(6.2172489379e-15 2670),(0.136306577345 2820),(-1.7763568394e-15 2876),(0.0 3055),(-0.227798526989 3241),(-2.97241152412e-05 3389),(-5.3290705182e-15 3598),(-4.4408920985e-15 3806),(-7.1054273576e-15 3981),(-5.3290705182e-15 4171),(-8.881784197e-16 4349),(5.3290705182e-15 4540),(4.4408920985e-15 4743),(0.0 4921),(-1.7763568394e-15 5101),(-0.00173309285556 5288),(-1.68753899743e-14 5469),(-0.00282353762866 5661),(7.1054273576e-15 5847),(3.5527136788e-15 6045),(-0.0139335538517 6209),(7.9936057773e-15 6412),
Point2,H1,(36.901003172 112),(36.6590819776 305),(34.3639212354 481),(34.9238321262 651),(38.4677360923 817),(38.4627847933 981),(36.6687331997 1140),(37.5339600794 1298),(42.5530586477 1458),(37.5534198884 1656),(39.492750285 1841),(42.8381129789 2018),(40.5253691558 2213),(40.547689102 2402),(37.431523347 2582),(37.4744052135 2768),(39.1242139673 2964),(36.5781454327 3152),(34.2656172875 3330),(38.3884759557 3506),(40.6708822745 3697),(37.0742633531 3900),(38.3157257449 4081),(40.2852991276 4259),(40.9278979312 4448),(41.0516046518 4628),(39.2526873903 4834),(40.4429730555 5010),(40.7335781102 5197),(41.3635966243 5379),(42.6844070258 5569),(41.0445857467 5748),(43.5259092535 5954),(40.972529745 6134),(40.1077126206 6322),(35.1303809218 6501),
Point2,H2,(2.83136476336 230),(7.62580203811 356),(8.75756641953 532),,,(12.2923474206 1030),(9.44664612364 1188),,(8.07143847015 1546),,(2.27742559438 1923),,,(3.2733554599 2500),,(1.21361003867 2882),(14.2790202323 3012),(0.656775516819 3253),,,,,,(12.1323142138 4308),,,(11.0423452179 4883),,,(12.5506914381 5428),,(13.1416116371 5798),(6.25638718876 6051),(14.0408987088 6181),(3.85222434769 6418),,
Point2,H3,(2.91707894708 237),(7.857153871 362),(8.81119163584 537),,,(12.4201554615 1035),(9.67847273438 1195),,(8.18315546778 1554),,(2.34840223733 1930),,,(3.456289557 2508),,(1.6494022156 2893),(14.5084818767 3019),(0.928920712384 3263),,,,,,(12.2528944936 4313),,,(11.4435527539 4891),,,(12.7664711485 5434),,(13.1626745275 5801),(6.40263356469 6058),(14.1996450171 6187),(4.62251415341 6433),,
Point2,H4,(1.44971811769 253),(-0.274435969882 432),(3.54522737033 585),(1.59738225766 750),(3.36253535514 924),(3.77630156235 1085),(2.53537065283 1225),(1.46041831848 1387),(3.54635162109 1596),(2.60034998267 1773),(-0.0115544742509 1967),,(3.89834198725 2326),(2.51114127773 2522),(2.9069910605 2699),(0.67796466796 2906),(3.71130110883 3084),(-0.00931577852666 3279),,,(3.52956693342 3835),(1.42884795678 4011),(1.46118129438 4204),(2.40537538527 4379),(3.37477425063 4573),,,(3.90085020421 5132),,(3.04160296736 5499),(2.93606833924 5692),(1.68978287366 5881),(3.99059808678 6077),,(4.10832191946 6444),,
