Cycle,0.7921875
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(6.32114768295 38),(6.53503744733 199),(8.35436617511 362),(9.09319382621 544),(10.5937174263 693),(8.29983580864 859),(8.52481888571 1034),(7.44741581562 1193),(9.58246597066 1375),(9.82742485998 1534),(8.95821636588 1705),(11.1643099587 1891),(10.4424190139 2058),(10.0861846963 2228),(7.72520858624 2414),(7.27037715609 2577),(9.77727754699 2745),
Point0,H2,(2.87010719439 99),(6.06609444561 212),,,,(7.88421320309 876),,,,,(8.46152312667 1724),,,,,,
Point0,H3,(3.02705469154 109),(6.45363401062 227),,,,(7.88585858659 879),,,,,(8.53053250267 1734),,,,,,
Point0,H4,(1.91594232721 127),,,(3.98243715691 624),,(2.35060053162 964),(0.667242118688 1141),,,,(1.8286206797 1806),,(1.2390967323 2163),,(1.67696604578 2501),,
Point0,H5,(3.0292633345 142),,,(4.03110626474 630),,(2.35632427752 968),(0.689384681523 1146),,,,(1.90206599023 1814),,(1.3535643312 2171),,(2.09164209421 2518),,
Point0,H6,(0.0 164),(4.4408920985e-15 327),(-0.0107112268921 492),(8.881784197e-16 655),(5.3290705182e-15 825),(8.881784197e-16 991),(-3.5527136788e-15 1162),(-0.00579101201189 1324),(-3.5527136788e-15 1497),(-8.881784197e-16 1663),(7.1054273576e-15 1837),(7.9936057773e-15 2015),(3.5527136788e-15 2188),(-1.7763568394e-15 2366),(-2.22044604925e-15 2541),(0.0 2704),
Point1,H1,(4.87556559917 45),(5.40587697787 214),(5.60513578561 354),(6.26664545835 547),(8.26534283879 709),(6.36126178325 872),(6.36130079211 1047),(6.64537165521 1205),(7.23130186429 1369),(7.24999446647 1530),(6.96354941151 1724),(9.05184979742 1885),(7.74449413063 2054),(7.83145169373 2234),(5.9358401263 2407),(5.90638927946 2572),(7.28759276256 2738),
Point1,H2,,,(4.59061328449 378),(3.45859618514 613),,,(1.38457087364 1124),,,,,,,,,(2.32627828682 2625),,
Point1,H3,,,(4.65739121764 387),(3.82970854334 624),,,(2.44082978389 1139),,,,,,,,,(2.95481427591 2645),,
Point1,H4,,(2.0844115696 291),(1.7157250868 438),(-8.881784197e-16 648),(4.50452381196 761),,(6.2172489379e-15 1157),,,,,(1.55636203018 1976),(2.06940318034 2151),,,(2.38872931036 2662),,
Point1,H5,,(2.14320328423 300),(2.30721414096 455),(7.9961562776 689),(4.73592733556 772),,(5.55917357684 1184),,,,,(1.82910455982 1988),(2.11170751999 2158),,,(2.68633654363 2674),,
Point1,H6,(-3.10862446895e-15 163),(-0.00532514516175 324),(1.7763568394e-15 485),(-8.881784197e-16 648),(2.6645352591e-15 820),(7.1054273576e-15 983),(6.2172489379e-15 1157),(8.881784197e-15 1318),(3.5527136788e-15 1492),(2.6645352591e-15 1663),(2.6645352591e-15 1827),(5.3290705182e-15 2011),(6.2172489379e-15 2181),(3.5527136788e-15 2359),(4.4408920985e-16 2535),(2.32627828682 2625),(-0.000917191561687 2697),
