Cycle,0.789515931373
Average Width,24.2232062655
Width,,0.0,0.0,25.2805795603,0.0,0.0,23.1658329707,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
Point0,H1,(39.5041345334 87),(12.3480053911 332),(18.8397600024 439),(21.0790466579 511),(19.6924933968 704),(15.2052468548 867),(19.1635581965 1073),(22.9832743071 1247),(22.1272729051 1441),(17.3623876205 1632),(22.0741405542 1821),(23.8280978317 1970),(16.0326544409 2093),(21.3968930515 2192),(16.8001124299 2329),(17.631971846 2562),(23.0611984741 2752),(18.8069806368 2910),
Point0,H2,,,(18.1737336036 454),(-0.0116620548258 552),(4.26325641456e-14 733),,,(-0.0108587375619 1290),(-1.7763568394e-14 1480),(-0.0115611144176 1660),,(22.2166586032 1992),,,,,,,
Point0,H3,,,(18.3610815197 466),(13.1674308396 627),(14.2498794314 792),,,(12.8987751072 1337),(14.735398579 1574),(0.922241329455 1672),,(22.2993545625 2001),,,,,,,
Point0,H4,,,,(12.8664828138 639),(12.8222390604 814),,,(11.5343962461 1352),(14.3915333816 1585),(0.819266478406 1678),(-3.01980662698e-14 1849),,,(-0.0116123997035 2232),,(0.0 2603),(-1.7763568394e-15 2795),,
Point0,H5,,,,(17.5302255468 678),(15.1484630846 839),,,(21.4131203693 1412),(17.2386887716 1604),(20.0388729673 1802),(16.4729075214 1902),,,(7.38979779279 2277),,(7.34921573019 2646),(17.4448233289 2872),,
Point0,H6,(-1.99251231903 195),(-0.0615975887453 278),(-0.084255674822 359),(-0.0116620548258 552),(4.26325641456e-14 733),(-1.95399252334e-14 921),(-1.42108547152e-14 1116),(-0.0108587375619 1290),(-1.7763568394e-14 1480),(-0.0115611144176 1660),(-3.01980662698e-14 1849),(-2.30926389122e-14 2041),(13.1391252616 2131),(-0.0116123997035 2232),(6.2172489379e-15 2410),(0.0 2603),(-1.7763568394e-15 2795),(1.7763568394e-15 2970),
Point1,H1,(25.914190078 86),(8.26286584972 331),(14.1988026917 511),(13.1450102895 702),(9.94229502611 863),(11.9077699123 1073),(14.8850172263 1245),(14.0371468922 1439),(11.2512951135 1603),(14.5035415949 1820),(15.5082928233 1970),(9.76192557082 2098),(13.570619709 2192),(10.8757441644 2328),(11.4897432474 2557),(15.3226956674 2751),(12.1180584385 2907),
Point1,H2,,(-0.118967727166 358),(-0.0104640428183 551),(2.57571741713e-14 732),,,,,(10.0049809683 1618),(-1.59872115546e-14 1848),(13.776943899 1991),,,,(6.2172489379e-15 2602),,,
Point1,H3,,(11.7143119612 439),(8.80214375738 626),(9.3372562591 787),,,,,(11.2161706878 1631),(10.123218442 1899),(14.0027986235 2002),,,,(4.45151598983 2647),,,
Point1,H4,,(11.556915364 450),(8.51427648355 640),(8.04386169019 808),,,,(-0.0111499362861 1479),(-1.59872115546e-14 1658),(10.1095114153 1904),,,(-0.00823463100828 2229),,(4.0805680894 2659),(-0.000632520797598 2795),,
Point1,H5,,(12.0421063842 482),(11.2924962873 680),(9.70438096032 843),,,,(9.36074021183 1576),(1.06097411607 1671),(13.85121619 1946),,,(4.49205734073 2275),,(11.8837211832 2720),(10.5797287497 2869),,
Point1,H6,(-1.15050345092 193),(-0.0251914645455 277),(-0.118967727166 358),(-0.0104640428183 551),(2.57571741713e-14 732),(1.59872115546e-14 920),(-0.00324208510225 1113),(-0.00544894402198 1288),(-0.0111499362861 1479),(-1.59872115546e-14 1658),(-1.59872115546e-14 1848),(8.881784197e-15 2040),(-0.00823463100828 2229),(-1.86517468137e-14 2409),(6.2172489379e-15 2602),(-0.000632520797598 2795),(-1.7763568394e-15 2968),
Point2,H1,(18.0195854341 83),(6.78064513407 329),(9.83604974818 510),(10.5915589628 702),(7.71981195072 827),(8.81145822106 1071),(10.3510678031 1246),(9.02151783996 1408),(6.52970585856 1629),(9.43772757737 1820),(10.5182084022 1969),(8.86840106601 2190),(6.96789901432 2327),(7.03745749298 2381),(7.29131700247 2556),(10.2148995202 2750),(7.33745946002 2906),
Point2,H2,,,(-0.000876923568646 550),,,,,,(-0.0271217418513 1659),,(9.51117401579 1988),,,(0.219255714748 2409),,,,
Point2,H3,,,(6.66157202253 638),,,,,,(0.163455127953 1668),,(9.94848838765 2002),,,(0.781522194162 2421),,,,
Point2,H4,,,(6.47610174133 652),(1.42108547152e-14 733),,,(1.7763568394e-15 1290),,(-0.00683087668509 1677),(-0.00580281561801 1847),(1.59872115546e-14 2040),(-0.0102976613876 2229),,,(-1.7763568394e-15 2600),,,
Point2,H5,,,(9.56369602292 677),(7.58271728585 786),,,(5.78704886063 1335),,(8.77936071911 1798),(6.8577229639 1895),(6.58113236757 2107),(2.73513156944 2264),,,(2.34363644113 2647),,,
Point2,H6,(-0.203873667572 193),(-0.0120162627575 278),(-0.0279848973853 357),(-0.000876923568646 550),(1.42108547152e-14 733),(7.9936057773e-15 918),(-0.00211750738402 1116),(1.7763568394e-15 1290),(-0.00753651859903 1478),(-0.0271217418513 1659),(-0.00580281561801 1847),(1.59872115546e-14 2040),(5.29453740604 2132),(-0.0102976613876 2229),(1.06581410364e-14 2438),(-1.7763568394e-15 2600),(-7.1054273576e-15 2798),(-0.00594389608043 2970),
