Cycle,0.815182291667
Average Width,7.45470382696
Width,,7.26275121464,7.13879282895,6.52728408013,8.72817433334,10.8428060671,10.4714998176,14.3877630412,10.6928984438,14.603781364,11.1122222068,10.7353246024,10.5846379379,10.33880189,10.8721679759,8.51355867623,7.55255230318,6.72562556711,7.16058385053,7.17336185518,7.15340522192,6.54522852301,6.99539161744,6.52393711204,5.98359211819,5.63204092746,5.7397307174,6.15150566112,5.7258476381,5.92801914075,6.05073759069,6.01270200157,6.19881979085,6.28050675156,7.40359399096,6.92846315983,7.48623572793,6.3574436477,6.19420136524,5.72952837614,5.76727038756,5.82158424047,5.79824978725,5.92249789738,6.16235779465,5.94019369763,5.58264120969,5.13071141887,5.05098816534,5.65847378606
Point1,H5,,,,,(1.9519680409 779),(1.69395839074 940),(0.722943729963 1118),(0.846434741057 1276),(2.26521861351 1451),(3.79366782054 1583),(1.58588044207 1789),,(1.39933176523 2106),,,(6.55650597399 2543),(2.47151265131 2781),(6.80069212291 2880),,(1.72676814147 3269),(3.21410288123 3450),(6.65873812984 3555),(2.81667824823 3746),(3.17949848089 3948),(2.80924438985 4111),(1.88557110436 4265),,(7.28533498459 4543),,(0.943848589327 4955),(6.47352777882 5055),(2.85745362339 5290),,(2.14174285937 5623),(4.09192995648 5777),,,(1.58075961776 6296),(6.22645938672 6417),,(2.27607694556 6814),(1.4860952175 6984),(7.18078085993 7089),(2.28260988245 7307),(1.30234851118 7462),,(9.72714463339 7792),,
Point1,H6,(4.88498130835e-15 133),(-0.00086632402578 309),(-1.24344978758e-14 478),(-1.7763568394e-15 639),(1.7763568394e-15 798),(-2.6645352591e-15 959),(-8.881784197e-16 1131),(-0.00470152382252 1294),(2.04281036531e-14 1470),(-0.00205305537257 1639),(1.06581410364e-14 1806),(-1.7763568394e-15 1961),(2.6645352591e-15 2125),(-1.33226762955e-15 2286),(5.3290705182e-15 2460),(0.0 2631),(-6.2172489379e-15 2798),(-8.881784197e-15 2970),(-0.00122985275834 3134),(-0.00133157243593 3295),(-6.2172489379e-15 3471),(-1.42108547152e-14 3631),(-0.00700963587667 3792),(4.4408920985e-15 3966),(7.1054273576e-15 4127),(0.0 4287),(-5.3290705182e-15 4460),(0.0 4628),(8.881784197e-16 4797),(0.0 4970),(-6.2172489379e-15 5139),(-1.7763568394e-15 5310),(6.2172489379e-15 5484),(4.4408920985e-15 5650),(-1.7763568394e-15 5822),(-6.2172489379e-15 5997),(-0.00787740988449 6159),(8.43769498715e-15 6331),(5.3290705182e-15 6497),(-2.6645352591e-15 6668),(-2.6645352591e-15 6831),(-7.1054273576e-15 7004),(-1.24344978758e-14 7166),(-2.6645352591e-15 7327),(-7.9936057773e-15 7493),(-1.7763568394e-15 7654),(-6.2172489379e-15 7817),(3.5527136788e-15 7978),
Point2,H1,(11.285140913 26),(14.4977234008 185),(15.6919758682 346),(16.8545465669 508),(14.5460777897 669),(15.301808329 828),(15.253920591 997),(15.5808196434 1164),(15.0635382915 1335),(16.0450099624 1501),(14.4224086517 1673),(15.0273371248 1838),(16.0249116109 1995),(15.4242161489 2163),(14.3644143154 2328),(16.8644068895 2492),(15.8871696299 2666),(15.7637855253 2828),(16.4808569271 3002),(15.4623981828 3166),(17.231272507 3337),(15.9712393344 3505),(13.5875208711 3668),(17.3050107709 3833),(16.5031558508 3997),(14.6381141005 4160),(17.1439651667 4328),(16.1652489811 4492),(15.1894153413 4665),(15.4600672803 4830),(15.0629670291 5003),(15.0283270156 5177),(15.6816567617 5344),(16.3036107199 5515),(14.38778674 5690),(16.2481080109 5865),(14.5378597694 6029),(13.958176645 6200),(13.0239095682 6364),(13.5890399107 6537),(13.6461955555 6699),(14.0863104764 6866),(14.5024086357 7036),(14.2171584339 7199),(14.7144207773 7368),(14.5007900083 7529),(13.4399267846 7689),(16.1363918652 7848),(15.8191796142 8011),
Point2,H2,(4.19142429927 69),,(5.16049684589 427),,(6.15649729501 709),(8.1162242521 873),,,(7.23873524799 1364),(8.6504245774 1549),(7.09085718068 1725),(8.36989865561 1876),,(8.5239869316 2201),(7.63765087847 2364),(8.61042253558 2538),(4.15505999725 2749),(8.09844010043 2872),,(8.44219147239 3207),,(8.03152472337 3546),(6.49609322493 3698),,(8.7296596325 4040),(7.89272312776 4201),,(8.32009593828 4537),,(7.45418199065 4872),(7.41158792102 5049),,(3.51645729343 5434),(7.60519159356 5562),,(10.1878023269 5898),,,(6.86119940578 6406),,,(7.70376495646 6907),(7.79230921334 7080),(7.77553055896 7237),,,(4.81562316001 7735),,
Point2,H3,(4.51488693998 81),,(5.21981650326 433),,(6.75015959501 723),(8.33937296179 881),,,(8.45446662626 1380),(8.65123895244 1550),(7.09364243504 1727),(8.9654535321 1888),,(8.78471558114 2210),(7.64814068673 2368),(8.96404862291 2548),(4.19970792012 2754),(8.36562574163 2881),,(8.65277134738 3216),,(8.08399752967 3554),(7.85959650931 3715),,(9.18001009406 4050),(7.93648570402 4207),,(8.56350120633 4546),,(8.23555356011 4884),(7.63045423808 5058),,(3.73124748536 5444),(7.77972612183 5570),,(10.3369468753 5906),,,(7.18922247327 6418),,,(7.76423588704 6913),(8.18862338672 7091),(8.36683355196 7250),,,(4.81971955219 7738),,
Point2,H4,(1.48465375546 110),,(3.04228671843 458),(2.82013132688 613),(2.07999337909 775),(2.08052031283 934),(1.78423610334 1113),(1.4472600285 1265),,,(2.41591595558 1779),(3.0614423782 1918),(2.5318323066 2100),,,,(2.53200296559 2773),,(3.61304303592 3111),(2.19031668736 3268),(3.04899062421 3443),,(3.72189827974 3742),(3.44335613992 3943),(2.64652604778 4102),(2.71959760261 4260),(2.53887775047 4441),,,,,(3.27730482613 5287),(2.41027141368 5464),,,,(1.63233060306 6135),,,(0.884051269803 6648),,,(2.65709189316 7144),,(1.69639263722 7458),,(1.47935505107 7771),,
Point2,H5,(1.69058580808 121),,(3.05806649128 461),(3.12424902955 623),(2.27613845065 783),(2.14506664337 941),(1.79588031273 1117),(1.79985451588 1278),,,(3.20201908974 1792),(3.19491583944 1926),(3.17145019925 2112),,,,(3.26940878241 2785),,(3.6318481097 3115),(2.27796072589 3276),(3.58720781166 3455),,(3.85519983486 3751),(3.55627547252 3950),(2.96651283454 4111),(2.88517640011 4269),(2.59474274865 4447),,,,,(3.27806951537 5289),(2.47241918922 5470),,,,(1.65417736756 6140),,,(1.06598944625 6657),,,(2.71804858142 7150),,(1.71601818064 7463),,(9.03483400432 7796),,
Point2,H6,(-1.68753899743e-14 157),(-1.15463194561e-14 310),(1.06581410364e-14 480),(1.7763568394e-15 641),(7.1054273576e-15 800),(-2.6645352591e-15 961),(6.2172489379e-15 1135),(-1.7763568394e-15 1299),(-2.30926389122e-14 1471),(-0.00107712347551 1641),(5.3290705182e-15 1810),(7.1054273576e-15 1962),(1.7763568394e-14 2130),(1.68753899743e-14 2291),(-0.00364940265392 2462),(-2.6645352591e-15 2633),(2.6645352591e-15 2801),(1.50990331349e-14 2972),(1.33226762955e-14 3137),(-7.9936057773e-15 3301),(-1.24344978758e-14 3474),(-1.95399252334e-14 3634),(-1.7763568394e-15 3796),(5.3290705182e-15 3969),(2.6645352591e-15 4129),(3.5527136788e-15 4291),(-3.5527136788e-15 4464),(-7.9936057773e-15 4632),(-8.881784197e-15 4800),(-7.9936057773e-15 4975),(-2.6645352591e-15 5140),(4.4408920985e-15 5313),(2.6645352591e-15 5488),(2.6645352591e-15 5655),(5.3290705182e-15 5826),(8.881784197e-16 6001),(-4.4408920985e-15 6164),(5.3290705182e-15 6333),(0.0 6500),(-0.00295739670835 6671),(1.7763568394e-15 6833),(5.3290705182e-15 7007),(-1.24344978758e-14 7169),(-1.06581410364e-14 7330),(-1.42108547152e-14 7496),(-7.1054273576e-15 7657),(-6.2172489379e-15 7821),(-1.06581410364e-14 7981),
Point3,H1,(11.6356584636 26),(14.3432506582 185),(14.7800706933 346),(16.8709078423 508),(15.5778981611 669),(16.7468332475 829),(17.0418029612 997),(16.7241967964 1165),(16.9430062509 1336),(17.3357052669 1501),(15.8657312921 1674),(15.6590900609 1839),(16.9812811561 1996),(16.3477722895 2164),(14.8936020306 2329),(15.6607637745 2492),(14.6830015771 2667),(15.1704345087 2830),(16.0298108766 3002),(14.6853918901 3168),(15.7561799589 3338),(14.7441181745 3506),(11.9769829753 3669),(14.1877127144 3834),(13.4429086464 3999),(12.2273414051 4162),(14.4448385424 4328),(13.2180388934 4493),(13.3419959666 4666),(13.2237605337 4832),(12.5780458273 5003),(12.7152646098 5177),(13.6953147088 5344),(15.0494718334 5515),(13.2862269314 5690),(15.0484095986 5866),(12.9282562077 6030),(11.5418014806 6200),(9.84377563826 6365),(10.9070458712 6540),(10.8691794333 6701),(10.5265152739 6870),(11.2333603461 7037),(11.3091971106 7202),(11.5991559783 7368),(10.5481287815 7530),(8.74425995998 7690),(10.0610076073 7849),(11.4060304625 8012),
Point3,H2,(4.51004334054 71),,,,(7.57751594261 710),(8.91867700374 871),,,(9.21423167706 1366),(9.7927970828 1545),(7.91946755297 1723),(9.52043638963 1878),,,(8.36124317269 2363),(8.6337754625 2538),(4.29112222191 2749),(8.59322926426 2871),(8.68220720519 3050),,,(7.80529836611 3545),(6.01948306472 3699),,(7.72139522754 4039),,,(7.69480244344 4538),(3.99870827136 4749),(7.26311146829 4872),(6.77492369566 5051),,,(7.70423463997 5561),(5.16474574605 5769),,,,(5.0988729947 6405),,,,(7.06349140435 7081),(6.78533667382 7236),,,,,
Point3,H3,(4.82986359231 82),,,,(7.81674845543 720),(9.53372193619 883),,,(9.59293190686 1379),(10.1354038426 1554),(7.94595841344 1728),(9.62357682366 1885),,,(8.51492772763 2372),(8.90776189267 2548),(4.29683033851 2752),(9.15585417837 2882),(8.79997756438 3057),,,(8.22400754259 3557),(6.95432830822 3715),,(8.29489808529 4051),,,(7.89965642333 4547),(4.01118207403 4753),(7.753283727 4883),(6.82069379077 5057),,,(8.09041656206 5571),(5.26267551868 5777),,,,(6.68487906518 6424),,,,(7.30217878373 7091),(7.9474496491 7252),,,,,
Point3,H4,(1.88309542533 109),,(5.1187281492 426),(3.60909234042 613),(2.20425032443 773),(2.68479850372 933),,(2.00992528801 1268),,,(3.26824675796 1780),(3.64588616283 1921),(2.85741968709 2101),,,,(2.77795235685 2773),,(3.56183802979 3112),,(3.61827349926 3441),,(3.1917376236 3742),,(1.39774379806 4101),(2.37362056289 4259),(2.25560125742 4439),,(2.39159982102 4775),,,(4.6181572073 5259),,,(3.39270897401 5801),(2.60006047781 5977),(1.51348545498 6136),,,,(1.4053770932 6801),(1.63801261965 6985),(2.21926704808 7143),,(0.925966231875 7460),,(0.101502988166 7773),,
Point3,H5,(2.27476042152 122),,(5.31320922929 435),(4.04873546411 623),(2.93764368946 785),(2.79996469045 941),,(2.30138870674 1279),,,(3.72581842069 1791),(3.64954311477 1923),(3.26383020268 2111),,,,(3.30927954514 2784),,(3.59082332348 3116),,(4.05910162911 3454),,(3.30527743626 3751),,(2.60523235924 4114),(2.45555740068 4267),(2.38227034659 4447),,(2.55988167035 4783),,,(4.68106526994 5266),,,(3.42170117299 5805),(2.6186061726 5981),(1.53439847942 6141),,,,(1.83538298107 6815),(1.69044175619 6991),(2.55400518345 7153),,(1.09115397847 7472),,(6.12229219104 7798),,
Point3,H6,(2.48689957516e-14 157),(-8.881784197e-16 311),(2.75335310107e-14 479),(1.86517468137e-14 642),(7.1054273576e-15 801),(-3.5527136788e-15 961),(-0.00157012583456 1135),(4.4408920985e-15 1300),(1.42108547152e-14 1472),(5.3290705182e-15 1643),(1.24344978758e-14 1810),(-5.3290705182e-15 1962),(-5.3290705182e-15 2130),(1.06581410364e-14 2291),(6.2172489379e-15 2463),(8.881784197e-15 2636),(7.1054273576e-15 2802),(1.7763568394e-15 2973),(1.7763568394e-15 3138),(6.2172489379e-15 3302),(7.1054273576e-15 3474),(1.59872115546e-14 3635),(-3.5527136788e-15 3796),(-3.5527136788e-15 3969),(-1.24344978758e-14 4131),(-2.6645352591e-15 4292),(2.6645352591e-15 4465),(-0.00180060128605 4632),(7.1054273576e-15 4802),(-0.00588332723055 4976),(2.6645352591e-15 5143),(-1.24344978758e-14 5313),(-2.6645352591e-15 5488),(-7.1054273576e-15 5656),(-9.7699626167e-15 5827),(-1.24344978758e-14 6001),(-8.881784197e-15 6165),(-3.5527136788e-15 6333),(2.6645352591e-15 6500),(-5.3290705182e-15 6671),(-0.00385581854624 6833),(-1.06581410364e-14 7008),(8.881784197e-16 7171),(-0.00337642899964 7330),(-8.43769498715e-15 7498),(-1.06581410364e-14 7656),(-7.54951656745e-15 7822),(-4.88498130835e-15 7981),
