Cycle,0.662643949618
Average Width,4.99360861618
Width,,0,0,0,4.7731246976,5.07589070156,4.28393021459,4.71490464515,4.71537144579,4.78309606894,4.7739415239,5.06104239622,4.97793238287,5.04399952022,5.57217613891,6.22126795303,7.02175312821,4.77505312991,5.05541450721,5.11389400767,5.15342682108,4.7769189141,4.82797888167,5.85510411265,6.24169847668,0.0,5.44538926391,4.66379862825,4.64735633373,5.97048911395,4.26749089553,3.96250605239,4.93084753707,4.04218133808,5.76502695385,4.40075804349,3.80888495324,4.42507508443,5.35338676313,4.27519093727
Point0,H1,(29.50459896 33),(31.2919583908 177),(32.5433741711 324),(32.8886277324 474),(32.6140744677 630),(24.8936668678 783),(25.5634828196 919),(23.4468167385 1052),(21.9377214712 1183),(22.7921533446 1314),(24.3909032159 1456),(22.4184256921 1601),(18.3210197238 1731),(19.4852183048 1860),(14.6325242767 1999),(18.2409801919 2132),(19.5012248253 2260),(19.7620681267 2388),(20.3469149739 2512),(24.3709208843 2630),(24.5695447082 2757),(24.4866595808 2899),(27.9727563177 3060),(20.1397069042 3218),(22.4088864161 3296),(22.6067162879 3369),(29.3277187984 3507),(25.2031246856 3637),(29.4933343931 3772),(30.0795992937 3908),(29.7383047379 4066),(27.3582222415 4219),(27.5275663573 4371),(23.1429793264 4512),(27.6857219463 4646),(25.8590748001 4776),(27.3596451083 4901),(25.9561777407 5034),(29.0634013388 5170),(30.2160343603 5300),
Point0,H2,(9.87159396569 55),,(17.177123541 345),(8.69081705255 556),,(10.4685373014 807),(10.0980950745 946),(10.9453218198 1082),(11.1553572877 1211),(12.3685436055 1339),,(10.685883436 1625),(5.91238786245 1756),(8.19885152933 1883),,(10.9701557005 2156),(8.47109760417 2286),(7.45086752255 2413),(9.00403784561 2535),,(14.1699473363 2779),(13.8746357819 2922),(16.260855813 3083),(7.78258520153 3239),,(12.0401108988 3399),(6.57878706631 3532),(9.47364590078 3663),(14.0204309615 3803),(13.0066381784 3930),(14.4583335886 4088),(15.0627344893 4251),(10.1196847743 4393),(8.40783755977 4535),,,(14.1863882526 4924),,
Point0,H3,(15.9032520788 71),,(18.3177302085 356),(8.71636120991 559),,(13.9829646432 822),(13.4112742477 963),(11.9500880037 1094),(12.259114547 1224),(12.891006692 1348),,(12.6291919014 1640),(7.80885820231 1773),(9.25988651707 1895),,(11.2058454059 2163),(8.72857959677 2294),(9.86995039953 2430),(11.6716377621 2551),,(14.303547792 2784),(14.5557404564 2933),(16.5893647226 3090),(19.4373150224 3269),,(14.2307660512 3414),(12.7132224756 3553),(12.1628644066 3684),(15.569255782 3816),(14.1881171291 3940),(16.5295417376 4102),(15.367954349 4259),(13.0771044289 4409),(12.8918143252 4551),,,(14.4288133528 4930),,
Point0,H4,(3.41138590698 110),,(5.96809865886 415),(6.12541132953 578),(4.3634120979 718),(3.51214185957 861),(3.27526647604 992),(2.4320167273 1123),,(3.15394314604 1392),(6.07584705063 1534),,(0.794744294337 1811),(-1.7763568394e-15 1935),(1.77674221673 2070),(0.982768519539 2211),(0.860795042673 2336),,(2.1128618116 2581),(2.80619805722 2706),(2.13085933318 2836),,,,,,(2.50371373107 3582),(3.0712864473 3712),(4.64744305777 3856),(3.17171322327 3995),(6.28910237709 4161),(5.1080745172 4301),(2.52815076781 4448),(3.39485688014 4590),(4.25836438457 4723),(2.97186757911 4851),(2.84745323305 4978),,
Point0,H5,(4.54482918061 122),,(7.40352921388 428),(6.78809971944 588),(5.56507351278 731),(5.86180512293 876),(4.45361104331 1005),(3.67080328061 1135),,(4.42846322668 1404),(6.35498078838 1542),,(1.04926723737 1820),(2.57642960075 1952),(1.96818212076 2080),(1.63818893108 2221),(1.84072724065 2349),,(2.68169332301 2590),(4.04102891922 2717),(2.20787490909 2842),,,,,,(6.09954820231 3598),(4.92610566943 3725),(4.74084160287 3863),(3.53008168852 4007),(6.72385590347 4170),(5.19614561113 4307),(2.71064945763 4455),(5.56273078134 4604),(5.0489821392 4732),(3.89153376205 4861),(4.11828537077 4989),,
Point0,H6,(-1.06581410364e-14 142),(-1.59872115546e-14 298),(-0.00349194046382 445),(-1.42108547152e-14 605),(-2.13162820728e-14 751),(-3.01980662698e-14 893),(-3.90798504668e-14 1022),(-2.48689957516e-14 1151),(-8.881784197e-15 1279),(-1.7763568394e-14 1422),(-4.08562073062e-14 1568),(-1.95399252334e-14 1704),(-0.00241886429143 1832),(-0.444335048475 1968),(1.06581410364e-14 2100),(8.881784197e-15 2234),(-7.9936057773e-15 2362),(-0.00517870021177 2476),(8.881784197e-15 2604),(-0.00432987833764 2733),(-0.0124186564931 2865),(-0.00929935212065 3028),(-0.015640771269 3192),(-0.0255243530014 3343),(1.7763568394e-15 3481),(7.1054273576e-15 3613),(1.7763568394e-15 3742),(-0.00207890661898 3883),(-2.13162820728e-14 4032),(-2.30926389122e-14 4190),(-0.00483154761157 4346),(-1.42108547152e-14 4477),(-2.84217094304e-14 4621),(-3.01980662698e-14 4749),(-4.08562073062e-14 4876),(-1.06581410364e-14 5005),(-8.881784197e-15 5136),(1.7763568394e-15 5276),
Point1,H1,(24.1861808489 69),(24.6961578291 213),(27.7588039431 360),(30.5293259831 510),(29.8890638209 667),(26.3812271768 820),(26.988415146 955),(25.9527144369 1088),(26.4582145953 1219),(28.5281124562 1350),(31.0924610232 1491),(30.6096033505 1637),(26.0715875907 1767),(27.9321850574 1897),(23.5546272748 2035),(27.2248292134 2168),(28.298009378 2297),(27.6450366581 2424),(29.3917441382 2548),(34.882105772 2666),(37.0510694026 2794),(36.1653483152 2935),(39.6879751794 3096),(29.5374954087 3255),(15.7495330797 3334),(26.8394335972 3405),(32.239132398 3544),(25.0800278812 3674),(28.9546255986 3807),(30.2522034989 3944),(30.6165382115 4103),(27.4623224603 4255),(28.0676708436 4408),(23.9186862252 4549),(29.8626728014 4683),(29.8097285797 4812),(28.9517495599 4937),(28.3085041332 5069),(30.8511336737 5206),(29.9552263635 5336),
Point1,H2,(6.99908863678 92),,,,,(8.85272220912 844),(9.25893741434 982),(10.9280383509 1118),,(12.9678239614 1376),(17.3810096024 1523),(13.099927283 1663),(6.43859943037 1790),(11.6031109525 1919),(10.0805210011 2068),(12.1767263847 2194),(10.5930059911 2321),,(11.3490494771 2572),(16.9824017509 2692),(19.0832551734 2815),(18.0052458497 2959),(18.9068884335 3117),,(7.8639996218 3353),(12.4531241111 3434),(5.42494160603 3569),(7.64887541833 3699),(11.4352558961 3839),(9.96656870883 3967),(12.1966848875 4125),,(6.78888730543 4430),(6.02967740013 4572),,,(12.0811152288 4960),,
Point1,H3,(11.4737650881 108),,,,,(12.5325925507 859),(12.4217149791 1001),(12.5576344933 1132),,(14.3155182573 1387),(17.6599010909 1531),(14.516521121 1675),(10.2221694334 1806),(13.8072786731 1932),(10.2686742416 2075),(12.6053614702 2202),(11.5794470822 2331),,(15.8217645651 2589),(17.1653655945 2699),(19.6804263576 2823),(19.710784155 2971),(20.9697573012 3128),,(8.84026726893 3362),(16.1207441594 3451),(9.83164293462 3588),(10.4528307009 3721),(13.8925372529 3854),(11.1471933546 3977),(14.3542001822 4138),,(10.6010575781 4447),(11.1803255181 4588),,,(12.9424499507 4969),,
Point1,H4,(1.92029636154 146),,,,(3.02021801578 753),(2.33789656587 898),(2.9342110823 1030),(2.52838361008 1160),(10.967405647 1247),(3.01069473562 1427),(7.22154196838 1571),(1.75698062844 1722),(0.544255283947 1844),(3.48480967807 1972),,(1.88141171865 2246),(1.47484225014 2373),(9.41172001701 2448),(2.52300291814 2618),(3.90102924746 2743),(4.59828652075 2870),,(1.1066189169 3213),(6.75041559541 3277),,(2.56529061912 3491),(-0.0210914597941 3618),(2.26408856039 3748),(4.12522385075 3890),(2.31692710696 4031),(4.92290972815 4196),,(1.99027205592 4483),(2.27948803329 4628),(3.3075004833 4758),(2.96132606905 4888),(2.87316755281 5013),,
