Cycle,0.635434782609
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(11.5180071057 108),(9.11388179832 236),(8.01174474881 384),(9.85266231097 517),(7.17543156 644),(7.78824459209 745),(9.92998170416 899),(7.83312411626 1023),(7.4838235987 1125),(7.67816820407 1259),(6.80536129935 1382),(5.93045265037 1501),(6.91844964299 1622),(6.78390769074 1746),(8.51638934665 1869),(9.46958723623 2023),(6.7350215413 2174),(8.44310993642 2318),(6.51155028475 2439),(8.85724435947 2609),(7.64727797686 2728),(4.74304650423 2880),(7.94050876541 3023),(9.05962153385 3159),
Point0,H2,,(0.0 273),,,,(7.20682749885 763),,,,,,,,,,(-2.6645352591e-15 2055),(-8.881784197e-16 2202),(-4.4408920985e-15 2351),,,(9.32587340685e-15 2775),,(4.4408920985e-15 3050),,
Point0,H3,,(5.50532270057 296),,,,(7.40105284905 775),,,,,,,,,,(4.62146238751 2087),(2.49675875253 2227),(3.7090255902 2386),,,(2.71879646321 2803),,(4.97736733957 3093),,
Point0,H4,,(3.9534945424 312),(-1.7763568394e-15 412),(-2.6645352591e-15 550),(0.0 678),(0.0 813),(2.6645352591e-15 932),(-2.6645352591e-15 1049),,(1.7763568394e-15 1291),(3.99680288865e-15 1413),(-5.3290705182e-15 1528),(-2.22044604925e-15 1657),(-0.00452258973105 1787),(-9.7699626167e-15 1911),(4.33470669177 2102),(1.95828253826 2242),(3.69415570238 2392),,(-1.7763568394e-15 2639),(1.98415277024 2823),(-0.00336420558606 2920),(4.79477987192 3103),,
Point0,H5,,(6.41556676196 351),(5.23825502912 454),(2.56650369998 570),(5.14165287007 709),(6.411749302 863),(5.6483256707 994),(3.84294202352 1075),,(2.63705758091 1319),(2.49949981262 1437),(5.52952617588 1576),(2.86821250858 1686),(5.05900226218 1822),(5.21256605592 1945),(6.20105233966 2147),(7.1372439357 2295),(3.71441607922 2399),,(5.39962874214 2681),(4.60070896308 2857),(4.54116882238 2967),(5.44449726042 3119),,
Point0,H6,(0.0 138),(0.0 273),(-1.7763568394e-15 412),(-2.6645352591e-15 550),(0.0 678),(0.0 813),(2.6645352591e-15 932),(-2.6645352591e-15 1049),(8.881784197e-16 1178),(1.7763568394e-15 1291),(3.99680288865e-15 1413),(-5.3290705182e-15 1528),(-2.22044604925e-15 1657),(-0.00452258973105 1787),(-9.7699626167e-15 1911),(-2.6645352591e-15 2055),(-8.881784197e-16 2202),(-4.4408920985e-15 2351),(-3.10862446895e-15 2487),(-1.7763568394e-15 2639),(9.32587340685e-15 2775),(-0.00336420558606 2920),(4.4408920985e-15 3050),(1.7763568394e-15 3189),
