Cycle,0.79223920537
Average Width,3.97267459718
Width,,4.3416231126,4.27291437733,4.20919850949,4.31817090592,4.15164171173,4.39737804766,4.01073329925,4.00407659528,4.1071868961,3.93296470949,3.91748535522,3.9056922734,3.93714840997,4.16781918576,4.07163993665,3.98942346361,4.32972135459,4.23774737561,4.15944427664,4.38649506395,4.22726183137,4.28748755761,4.08781688987,4.14529734763,4.08354841889,3.98519800126,3.97193736293,4.12766544325,3.92065214493,3.96603540354,3.91264171044,3.86676562314,3.75169202945,3.77988099803,3.5267005727,3.82209859231,3.91617878599,3.79015412177,4.03597614201,3.64129146672,3.94418755574,4.1447745225,3.9380775454,3.65838628779,3.78505432137,3.49135089385,3.76676240262,3.56381392312,3.59288833516,3.83659462775,3.56405929636,3.68144549022,3.88957314472
Point0,H1,(17.1861625912 30),(15.0195886339 199),(16.3836501377 377),(17.1853978362 558),(16.2755257868 739),(16.3919873795 923),(11.7625196529 1085),(12.584300438 1247),(12.9299802535 1422),(9.74149492245 1594),(10.4189872355 1757),(11.9922313732 1933),(12.3386544032 2111),(12.5471433309 2287),(11.8534330439 2462),(11.7984915168 2635),(13.4519956976 2806),(12.6366769698 2976),(13.6114080162 3146),(14.8080757165 3323),(13.8251933417 3504),(13.9114462237 3675),(11.8478049936 3852),(13.7236520907 4027),(12.4682154636 4207),(11.5446931148 4380),(14.5166698109 4543),(14.7977031567 4718),(11.3941845419 4891),(13.0909819063 5054),(12.663777193 5215),(12.031387867 5377),(9.74935412038 5539),(12.0569269751 5700),(4.78116539128 5853),(3.70095812636 5928),(9.73263931546 6012),(9.48523986372 6175),(11.5843226463 6334),(7.99423719751 6497),(11.3750084323 6652),(11.2351013737 6822),(9.14697653879 6959),(6.01657233365 7100),(5.90755453526 7247),(5.41218095821 7373),(6.84257087203 7503),(6.32586555344 7648),(5.36241227093 7789),(6.12795707137 7950),(6.34903354039 8096),(7.65136812938 8235),(7.34071161101 8382),(6.96832220579 8516),
Point0,H2,(10.5282310942 70),(9.14417753488 229),(11.3198644387 403),(10.1086048452 598),(10.4714546473 773),(7.63565695603 954),(6.43190469848 1128),,,(3.51208735931 1628),(6.29601860616 1782),(7.01899704273 1977),(7.84520702551 2152),,(7.40218179393 2504),(8.46415314684 2666),(7.77647350893 2842),(8.16833082463 3003),(9.33276132226 3175),(8.83294158984 3349),(8.60747121953 3540),,(8.24497762461 3874),(7.39156701551 4055),(6.91163828609 4241),(5.72555054743 4409),,,(7.89666722448 4915),,,,(4.46401216781 5576),(6.26866722386 5757),,,(6.56536979953 6035),,(8.51610527683 6354),(4.98400919959 6542),(6.07839060001 6676),(8.14366119855 6847),(6.12405492341 6988),,(2.49673693915 7277),,(5.38958845837 7526),(3.84845437953 7690),,(4.64775987611 7990),(4.20008054695 8123),(4.20375468887 8267),(5.50853381993 8410),,
Point0,H3,(10.5318448913 73),(10.4150325728 249),(11.8532941323 417),(11.4333611313 614),(11.0928594551 789),(9.17912760787 975),(7.328764845 1147),,,(4.01568965704 1643),(7.7487404325 1812),(7.46430355481 1990),(9.32989554639 2168),,(7.82681655207 2517),(9.02570694878 2689),(8.70522509685 2856),(9.1185291874 3020),(10.609294889 3192),(8.9127212823 3355),(9.96226652778 3558),,(8.74671664967 3886),(8.14661545061 4083),(8.11825765228 4260),(6.99625033068 4430),,,(8.82511082468 4934),,,,(5.16115558641 5595),(6.3914171047 5764),,,(8.16731992202 6062),,(8.54636098392 6359),(5.06282377472 6551),(6.72476178043 6703),(8.25289863225 6856),(6.7018313502 7007),,(3.01690437327 7290),,(5.39538098165 7529),(3.99909326838 7701),,(4.80282000842 8002),(5.74266143587 8149),(4.63530121322 8282),(5.64622922094 8423),,
Point0,H4,(4.55392374306 126),,,(3.46232211903 678),(5.0151783366 831),(3.36961895145 1009),(1.72929286759 1180),,,(0.875327005853 1687),,(4.02333889892 2029),,(7.49672339738 2329),,(4.01774320438 2730),(2.83916821101 2897),(3.7262632541 3078),,(8.29832662761 3372),(2.98991988251 3609),,(4.46689012023 3960),(1.95474331053 4131),(3.00454333229 4289),,(3.45007098044 4639),(2.10335540201 4822),(4.09409478388 4976),,(2.14849967699 5320),(1.7708076426 5480),(3.17508983993 5624),(2.46746627857 5788),,,(7.77348326093 6080),,(6.9393557385 6382),(1.37245594566 6584),(3.3749522553 6733),(2.38833958627 6895),,,(2.43130475437 7306),(2.55053839796 7419),(4.19060870751 7565),(1.25846808064 7744),,,,,,,
Point0,H5,(5.35853061701 144),,,(4.77492865499 693),(5.26862847921 840),(3.63882506084 1019),(2.9956971668 1199),,,(2.0605382719 1705),,(4.12816181685 2039),,(8.86298092417 2345),,(4.71931047529 2751),(3.08778499467 2909),(4.05481398028 3089),,(8.35359938483 3378),(2.99416527352 3612),,(4.75627163048 3970),(2.68499102594 4148),(4.17875734858 4319),,(4.86301617545 4658),(2.76360265951 4836),(4.31283882463 4987),,(2.24962192315 5329),(2.36781103809 5493),(3.56713054422 5639),(3.38790846588 5802),,,(7.79759966015 6086),,(6.99019285527 6389),(2.49790422301 6601),(3.68973786239 6748),(2.41160980018 6900),,,(2.64507218103 7316),(2.97307211685 7437),(4.34386854703 7576),(1.26641115102 7747),,,,,,,
Point0,H6,(-0.0172346557847 1),(-8.881784197e-15 167),(-0.00275323385366 341),(-8.881784197e-16 530),(-3.5527136788e-15 711),(5.3290705182e-15 887),(7.1054273576e-15 1054),(1.7763568394e-15 1220),(1.42108547152e-14 1386),(-0.00312032804351 1559),(8.881784197e-15 1727),(8.881784197e-16 1900),(6.2172489379e-15 2083),(6.2172489379e-15 2260),(1.7763568394e-15 2431),(-0.00360828469667 2598),(-0.0041569884385 2775),(-1.33226762955e-14 2939),(-1.24344978758e-14 3112),(-0.00106945573269 3288),(8.881784197e-16 3474),(-3.5527136788e-15 3641),(-1.33226762955e-14 3820),(-7.9936057773e-15 3994),(-2.22044604925e-14 4171),(-1.06581410364e-14 4346),(-8.881784197e-16 4514),(-1.7763568394e-15 4688),(9.7699626167e-15 4857),(1.06581410364e-14 5025),(4.4408920985e-15 5186),(2.6645352591e-15 5348),(8.881784197e-15 5510),(-0.00256501515642 5667),(-0.0670903737129 5828),(-1.39888101103e-14 5895),(-0.0728197753803 5975),(-7.1054273576e-15 6136),(-8.881784197e-16 6307),(-4.4408920985e-16 6467),(-8.881784197e-16 6624),(5.3290705182e-15 6775),(1.24344978758e-14 6921),(-4.4408920985e-16 7072),(1.33226762955e-15 7179),(-5.3290705182e-15 7341),(-0.00170965836389 7473),(-4.4408920985e-16 7617),(-4.4408920985e-16 7765),(-4.4408920985e-15 7881),(4.4408920985e-15 8057),(3.5527136788e-15 8198),(7.1054273576e-15 8337),(-1.06581410364e-14 8487),
Point1,H1,(30.2782272854 28),(27.9145052661 198),(31.0622838385 374),(31.3016234138 556),(31.0727428848 738),(28.182168647 921),(26.7675662513 1084),(27.1446856001 1246),(27.0693289327 1418),(24.6907014163 1591),(25.0710268363 1755),(27.9259257732 1931),(29.7947800315 2109),(27.0993159748 2286),(26.6437461055 2460),(27.7343567922 2631),(27.116386474 2803),(25.3037321602 2970),(27.4561536294 3142),(28.3785282898 3321),(28.5431482781 3501),(26.7750270349 3674),(25.5175584176 3849),(28.1842162418 4026),(27.6266513219 4202),(24.9392907238 4377),(28.5652469173 4541),(28.2239990321 4715),(25.7855490132 4889),(25.5501098341 5051),(26.953078278 5212),(28.0223863886 5375),(22.8738124908 5536),(24.8870541902 5693),(21.456899146 5854),(21.8660343953 6011),(24.2724258416 6170),(26.7264199213 6332),(23.6922329785 6495),(24.6958920848 6651),(24.5517786285 6807),(22.6990310945 6954),(21.1627717085 7099),(19.6480081202 7238),(19.6895468682 7370),(21.6653664809 7502),(20.0500402688 7645),(21.7917554666 7789),(20.5520545852 7942),(19.0540481202 8088),(21.8641098555 8231),(21.0597931032 8373),(20.8081955124 8517),
Point1,H2,(14.3413144097 69),,(16.3911135575 406),,(15.0803229535 774),(12.6020650525 948),(12.4897080956 1121),(14.0376735319 1288),(14.4721908685 1444),(11.4901860079 1622),,,(15.2492862338 2151),(12.1851845506 2326),(13.9528220602 2486),(16.0644121866 2663),(12.8746626471 2840),(12.2690853916 2997),(15.6435967709 3172),,,(11.7979589617 3699),(14.1798963214 3875),(14.0248721762 4053),(13.2243873302 4228),(11.5752730755 4407),(12.9346315382 4584),(13.461352186 4764),(13.4283467907 4917),(11.164318568 5095),(12.3101386125 5257),(13.1464699508 5415),(11.4285190343 5572),(12.4595880583 5734),,,,(13.0831693349 6376),(9.75347804734 6533),(11.1557393531 6693),(14.4511198321 6837),(10.6693056969 7002),(8.64670575479 7140),(7.82390826558 7269),(8.32121855776 7398),(9.48904891845 7544),(9.93136659905 7685),(10.3788268144 7832),(10.0685360111 7974),(9.78953900868 8117),(10.7437078689 8265),(10.6311946229 8406),,
Point1,H3,(16.497088288 85),,(17.3601077081 421),,(17.4414720735 792),(13.9971235229 971),(14.0418703308 1139),(15.0864098891 1301),(15.0509538144 1457),(12.3895173193 1637),,,(16.7840917618 2166),(14.6637309568 2342),(15.4886572658 2515),(17.326910496 2679),(13.9763144413 2855),(13.7990945015 3027),(17.1828302181 3190),,,(13.5525278863 3730),(15.8306738148 3896),(14.4084564958 4062),(14.6448906615 4257),(13.4320905496 4430),(13.9580052088 4597),(13.5098874615 4769),(14.6362902774 4935),(11.6147967971 5106),(13.0971715057 5269),(14.9107981691 5431),(12.2153615956 5587),(12.890912375 5745),,,,(14.3548876642 6389),(11.3552701651 6550),(12.4337179381 6707),(14.7395216286 6846),(10.6833618809 7005),(9.04164117118 7153),(9.67476003195 7285),(8.89683314518 7411),(10.4353383102 7556),(10.2408052356 7695),(10.9796882912 7843),(11.2502932703 7991),(11.3092675061 8135),(11.0886892242 8276),(11.4255071154 8421),,
Point1,H4,(5.70152406459 133),,,,(5.69401841739 855),,(4.27689747564 1191),(5.17688243254 1351),(5.99380151225 1527),(4.56083156902 1680),,,(7.55867517903 2205),(4.37124553301 2386),(5.86764541117 2563),(6.64929855873 2744),(3.09829536185 2901),(5.21812721789 3077),(4.83629554916 3253),,(12.7532846936 3541),(5.18528607036 3778),(6.16052286091 3958),(4.6966466155 4132),(5.57007511152 4308),(5.17595754826 4469),(5.05745980948 4646),(4.86004486554 4823),(5.1731313775 4978),(2.641512636 5145),(4.72418594142 5317),(4.60566005239 5477),(3.56350655307 5641),(3.92317141833 5802),(10.5296478727 5894),(9.3824525289 6043),(12.0508241501 6216),(4.03352911362 6439),(1.9181768179 6588),(4.42616170924 6742),,(2.300145166 7041),,,(3.37860204982 7450),,(2.3608255994 7738),(3.43615146562 7879),(3.46757062612 8030),(4.91394564312 8172),,(3.32355810774 8459),,
Point1,H5,(6.65973148075 146),,,,(5.70597596119 859),,(5.32358652033 1203),(5.70659719715 1361),(6.16984361049 1534),(5.19208440989 1693),,,(8.22067426092 2217),(4.62386177888 2395),(6.63156464678 2576),(6.85436326381 2751),(4.27129883105 2915),(6.30424916999 3090),(5.42372362229 3264),,(15.2048058468 3558),(6.36627741489 3793),(6.28328712295 3965),(4.75236514702 4138),(6.24451482333 4320),(5.21311321343 4475),(5.1233819067 4652),(4.99497310396 4830),(5.37581093276 4987),(2.66515630874 5150),(5.88742055065 5330),(5.63298028221 5490),(3.60361233177 5647),(3.95451915342 5807),(12.5724456931 5912),(10.8688415428 6066),(12.3003590582 6225),(5.1832158297 6451),(2.14216353191 6600),(5.80968919126 6755),,(2.30573729392 7044),,,(3.53856993322 7457),,(2.54493360711 7746),(4.14823600529 7891),(3.46911365666 8032),(4.91633134166 8174),,(3.53129751915 8467),,
Point1,H6,(-0.0312568557052 1),(-0.0109599664737 165),(0.0 341),(-3.01980662698e-14 526),(-7.1054273576e-15 709),(3.37507799486e-14 887),(7.1054273576e-15 1056),(2.84217094304e-14 1220),(-1.24344978758e-14 1384),(3.5527136788e-15 1558),(8.881784197e-15 1726),(-3.5527136788e-15 1898),(3.01980662698e-14 2083),(1.59872115546e-14 2259),(2.48689957516e-14 2432),(-0.00363600574088 2597),(-0.0119166458832 2773),(-0.0022280440873 2936),(-5.3290705182e-15 3110),(1.24344978758e-14 3287),(1.59872115546e-14 3475),(0.0 3641),(-0.00119091421599 3815),(0.0 3992),(1.42108547152e-14 4170),(-3.5527136788e-15 4343),(2.30926389122e-14 4514),(1.59872115546e-14 4686),(-1.42108547152e-14 4855),(1.24344978758e-14 5024),(-0.00892711450686 5183),(-3.5527136788e-15 5348),(-0.0103242104788 5509),(-3.01980662698e-14 5666),(-1.24344978758e-14 5827),(-2.13162820728e-14 5980),(-1.59872115546e-14 6136),(1.7763568394e-15 6305),(-1.7763568394e-14 6468),(1.06581410364e-14 6622),(-1.7763568394e-15 6774),(2.84217094304e-14 6917),(1.7763568394e-15 7067),(1.06581410364e-14 7205),(1.95399252334e-14 7337),(-1.42108547152e-14 7475),(-0.00412469131481 7616),(-1.7763568394e-15 7762),(5.3290705182e-15 7909),(2.30926389122e-14 8054),(3.5527136788e-15 8197),(-3.5527136788e-15 8340),(-8.881784197e-15 8485),
Point2,H1,(22.4910325327 28),(22.3285020418 198),(26.6578868983 374),(25.8610171442 555),(26.1646502612 737),(24.9284013442 921),(24.8386621395 1084),(23.8952344766 1246),(24.0595909953 1418),(22.5592029522 1591),(23.00609698 1755),(25.5936844484 1931),(27.0829235501 2109),(25.6982729443 2286),(24.2413852018 2460),(25.1566160227 2631),(25.0587436839 2802),(24.272813866 2970),(25.9358259287 3142),(27.1055640903 3321),(27.5615665106 3501),(25.4554861323 3674),(23.8600337974 3849),(25.7631810335 4026),(24.9394940738 4202),(21.0939263374 4377),(21.6816479812 4541),(22.9856308705 4716),(22.2261682143 4889),(20.255655354 5051),(21.7311190042 5212),(22.9146001742 5374),(18.3220383168 5536),(21.5157489165 5693),(24.9898080457 5854),(22.2698227042 6012),(22.966717182 6170),(23.5754399378 6332),(21.2890125306 6494),(21.3425819546 6652),(21.9415784608 6807),(20.1774558099 6954),(20.0252496663 7099),(18.1001364658 7238),(17.3602714434 7370),(20.4292204982 7502),(18.8483214556 7644),(20.9966253133 7789),(19.2801697352 7942),(17.4469437663 8088),(19.9663324613 8230),(21.5709671347 8371),(21.8592518558 8516),
Point2,H2,(11.0455068795 70),,(14.1277214513 405),,(13.1327469332 775),(11.5695479168 950),(11.7604471519 1120),(12.7799605377 1288),(12.7657091205 1444),(10.3127830162 1622),,,,(11.3699597437 2325),,(15.1856855704 2663),(12.3140373202 2840),(12.0361590372 2997),(15.0483073454 3172),,,(11.2466985529 3701),(13.3465218184 3878),,(12.1048740676 4229),(9.47295316951 4407),(10.857393733 4584),(11.6255891242 4764),(11.7533422898 4917),(8.97782491473 5096),(10.3289322897 5256),(11.4072736705 5416),(10.0309144888 5571),(11.4896697503 5734),,,(10.5352043485 6216),(11.2889700332 6376),(9.45612869456 6533),(10.3778979962 6693),(13.899478527 6835),(10.5008716344 6997),,(7.50681737116 7269),(8.38523967218 7396),(9.48277127323 7544),(9.11413553895 7685),(10.1209798319 7833),(9.99299592277 7976),(9.52662262787 8118),(10.3035556607 8263),(11.172771182 8405),,
Point2,H3,(12.6643303068 85),,(14.7577713731 419),,(15.4095260502 792),(12.7602112463 972),(13.1106197808 1139),(13.75972491 1301),(13.3601366727 1458),(11.6923735341 1638),,,,(14.2426614495 2342),,(16.6333210245 2680),(13.106508563 2854),(13.2042244528 3027),(16.3189217989 3190),,,(13.8990300278 3731),(14.9443196318 3898),,(13.3973448437 4256),(11.3941080482 4429),(11.3880627419 4596),(11.662189456 4768),(13.0708452454 4936),(9.8205599152 5109),(11.3953206036 5270),(12.41280141 5430),(11.8149113358 5590),(12.8241155499 5750),,,(11.3673822731 6228),(13.0721607426 6391),(11.0306372684 6551),(12.0715143878 6709),(14.1854763464 6843),(10.9188179725 7008),,(9.22076233881 7286),(8.67011660592 7406),(10.3129191154 7556),(9.44420037034 7695),(10.4099447019 7842),(11.323558544 7992),(10.7225296135 8135),(10.9348031454 8278),(12.2365929731 8420),,
Point2,H4,(4.9376009827 128),,,,(5.5259508957 851),,(4.15468618863 1192),(5.10530436914 1350),(5.94732075589 1528),(4.0555134725 1680),,,(13.6938280345 2152),(3.97849714736 2388),,(6.39652629973 2745),(2.62127054829 2901),(4.72179500343 3079),(4.94479150849 3253),,(12.1617843361 3542),(5.32438604583 3780),(5.91423692725 3959),,(4.86511054551 4306),,(4.22818133059 4645),(3.81101649127 4824),,(1.8592163428 5155),(4.33227949815 5318),(3.28778535977 5477),,(3.99116094704 5802),(11.653573494 5894),(9.5977632021 6051),(3.09329073844 6261),(3.64126300805 6441),(1.28163344185 6590),(4.59340241798 6742),,,(8.60917079994 7142),,,,(2.24970343013 7737),(3.82633375505 7880),,(4.82018935032 8172),,(3.72851729672 8459),,
