Cycle,0.820411764706
Average Width,43.509242188
Width,,43.509242188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(22.0499991952 30),(21.0301485414 205),(22.6113788737 379),(22.7432928132 556),(20.1506051135 718),(22.14173882 890),(19.8877371792 1068),(19.5949040867 1231),(21.5389178121 1406),(20.0410982458 1587),(19.9384016186 1758),(21.4212582312 1936),(19.8472597715 2110),(19.3005464196 2281),(18.1703033031 2446),(19.7655625929 2620),(19.2927388384 2783),(20.720554509 2961),(16.2090349929 3126),(19.714686557 3296),(17.997788488 3461),(20.6389635796 3635),(19.3009466506 3810),(21.105801488 3985),(18.4344432667 4161),(18.7100388267 4322),(17.6336620106 4491),(16.6018781537 4653),(17.4975655664 4823),(15.6866546604 4991),(18.1747506339 5152),(17.1642556595 5326),(16.7441641885 5487),(18.0396579943 5647),(18.7369596803 5807),(17.1179035265 5966),
Point0,H2,,,(13.513077932 407),(11.0021272791 584),,,(9.74421450016 1095),(9.41933941003 1274),,,,,(9.89858386674 2152),,,(12.1722760578 2651),,(10.283121781 3005),(8.70564823304 3162),(10.5079357588 3342),,,(9.98533385507 3851),(10.0944297796 4029),(9.65710556022 4203),(8.8340565738 4366),,(9.38961860432 4681),,,(9.36496927471 5196),,,,,
Point0,H3,,,(14.3162850108 422),(11.0554839403 589),,,(10.0967605933 1108),(10.0875192411 1287),,,,,(10.552421397 2167),,,(12.1734475278 2653),,(10.618865129 3015),(10.0990958328 3179),(10.6393157146 3350),,,(11.3661668109 3865),(11.2404699214 4042),(10.0877584082 4215),(9.13164054008 4377),,(10.1798824137 4698),,,(9.74496738376 5207),,,,,
Point0,H4,,,,,,(11.8686234069 920),(10.0740024996 1115),(2.99620567175 1338),,(9.73897106661 1626),,,(4.2839753704 2218),(10.0236716581 2314),,,,(3.31358786144 3067),(4.50529601267 3243),(3.52981514444 3403),,(2.89798339591 3758),(3.69172881269 3930),(3.06520076249 4108),(3.06897015893 4269),(2.9983711794 4426),(9.45007898346 4526),(3.4641606554 4763),(9.63166234783 4864),(7.02887577864 5028),(3.3710737501 5252),,,(9.48733256491 5691),,
Point0,H5,,,,,,(13.0196301126 938),(10.0756970774 1118),(3.00222372338 1341),,(11.4884587376 1642),,,(4.92961050337 2229),(10.2872083268 2326),,,,(3.74267563944 3077),(4.5182664475 3246),(4.08190556139 3414),,(3.06980376981 3765),(4.105758097 3940),(3.26361498072 4116),(3.22292080792 4277),(3.45694284045 4437),(9.64301172593 4536),(4.24866657705 4775),(9.85033649948 4873),(8.23457745929 5048),(3.42326536666 5259),,,(9.64292452737 5700),,
Point0,H6,(-1.15463194561e-14 174),(-1.59872115546e-14 345),(-0.00157174201404 522),(-1.95399252334e-14 686),(-3.5527136788e-14 856),(-2.30926389122e-14 1034),(-4.4408920985e-15 1203),(-8.881784197e-15 1375),(-5.3290705182e-15 1559),(-1.50990331349e-14 1727),(-1.42108547152e-14 1909),(-1.33226762955e-14 2079),(-5.3290705182e-15 2249),(-1.06581410364e-14 2415),(5.3290705182e-15 2585),(0.0 2755),(-8.881784197e-15 2934),(8.881784197e-16 3096),(-2.30926389122e-14 3270),(-1.24344978758e-14 3432),(1.7763568394e-15 3607),(-1.24344978758e-14 3782),(3.5527136788e-15 3958),(3.5527136788e-15 4134),(1.95399252334e-14 4294),(1.06581410364e-14 4457),(1.59872115546e-14 4616),(1.06581410364e-14 4792),(-8.881784197e-16 4957),(-2.6645352591e-15 5125),(1.06581410364e-14 5296),(1.86517468137e-14 5458),(1.24344978758e-14 5617),(-8.881784197e-16 5778),(7.1054273576e-15 5930),
Point1,H1,(14.6634234741 32),(15.4919191811 207),(15.5305886076 383),(14.0652278144 544),(14.1336734582 717),(11.7650821001 895),(12.4393771792 1058),(13.7475019846 1233),(11.8513715052 1414),(11.6604797988 1585),(12.3510086791 1762),(11.644569135 1937),(11.1619075797 2108),(11.1140658448 2273),(12.4951136112 2447),(10.4656590451 2609),(11.4567996396 2787),(9.01532760569 2955),(9.68975421716 3123),(9.53021871189 3287),(12.0015191797 3463),(10.1642069414 3636),(11.9007003332 3812),(9.74505877073 3988),(9.9778940576 4149),(9.60335369958 4317),(7.72674914312 4480),(8.44334676328 4650),(7.76414602106 4818),(8.92046710617 4980),(9.24083162739 5153),(8.23992837448 5314),(9.04967713773 5475),(10.6326268335 5636),(7.42753498911 5791),
Point1,H2,(7.23016679556 56),,(7.56946837263 414),,(7.54450144344 747),,(7.24243525232 1083),,,(6.8808817617 1608),(7.67107731575 1786),(5.39070802681 1966),(6.04225166016 2138),,,,(5.30701227264 2830),,(6.34036279012 3145),,(7.27510698726 3507),,,(5.33128075517 4028),(3.79833233479 4191),,(3.94779379128 4508),,(4.10423287799 4854),,,,(5.65096553219 5515),,
Point1,H3,(7.48792794426 65),,(7.574414072 417),,(8.6093186226 765),,(7.25337206167 1086),,,(7.02985011527 1615),(7.67566925826 1788),(6.07339968677 1994),(6.09137648179 2145),,,,(5.72280253336 2843),,(6.36575431699 3150),,(7.27674194264 3509),,,(5.78720586321 4043),(4.54659369085 4211),,(4.88538617566 4527),,(5.18794314704 4877),,,,(6.43951975174 5533),,
Point1,H4,(6.86499333859 79),(9.50052155187 236),,,(3.36420217746 826),(5.92520113259 932),(6.68233303388 1102),,(5.2686349585 1451),(6.17420868274 1631),(1.51309624923 1869),(2.55706319162 2042),(5.7902937698 2160),,(2.4087098601 2534),,(2.26204241877 2893),(4.65825846592 2987),(1.67058567358 3231),,(0.750109925995 3589),,,(1.87165784354 4096),(1.77506736838 4252),(4.82145992961 4351),(1.9268006271 4588),(5.26041019876 4690),(3.19700193883 4905),(2.26974449354 5078),,(4.45001182735 5350),(2.65388474527 5569),,
Point1,H5,(7.35217064424 92),(10.2701407409 252),,,(3.36610440342 829),(6.25437053056 951),(7.01970902189 1114),,(7.19128334357 1470),(6.65432119641 1645),(1.62660753013 1879),(3.29359565696 2057),(5.85946279057 2169),,(2.5559526056 2542),,(2.40618243455 2903),(5.9212256765 3007),(1.85568284312 3241),,(0.762170074805 3592),,,(1.9311175036 4103),(2.23911072561 4265),(5.05894989981 4363),(2.52504008014 4602),(5.60495329213 4702),(3.68744815919 4922),(2.49738040499 5091),,(4.47219298305 5357),(2.67912629211 5575),,
