Cycle,0.703561184211
Average Width,6.98213399915
Width,,0,6.56671799758,5.79941143134,6.44770957234,6.46382183807,7.39997841807,6.73519488477,7.19485566813,7.67789092464,8.46808503401,9.01886701092,6.62727682803,8.11200705176,7.8920962657,8.37953237152,8.6315246574,8.99070025849,8.51536695617,10.5163652076,7.54415650309,7.3609581338,6.99016423792,8.5016454216,7.40816212424,7.34496280333,7.04994315043,6.24427079486,5.53589010371,6.42576210612,8.27338655579,10.8525640157,12.1993494452,9.53229544871,8.43984211706,12.661791647,11.0892608238,9.32633115628,9.02181759862,9.74359210486,7.60878090171,9.78920002475,7.25157947343,7.29920348771,6.59516801318,5.06252177336,5.21383604065,5.28523098476,5.93706159918,5.79341933964,5.89818242202,6.54853269709,6.75130847188,7.00129101554,6.20015947344,6.5530978178,5.86543889961,4.89674562686,4.68625665672,4.72329823654,4.8078350076,4.7522996564,5.21220788006,5.77894298718,5.84535458975,7.42637808241,6.06113207476,5.02133070607,4.53639762383,5.3404375337,4.80630014235,4.14421780701,4.79207409584,4.82422446317,4.36238836783,5.08611146161,4.91855583216
Point0,H1,(16.2970792808 100),(15.8526547918 229),(17.3117307863 360),(20.2073456603 513),(20.1141528792 677),(20.1611974017 845),(19.3840607244 994),(21.1810870793 1139),(19.2664842318 1289),(19.3766229679 1447),(18.0230616729 1607),(16.2231493936 1764),(18.6655310702 1910),(19.1233558992 2058),(18.5319286488 2209),(17.7642128883 2359),(15.998920645 2511),(16.5198017981 2657),(19.1444252037 2805),(18.2030314467 2954),(16.1565414139 3097),(18.1221003996 3241),(16.7336363501 3395),(16.2142141936 3542),(19.0202181629 3686),(20.9872738812 3829),(16.831310702 3977),(21.9745778144 4115),(18.2767000993 4251),(17.1469958609 4386),(20.5054383286 4521),(10.2726543117 4654),(17.4717503777 4776),(18.3496365727 4900),(23.0099499586 5025),(18.8433325141 5141),(19.6666050589 5262),(19.2827435563 5383),(20.2294465331 5513),(18.1267301169 5652),(19.1088414123 5785),(18.334615882 5922),(22.5684440135 6064),(19.2862424961 6217),(13.0316471014 6372),(14.9592902744 6515),(15.9093693616 6655),(18.2139122252 6796),(17.9922996685 6941),(18.872066412 7091),(20.0531090509 7239),(18.1428210417 7390),(18.4741850413 7538),(15.8676630299 7682),(17.7015656359 7816),(17.5697600026 7949),(12.1385257594 8083),(9.90479895652 8225),(10.1236045825 8372),(10.6185333177 8532),(10.3769889359 8687),(11.9362304086 8843),(12.2090223888 9000),(13.3480254378 9155),(17.0760619982 9293),(14.6628865372 9425),(7.48938837947 9557),(7.44866282015 9690),(10.5082413141 9834),(10.639455537 9889),(7.20446067128 9976),(12.1735239112 10120),(12.1812617057 10261),(10.697976608 10396),(12.7537268232 10534),(10.9570850821 10675),(9.82816049906 10818),
Point0,H2,(6.95977605874 133),,,(11.9894554512 548),,(10.7453019609 876),(9.54855381498 1029),,,,,(5.87766537699 1800),(8.77905527239 1945),(8.61428005247 2097),,,(6.75484768825 2542),(5.66365868893 2688),,(7.76806731784 2988),,(8.63772041128 3283),(5.52912844993 3431),(7.5234621357 3577),(8.27023969244 3729),,(9.53165726311 4005),,(10.9233499983 4289),(7.56373955209 4410),(5.46958227055 4553),(2.61250500714 4680),(4.11597509402 4828),,(9.84916268239 5057),(6.6842357622 5186),(7.19255045568 5295),(7.23250768738 5425),(6.04767059494 5551),,(8.70643993926 5822),,(10.6327620265 6100),,(5.23776684952 6399),(8.38324793756 6545),(8.33306425625 6687),(9.98329721792 6830),(9.40713265263 6973),(9.66475984223 7124),(9.87474172102 7277),(7.57640510683 7424),(8.55896310597 7567),(5.99861853973 7711),(8.74417102777 7852),,(6.75312538066 8109),(5.07493385768 8254),(4.72649467304 8401),(7.6505335432 8555),(6.63584504723 8713),(6.72042994664 8878),(6.14465728315 9033),(6.13214327744 9182),,,(5.82151861957 9573),(5.16013186481 9719),(9.98666273164 9847),,(-0.0764501645347 10029),,(8.36663431789 10285),(5.81240583754 10428),(7.63003604732 10569),,
Point0,H3,(7.16193354584 144),,,(12.0254441 554),,(11.4037542193 888),(9.59909812858 1035),,,,,(6.47497317994 1815),(9.37629249075 1958),(9.08606115389 2109),,,(7.90128003169 2558),(6.55542458067 2707),,(8.70394850492 3002),,(8.64020566309 3285),(5.63362517834 3440),(8.36314056382 3593),(8.289677499 3734),,(11.4277257122 4023),,(11.0182660756 4297),(13.4435786247 4435),(7.31795744514 4568),(7.10232167938 4705),(4.19873332876 4837),,(10.1356837786 5069),(6.71112509034 5191),(8.00346178034 5310),(8.4415289926 5438),(6.75659598148 5564),,(9.73367982806 5836),,(10.7840518226 6110),,(5.44930886113 6419),(8.62570290305 6560),(9.26021728168 6702),(10.901382025 6844),(10.454272499 6989),(9.66500655858 7125),(9.94258965566 7283),(8.83144696593 7443),(9.25381998072 7584),(6.28139551154 7722),(9.86314148986 7868),,(6.80073585091 8114),(5.2561043127 8264),(6.11711986743 8422),(7.89867925311 8567),(7.46370531469 8736),(7.69342544101 8896),(6.54851961741 9046),(7.78832160384 9205),,,(6.64309626604 9586),(6.60150300571 9744),(10.0678812582 9854),,(1.06411205821 10054),,(8.38538889971 10289),(6.31486441358 10442),(8.4087048261 10587),,
Point0,H4,,,,,(2.15265908707 779),,(3.1758415482 1076),(1.75648436765 1234),(0.62519915796 1391),(1.8428376381 1553),,(0.0198311490195 1856),(2.72788042801 2003),(3.81741636287 2146),(1.37676644097 2313),(1.5756352271 2450),,,(2.55738680376 2901),(1.4766203403 3043),,(2.20324256669 3326),(1.33226762955e-14 3491),,,,,,,(3.12257130217 4465),(2.17498506888 4593),,,,,,,,,(3.12303949876 5730),,(2.40225541907 6004),(2.93968420493 6163),(-1.06581410364e-14 6321),(3.19960472308 6450),,,(4.46242973638 6882),,,,,,,,,,,(0.752433641738 8466),(1.2965959738 8630),(3.24081897814 8786),(0.614733671038 8951),,,,,(5.63623608325 9603),,,,(0.845285446549 10065),,(7.61048616723 10305),,,,
Point0,H5,,,,,(2.85807359463 794),,(3.18684469399 1079),(2.10732086501 1244),(1.50523421799 1405),(2.05366583086 1563),,(0.848850963936 1870),(3.05332190872 2012),(3.86826288727 2151),(1.37696330073 2314),(2.01519046798 2461),,,(2.64831915031 2907),(1.67447093831 3051),,(2.67684861294 3338),(0.826330747637 3504),,,,,,,(4.70855235767 4478),(3.35543639919 4607),,,,,,,,,(3.35044922997 5738),,(2.86454325973 6013),(3.09985462351 6171),(0.891111678899 6335),(3.20204927802 6452),,,(4.67039734685 6890),,,,,,,,,,,(1.1407392081 8478),(1.36011911472 8636),(3.41914825544 8794),(0.652236744027 8956),,,,,(5.99398072734 9614),,,,(1.07655596526 10076),,(7.97052174028 10316),,,,
Point0,H6,(7.9936057773e-15 195),(3.10862446895e-14 329),(2.48689957516e-14 477),(9.7699626167e-15 639),(7.1054273576e-15 812),(1.42108547152e-14 957),(-5.3290705182e-15 1103),(-7.9936057773e-15 1259),(-0.0023644395072 1419),(8.881784197e-15 1579),(7.9936057773e-15 1733),(-5.3290705182e-15 1881),(-3.5527136788e-15 2029),(-2.30926389122e-14 2174),(-1.7763568394e-14 2330),(-0.00671043757172 2477),(1.7763568394e-15 2621),(-0.00516416983996 2770),(7.1054273576e-15 2924),(8.881784197e-15 3067),(-5.3290705182e-15 3211),(1.95399252334e-14 3361),(1.33226762955e-14 3491),(8.881784197e-16 3654),(-1.06581410364e-14 3791),(-0.00450746597199 3946),(-0.00104382890694 4074),(-1.06581410364e-14 4218),(-5.3290705182e-15 4353),(5.3290705182e-15 4494),(-1.42108547152e-14 4625),(-6.2172489379e-15 4748),(4.4408920985e-15 4870),(-0.00509808608915 4989),(-0.00188443722429 5114),(-1.95399252334e-14 5228),(-2.57571741713e-14 5355),(-1.06581410364e-14 5484),(-8.881784197e-15 5613),(8.881784197e-16 5756),(5.3290705182e-15 5886),(8.881784197e-15 6029),(1.59872115546e-14 6188),(-1.06581410364e-14 6321),(1.59872115546e-14 6480),(-0.00790189207751 6622),(-1.06581410364e-14 6765),(1.42108547152e-14 6910),(-8.881784197e-15 7055),(1.24344978758e-14 7210),(3.5527136788e-15 7356),(8.881784197e-16 7504),(1.59872115546e-14 7647),(2.04281036531e-14 7783),(3.64153152077e-14 7918),(2.30926389122e-14 8043),(1.06581410364e-14 8190),(3.99680288865e-15 8339),(-0.00294363233155 8495),(8.881784197e-15 8653),(-7.9936057773e-15 8814),(1.15463194561e-14 8969),(9.7699626167e-15 9115),(1.68753899743e-14 9261),(5.3290705182e-15 9390),(-0.0173030554233 9531),(-0.00288574053444 9655),(-0.00742384727561 9800),(-0.0318131692567 9952),(-0.0764501645347 10029),(-0.0367416196427 10091),(-1.7763568394e-15 10228),(-0.00889527645245 10367),(-0.00565385733747 10502),(7.1054273576e-15 10641),(7.9936057773e-15 10784),
Point1,H1,(13.4572179538 102),(17.7971974879 230),(21.0031477162 361),(23.9635461009 514),(23.0292412258 677),(22.078858236 845),(21.4870820872 994),(22.7688730379 1139),(19.761570687 1289),(18.7121532019 1448),(17.695955032 1608),(17.541175803 1765),(19.9910561752 1911),(19.5195342268 2059),(18.5768183192 2210),(17.3248929056 2360),(15.5616420759 2512),(16.0017098614 2658),(18.1451073983 2806),(18.8845393638 2955),(17.5967555907 3098),(19.1476225618 3241),(16.7931275959 3396),(18.8510698901 3544),(19.9964282727 3686),(22.9975512725 3829),(18.8012949108 3977),(25.732931541 4116),(22.010451342 4251),(18.5387691264 4386),(21.6921244044 4524),(10.862944882 4656),(19.1888865405 4778),(19.7793629827 4901),(22.6105620033 5026),(20.0616104972 5142),(21.5981130258 5264),(21.4797818828 5385),(21.8215540219 5514),(21.448218547 5653),(20.6596404567 5785),(21.742815978 5922),(24.9427865522 6064),(22.4285607062 6219),(18.4652628683 6374),(20.9547588846 6515),(21.8983120431 6655),(22.4424312892 6796),(23.0929769257 6942),(23.5562491401 7091),(23.9594278636 7240),(20.6806972747 7391),(20.7222290391 7538),(19.1336789986 7683),(21.3775447038 7816),(21.6482473943 7950),(17.8572073434 8084),(15.2033188727 8225),(16.2116040342 8373),(16.2396365045 8531),(15.1346261454 8687),(17.4632003454 8843),(17.4064299622 9000),(18.1607034494 9155),(20.2996288192 9294),(17.5025866936 9426),(10.8238422842 9557),(13.1788335016 9688),(15.2107635315 9833),(16.583225597 9977),(17.9227882322 10120),(18.0126275681 10261),(16.5984859387 10397),(18.6125417642 10534),(16.3049739285 10675),(14.933598594 10819),
Point1,H2,(6.07403201381 141),,,,,(10.4430709795 876),(9.55029316195 1029),,,(6.6082704943 1490),(7.24106186073 1647),(4.72749317461 1803),(7.35192899212 1949),(7.33021878298 2096),,(5.44663053189 2398),(4.97769686378 2543),(4.41506994926 2689),(7.50270854625 2845),(7.15770149068 2988),(5.97035210171 3133),(7.08864651506 3283),,(7.09545810068 3581),(7.2383583787 3728),,(6.46750942851 4009),,(9.65745917162 4289),(7.2354854653 4412),(4.71157530375 4554),(3.25182656484 4681),,,(7.82058843764 5055),(5.88335092942 5182),(7.37537540315 5294),(7.71219410012 5424),(5.67114010557 5551),(6.02249051353 5697),(8.7651957647 5823),,(10.1459990707 6100),(9.24484511235 6255),(7.50349720719 6404),(10.5545278753 6545),(10.461402367 6688),(10.8857337272 6829),(11.4730488254 6972),,(9.41004653229 7278),(7.27102569636 7425),(6.91759103661 7568),(5.52209397887 7710),(8.53928840755 7852),,(9.13975751578 8112),(7.07782792381 8255),(7.71803430667 8402),(9.34313865011 8555),(8.60647148924 8716),(8.74995353006 8878),(8.12700049692 9035),(7.62642329951 9184),,(7.26490984686 9457),,(5.38826230781 9721),(9.34993139863 9873),(6.18699925639 10041),(8.54273431628 10164),(10.3921026587 10287),(7.77485391468 10429),(10.1155154004 10574),(6.55630515288 10706),,
Point1,H3,(6.07667792974 144),,,,,(11.2115646254 888),(9.56689566527 1033),,,(6.74914369746 1499),(7.39827885142 1656),(5.05912176896 1815),(7.75346063727 1960),(7.57853984171 2105),,(5.66022239025 2407),(5.61195150374 2559),(4.74263289941 2706),(7.56635967337 2852),(7.91719553466 3001),(6.31306494218 3143),(7.13286903715 3288),,(7.52602157487 3592),(7.42048199848 3737),,(8.69365470252 4027),,(9.86299679669 4298),(11.6560864365 4435),(7.79777953646 4571),(8.10522108956 4705),,,(9.14015753418 5072),(5.90293199052 5187),(8.43929965709 5309),(8.30737244451 5437),(7.00611321104 5565),(6.02250184406 5698),(10.416312032 5838),,(10.2233089139 6109),(9.44871536149 6263),(8.16496890187 6424),(10.9383289502 6557),(11.1007583549 6700),(12.4025147721 6845),(12.6118187358 6986),,(9.8960748564 7289),(8.67936067228 7442),(8.27617460843 7588),(6.83564177635 7730),(9.65128381181 7868),,(9.17790342291 8116),(7.55631914915 8269),(8.83460342904 8421),(10.2155906974 8571),(9.11281825929 8730),(9.76260409117 8894),(8.88863734833 9051),(9.10034848918 9203),,(7.61320632581 9471),,(8.10447087317 9744),(10.2579432788 9887),(6.19344969537 10044),(8.54394721628 10165),(10.5010869545 10293),(9.01593189627 10444),(10.2126607992 10583),(7.02234763148 10728),,
Point1,H4,,,(3.81350664266 451),,(1.5545016969 779),,(2.82985479449 1075),(1.62599764708 1233),(0.76901099679 1391),(1.35176327771 1553),,(0.0914031488933 1858),(2.65428506593 2003),(3.69953755648 2145),(1.43377072166 2306),(1.44027215984 2450),,(0.00701007912766 2744),(2.60091857817 2901),(1.62499428157 3044),(0.898279457602 3187),(1.44532617149 3327),(0.314371690789 3489),,,(2.53813262372 3926),,,,(1.40838452725 4466),(1.08898178637 4598),,,,,,,,,(2.77005807305 5730),,(2.3602158967 6004),(2.63250129639 6162),(0.0231226946556 6322),,,(3.50672755127 6742),(4.82193727549 6883),,(1.84371148112 7189),,,,,(4.56856792017 7894),,,,(1.6697408468 8467),(3.87857231299 8628),(3.51617091387 8787),(1.14590338485 8951),,,,,,,,(2.25336001514 10073),,(10.0807665273 10307),,,,,
Point1,H5,,,(3.92891917758 457),,(2.91320447298 797),,(2.84396334813 1079),(2.63078090213 1246),(1.92341905008 1406),(1.99418805046 1566),,(1.13278732067 1872),(3.03864449287 2013),(3.77473916919 2152),(1.85772199509 2317),(2.13517254883 2462),,(0.251237680878 2765),(2.69825082802 2907),(1.74922825691 3052),(1.83784224442 3199),(1.84909923446 3339),(1.56717612595 3503),,,(2.53927377087 3928),,,,(3.48075587173 4480),(1.54920183662 4609),,,,,,,,,(3.27403019647 5741),,(2.79566413589 6014),(3.18785803539 6173),(1.03495819545 6336),,,(3.54719398981 6746),(5.23014203001 6892),,(2.04445097547 7197),,,,,(4.60291103522 7898),,,,(2.36914909479 8479),(3.93603071639 8634),(3.86514390507 8796),(1.17906737505 8956),,,,,,,,(2.26120757861 10075),,(10.1567067948 10314),,,,,
