Cycle,0.79190625
Average Width,6.7085884148
Width,,8.07439596303,7.96642974425,7.59783535857,7.69171533536,7.22331990853,8.10506331015,7.7193435387,7.60871122024,7.32445998418,7.07558334471,6.85560602613,8.56201499824,7.06319309328,7.55949671279,7.23940628947,6.72520893078,5.26547016872,6.34565125278,6.14735297965,6.26634674298,6.27006867785,7.43767333755,6.23696770004,7.2683724599,6.8149428303,5.20351558097,5.7677222802,5.79782732941,5.65668670462,6.60534578681,6.80211166886,5.97921578668,6.28158115262,5.98757266339,6.27033212127,6.27194475407,5.87939211402,6.22296417319,6.08795601784,6.17793367928,5.61539328542
Point1,H5,,(9.36876401192 287),(3.07815103491 490),(7.20207566385 598),(0.2027981523 811),(0.290736575245 974),(1.58798133766 1114),(3.10995654968 1268),(4.19652975943 1447),(7.65047534525 1552),,(4.62708084239 1928),(0.830915185174 2075),(2.68033183 2240),(2.99478777386 2396),(17.543818414 2501),(1.6207948247 2719),(3.92256760384 2875),,(3.4282274896 3211),(1.80207000717 3373),(2.20337188209 3546),(1.57124204979 3694),(1.98919290937 3854),(10.5510602199 3954),(4.07896656191 4168),(2.31487525035 4334),(4.44437145215 4494),(1.46672830827 4649),(2.36111036079 4826),(2.82414305959 5004),,(3.58543139635 5315),(2.45613732283 5517),(2.89730169998 5675),(3.59209186701 5853),(1.92568075542 6006),(2.02633103954 6180),,,,
Point1,H6,(-3.5527136788e-15 205),(0.0 356),(3.20059123685 419),(-0.0046109486642 516),(-2.39808173319e-14 682),(-0.0456711928707 825),(-0.139488946666 962),(1.86517468137e-14 1130),(-0.00282660174363 1301),(8.881784197e-15 1469),(-8.881784197e-16 1623),(-0.0828888992937 1760),(8.881784197e-15 1949),(-0.00686432840946 2060),(1.7763568394e-15 2224),(2.84217094304e-14 2412),(-7.1054273576e-15 2575),(-0.0359320389878 2638),(-0.563990919823 2702),(-5.3290705182e-15 2894),(1.7763568394e-15 3069),(6.2172489379e-15 3228),(-0.00547661137253 3389),(1.86517468137e-14 3562),(1.42108547152e-14 3712),(8.881784197e-16 3868),(3.5527136788e-15 4026),(2.04281036531e-14 4190),(7.1054273576e-15 4348),(3.5527136788e-15 4510),(8.881784197e-16 4675),(1.50990331349e-14 4850),(-0.00701004599366 5021),(-1.24344978758e-14 5194),(-1.42108547152e-14 5368),(-0.00139850434807 5533),(0.0 5698),(1.7763568394e-15 5869),(-1.06581410364e-14 6035),(-8.881784197e-16 6201),(3.5527136788e-15 6365),(-1.42108547152e-14 6540),(-0.00848075963666 6702),
Point2,H1,(26.3913346543 34),(21.5105261682 199),(18.2861699851 355),(22.6025740369 515),(22.1830045637 676),(20.5781485683 833),(21.932621659 979),(24.4052131576 1134),(24.3736464927 1299),(22.5065091312 1465),(22.2487600145 1622),(25.1872004835 1783),(21.1718014991 1946),(20.8030509523 2099),(21.9700683135 2251),(27.0913646076 2411),(17.5753092719 2568),(27.1679614215 2727),(23.555193326 2893),(24.8249656156 3063),(22.8178998684 3224),(23.8872545529 3392),(24.491835307 3558),(17.6653960117 3713),(25.7538598219 3865),(24.6583983471 4022),(21.4121736666 4190),(21.3252649309 4347),(22.7432354697 4503),(25.6928219879 4675),(24.1843980104 4852),(23.1825071454 5019),(24.195375531 5188),(24.3649557889 5364),(21.6222988096 5530),(22.6459270081 5698),(24.5546607711 5864),(23.1090470892 6035),(23.0000430646 6196),(25.7510414196 6364),(25.7823637511 6535),
Point2,H2,,(6.01877279647 233),(3.26790467104 384),,(5.28090356422 714),,(5.13750398452 1010),(10.2748045743 1166),,(6.76196827509 1499),(5.26468748304 1655),(8.06994398318 1819),(3.84926474034 1979),(3.19233715239 2129),(6.86207918247 2286),,(-0.0566341362892 2606),(10.721893362 2764),,(6.66742996085 3101),(4.86194374036 3260),(6.36440560856 3423),(7.26307141408 3590),(-7.1054273576e-15 3743),,(7.15721390832 4060),(4.21521168382 4221),(5.87096044714 4380),(6.11483603739 4541),,(7.54361775522 4884),(6.97663364664 5051),,(7.92063722316 5395),,(5.92932924321 5726),(7.13837593827 5901),(6.17414054408 6064),,,,
Point2,H3,,(10.8021142433 255),(8.15695512532 412),,(6.72892523136 731),,(6.57490506194 1030),(10.7137457031 1178),,(9.21673026716 1518),(7.99857039517 1677),(11.7794354051 1840),(7.85518094784 1999),(6.27339170463 2150),(9.27113418402 2305),,(4.62232081024 2627),(14.6057049925 2784),,(11.0650391864 3121),(9.08346709538 3280),(9.0729327984 3444),(11.5692025543 3612),(4.72011035187 3767),,(10.1108444832 4081),(9.96880404618 4245),(10.3161088196 4403),(8.84316070237 4560),,(10.2057863958 4907),(10.3746223103 5071),,(10.1418860036 5418),,(9.92568054296 5752),(9.60937975696 5918),(10.7026014001 6089),,,,
Point2,H4,,(0.145085293185 312),(2.40223922051 440),(7.51926810736 544),(-3.5527136788e-15 765),(3.93918324207 859),(0.967532161833 1071),,,(0.797215973141 1572),(1.19498895799 1729),(4.55759716563 1889),(-0.00922772354163 2029),(-1.15463194561e-14 2192),(1.79048497335 2350),(13.5398213879 2444),(-0.524466626039 2670),(5.02675377422 2835),,(2.77471596566 3163),(0.946151085203 3330),(1.39255576767 3498),(3.40849763828 3650),(-0.995826415376 3809),(10.7218784296 3901),(3.88066032493 4129),(2.52715065145 4286),(1.42332772309 4445),(0.979682745326 4602),,(2.81126962758 4959),(2.94538313406 5121),(6.2154710253 5220),(1.46391899349 5472),,(1.46992100829 5796),(1.62512633033 5963),(2.81478883211 6125),,,,
Point2,H5,,(0.168021136936 316),(3.34985276917 453),(8.84941374359 567),(1.54024754211 783),(9.60136106993 884),(2.81331414777 1086),,,(0.883690424288 1579),(2.66160970028 1742),(4.62863140108 1895),(0.572355533209 2041),(3.18455091782 2208),(3.58501526728 2365),(19.3340063168 2469),(1.7835516964 2687),(5.06008374201 2839),,(3.66819299974 3178),(2.19345219008 3343),(2.46815535164 3515),(3.75608601561 3659),(1.52121598824 3824),(12.7288857247 3920),(4.37361184993 4139),(3.32617762155 4299),(4.12532380366 4462),(2.12142887497 4620),,(3.85030436919 4972),(2.95367374797 5124),(10.6806431535 5245),(2.29813027546 5485),,(3.96489185421 5820),(2.12605244598 5977),(3.6813095163 6141),,,,
Point2,H6,(0.0 172),(3.5527136788e-15 324),(-0.00509529579612 483),(1.7763568394e-15 647),(-3.5527136788e-15 765),(-0.00942844183708 949),(-8.881784197e-15 1101),(2.6645352591e-15 1267),(-3.5527136788e-15 1437),(-0.00138814902223 1592),(8.881784197e-15 1756),(1.7763568394e-15 1917),(-0.199989077942 2064),(-1.15463194561e-14 2192),(2.30926389122e-14 2381),(5.3290705182e-15 2543),(-0.0566341362892 2606),(-0.524466626039 2670),(-0.00237907099509 2861),(1.59872115546e-14 3036),(-1.7763568394e-15 3196),(6.2172489379e-15 3358),(-0.0131373099155 3530),(-0.0346176871424 3681),(-7.1054273576e-15 3743),(-0.995826415376 3809),(-0.0145548970207 3993),(-1.7763568394e-14 4158),(4.21521168382 4221),(-0.00101882232059 4316),(-5.3290705182e-15 4477),(-1.24344978758e-14 4641),(-0.03487031362 4809),(-1.7763568394e-14 4989),(-0.000805667660281 5160),(-8.881784197e-15 5337),(5.3290705182e-15 5500),(2.13162820728e-14 5664),(1.7763568394e-15 5836),(-1.86517468137e-14 6002),(-1.15463194561e-14 6168),(-1.06581410364e-14 6333),(3.5527136788e-15 6507),(-0.0306686806664 6670),
Point3,H1,(27.8570921721 33),(21.5513609713 198),(18.3741060402 354),(22.3377829689 514),(21.7818793542 676),(20.4510337952 832),(21.7088176118 978),(23.6209736903 1134),(23.7736578824 1299),(21.1675939891 1465),(21.7050235526 1621),(24.6885480981 1783),(20.4905848048 1946),(20.4486385014 2098),(21.2422842068 2251),(24.9679261486 2411),(12.5702060073 2568),(24.0868573983 2727),(20.3739096057 2893),(21.1842855101 3062),(21.6044485887 3224),(22.742863209 3392),(21.8359301663 3557),(17.9890500905 3713),(23.3270533915 3865),(17.3754808234 4020),(17.5836383067 4190),(17.159816534 4347),(18.7940964492 4503),(23.1711627849 4675),(21.3310170856 4852),(20.3534087136 5019),(21.0696612255 5188),(20.4261631967 5364),(19.6722834195 5530),(19.8741297226 5697),(21.172039184 5864),(20.0078011793 6035),(19.5689849204 6195),(22.5029572119 6364),(20.3319947983 6534),
Point3,H2,,,(3.79022872159 384),(8.673893818 543),(5.81665396329 715),,(5.84018855647 1010),(11.0039079703 1166),(8.29979705631 1331),,(5.81899154147 1655),,(4.03459350592 1979),(3.04835456983 2129),(7.07002683325 2287),,(-0.0277135610922 2604),(10.0518896894 2764),,(6.29786066205 3100),(5.05799742599 3259),(6.74818412836 3422),(6.00522427861 3590),(3.99287229528 3742),,,(5.75128888386 4220),(4.96220256654 4380),(4.2981109976 4541),,(7.20256066173 4885),,,(7.28391456533 5398),(3.95511960206 5562),(4.98981957936 5726),(5.79644495098 5902),(5.60645386456 6064),,,,
Point3,H3,,,(8.65022033844 412),(9.67890731447 564),(7.42217244588 732),,(7.49557721415 1029),(11.2783490166 1177),(10.1968647974 1353),,(8.68609428004 1677),,(7.84405654918 1999),(6.64804165546 2149),(9.26756585365 2305),,(4.53976504952 2628),(13.5800081947 2784),,(10.040235088 3121),(8.45032602825 3279),(9.39219452308 3446),(9.68883260855 3612),(8.03775244347 3765),,,(10.4662181142 4245),(8.53056715111 4403),(7.24071678231 4559),,(9.21016853453 4907),,,(8.84508330276 5419),(7.96419322336 5582),(8.86870665016 5749),(7.4055988222 5918),(9.8241462935 6089),,,,
Point3,H4,,(7.25620360653 233),(2.27900273505 440),(2.89649953683 608),(0.480087014803 764),(5.23593493111 859),(0.953048400862 1070),,(3.59839044597 1383),(7.03014764851 1498),(1.35922639123 1728),(8.5873729444 1819),(-1.06581410364e-14 2028),(-0.00338913066174 2191),(1.70036283498 2348),(13.4043903228 2444),(-0.0113601822904 2669),(4.32846860039 2834),,(2.60248925879 3161),(1.24409853583 3329),(2.29871794247 3502),(2.47146335547 3649),(0.338055191742 3809),(11.0758224956 3900),,(3.05976041435 4286),(1.1122673451 4444),(-0.00431378514068 4602),,(2.94576883638 4957),(7.05633574144 5051),(5.68394724638 5220),(1.56887279665 5471),(3.30909107731 5610),(1.14599691637 5798),(1.21204516733 5960),(2.85836546588 6125),,,,
Point3,H5,,(12.2418509103 255),(3.0194330548 453),(2.98491156694 616),(2.11040674088 782),(11.0140966017 883),(2.26888852585 1085),,(5.38930075728 1414),(9.8057739249 1517),(2.39258431593 1740),(12.411891582 1840),(0.648732208512 2042),(2.98983691109 2207),(3.46654201474 2364),(19.330719641 2468),(2.14707249228 2686),(4.38795131147 2840),,(3.83535544727 3178),(1.90426080336 3341),(2.88225002614 3514),(2.70946777038 3658),(2.04370030398 3822),(13.2763767059 3920),,(3.38768845353 4297),(3.36841177343 4461),(1.42910786103 4622),,(3.94038662103 4971),(9.03860915172 5069),(9.88616169932 5245),(2.53656193569 5484),(3.32297539318 5613),(3.26269757797 5819),(1.55560440327 5973),(3.95190997253 6142),,,,
Point3,H6,(-0.0164440913692 171),(1.15463194561e-14 324),(-2.04281036531e-14 482),(-1.59872115546e-14 645),(0.0 799),(6.2172489379e-15 947),(0.0 1099),(1.7763568394e-14 1266),(8.881784197e-15 1436),(1.33226762955e-14 1590),(5.3290705182e-15 1754),(5.3290705182e-15 1916),(-0.38235862451 2066),(-0.00338913066174 2191),(1.42108547152e-14 2380),(-0.0315141000643 2543),(-0.0277135610922 2604),(-0.0113601822904 2669),(-1.06581410364e-14 2861),(-0.00448435326823 3036),(-3.5527136788e-15 3195),(9.7699626167e-15 3357),(0.0 3530),(7.1054273576e-15 3679),(3.99287229528 3742),(-4.4408920985e-15 3835),(-0.137403923898 3994),(-0.0397255906721 4060),(-0.0135297281931 4156),(-1.42108547152e-14 4316),(-2.30926389122e-14 4476),(-0.0704772450395 4641),(-0.00949696459578 4804),(-6.2172489379e-15 4989),(-2.6645352591e-15 5160),(8.881784197e-16 5336),(-0.00643527078654 5500),(-0.00116973152541 5663),(1.06581410364e-14 5836),(5.3290705182e-15 6003),(-0.00102757643362 6167),(0.0 6332),(-1.15463194561e-14 6507),(-3.5527136788e-15 6669),
