Cycle,0.882471891534
Average Width,5.06973668661
Width,,6.95036390869,5.39548427589,5.16585688386,5.59386497681,5.53490743969,5.22488418592,4.29528302704,4.90328967886,5.06040817002,4.80760137282,4.66631337566,4.89612102724,5.10289468274,5.09262486943,5.23623251526,5.027473742,4.89061856697,4.83220820073,4.99461233621,4.67361183764,4.83480268811,5.09420250545,4.77470078042,4.93367923722,4.9180745614,4.72603688336,4.97799305795,5.34848243763
Point0,H1,(53.0364857677 40),(43.2943188092 230),(38.2400967735 419),(43.5989291831 604),(42.1463243407 792),(38.1899917862 979),(30.2618338671 1158),(40.871603806 1350),(39.6753687799 1525),(39.3928951712 1720),(35.7836681001 1895),(37.7394669179 2085),(37.6268364974 2225),(41.6774221505 2443),(41.1070478514 2629),(37.2381722505 2814),(35.5128251171 2999),(33.870530359 3179),(38.274575356 3364),(32.8626950451 3544),(35.1172944003 3725),(33.565855974 3910),(29.4113733112 4091),(32.6932857412 4270),(30.5572289186 4452),(29.5049540795 4634),(34.2327621804 4810),(40.301295719 4992),
Point0,H2,,,,,,(8.84571661827 1016),(4.64744877876 1245),(19.5133369774 1380),,,,(12.253132072 2122),,(10.9883341383 2484),(4.69788619178 2719),,(-0.0529794702317 3069),(1.11599059906 3260),,,(-0.0191994629814 3805),,,,,,(-0.00845644853376 4883),,
Point0,H3,,,,,,(9.42435677044 1026),(4.65529533539 1249),(21.3711029456 1393),,,,(12.2770652119 2125),,(11.8565730354 2493),(4.99486566055 2730),,(0.896609552916 3092),(1.2834127264 3271),,,(0.902908415961 3824),,,,,,(3.64638724491 4909),,
Point0,H4,,(1.69969821381 346),,(1.54519247942 711),(5.97415506492 881),(2.33794629776 1085),(-0.0248230789598 1277),,(-6.03961325396e-14 1607),(0.794338084314 1839),,(3.8374320967 2160),,(3.33881168911 2559),(2.95758635563 2749),,(0.773258078512 3102),(-0.0184363163643 3292),(3.38597844139 3466),,(0.759960946413 3836),,,,,,(1.46862807099 4926),,
Point0,H5,,(2.30040538802 359),,(1.55764170121 715),(6.19217622506 890),(3.5135664879 1100),(3.00154729163 1294),,(6.1555428163 1657),(1.07031851737 1849),,(4.36554100781 2169),,(3.35009395272 2562),(3.81257922111 2761),,(3.17216781471 3127),(0.81505444903 3311),(3.39121080972 3471),,(1.22547591584 3853),,,,,,(2.55190441061 4938),,
Point0,H6,(-0.0999940248525 186),(8.881784197e-15 377),(-1.7763568394e-15 567),(3.19744231092e-14 753),(-0.00341533471406 938),(1.33226762955e-14 1120),(-0.0248230789598 1277),(-0.00362255672046 1462),(-6.03961325396e-14 1607),(-4.79616346638e-14 1673),(7.1054273576e-15 1860),(1.42108547152e-14 2042),(1.42108547152e-14 2185),(2.13162820728e-14 2318),(7.1054273576e-15 2407),(2.30926389122e-14 2586),(4.08562073062e-14 2776),(-0.0133331179022 2956),(-0.0529794702317 3069),(2.13162820728e-14 3144),(-0.0184363163643 3292),(-1.06581410364e-14 3508),(-0.0148234272669 3686),(-0.0191994629814 3805),(4.4408920985e-15 3871),(-0.00156986507381 3999),(2.6645352591e-15 4056),(1.06581410364e-14 4174),(1.24344978758e-14 4233),(-0.01579171844 4417),(9.7699626167e-15 4516),(-0.0513786515184 4570),(-0.0109598672085 4776),(-0.00845644853376 4883),(-0.0369019712874 4952),(5.3290705182e-15 5135),
Point1,H1,(55.4039326766 39),(54.3746714378 229),(51.5993657284 418),(53.430043404 603),(52.4913633237 791),(51.0869354417 978),(59.3894605004 1158),(63.5581957947 1347),(59.7029820275 1524),(59.4764114014 1718),(56.8645389826 1894),(55.6475623768 2084),(51.5802694707 2225),(59.1062281501 2442),(54.7154662998 2629),(52.636655378 2815),(54.7673448304 2997),(50.8888834999 3178),(55.4417980143 3363),(54.1513050949 3544),(51.71877952 3724),(47.6289621203 3909),(48.5652942148 4090),(49.1424525371 4270),(47.6694604282 4452),(49.2089610562 4633),(51.176082156 4810),(55.4468186534 4991),(50.1493332859 5172),
Point1,H2,,,,,,(14.5927994114 1016),,(25.6414069457 1380),(4.10891486552 1611),,,,,(17.8893609026 2483),,(15.7513103426 2852),,,,,(9.60598215468 3766),(0.0350849830745 3994),,(8.64978735288 4311),,(3.29402776463 4708),(4.48233892352 4885),(14.0638253901 5033),,
Point1,H3,,,,,,(14.6645013903 1020),,(27.0383266028 1390),(5.90370623496 1632),,,,,(19.0255896397 2492),,(16.5137329984 2860),,,,,(9.75693123918 3771),(1.95728632916 4013),,(8.84912036666 4317),,(3.60946665227 4718),(5.07342340832 4901),(14.0642782313 5034),,
Point1,H4,,(2.30279337396 346),(2.27067692265 538),,(3.5178732067 905),(3.21297366499 1085),(2.19322333778 1278),(-2.48707099928e-05 1459),(5.37824881268 1642),(2.40520007338 1835),,(6.1512973621 2157),,(4.53436721582 2556),(3.38639682852 2747),(4.44866672334 2924),(-0.0426632870427 3088),(0.650333008876 3288),(4.4487147454 3471),(2.07457657401 3659),(-0.03663487765 3836),(0.985744518754 4028),(3.5527136788e-15 4202),(2.49986500886 4363),,(1.20970260168 4745),(1.23782682399 4925),(4.09704272962 5095),,
Point1,H5,,(2.81266323999 357),(3.06228620482 550),,(4.17358805197 917),(3.70244481285 1096),(2.99148825851 1289),(1.02929585983 1480),(7.43805234321 1656),(2.90639133166 1846),,(7.71289231885 2168),,(5.07336390602 2567),(4.04556711701 2758),(5.41785841738 2936),(1.8913330794 3125),(1.86635924443 3305),(4.45575843879 3474),(2.21440975094 3667),(1.11102861329 3853),(1.18460835885 4037),(1.2218567439 4218),(2.9313673105 4378),,(1.53260481764 4756),(2.16546772614 4937),(4.73908101387 5109),,
Point1,H6,(-0.013533058619 187),(-2.48689957516e-14 375),(-2.13162820728e-14 565),(-1.24344978758e-14 752),(-3.90798504668e-14 936),(-0.021458214615 1116),(-1.7763568394e-14 1302),(-2.48707099928e-05 1459),(4.10891486552 1611),(1.7763568394e-14 1672),(2.84217094304e-14 1860),(1.42108547152e-14 2041),(-1.42108547152e-14 2185),(-0.0170407661441 2333),(1.7763568394e-14 2405),(-1.42108547152e-14 2586),(-1.42108547152e-14 2774),(-3.5527136788e-15 2954),(-0.405823919676 3140),(-0.0149380532874 3319),(-5.3290705182e-15 3503),(3.5527136788e-15 3684),(-0.35276205042 3869),(0.0350849830745 3994),(-0.0190201715158 4050),(3.5527136788e-15 4202),(-0.0111017192153 4408),(-0.0430517004159 4571),(-0.000358371549355 4770),(-1.06581410364e-14 4950),(1.42108547152e-14 5131),
Point2,H1,(32.1946479007 36),(36.2484942678 227),(37.4531950786 416),(35.2404178527 602),(34.4378664706 789),(35.9532681369 976),(45.6295389391 1155),(47.547693662 1347),(43.223027855 1521),(43.5603534461 1717),(42.9239072797 1892),(40.452634732 2081),(36.1413211225 2224),(42.9108642513 2440),(38.8858545392 2627),(38.0087322375 2818),(44.0837003584 2996),(40.3387297062 3177),(45.4094183801 3362),(44.9480746845 3542),(39.8597645653 3723),(38.9858550533 3908),(41.274835368 4088),(40.2646962418 4269),(38.8336976594 4451),(41.4002118904 4631),(40.0028984368 4808),(42.2875731276 4991),(43.4694133446 5170),
Point2,H2,,,,,,,,(24.0663669874 1377),(-0.0618553326592 1604),,(15.8064285379 1936),,,(15.4471347982 2483),,(14.9501788141 2851),(2.50719273033 3088),,,,(10.8216249225 3765),(1.04647820553 3993),,,,,,,,
Point2,H3,,,,,,,,(25.1419287684 1388),(3.9076192718 1633),,(16.8044272788 1946),,,(15.6284381819 2489),,(15.1005859357 2857),(2.67470916352 3098),,,,(10.8330586933 3768),(2.25278434011 4010),,,,,,,,
Point2,H4,,(2.51384221375 344),(2.44709768424 537),,(3.49748578079 905),(3.99592204456 1084),(1.51775902664 1277),(-0.0318416316076 1458),(3.77614726345 1639),(2.62454928423 1836),(5.92812804197 2011),(5.39868869059 2156),,(3.95515675567 2555),(3.24226449013 2747),(3.94623380252 2923),(2.09772930467 3113),(1.52702514023 3287),,(2.3929028128 3660),(0.794971715907 3834),(1.15048875162 4027),(0.56006697833 4203),(2.52740153891 4364),(0.263001107609 4569),(1.38697113411 4745),(1.97586567412 4924),(4.43264836782 5097),,
