Cycle,0.677023255814
Average Width,6.16605964113
Width,,6.68174207109,6.5261860402,6.77910860489,6.91858087653,6.95092509663,6.95111700442,6.66125045796,6.6188540468,6.79736008265,6.5282560709,6.52350625215,6.04056140962,6.10173468879,5.93293682804,5.90026406956,5.92516209566,5.87805626061,5.59418368925,5.6837051813,5.46426042503,5.74807744622,5.83609624773,5.97813129646,6.00432236597,6.06539749946,5.86593698862,6.01620242774,6.02356505468,5.88809899425,5.71349077141,5.78112496363,5.69718459829,6.05256106942,6.17618518909,6.13310722093,5.79709815967,5.85846514724,5.96070252924,5.93878418532,6.25874822579,6.24487997132,6.44222853768,6.68397871785,6.68450534951
Point1,H5,(6.37639646217 126),(8.15632208977 268),(5.21967324984 407),(7.86703603166 573),(14.4268691157 663),(3.17530303076 844),(3.19271883253 973),(3.73663050566 1097),(5.84223019849 1245),(6.50263329308 1388),(6.35088906082 1532),(13.1817007475 1624),(4.88952584116 1805),(3.51228026208 1934),(1.93069893658 2061),,(0.584514703705 2305),(1.81350739644 2414),,,(6.48314051825 2781),(7.77737585 2912),(5.9726572569 3081),(7.1813886731 3242),,(4.65381272986 3532),,(3.50811959323 3789),,,(3.96965079739 4168),(6.54375390214 4332),(7.63877473352 4474),(5.15707059023 4604),(4.94814051594 4733),(6.53095731352 4877),(5.04205566778 5015),(6.5047754541 5179),(7.57589991687 5310),,,(3.95985448506 5800),,
Point1,H6,(1.7763568394e-15 143),(5.3290705182e-15 288),(3.5527136788e-15 439),(3.5527136788e-14 591),(3.5527136788e-15 729),(1.24344978758e-14 859),(-1.95399252334e-14 988),(-2.30926389122e-14 1123),(-1.7763568394e-14 1264),(-1.7763568394e-14 1407),(-0.0134404373687 1551),(-8.881784197e-15 1688),(-3.19744231092e-14 1821),(-3.19744231092e-14 1949),(-2.22044604925e-14 2075),(-1.7763568394e-14 2191),(-2.13162820728e-14 2314),(-1.59872115546e-14 2428),(-2.30926389122e-14 2541),(-1.7763568394e-14 2656),(-0.0145421362363 2798),(-0.00126678497764 2956),(1.95399252334e-14 3104),(1.95399252334e-14 3262),(8.881784197e-15 3416),(2.13162820728e-14 3553),(5.3290705182e-15 3681),(2.48689957516e-14 3805),(-0.00335075716118 3919),(0.0 4052),(0.0 4197),(-0.00820903448346 4350),(-2.13162820728e-14 4494),(-1.06581410364e-14 4623),(-0.00989566992914 4752),(1.24344978758e-14 4894),(3.19744231092e-14 5042),(7.1054273576e-15 5198),(2.13162820728e-14 5361),(1.7763568394e-15 5526),(1.06581410364e-14 5680),(7.1054273576e-15 5828),(1.24344978758e-14 5968),
Point2,H1,(21.2674051661 33),(24.2329611232 169),(25.221769398 317),(26.7451493534 469),(24.9376111814 618),(19.7130736491 756),(23.6018268917 886),(22.9593241501 1015),(23.8089856614 1156),(23.8150106438 1296),(25.1197238755 1437),(24.5809314186 1577),(24.3330557024 1715),(25.9964209032 1847),(24.5091504971 1975),(22.8437215006 2101),(20.1431209156 2226),(21.9201364703 2340),(22.3798306754 2454),(22.5932563492 2568),(23.2949039973 2692),(26.6985349362 2825),(31.0827325561 2983),(28.4142511088 3140),(28.820154014 3290),(27.8284773414 3445),(23.3395026839 3585),(23.5047585484 3714),(25.1301436657 3832),(22.1366040991 3953),(25.9602082767 4086),(26.1184200785 4229),(26.2976527099 4378),(24.2845510546 4520),(24.5195230645 4653),(26.6845602148 4785),(30.2845599089 4920),(32.5467496594 5076),(32.491156285 5227),(32.5433502156 5395),(31.0165289839 5556),(28.1759022003 5713),(22.7347107202 5858),(24.4079141429 5998),
Point2,H2,(11.2650948954 60),,,(15.2811404607 491),,(8.0115606385 780),(12.2138210834 910),,(12.7158414803 1180),(12.444633244 1322),(12.8578810822 1465),,(9.13016089967 1738),(11.3934379312 1872),(10.6316879172 2001),(8.64461178259 2125),(7.23023648158 2248),(8.1041658644 2365),(11.4896866964 2481),,(14.1806688919 2722),,(22.429153428 3004),,,(14.0317420317 3469),(11.6762114124 3612),(11.9655318399 3743),,,,(16.1755125597 4254),(16.7831205768 4417),(12.470118145 4546),(13.3925695263 4680),(15.3070472931 4814),,(18.4378710925 5099),,(18.0956676274 5419),(15.8593397492 5578),(11.6340207341 5736),(8.74290405108 5879),,
Point2,H3,(12.2569216963 72),,,(16.0790371966 501),,(11.5310766971 798),(12.5005483304 917),,(13.7258441603 1192),(14.2240298872 1336),(14.4760133179 1479),,(13.2340918549 1755),(13.9799234332 1890),(11.8859060323 2016),(10.8436882961 2141),(10.3312621106 2265),(10.4268488458 2384),(12.0401134024 2495),,(14.1915087587 2725),,(22.4588622615 3007),,,(14.6549227277 3479),(13.0216184018 3626),(12.7089225989 3755),,,,(16.3781015611 4261),(16.8347000802 4421),(14.7102987273 4563),(14.5337447712 4693),(16.0269706868 4824),,(19.2325154999 5108),,(19.0758028689 5430),(17.6373550493 5591),(16.928430057 5753),(15.8194266626 5899),,
Point2,H4,(2.84750342037 111),(5.75297917881 255),(4.04547289536 401),(5.47815846969 560),(12.8334493715 656),(2.15283735427 831),(2.82805902084 965),(3.93914109368 1094),(4.14432020651 1232),(3.87802756451 1374),(5.38097448492 1520),(11.5157806421 1607),(2.77876562541 1792),(3.34897520165 1923),(1.74337671025 2054),,(0.176290801373 2296),(2.13226894522 2410),,,(4.13993059072 2769),,(6.62538892726 3072),(7.26539159981 3236),(6.52980054121 3373),(4.17373653835 3520),(3.54694373466 3657),(3.67013152236 3784),,,(4.23043671518 4161),(6.30983451487 4323),(5.80200149091 4463),(4.06077808209 4594),(3.93923874886 4723),(5.29504481203 4863),(5.4996682284 5008),(6.68096714769 5169),(9.01751411406 5307),,(5.61305017537 5647),(4.20181314728 5790),(3.78544679812 5935),,
Point2,H5,(5.4333534618 126),(7.01583821111 268),(4.11781728346 406),(6.62413346928 573),(12.9168364353 661),(2.90558429206 843),(2.93616692928 971),(3.96378808256 1098),(5.18752290725 1244),(6.06044066497 1389),(6.88848454321 1533),(13.4310578728 1623),(5.06249124799 1806),(4.39514872211 1934),(1.83537040376 2060),,(0.852408640779 2305),(2.18757929992 2414),,,(5.47437313843 2781),,(7.02601422648 3081),(7.31259286875 3241),(6.61030943566 3379),(5.34679544164 3533),(3.60740162163 3661),(3.96878257959 3790),,,(4.47920936695 4169),(6.46925697239 4330),(7.07560018751 4476),(4.94772790209 4605),(5.05247708827 4735),(7.4104031353 4877),(5.8289300706 5016),(7.79184457122 5181),(9.03789943971 5310),,(6.01585940043 5657),(4.85742372229 5800),(5.74090298058 5949),,
Point2,H6,(-0.00396121486887 1),(1.24344978758e-14 143),(-3.5527136788e-15 287),(2.6645352591e-14 439),(3.5527136788e-15 591),(7.1054273576e-15 729),(1.06581410364e-14 859),(7.1054273576e-15 988),(-1.7763568394e-15 1122),(2.30926389122e-14 1264),(1.95399252334e-14 1407),(1.42108547152e-14 1551),(-1.06581410364e-14 1687),(-0.00518080739652 1821),(-8.881784197e-15 1949),(7.1054273576e-15 2074),(3.5527136788e-14 2192),(2.30926389122e-14 2315),(4.61852778244e-14 2428),(2.84217094304e-14 2541),(2.84217094304e-14 2655),(2.48689957516e-14 2798),(1.06581410364e-14 2956),(0.0 3105),(2.30926389122e-14 3262),(7.1054273576e-15 3417),(7.1054273576e-15 3553),(0.0 3681),(5.3290705182e-15 3806),(1.7763568394e-15 3919),(-7.1054273576e-15 4051),(0.0 4196),(-1.59872115546e-14 4350),(0.0 4494),(-1.59872115546e-14 4623),(-0.000144632436754 4752),(-8.881784197e-15 4894),(0.0 5042),(8.881784197e-15 5199),(1.7763568394e-14 5361),(1.24344978758e-14 5526),(-8.881784197e-15 5681),(-1.42108547152e-14 5828),(-1.42108547152e-14 5968),
Point3,H1,(11.7143639655 33),(13.7640552856 169),(15.5739029517 317),(15.810545143 469),(14.5892263722 618),(12.2485506526 757),(13.1213987912 886),(12.3992349005 1015),(12.9232292147 1157),(14.0177557326 1297),(15.2485580724 1437),(14.6942078253 1577),(14.4508815553 1716),(16.1038426161 1847),(14.9325212795 1975),(13.5622082258 2101),(11.331735232 2226),(12.5151451439 2341),(11.2264256919 2455),(11.3697988816 2569),(11.7398989763 2695),(13.6021645771 2826),(18.0481399673 2984),(16.6990700766 3142),(17.4263023368 3290),(16.2984123809 3446),(14.273776465 3586),(13.5570896535 3715),(13.9824653191 3833),(11.1024429108 3955),(14.9489970858 4088),(13.4072899596 4232),(15.0910945502 4379),(14.4091523021 4522),(16.1909750988 4654),(17.0563525793 4786),(20.2966977119 4921),(22.3601576997 5077),(22.8250172696 5227),(22.9238378977 5396),(21.3977429543 5557),(19.5612194559 5714),(11.9122634244 5859),(13.8904580418 5996),
Point3,H2,(7.24202082573 63),,,(10.0076431955 492),,(5.61940123021 780),(7.63353733736 911),(6.55266509466 1060),(8.69053888765 1182),(8.38302529943 1325),(8.98380815208 1465),(7.9395518706 1606),(6.4243144525 1739),(7.93163578126 1871),(7.09228220317 2001),(5.71926412691 2125),(5.02929091596 2249),(5.72973811366 2365),(7.28739287348 2480),,,(12.6941526105 2838),(14.5333419404 3002),,,(9.56256438322 3472),(8.74223582714 3615),(7.81193776741 3745),,,,,,(8.6100233325 4546),(10.0281849351 4680),(11.3341364833 4816),,(13.8115396313 5101),,(14.2389712509 5419),(12.50609923 5579),(9.12054506891 5736),,
