Cycle,0.762794117647
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.44585076787 28),(9.75590694816 173),(12.3545361473 329),(11.4663517437 477),(9.68893664689 620),(11.2878673276 766),(12.528456432 923),(11.8180834342 1085),(11.8383322241 1241),(9.87773317364 1390),(13.2122296603 1548),(11.9573081833 1706),(10.6982521939 1873),(9.75801944086 2030),(8.99956239795 2174),(10.0354782612 2329),(10.6227634268 2492),(10.1399572368 2671),(9.21396264028 2830),(8.32015621085 2989),(9.89374265416 3132),(8.68548907406 3317),(10.3902905951 3452),(7.46273685808 3633),(7.28744530104 3789),(7.08687653092 3951),(7.85343649492 4103),(10.211129323 4271),(8.64602324565 4430),(8.01747387751 4593),(7.78659586727 4732),(11.0034829171 4914),(7.95466726424 5060),(7.67808886267 5223),(5.30744588444 5360),
Point0,H2,(8.71130016767 43),(5.72894314193 218),(7.2890430041 363),,(5.39403524074 665),(10.9567510754 775),,,,(5.83215032021 1429),,(6.89426353529 1752),(3.03853727317 1956),,,(8.88612294981 2345),(10.0288508842 2506),,(4.55014816836 2873),(5.36412771719 3030),(9.05823814924 3148),,,,,,,,,(4.70178900937 4621),,,(0.969652007481 5143),,,
Point0,H3,(8.71708930573 45),(5.73165029088 220),(7.33551712906 370),,(5.40990283267 669),(11.1221458282 784),,,,(5.90299045588 1437),,(6.948651442 1758),(3.20358812118 1965),,,(8.99325280781 2352),(10.0891966184 2513),,(4.66810080909 2882),(5.46248627372 3038),(9.05928509758 3149),,,,,,,,,(4.72600941621 4626),,,(1.09267991583 5152),,,
Point0,H4,(6.24832722977 72),,(2.35524775025 408),,,,(1.84304382468 1012),,,(1.66031958974 1479),(1.37703197796 1636),(1.68928330979 1798),(-7.9936057773e-15 1986),,(0.892886211971 2255),,,(0.963964972868 2759),,,(0.18153661973 3226),,(0.0 3584),(0.589906574453 3706),(0.39635147503 3876),(0.365128141028 4034),(0.753611186412 4201),(1.47550298063 4347),(1.67467450371 4505),(0.346286967167 4677),(0.719924697824 4817),(2.42303799988 4984),(4.4408920985e-15 5168),(1.03964823428 5300),,
Point0,H5,(6.32017759609 79),,(2.4507848123 415),,,,(2.0316859773 1022),,,(1.75219109973 1487),(1.75555111212 1648),(1.81312472398 1806),(9.68750255109 2015),,(0.931587894455 2262),,,(1.25830112174 2770),,,(0.416209993137 3237),,(7.13931386102 3613),(1.05352073558 3724),(0.660206421173 3890),(0.982650817154 4049),(0.757393764196 4205),(1.63767371859 4358),(2.28528746782 4523),(0.551470989818 4688),(1.12351108688 4832),(2.5808933686 4993),(5.81619670311 5195),(1.38599561888 5312),,
Point0,H6,(-0.0134086598792 1),(1.06581410364e-14 143),(1.42108547152e-14 284),(1.50990331349e-14 434),(-9.7699626167e-15 589),(-8.881784197e-16 734),(3.5527136788e-15 882),(-8.881784197e-15 1041),(-2.6645352591e-15 1200),(-1.15463194561e-14 1360),(-1.7763568394e-15 1505),(-1.68753899743e-14 1665),(8.881784197e-16 1824),(-7.9936057773e-15 1986),(-4.88498130835e-15 2140),(-0.00227808625166 2285),(0.0 2458),(-0.00215859085239 2623),(2.6645352591e-15 2788),(4.4408920985e-15 2948),(1.33226762955e-15 3103),(8.881784197e-16 3253),(8.881784197e-16 3421),(0.0 3584),(4.4408920985e-15 3748),(4.4408920985e-16 3907),(-1.24344978758e-14 4064),(-0.00442269214116 4223),(-2.6645352591e-15 4382),(1.7763568394e-15 4547),(-6.66133814775e-15 4701),(-0.00487402421414 4850),(-8.881784197e-16 5016),(4.4408920985e-15 5168),(-2.22044604925e-15 5330),
