Cycle,0.7755625
Average Width,12.2931158443
Width,,0,0,0,8.6727690885,0,0.0,0,0,11.6424329744,16.2748085301,11.9935545372,14.8527728906,10.8125214084,10.8139350194,11.0572902735,14.5179578764
Point0,H1,(14.6366161296 124),(12.9929859108 290),(13.3621290838 462),(22.534221377 627),(18.6829228804 799),(15.837978471 963),(15.5410969167 1137),(13.9683052513 1301),(16.7201610714 1472),(12.7697707584 1645),(14.1373037687 1810),(14.547775031 1988),(14.3395100083 2146),(14.5211653869 2311),(15.900512488 2481),(14.716454853 2644),
Point0,H2,,,(-0.00710162424227 505),,(-0.00542585374244 880),(0.581845322573 1012),(5.3290705182e-15 1186),,,,(-8.881784197e-16 1858),(1.14187146188 2023),,(-1.42108547152e-14 2355),,,
Point0,H3,,,(0.011737550721 510),,(0.822293576467 897),(1.07806910635 1022),(1.48664992719 1207),,,,(0.998564208956 1873),(1.28421208071 2029),,(1.05030037919 2368),,,
Point0,H4,,,(-0.102616715259 520),(2.13162820728e-14 687),(0.718965204374 905),(8.881784197e-15 1039),(0.392542309224 1237),(-0.00111451808645 1368),,(-6.2172489379e-15 1687),(0.440196190893 1889),(2.6645352591e-15 2046),,(0.316446168098 2382),,,
Point0,H5,,,(9.77097217392 589),(8.03336469841 750),(2.34909999036 924),(1.70486559714 1072),(3.03309797417 1258),(4.53805640575 1432),,(2.88579133663 1771),(3.09206210578 1932),(1.66281283078 2085),,(1.05778923742 2397),,,
Point0,H6,(-0.0283923441092 1),(4.4408920985e-16 90),(-0.00429879277459 170),(-2.6645352591e-15 266),(-2.6645352591e-15 336),(8.881784197e-16 426),(-0.102616715259 520),(2.13162820728e-14 687),(-0.00542585374244 880),(8.881784197e-15 1039),(5.3290705182e-15 1186),(1.46549439251e-14 1274),(-0.00111451808645 1368),(-6.2172489379e-15 1521),(-8.881784197e-15 1609),(-6.2172489379e-15 1687),(-8.881784197e-16 1858),(2.6645352591e-15 2046),(-0.000214430338053 2111),(-0.0102129400814 2194),(-4.4408920985e-15 2280),(-1.42108547152e-14 2355),(-1.59872115546e-14 2428),(-0.000790230978549 2528),(-6.2172489379e-15 2617),(-2.6645352591e-15 2693),(-6.2172489379e-15 2778),
Point1,H1,(14.0613829858 122),(12.8621133103 290),(13.3745262503 462),(23.4978557034 626),(19.6019405757 798),(15.7122992709 964),(15.3118185921 1137),(14.22838878 1301),(17.8382104975 1472),(14.3441086906 1645),(15.8011363206 1809),(14.3992257165 1988),(16.130136498 2145),(16.0432782119 2309),(17.463393948 2481),(15.7547478131 2644),
Point1,H2,(-0.00306215202957 168),,,,(-0.00899581834026 879),(0.488240615272 1012),,,,,(-1.7763568394e-15 1859),(0.0804992584136 2024),,(-9.7699626167e-15 2354),,,
Point1,H3,(3.23536102387 224),,,,(1.42466969853 899),(0.843576726348 1022),,,,,(0.802545596701 1874),(0.221880196831 2032),,(1.83642154832 2368),,,
Point1,H4,(3.03322280771 233),,(-0.873308523801 503),(-3.5527136788e-15 687),(1.39555285285 904),(6.66133814775e-15 1038),,,,(3.5527136788e-15 1686),(0.449596271879 1888),(-2.6645352591e-15 2043),,(0.714133455741 2383),,,
