Cycle,0.723362068966
Average Width,4.61372655455
Width,,4.62696288046,4.72294355792,5.00592437437,4.77205785016,4.7242049855,4.760604688,4.9127156813,4.63539430743,4.58305385866,4.81225644911,4.57693867016,4.38095301553,4.56054008071,4.61085380487,4.46610757402,4.35177197518,4.91830460478,4.61426231764,4.82109718078,4.65794949846,4.34860502558,4.47989879609,4.66387196341,4.40326947959,4.65618996931,4.56521677195,4.30346348285,4.48054511515,4.27840426757,4.7174344099
Point0,H1,(15.0874294628 47),(13.2437717232 201),(11.0721262397 348),(7.54758344232 504),(11.5240637348 654),(10.3777569885 806),(11.8028773299 960),(8.46652374798 1116),(8.69375562131 1262),(9.52950627599 1416),(12.5823605123 1567),(9.88496616954 1712),(9.120108868 1870),(10.0362770371 2011),(10.5695222405 2158),(9.69971042826 2308),(10.7878788689 2460),(7.04508869007 2606),(7.41656460783 2750),(9.413610472 2909),(9.97391794846 3054),(10.725229902 3208),(9.84275609228 3358),(6.0581443918 3505),(6.51139532948 3650),(8.83526156419 3804),(8.92881546141 3949),(10.2355077037 4102),(8.61707019308 4256),(9.60741852826 4399),
Point0,H2,,(1.95579816118 236),(-0.00116137178831 419),,,,(1.13453659807 1003),(-1.33226762955e-14 1150),,(0.577714601493 1451),(0.364439604071 1622),(1.28526584557 1754),,(-6.2172489379e-15 2050),,,(-0.010290874586 2520),,,(0.50355435832 2939),,,(0.39159965905 3408),(-8.881784197e-16 3540),,(1.52146776609 3837),,,,,
Point0,H3,,(1.97803177164 239),(1.31408399161 446),,,,(1.16142919048 1008),(0.0844133043017 1159),,(0.653726025034 1457),(0.507009767118 1632),(1.30587890567 1759),,(0.615823686487 2068),,,(0.0190788527846 2529),,,(0.951239212317 2952),,,(0.779732134447 3423),(2.03480152838 3568),,(1.52302582482 3838),,,,,
Point0,H4,,,(0.798570400762 459),(-0.00596126478331 542),(-0.00369475700653 702),,(-7.1054273576e-15 1029),(0.0134564789879 1171),(-0.000924675758696 1313),(-0.0030364141047 1471),(-0.00510437320248 1650),(-0.0102170942367 1779),(-0.00969983112832 1919),(0.422380745436 2079),(-0.0053203691281 2204),,(0.0111136575415 2535),(-8.881784197e-16 2649),(-0.00318244252156 2799),(0.0645108071769 2976),(3.5527136788e-15 3118),,(-8.881784197e-16 3442),(1.91272443791 3579),(-9.32587340685e-15 3693),(-7.54951656745e-15 3862),(-0.000770319224935 4011),(0.391561653414 4174),(-0.00303953273428 4308),,
Point0,H5,,,(7.50211191553 493),(3.40869140605 579),(1.22194121695 726),,(1.15780149732 1056),(3.40536064898 1216),(0.866493828273 1356),(2.94220711932 1506),(0.176791924198 1662),(0.71087080613 1799),(2.89189780488 1959),(1.69653505316 2100),(1.15433168075 2246),,(0.971668861692 2562),(2.28967378177 2701),(1.54990229464 2846),(0.810321031226 2994),(1.19572407384 3153),,(0.398948670714 3459),(3.27999005344 3601),(2.62235415074 3747),(0.614518888826 3884),(1.38888458014 4050),(1.26831231164 4191),(3.11776157442 4343),,
Point0,H6,(-0.00639498829202 116),(-0.00809729009333 260),(-0.00116137178831 419),(-0.00596126478331 542),(-0.00369475700653 702),(-0.00331647123558 859),(-7.1054273576e-15 1029),(-1.33226762955e-14 1150),(-0.000924675758696 1313),(-0.0030364141047 1471),(-0.00510437320248 1650),(-0.0102170942367 1779),(-0.00969983112832 1919),(-6.2172489379e-15 2050),(-0.0053203691281 2204),(-0.00937298907455 2268),(-0.00766390466728 2358),(-0.010290874586 2520),(-8.881784197e-16 2649),(-0.00318244252156 2799),(1.7763568394e-15 2864),(-2.22044604925e-15 3010),(3.5527136788e-15 3118),(4.88498130835e-15 3267),(-8.881784197e-16 3442),(-8.881784197e-16 3540),(-9.32587340685e-15 3693),(-7.54951656745e-15 3862),(-0.000770319224935 4011),(-0.00657178358498 4207),(-0.00303953273428 4308),
Point1,H1,(27.1462178384 47),(22.8131937094 202),(19.6772759072 347),(15.1773413884 493),(19.0949851823 653),(17.7103846135 803),(19.5333748651 958),(16.6973336522 1115),(17.0131093325 1260),(16.8689627157 1416),(22.9972200849 1566),(21.8295414105 1712),(19.0851254491 1866),(18.1653043935 2012),(20.912650857 2158),(19.8798513084 2307),(19.6023000714 2460),(15.7829588727 2603),(15.551939836 2746),(19.6435207011 2907),(22.6873167995 3054),(21.4365354638 3206),(21.4444975863 3357),(16.222378425 3501),(14.977858248 3647),(21.152919161 3802),(24.1263262811 3949),(22.7939264884 4098),(22.2513166092 4253),(20.604557508 4397),
Point1,H2,,,,,(6.2172489379e-15 705),(-8.881784197e-16 844),,,(-0.00257584439584 1312),(-0.258250876315 1449),,,(1.92728506208 1900),(0.219704089716 2069),,(0.83137787247 2349),,,(0.212286584105 2795),(2.94984129623 2940),(-0.00888891087155 3115),,,(-0.013679268484 3545),(-0.0433684006265 3689),(4.62005968381 3835),,,,,
Point1,H3,,,,,(1.43297999282 729),(0.301447398872 853),,,(1.36941711781 1332),(0.369432913856 1460),,,(1.98321963894 1904),(0.22396253657 2072),,(0.852788523839 2352),,,(0.363745231311 2804),(3.00558458828 2944),(0.0109403561482 3121),,,(0.202941793148 3556),(0.350896480449 3700),(4.66828609978 3840),,,,,
Point1,H4,(-0.0128898487353 121),,(-0.00359596045831 430),(8.881784197e-15 538),(1.4002239223 735),,(-7.1054273576e-15 1036),,(0.868055018268 1344),(-0.000711935041166 1471),(1.06581410364e-14 1645),(0.605283450045 1779),(-0.0015835888268 1926),(0.202008126277 2079),(1.24344978758e-14 2209),(1.7763568394e-15 2368),,(1.24344978758e-14 2665),(-0.00263519621014 2828),(0.614232631209 2967),(-0.0702153934149 3131),(-1.06581410364e-14 3271),(0.723621248649 3417),(0.0627184469651 3568),(-0.0110756425032 3714),(0.563598463457 3869),(-0.0204010307706 4016),(0.379618072981 4168),(-4.4408920985e-15 4315),,
