Cycle,0.769563419118
Average Width,6.16874706159
Width,,4.79735223489,5.85345560923,6.0582596701,5.48098861279,6.37096903769,6.09493958028,6.57798465784,7.08978115229,5.85295138905,7.50585556931,8.06511360413,5.89426150543,5.82898986983,6.55726059911,5.88172075705,5.44900959631,5.50980660173
Point0,H1,(5.89736106045 29),(5.87065105198 207),(7.19960066442 366),(6.60111457831 538),(5.96216228593 704),(6.59974628253 875),(7.16445871347 1043),(4.98961428872 1213),(4.96612642043 1374),(5.95309459431 1556),(5.8266780934 1715),(5.96915162393 1868),(4.86118134411 2035),(5.35903842783 2207),(6.55624290881 2365),(6.16593986647 2537),(4.68199203835 2701),
Point0,H2,(2.94383866465 72),,(2.29486550093 412),(1.93719718572 585),(1.24998044077 770),,,(2.83780324608 1259),,,(2.7135124138 1744),,,(2.62310865507 2253),(5.86090598654 2377),,,
Point0,H3,(3.4883906723 85),,(2.48918444944 421),(2.70302469172 600),(2.22819318605 788),,,(2.85304051472 1265),,,(2.767244607 1752),,,(2.85123796871 2266),(6.31762551619 2388),,,
Point0,H4,(2.22044604925e-15 136),(0.591081536515 312),(1.2548752387 444),(0.797271403756 628),(-1.7763568394e-15 809),(1.99367934105 912),(1.58683846283 1114),(1.81982829712 1290),,(1.88827954513 1612),,,(0.990270778568 2113),(1.351168764 2298),,(2.04615990135 2585),,
Point0,H5,(0.365685639578 152),(1.06262387813 324),(1.2849115605 451),(1.25907177695 648),(0.875265460658 824),(2.72380895098 932),(1.85268020373 1126),(2.02073765402 1303),,(1.95179272252 1621),,,(1.0128419026 2119),(2.21070224778 2320),,(3.09842201994 2605),,
Point0,H6,(-0.000771724978107 1),(2.22044604925e-15 136),(4.4408920985e-15 338),(3.10862446895e-15 489),(-3.5527136788e-15 671),(-1.7763568394e-15 809),(-0.00208788264605 985),(-0.000579667654546 1169),(-0.00179066384632 1344),(5.10702591328e-15 1419),(2.6645352591e-15 1506),(-0.000685244828118 1666),(-5.3290705182e-15 1837),(-5.3290705182e-15 2004),(-1.33226762955e-15 2150),(2.6645352591e-15 2339),(-4.4408920985e-16 2499),(-3.99680288865e-15 2671),
Point1,H1,(10.3854041679 32),(9.98539433603 207),(11.1096045551 369),(10.0305073052 542),(10.053072733 704),(9.94178263188 876),(10.5913581006 1048),(8.7662532416 1215),(9.42744238828 1377),(9.03556008868 1557),(8.70095644264 1714),(8.7521460203 1893),(7.66186951491 2042),(8.03984367534 2208),(9.6455419875 2368),(8.83944474263 2540),(8.20452906489 2701),
Point1,H2,,,,(4.05598332319 589),(2.68468159308 776),(3.17283835286 918),,,,(4.65984535498 1581),,,,(3.28419730869 2260),(9.2758194238 2379),,
Point1,H3,,,,(4.11111361187 596),(2.76505950213 785),(3.65370750428 933),,,,(4.82987438204 1590),,,,(3.3281318833 2267),(9.35895621049 2385),,
Point1,H4,(0.714113308008 128),(1.19001537532 315),,(1.51919767537 627),(0.649069625729 809),(-0.00373302934894 985),(2.62996613687 1119),(2.26338357522 1294),,,,,(2.33664582374 2106),(2.14968606256 2301),,,
Point1,H5,(0.727032036708 133),(1.37037101126 323),,(1.66938202486 639),(1.0628281227 821),(0.335551805669 999),(2.66654211942 1125),(2.40337927326 1305),,,,,(2.45692220988 2115),(2.59669800448 2319),,,
Point1,H6,(-0.00451271504055 153),(-8.881784197e-16 338),(-0.000526570801476 494),(1.7763568394e-15 671),(4.4408920985e-16 837),(-0.00373302934894 985),(-0.00139009471532 1171),(-4.4408920985e-15 1337),(-7.1054273576e-15 1507),(-1.7763568394e-15 1665),(0.0 1835),(-0.00591976772675 2005),(-0.000697052990009 2154),(1.7763568394e-15 2340),(-0.00152564283921 2499),(8.881784197e-16 2672),
Point2,H1,(10.0170309021 35),(7.65686213124 208),(8.13488528148 389),(9.91658956617 542),(7.97606702322 707),(9.71267183728 879),(8.44755103492 1040),(8.16722549596 1216),(7.70071734726 1375),(8.53771430264 1560),(7.40287328344 1711),(8.09840635749 1887),(10.1018065496 2052),(8.85797927702 2207),(9.00780209932 2370),(10.4574712871 2542),(7.91512498731 2709),
Point2,H2,,(0.368217798508 312),,,(4.14389239043 749),(4.59301494189 910),,(4.57670420518 1245),(3.21897939659 1422),,(1.27293707491 1791),(4.26916847628 1918),,(4.35973541899 2253),(8.65969185356 2380),,
Point2,H3,,(0.37079176475 316),,,(4.53892909204 761),(5.09779999833 922),,(4.96124034162 1258),(3.56405206974 1435),,(1.32544887501 1798),(4.55532928995 1929),,(4.54896366192 2264),(8.76847833778 2388),,
Point2,H4,,(-0.00747463683628 336),,,(2.65518823879 792),(0.0580473313274 990),,,,,(0.0689226596463 1820),,,,(1.55636161425 2474),,
Point2,H5,,(7.7114865616 372),,,(2.66666214253 798),(0.0944205914544 997),,,,,(0.28219074768 1831),,,,(1.64635321117 2482),,
Point2,H6,(-0.00306777100918 163),(-0.00747463683628 336),(-1.7763568394e-15 504),(1.7763568394e-15 674),(-8.881784197e-16 838),(1.7763568394e-15 1006),(6.2172489379e-15 1173),(3.10862446895e-15 1332),(1.7763568394e-15 1507),(1.33226762955e-15 1674),(-0.00226138287843 1842),(0.0 2004),(3.5527136788e-15 2170),(5.77315972805e-15 2337),(1.7763568394e-15 2503),(0.0 2675),
Point3,H1,(7.08100744752 134),(7.5207260344 297),(7.73071949846 467),(7.83820344325 626),(8.39378178309 803),(8.66889887388 967),(8.2697033662 1123),(9.04427824922 1300),(7.98027170545 1455),(8.99746838621 1639),(8.22339142267 1799),(6.88114697045 1942),(8.40840960115 2131),(8.21864832134 2289),(7.64767916495 2467),(7.7102905084 2630),(6.9910781861 2734),(7.95621023952 2806),
Point3,H2,(0.429499010474 162),,,,,,(-1.7763568394e-15 1167),(-0.00256375069791 1345),(0.0 1504),,,(-6.2172489379e-15 2003),,,,,,,
Point3,H3,(0.592710666934 169),,,,,,(5.84425092681 1215),(5.80190159035 1379),(6.22135443361 1580),,,(3.95098370923 2049),,,,,,,
Point3,H4,(-0.0026528781966 182),(2.6645352591e-15 340),,(8.881784197e-15 673),,(2.6645352591e-15 1014),(5.50427432628 1225),(5.74333551227 1385),(5.99231426857 1590),(-4.4408920985e-15 1686),(-4.4408920985e-15 1842),(3.94736971166 2052),(-9.7699626167e-15 2178),,,,(6.26883552124 2758),,
Point3,H5,(6.98631689576 258),(7.30380266531 439),,(6.02930902402 746),,(7.70726487817 1091),(8.87351585436 1271),(7.71791283663 1420),(7.5197131702 1609),(7.56827345613 1770),(6.84758679873 1926),(7.51370619217 2090),(6.4690303689 2247),,,,(6.66739168129 2776),,
Point3,H6,(-0.0332283488152 2),(-0.0026528781966 182),(2.6645352591e-15 340),(5.3290705182e-15 516),(8.881784197e-15 673),(1.7763568394e-15 852),(2.6645352591e-15 1014),(-1.7763568394e-15 1167),(-0.00256375069791 1345),(0.0 1504),(-4.4408920985e-15 1686),(-4.4408920985e-15 1842),(-6.2172489379e-15 2003),(-9.7699626167e-15 2178),(-9.7699626167e-15 2335),(-0.00822650701929 2500),(-5.3290705182e-15 2671),(-2.6645352591e-15 2838),
