Cycle,0.694375
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(14.5796235746 37),(16.4641501251 182),(14.9146230193 328),(16.4561640975 474),(17.5506442694 620),(16.637156921 766),(15.0516286166 914),(14.6410689244 1060),(14.1430549157 1208),(15.6271838855 1355),(14.5770838408 1498),(13.612944019 1645),(13.5201032828 1792),(15.5585579515 1935),(14.0784322977 2078),(15.7201016712 2223),(19.0000975947 2367),(18.2037307089 2515),(15.2855978432 2664),(13.2062098351 2811),(11.2052215569 2961),
Point0,H2,,(1.08364092399 244),,,,,,(2.15395647394 1096),,,,(1.56465633254 1685),(3.03089047861 1836),,,,,,,,
Point0,H3,,(1.17389459832 251),,,,,,(2.27112315975 1102),,,,(1.85044410938 1697),(3.07952380714 1846),,,,,,,,
Point0,H4,(-4.4408920985e-15 113),(0.0 270),(1.17590747112 410),(-3.5527136788e-15 554),(1.42931380082 703),(0.676386568772 839),(3.3174289297 950),(0.734181458548 1121),(0.594568568707 1277),(0.775168257953 1435),(2.61855933248 1554),(1.01032626594 1719),(2.3569472731 1870),(0.822330914424 2013),(0.429456290406 2146),(-1.7763568394e-15 2301),(1.45273989847 2442),(1.77654159559 2579),(1.13186245428 2735),,
Point0,H5,(0.955185166259 135),(1.20189614544 287),(1.3519275814 421),(1.41992373471 573),(1.88684296607 714),(1.54205357574 857),(3.66113766468 960),(1.42642069172 1135),(1.19612118302 1294),(1.17017395261 1448),(2.69475589043 1561),(1.11725490464 1729),(2.36798020273 1874),(1.09888119192 2024),(1.42460505194 2165),(1.1572609099 2317),(1.63436419632 2452),(2.24764210015 2594),(1.43191420284 2755),,
Point0,H6,(-4.4408920985e-15 113),(0.0 270),(-1.7763568394e-15 439),(-3.5527136788e-15 554),(-0.00130647666309 731),(-3.5527136788e-15 875),(-0.00281348789925 1020),(-5.3290705182e-15 1159),(-8.881784197e-16 1313),(-0.0026083899312 1464),(-2.6645352591e-15 1606),(-2.22044604925e-15 1752),(1.7763568394e-15 1899),(5.3290705182e-15 2042),(-0.00457268469618 2184),(-1.7763568394e-15 2301),(0.0 2475),(-8.881784197e-16 2629),(0.0 2775),(2.22044604925e-15 2894),
Point1,H1,(9.4614018862 37),(12.4452484411 183),(10.3343531312 328),(12.0375484343 473),(13.2991146717 621),(13.5015616692 765),(10.8854555043 914),(9.87528283275 1059),(11.1871071283 1208),(12.5864349885 1353),(10.1592035149 1499),(9.88214341911 1643),(10.7184574822 1791),(12.5517491282 1935),(10.4522843808 2078),(12.6184813923 2223),(15.2022407135 2367),(13.9660009965 2515),(12.121274675 2662),(10.2490755002 2811),(7.34274803842 2959),
Point1,H2,,(0.573937558419 241),,(1.53674375426 527),,,,,,,(-0.0106175621518 1547),,(1.89113761055 1838),(1.22826843233 1988),,,,,,(0.700605476472 2866),,
Point1,H3,,(0.936094188706 252),,(1.60314586853 536),,,,,,,(1.15726173095 1567),,(2.13984058916 1850),(1.23126473233 1991),,,,,,(0.716939584149 2871),,
Point1,H4,,(-0.000505080412642 269),(-0.00098587393873 365),(3.5527136788e-15 558),(4.59076870264 671),(-0.0171474844779 839),,(-2.22044604925e-15 1100),(0.776615266973 1275),(-0.00943836167945 1427),(0.899003786926 1578),(1.49525118916 1712),(1.66880100097 1865),(0.828476175985 2008),(0.0 2147),(0.198465101836 2299),(0.548247601482 2439),(1.06470677365 2578),,(-0.00839243678623 2891),,
Point1,H5,,(0.842183555037 283),(1.41469436137 422),(0.936274325238 573),(4.72668581084 681),(1.1704880765 858),,(1.12107048815 1152),(1.01303181639 1292),(0.469086635511 1442),(1.50455796938 1593),(1.94466626349 1731),(2.64773095822 1881),(1.82521392913 2025),(1.20523031425 2169),(1.13463459202 2315),(1.50039934556 2457),(1.4610883936 2594),,(0.723253503647 2910),,
Point1,H6,(-0.00485702199138 1),(-0.0409461204189 113),(-0.000505080412642 269),(-0.00098587393873 365),(-0.00150221918252 439),(3.5527136788e-15 558),(5.3290705182e-15 730),(-0.391345315925 875),(-0.00707295640764 1024),(-2.22044604925e-15 1100),(1.7763568394e-15 1173),(-2.6645352591e-15 1314),(-0.387042178789 1461),(-0.0106175621518 1547),(2.6645352591e-15 1610),(2.22044604925e-15 1755),(0.0 1901),(-1.33226762955e-15 2044),(0.0 2147),(-3.5527136788e-15 2330),(-0.0012927247098 2477),(-0.00576966557043 2630),(-4.88498130835e-15 2778),(-0.00839243678623 2891),(-3.99680288865e-15 2993),
