Cycle,0.842954545455
Average Width,3.86963810471
Width,,4.03659058287,3.83676941287,3.63606078798,3.77197196531,3.76499751415,3.74327296111,3.86073129932,3.84656964512,3.76099072727,3.97056272051,3.80220264078,3.91969947163,3.84980987625,3.9666823846,3.836595154,3.95578409577,3.9619530863,3.90657388672,3.97155731801,3.95813495933,3.80215080804,3.94490838214,3.89710672825
Point0,H1,(14.8992488685 49),(13.7748642233 222),(10.1839794047 384),(11.3425968527 578),(11.756987728 736),(11.9537594869 930),(14.83356641 1081),(13.0185594466 1259),(13.5666396013 1457),(15.2068492555 1625),(13.4658762304 1810),(14.7515841135 1978),(14.230970538 2159),(16.6057915127 2334),(13.5232199337 2509),(14.2649234477 2682),(16.891727076 2882),(14.6199831218 3057),(15.5447140985 3226),(16.8909508666 3404),(14.6850598393 3579),(15.8711277753 3755),(16.1095984043 3935),
Point0,H2,,(3.40180000145 294),,,(6.04732802894 780),,,,,,,,(6.91347115315 2202),,,,(10.0384107464 2904),,,(9.37160196751 3445),,,
Point0,H3,,(3.8178038095 307),,,(6.12318333089 787),,,,,,,,(7.22931771096 2213),,,,(10.9863840168 2916),,,(10.0657668974 3457),,,
Point0,H4,(3.53900540014 129),(2.14758845966 330),(0.403627915151 501),,(1.15463194561e-14 875),,,,(3.64219059317 1539),(2.33519932277 1736),,,(2.24157809691 2260),,,,(2.41307266692 2982),(1.19472844678 3156),(6.46223697095 3278),(5.59554825172 3482),,,
Point0,H5,(3.66230628229 138),(2.152830236 333),(0.785733895521 513),,(11.8523253819 907),,,,(3.71213100273 1547),(2.45356970093 1743),,,(2.73980746442 2272),,,,(2.64114797767 2991),(1.19635666059 3158),(6.49154559896 3283),(5.9989376561 3493),,,
Point0,H6,(2.6645352591e-15 174),(-5.3290705182e-15 352),(1.15463194561e-14 526),(7.9936057773e-15 684),(1.15463194561e-14 875),(2.6645352591e-15 1055),(4.4408920985e-15 1230),(-0.0038056761863 1407),(1.7763568394e-15 1582),(-1.15463194561e-14 1761),(0.0 1937),(8.881784197e-16 2115),(3.5527136788e-15 2292),(5.3290705182e-15 2471),(2.6645352591e-15 2655),(-3.5527136788e-15 2832),(-1.15463194561e-14 3009),(-3.5527136788e-15 3181),(0.0 3360),(1.7763568394e-15 3538),(7.1054273576e-15 3714),(7.9936057773e-15 3896),
Point1,H1,(27.4888029967 47),(29.1501813528 223),(26.7854865343 397),(25.4548443994 558),(27.5436476141 733),(27.0790093063 907),(29.629926725 1083),(28.8043134667 1260),(28.5109662705 1454),(30.8072827931 1629),(31.785687782 1807),(30.9569841558 1980),(30.3739413346 2158),(30.5668724069 2333),(28.9143016958 2507),(27.5432422217 2684),(32.0641602821 2879),(28.9710779747 3055),(30.6943524591 3229),(32.2093649465 3405),(30.7666001156 3579),(30.7807084659 3757),(31.5659208014 3933),
Point1,H2,(12.2747230126 79),,,(25.065061821 566),,,,,,(8.15673052567 1706),,,(10.8950681733 2203),(10.0395970369 2379),(10.2718695284 2554),,(14.7922681317 2907),,(6.90480656729 3306),(13.6001652271 3448),,,
Point1,H3,(12.2832816081 81),,,(25.2106701235 573),,,,,,(8.3281461692 1713),,,(11.104585167 2210),(10.1977797353 2386),(10.8959000203 2563),,(15.6019358396 2916),,(6.99193018238 3312),(13.8517680377 3456),,,
Point1,H4,(4.08464177312 149),(4.41399074129 327),(1.04024303187 503),,(10.6220217136 778),,,,(13.3926245872 1485),(4.59680467027 1734),(4.86908191627 1908),,(3.06147317696 2260),(2.71861928314 2437),(1.30102310238 2630),,(3.87906003908 2981),(2.64489204018 3157),(3.71669048982 3336),(7.60273328122 3484),,,
Point1,H5,(4.09047107743 152),(4.49951686065 333),(1.39714512864 512),,(11.4991715106 789),,,,(13.5809590086 1492),(5.5260975387 1744),(5.21322427905 1917),,(4.28934421819 2273),(2.81266016294 2444),(1.90606046546 2641),,(4.71435596508 2992),(2.93717986426 3166),(3.83653775699 3342),(7.78321598205 3491),,,
Point1,H6,(-8.881784197e-15 175),(-1.24344978758e-14 352),(-5.3290705182e-15 525),(1.7763568394e-15 698),(-0.00165971970711 873),(1.06581410364e-14 1054),(1.7763568394e-15 1229),(1.06581410364e-14 1407),(1.7763568394e-15 1583),(-1.7763568394e-15 1761),(-8.881784197e-15 1937),(-1.24344978758e-14 2114),(-1.95399252334e-14 2292),(-1.06581410364e-14 2471),(-7.1054273576e-15 2654),(-8.881784197e-15 2832),(5.3290705182e-15 3009),(-0.000789356690113 3183),(8.881784197e-15 3361),(2.30926389122e-14 3538),(1.06581410364e-14 3714),(7.1054273576e-15 3897),
Point2,H1,(20.118434033 75),(21.131877897 252),(21.1652320526 425),(21.0927492222 587),(20.9900216069 758),(19.6078183835 935),(22.2211924676 1112),(22.0742759464 1289),(21.6700507508 1480),(25.6343483743 1659),(25.7764074483 1831),(24.4736003592 2010),(24.6242466351 2186),(23.1920480233 2359),(22.290856151 2536),(21.0002362574 2712),(21.6696984323 2905),(23.1761520324 3080),(23.9023761211 3258),(24.0955777403 3433),(22.5081789257 3608),(23.9071577934 3785),(22.5249466983 3960),
Point2,H2,(7.52114388517 103),(9.23583192607 280),(2.08245010113 502),,,,,,(8.6489927296 1512),,,,,,,,(10.8013800378 2936),,,(9.55682619982 3480),,,,
Point2,H3,(8.04423489312 112),(9.39749459117 287),(2.41396138247 513),,,,,,(8.82739160343 1519),,,,,,,,(10.924876407 2942),,,(9.58618238802 3485),,,,
Point2,H4,(1.28235738864 180),(3.01049183014 353),(1.53273183925 529),(3.57242927204 682),,,,,(3.47255488005 1584),(4.12277278049 1760),(1.81924826854 1937),(3.26433970578 2113),(2.44669397531 2289),(2.51233490042 2459),(7.77783060658 2581),,(3.21441240016 3007),(1.38887513386 3182),(2.20558080664 3360),(2.22035045919 3536),(1.60832806864 3716),(1.9783677817 3883),,
Point2,H5,(1.36875817657 187),(3.29153596588 362),(1.79414313767 539),(3.6083656292 687),,,,,(4.1015837331 1595),(4.25235544904 1768),(2.56853504056 1949),(3.67049273259 2123),(2.65510836578 2298),(2.55497067433 2465),(8.60927902919 2592),,(3.33002969708 3015),(2.61741370917 3197),(2.47049505795 3370),(2.41810259844 3545),(1.62858739767 3721),(2.07500782946 3891),,
Point2,H6,(-0.877151680174 28),(1.59872115546e-14 202),(2.48689957516e-14 381),(7.1054273576e-15 554),(-1.24344978758e-14 729),(-1.33226762955e-14 903),(-1.42108547152e-14 1079),(-5.3290705182e-15 1257),(1.7763568394e-15 1436),(7.1054273576e-15 1613),(3.5527136788e-15 1788),(1.7763568394e-15 1965),(1.59872115546e-14 2142),(1.7763568394e-15 2319),(-0.00388115210215 2496),(0.0 2681),(3.5527136788e-15 2860),(1.7763568394e-15 3036),(0.0 3212),(-0.0013291444006 3388),(0.0 3568),(1.7763568394e-15 3742),(0.0 3926),
Point3,H1,(7.43921489069 75),(6.86478740978 254),(6.25148506528 426),(6.92067569461 597),(7.13621112937 755),(5.74024200849 932),(6.80890854486 1110),(8.18049825973 1308),(5.7102801374 1475),(10.5238650805 1659),(9.77460380252 1824),(9.636153622 2011),(8.75486517725 2188),(7.52607945528 2357),(7.59248333595 2532),(7.47161707899 2707),(7.00822990327 2887),(8.02606953387 3076),(9.2471472199 3259),(8.29993787386 3433),(6.51927450288 3612),(8.46693986143 3783),(6.99899903057 3959),
Point3,H2,,,,(3.92939656898 641),,,,(4.98214062696 1337),,,,(4.03102458404 2058),(4.14228776043 2231),,(3.20827020112 2583),,(5.00829415272 2927),,,(4.94723339243 3474),(1.51578863042 3683),,,
Point3,H3,,,,(3.95862919942 649),,,,(5.39213269211 1353),,,,(4.03117378645 2059),(4.21659195477 2239),,(3.32980654728 2595),,(5.23900434156 2939),,,(5.39853233492 3488),(1.52874275729 3688),,,
Point3,H4,,,(-0.00095914347357 497),(2.04702951155 677),,,,(1.60406666397 1404),(-0.0185612172927 1534),(7.3032228549 1684),,(3.41218151678 2081),(0.896259208748 2284),,(2.24999985292 2626),,(1.51512461108 2994),(2.6645352591e-15 3181),(0.579056166841 3364),(0.225267552445 3537),(0.688556879801 3709),(0.7819295837 3878),,
Point3,H5,,,(0.838010428265 531),(2.35117247089 690),,,,(1.84033959107 1417),(2.10244718374 1592),(7.8726680117 1700),,(3.5647112498 2091),(1.3203188695 2299),,(2.62015863861 2640),,(1.93399029413 3009),(1.01159071867 3199),(0.59154745183 3369),(0.277088048207 3547),(1.39580023728 3725),(1.0090897224 3890),,
Point3,H6,(-4.4408920985e-15 200),(-0.0051461863107 380),(-0.00095914347357 497),(2.22044604925e-15 730),(2.22044604925e-15 907),(-4.4408920985e-15 1078),(-7.1054273576e-15 1233),(-0.0100882555494 1439),(-0.0185612172927 1534),(-0.00167623550897 1612),(-1.7763568394e-15 1787),(-8.881784197e-16 1966),(-5.3290705182e-15 2141),(-0.00938331535407 2319),(-0.00668390154365 2500),(2.6645352591e-15 2682),(-3.10862446895e-15 2860),(-2.6645352591e-15 3034),(2.6645352591e-15 3181),(-8.881784197e-16 3387),(-0.00279012105008 3567),(1.7763568394e-15 3742),(8.881784197e-16 3926),
