Cycle,0.908578947368
Average Width,14.0094524997
Width,,0.0,13.7818592119,16.3613629318,11.0565165475,9.75383479168,9.95067641683,12.783978151,13.2916151764,12.806941292,10.3074551478,12.3727476281,11.5072256839,19.7864344691,19.1069466892,0,20.92211133,0.0,19.4694672863,0.0,10.8920672421
Point2,H6,(0.0 189),(-0.00031854779232 383),(-2.22044604925e-15 574),(-0.00280531794798 769),(-1.06581410364e-14 967),(-3.5527136788e-15 1164),(-3.5527136788e-15 1354),(1.7763568394e-15 1549),(8.881784197e-16 1747),(8.881784197e-16 1934),(5.3290705182e-15 2124),(8.881784197e-16 2319),(-3.5527136788e-15 2509),(-1.7763568394e-15 2676),(-3.5527136788e-15 2886),(-5.3290705182e-15 3078),(1.7763568394e-15 3264),(0.0 3452),(-0.00538622457707 3645),(2.24235203816 3735),
Point3,H1,(11.7179045513 42),(10.1040816513 228),(10.1364867776 426),(10.3708070104 613),(13.4070554413 807),(11.6298308212 1006),(9.96080102511 1199),(11.7263147455 1391),(12.9793383775 1586),(12.4761037918 1785),(12.1205649855 1969),(12.2349838243 2159),(13.6350937703 2354),(12.7980729535 2545),(14.9691440209 2732),(13.8272494199 2925),(15.3725555738 3119),(14.2607594789 3305),(15.1055498601 3494),(11.6457657121 3679),
Point3,H2,,,(1.85828134911 491),(3.09164959912 680),,,(5.64109822059 1237),,,,,(3.07525838459 2242),(2.06995813713 2455),,(5.15016118322 2794),,,,,
Point3,H3,,,(2.62548966133 514),(3.45754885202 694),,,(5.79583756885 1250),,,,,(3.44269578139 2255),(2.81938338575 2468),,(5.1589624135 2798),,,,,
Point3,H4,,(3.43206697858 282),(1.51030296616 545),(2.63457298959 716),,(5.22242570247 1064),,,,(4.16019545651 1853),,(0.99821535974 2286),(1.14674249424 2487),(0.283012662805 2669),(2.31044571262 2827),(0.0877562452782 3036),,,,
Point3,H5,,(3.5248324387 292),(1.51154421534 548),(3.21521171753 742),,(5.69267870089 1077),,,,(4.32650628893 1865),,(1.44362402381 2301),(1.41635652095 2496),(0.355380245069 2681),(2.38041927717 2835),(0.267772097009 3047),,,,
Point3,H6,(0.0 190),(-8.881784197e-16 382),(1.7763568394e-15 574),(-2.6645352591e-15 770),(-8.881784197e-16 965),(0.0 1164),(-3.5527136788e-15 1353),(-4.4408920985e-15 1547),(-5.3290705182e-15 1747),(-2.6645352591e-15 1933),(-8.881784197e-16 2124),(-8.881784197e-16 2318),(7.1054273576e-15 2511),(4.4408920985e-15 2696),(1.7763568394e-15 2885),(3.5527136788e-15 3062),(8.881784197e-16 3259),(-0.00257503321195 3452),(-0.00827938394316 3643),
Point4,H1,(13.6261394596 45),(9.67382649472 227),(10.9953762652 427),(8.86506706469 614),(12.1694468882 809),(10.7800586886 1007),(9.30757571647 1203),(11.0278114314 1392),(12.4295167554 1589),(11.153362887 1787),(11.2210915391 1972),(12.2150484898 2163),(13.7055948051 2359),(12.7638908926 2548),(16.3769320214 2734),(14.7343918684 2928),(16.8583871763 3121),(14.6862498556 3307),(17.3072484334 3497),(11.6455700941 3681),
Point4,H2,(7.47662827253 90),(9.63739788823 233),,(-0.001610413697 695),,(5.1454957458 1048),(5.79914142579 1242),,,,,(2.77711726614 2247),,,,,,,,,
Point4,H3,(7.54419236546 97),(9.64728712817 237),,(0.828118763464 712),,(5.20729691162 1059),(6.03474482925 1257),,,,,(3.15763177744 2263),,,,,,,,,
Point4,H4,,(1.68928546853 341),(1.34620672521 549),(0.504405668991 723),,,,,,,,(0.82626484627 2293),(2.09027184184 2459),(2.35881223218 2630),,,,,(1.11178361293 3611),,
Point4,H5,,(3.28646003283 361),(1.63045670585 561),(2.36289285437 744),,,,,,,,(1.65228522757 2307),(2.65622170218 2477),(2.57697997772 2641),,,,,(1.54236063178 3627),,
Point4,H6,(-0.000810773731369 192),(6.66133814775e-15 387),(1.7763568394e-15 579),(-0.001610413697 695),(-0.00179578943655 767),(1.42108547152e-14 970),(5.3290705182e-15 1162),(1.7763568394e-15 1354),(1.7763568394e-15 1551),(-1.7763568394e-15 1746),(-3.5527136788e-15 1937),(3.5527136788e-15 2127),(7.9936057773e-15 2323),(9.7699626167e-15 2513),(2.6645352591e-15 2678),(3.5527136788e-15 2890),(-0.00108707761061 3063),(1.06581410364e-14 3266),(-0.00355451999508 3457),(-0.0121542171574 3647),(2.79141140751 3737),
