Cycle,0.777508593337
Average Width,36.5157486126
Width,,9.13898974531,0,0.0,23.1423375013,51.1353518979,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,55.7153870789,0.0,0.0,25.1582767158,21.9124320554,16.4317038602,89.4915100461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(18.2648401822 38),(18.6541305171 206),(18.1006013807 372),(20.1256488397 536),(19.047359499 695),(17.7038586995 851),(18.3789677824 1005),(20.0658886077 1161),(19.1957858408 1320),(19.5857602783 1476),(20.0030382255 1631),(19.2603637051 1790),(18.2037967577 1950),(18.3889915942 2106),(20.5264539839 2269),(19.7571799388 2433),(17.8981154161 2587),(19.1602627295 2743),(19.4561844594 2901),(17.5515451461 3059),(17.5329601654 3209),(19.6314904739 3366),(17.6408350481 3522),(16.8311076283 3672),(18.7042081459 3829),(17.5402500334 3982),(16.4127163511 4136),(17.8102303534 4291),(18.4522872657 4445),(16.7948040187 4601),(16.2934305175 4756),(15.987688516 4904),(15.6410409714 5062),(17.0827590906 5221),(15.1775274819 5373),(17.5259267048 5528),(17.7867134938 5687),(16.6884134602 5844),(15.993913508 5999),(16.965232084 6152),(17.565737595 6311),(16.229202518 6469),(19.9275245857 6626),(17.3065989479 6786),(19.8823301144 6942),(15.9718681226 7098),(17.8078926518 7259),(18.3323043348 7421),(16.5343972746 7577),(18.9391796043 7738),(18.6297964621 7903),(18.4245650389 8064),(18.5297982561 8224),(17.9384551876 8388),(17.0325402033 8549),(16.540993244 8709),(17.2891605308 8871),(16.271160986 9033),(13.6296059337 9194),(16.5788179649 9358),(17.4414542404 9526),(18.2511203423 9689),(21.4178811829 9850),
Point0,H2,,,,,,(9.40867447851 886),,,,,,,,(9.58203711123 2146),,,,,,,,(8.73359907573 3404),,,,(8.05713868012 4022),,(9.32948514653 4324),(8.59818485672 4487),,(7.41773505788 4792),(7.32474492277 4950),,,,,,,,,,(8.28798328212 6506),,(7.85749129368 6822),(12.1089934943 6978),,(5.30943580252 7336),,,,(10.9012643865 7942),(9.7487935243 8100),(10.4321057716 8261),,(8.90547855974 8581),,,(7.94936822369 9076),,,,,
Point0,H3,,,,,,(9.47055660962 893),,,,,,,,(9.94409624871 2156),,,,,,,,(8.90428708378 3413),,,,(8.19663162275 4030),,(9.62735630115 4335),(8.73728560515 4495),,(7.47960733461 4798),(7.3290759607 4953),,,,,,,,,,(8.36906988208 6513),,(8.11706978022 6831),(12.4620384764 6990),,(5.3673289389 7341),,,,(10.9150056636 7946),(9.91715918849 8109),(10.4755087015 8268),,(9.30501839033 8593),,,(8.17109295446 9085),,,,,
Point0,H4,(3.06159833707 145),(2.22264098505 306),,,(2.50495873091 787),(2.43863023192 944),,,(2.83079789676 1408),(2.84884510185 1573),(2.42315774052 1731),(3.55053104473 1888),,(3.31176432488 2209),(2.97343011649 2369),(2.5432226893 2530),,,(1.76281871234 2995),(1.92621581795 3153),(2.53225859948 3295),(3.15545488993 3454),,(1.79143347894 3760),(2.50824942776 3920),,(1.77944865259 4224),(2.54170748364 4385),,(2.21832509259 4690),(2.41126656077 4849),(2.92951710844 4991),(1.90481328537 5151),(2.31780271318 5312),,,(1.72655527814 5776),(3.03958812409 5929),,(2.19001624465 6240),(2.19884089582 6400),(3.01964599946 6557),(3.41585191079 6718),(2.18406586247 6877),(9.05400380783 7018),(2.00034154224 7201),(3.14693372368 7362),,(2.23870048509 7682),(2.81419696875 7843),(3.38101276369 8003),(3.08214761603 8164),(3.6611259451 8317),,,,,(2.20606733146 9137),(2.18341131692 9295),,(-0.0853668115878 9612),,
Point0,H5,(3.26953641976 154),(2.22861179386 309),,,(2.56244739129 793),(3.30335553229 956),,,(2.95125436452 1416),(2.8617197059 1577),(2.52035446869 1738),(3.92485624556 1898),,(3.50824515525 2217),(3.18908909596 2378),(2.80452770692 2539),,,(1.82531954358 3002),(1.97436881138 3159),(2.57939281877 3301),(3.62333893989 3466),,(2.15350565748 3771),(2.66416438212 3929),,(2.31170112037 4236),(2.65393859787 4393),,(2.25297596076 4695),(2.44308222501 4855),(3.09236917982 5000),(1.93069643345 5156),(2.41387510364 5320),,,(2.26170598813 5788),(3.238366998 5941),,(2.35798393574 6250),(2.30113234214 6408),(3.64983513912 6570),(3.80630970565 6729),(3.19458439149 6891),(9.94142434498 7034),(2.19502492799 7210),(3.46425517611 7371),,(2.3939640085 7690),(2.887410769 7849),(3.4199792072 8008),(3.1052865059 8168),(4.32971799498 8330),,,,,(2.33590618847 9145),(2.35857679247 9305),,(3.48510988601 9641),,
Point0,H6,(0.0 173),(-7.1054273576e-15 334),(-6.2172489379e-15 499),(-4.4408920985e-15 662),(-3.5527136788e-15 815),(5.3290705182e-15 973),(1.95399252334e-14 1129),(1.7763568394e-14 1287),(3.01980662698e-14 1439),(-1.24344978758e-14 1596),(1.06581410364e-14 1755),(3.5527136788e-15 1917),(5.3290705182e-15 2074),(7.1054273576e-15 2236),(5.3290705182e-15 2397),(1.24344978758e-14 2556),(1.24344978758e-14 2709),(-1.50990331349e-14 2863),(8.881784197e-16 3021),(-7.9936057773e-15 3178),(-0.0064315905856 3329),(0.0 3486),(5.3290705182e-15 3641),(-8.881784197e-16 3790),(-0.00546336582164 3948),(2.04281036531e-14 4105),(3.10862446895e-14 4253),(-1.7763568394e-15 4411),(-0.00545203698012 4568),(6.2172489379e-15 4718),(1.50990331349e-14 4875),(1.06581410364e-14 5025),(1.06581410364e-14 5182),(1.33226762955e-14 5340),(1.86517468137e-14 5495),(-0.0105211223959 5654),(-0.000390262279677 5807),(-5.3290705182e-15 5964),(-0.00794704548302 6121),(5.3290705182e-15 6278),(1.7763568394e-15 6431),(-3.5527136788e-15 6590),(-1.42108547152e-14 6750),(-1.06581410364e-14 6908),(-3.5527136788e-14 7068),(-1.59872115546e-14 7227),(-5.3290705182e-15 7389),(-1.06581410364e-14 7547),(-9.7699626167e-15 7707),(-1.42108547152e-14 7868),(-2.13162820728e-14 8029),(-2.48689957516e-14 8188),(-1.7763568394e-15 8351),(-5.3290705182e-15 8513),(-2.48689957516e-14 8676),(-0.000577491859021 8838),(8.881784197e-16 9003),(-1.15463194561e-14 9163),(-0.00239950577787 9323),(-0.00815977935359 9491),(-0.0853668115878 9612),(-5.3290705182e-15 9818),
Point1,H1,(19.7361259134 37),(17.376667632 207),(14.8081189617 371),(17.5333522438 534),(17.1532342787 695),(17.0920797306 850),(17.4659854716 1004),(18.4284976118 1159),(18.5599356362 1318),(19.1259489623 1475),(19.9635170555 1631),(19.7198803459 1791),(18.7983990893 1949),(18.1981939321 2105),(18.357681063 2267),(19.144986487 2433),(16.7525778525 2585),(17.2101678949 2742),(18.829538693 2900),(17.9468264707 3058),(16.8821182714 3208),(19.2294244884 3364),(18.5694210961 3522),(17.5916302427 3670),(18.5577117352 3828),(17.1279714913 3983),(17.4236737659 4134),(16.6772728962 4290),(16.4574992712 4444),(15.9389168396 4599),(15.1913387744 4755),(14.2843371184 4903),(13.1473944994 5061),(15.7864622252 5219),(12.8015134403 5371),(15.3509338928 5525),(14.8569567598 5685),(14.7045156953 5843),(13.9330974979 6002),(14.0927025092 6153),(14.4834889328 6310),(13.5559409525 6468),(15.9129039526 6627),(13.9170833231 6784),(15.8050994649 6942),(11.9223021438 7098),(13.9993355888 7258),(13.0844936904 7423),(11.048814282 7576),(12.765812394 7739),(13.9390252924 7904),(12.87649344 8063),(12.1226680426 8224),(12.3951549592 8388),(11.7883225557 8548),(11.405540221 8709),(13.0772434949 8870),(10.9022235813 9034),(8.95794116782 9195),(12.2000733299 9360),(13.0661404496 9525),(12.1181766232 9690),(12.6719961699 9850),
Point1,H2,,,,,,(7.96671805668 882),,,,,,,,(9.05695030103 2144),,,(7.58139195918 2624),,,,,,(8.06104185783 3558),,,(8.29393013531 4022),,,,,,(5.59823787293 4951),,,(8.41677384261 5408),,(6.82199817299 5730),,,,,,,,(9.33369671381 6976),(8.49787921272 7138),,,,(7.27979908329 7776),(7.2138586361 7937),(5.92386476161 8095),(5.90324571969 8259),,,,,(5.23404075671 9077),,,,,
Point1,H3,,,,,,(8.3817163863 893),,,,,,,,(9.37070093945 2154),,,(7.80987756835 2634),,,,,,(8.14742963505 3564),,,(8.33489866066 4027),,,,,,(5.6252692852 4956),,,(8.57697971954 5417),,(6.86561941666 5736),,,,,,,,(9.58467741731 6987),(8.5086015649 7142),,,,(7.44732935895 7785),(7.79459518867 7950),(6.12555035619 8108),(6.06075200822 8269),,,,,(5.24350971457 9080),,,,,
Point1,H4,(2.16254142568 142),(0.614698677623 301),(0.539054327601 458),,,(1.41478316791 942),(1.28346043725 1103),,,(2.10428506219 1566),(1.54687239818 1731),(3.35384680999 1885),(2.14448383437 2047),(1.96722482927 2207),(2.05415416468 2368),(2.32526126403 2525),,,,(1.06547838134 3149),(1.71587584703 3293),(2.51479263132 3454),,(2.15238016722 3757),(2.00739763735 3918),(2.61977393803 4080),(3.09337146514 4222),(1.88127114674 4383),(2.0515657735 4542),,,,(1.46479385259 5152),(1.99721239986 5311),(1.00239683235 5473),(1.39057573855 5614),(1.52108242553 5774),(2.87295332417 5936),,,(1.95771623414 6398),(2.12032869678 6555),(3.10374908686 6713),(0.286933466481 6877),(4.88577583472 7022),(1.94136154411 7196),,,(1.02297767193 7673),,(1.56498053094 7998),(1.89866231398 8158),(2.23158747726 8309),(0.889517356608 8481),,,,(0.0774805116388 9134),(1.03180387191 9295),,(1.20139741825 9614),,
Point1,H5,(2.57657009872 153),(0.894955540094 314),(1.12718208923 478),,,(2.10923411384 954),(1.77914655489 1114),,,(2.33733041008 1576),(1.58927923756 1736),(3.75902982833 1895),(2.33129962763 2056),(2.49301130703 2218),(2.27698240594 2377),(2.77810762897 2536),,,,(1.3324780777 3160),(2.02680357357 3305),(2.78434927786 3464),,(2.37254303981 3767),(2.71212646576 3930),(2.62984691698 4083),(3.29074025666 4231),(2.22193165346 4393),(2.09558193299 4548),,,,(1.54635054042 5160),(2.22729010813 5320),(1.17551817981 5481),(1.77250941555 5629),(2.09247387483 5787),(2.88459143595 5940),,,(2.20935686922 6409),(2.905569977 6569),(3.4001123417 6724),(1.48775816897 6892),(4.96108497049 7030),(2.1969253864 7207),,,(2.09367796094 7690),,(1.71002799007 8007),(2.36851207037 8170),(3.15323942319 8328),(1.21494937796 8493),,,,(1.04806608466 9149),(1.21535458786 9305),,(3.26304503356 9637),,
