Cycle,0.894583333333
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(66.4746828578 56),(66.8565954532 246),(61.7925723211 423),(49.9259126801 614),(49.7463595866 775),(49.0833290076 966),(43.5563227478 1159),(41.3202681843 1352),(42.5013349659 1544),(47.7956153338 1749),(48.3623038547 1929),(44.2024993789 2135),(45.8621134335 2327),(42.2832412499 2504),(40.06887167 2712),(38.3755916422 2887),(40.3786189311 3081),(36.7352727741 3256),(36.4290569022 3446),(32.6878547254 3657),(31.7732455034 3849),(29.8889579313 4023),(30.6150516972 4185),(33.5081466929 4359),(41.1529424617 4540),
Point0,H2,(1.09037952737 181),,,,,,,,,,(47.9996835733 1936),,,(41.7150389223 2512),,,,,,,,,,,
Point0,H3,(1.09635033437 183),,,,,,,,,,(48.0292305053 1939),,,(41.779017395 2516),,,,,,,,,,,
Point0,H4,(1.42108547152e-14 195),(4.94675444989 349),(2.13162820728e-14 563),(4.40769544265 700),(3.43614169231 892),(2.91068744291 1086),(2.76511995883 1282),(3.47649937569 1469),(3.21232715714 1662),,(-1.7763568394e-14 2082),,(0.767287127144 2452),(7.1054273576e-15 2657),(1.06581410364e-14 2832),(3.45919629861 3004),,,(5.3290705182e-15 3602),(-0.00740089909399 3788),(3.05370950806 3951),,(0.627958267926 4279),,
Point0,H5,(66.2581992908 232),(6.00696232248 360),(48.7476135366 601),(5.11682085937 711),(3.45382861284 896),(3.73965184023 1097),(2.77345378257 1285),(4.51769067191 1481),(3.49365303028 1671),,(43.1876260689 2121),,(0.802775171174 2456),(38.4623464091 2697),(38.2863224013 2870),(4.57969062051 3017),,,(31.457093287 3639),(30.3913932136 3831),(3.5187843864 3960),,(2.37203585447 4297),,
Point0,H6,(1.42108547152e-14 195),(4.26325641456e-14 377),(2.13162820728e-14 563),(1.7763568394e-14 729),(4.97379915032e-14 921),(7.1054273576e-15 1112),(-1.42108547152e-14 1302),(5.3290705182e-15 1498),(-3.5527136788e-15 1692),(3.5527136788e-15 1891),(-1.7763568394e-14 2082),(2.13162820728e-14 2277),(7.1054273576e-15 2467),(7.1054273576e-15 2657),(1.06581410364e-14 2832),(1.7763568394e-14 3033),(1.06581410364e-14 3206),(5.3290705182e-15 3403),(5.3290705182e-15 3602),(-0.00740089909399 3788),(-0.0150690381049 3979),(-0.029733190414 4147),(-0.0150770893736 4313),(1.06581410364e-14 4488),
