Cycle,0.862708333333
Average Width,5.54488605688
Width,,5.88405247503,5.92134883143,5.95123091646,5.32179386078,5.39705873553,5.12395428925,5.48152879405,5.47306007655,5.15555767005,5.31175056755,5.19246919433,5.19983273036,5.41529185629,5.56458740652,5.25554259965,6.04628078753,5.66197446019,6.15531417003,5.8402056592
Point0,H1,(7.96681677835 42),(9.40822833703 210),(8.25976372185 403),(9.10513581629 581),(9.07381809684 768),(8.98265328732 949),(9.86000291032 1125),(9.4215068449 1299),(9.10926254485 1477),(9.12045583031 1675),(9.61158393188 1844),(9.16936052254 2021),(8.93280966405 2218),(10.0449371087 2391),(7.65547808526 2579),(8.54819501263 2778),(8.76694216392 2948),(9.49631363212 3148),(7.93968745392 3317),
Point0,H2,,,(0.704959395003 485),(1.2543378358 677),,,(4.72838046464 1172),,,,,,,,(-0.00454174196924 2658),,(3.75792265889 3024),,,
Point0,H3,,,(1.53555859595 509),(1.40667539787 690),,,(4.84810775032 1179),,,,,,,,(0.969655423066 2692),,(3.78395577392 3031),,,
Point0,H4,(-0.00240423287919 130),(1.0345016816 311),(6.2172489379e-15 530),(1.32369848244 699),(1.8970565433 837),(1.5462028524 1056),,,,,(0.228025845198 1966),,(0.601255751558 2339),(1.4110934876 2489),(0.939914405323 2699),(0.819114012584 2875),(0.776096116284 3073),,,
Point0,H5,(1.58624797106 153),(1.18579087652 324),(0.407779478274 542),(1.55884779502 712),(2.07728555079 853),(1.54975294599 1059),,,,,(0.663401414535 1979),,(0.649443540714 2345),(1.67754011046 2506),(1.19927440404 2713),(1.52381182271 2891),(1.13631324515 3084),,,
Point0,H6,(-0.00240423287919 130),(7.54951656745e-15 360),(6.2172489379e-15 530),(-0.000152521591804 730),(2.6645352591e-15 910),(1.7763568394e-15 1089),(7.54951656745e-15 1251),(1.7763568394e-15 1442),(-8.881784197e-16 1625),(8.881784197e-16 1806),(2.6645352591e-15 1992),(-3.5527136788e-15 2170),(-4.4408920985e-15 2359),(-0.00227167566468 2535),(-0.00454174196924 2658),(5.3290705182e-15 2730),(5.77315972805e-15 2911),(2.6645352591e-15 3099),(-2.22044604925e-15 3284),
Point1,H1,(8.32647174266 41),(9.93157094958 213),(9.13520915953 396),(11.0434829082 582),(10.3131169327 765),(10.963010983 952),(11.4110054733 1126),(10.7956993241 1301),(11.1112249194 1478),(10.2954666739 1677),(11.6381670132 1846),(11.0982499055 2022),(10.2737431548 2215),(11.2683445562 2391),(9.45939638082 2581),(8.85578374637 2777),(9.76463547077 2950),(9.87669821588 3150),(8.71184236492 3319),
Point1,H2,,(1.13407905779 307),,(4.4424447612 630),,,(4.76962131787 1173),,,,(5.00460378495 1895),(5.04490653227 2069),,,(1.55474156193 2669),,,,
Point1,H3,,(1.45667589047 322),,(4.56480845189 638),,,(5.07591833088 1182),,,,(5.06419022794 1901),(5.22929778574 2077),,,(1.95098044676 2686),,,,
Point1,H4,(-0.00328414325999 134),(0.912264011999 342),(1.38929752229 496),(1.34704994919 704),(2.20106996698 856),(1.86181777086 1055),,,,(1.32994244431 1778),(0.212147190222 1973),(1.49500944075 2146),,(1.66316964176 2493),(0.943109860762 2705),(0.891298414756 2878),(0.662092985111 3079),,
Point1,H5,(0.690050468962 154),(0.914607018059 344),(1.80249290775 513),(1.49381540488 714),(2.20260360275 859),(1.89065323986 1060),,,,(1.4086723615 1786),(0.318926914891 1981),(1.57078325795 2154),,(1.89654549041 2508),(1.38285573432 2717),(1.13640168954 2891),(0.681426314912 3083),,
Point1,H6,(-0.14419760724 173),(9.7699626167e-15 362),(-0.000428277014624 540),(-3.5527136788e-15 731),(-8.881784197e-16 910),(5.3290705182e-15 1090),(-4.4408920985e-15 1261),(0.0 1445),(1.7763568394e-15 1626),(8.881784197e-16 1807),(-5.3290705182e-15 1991),(0.0 2172),(-0.00286394453202 2358),(-7.1054273576e-15 2538),(-0.00068560339944 2733),(0.0 2911),(-8.881784197e-16 3098),(-0.00059592172722 3288),
Point2,H1,(8.9585020954 47),(11.692777105 213),(10.7134750716 394),(12.9173951046 583),(12.2042292084 763),(11.9098899178 952),(13.0260079017 1128),(12.3946329478 1302),(12.9376866666 1478),(11.9664339567 1657),(12.9236856739 1847),(12.1607311501 2024),(11.1294886092 2204),(12.3113974868 2392),(10.802485045 2583),(9.41462957863 2766),(10.409085301 2951),(10.2189033604 3148),(8.93904657774 3319),
Point2,H2,,(1.16068651079 311),,(2.31454356499 679),,(5.55893532603 1000),(5.5270689763 1176),(5.66912128415 1353),(5.30541777262 1526),(11.0830175403 1669),,(5.30329773709 2070),(10.8943002539 2214),(2.0664192024 2491),,(9.38744451403 2771),,,
Point2,H3,,(1.34908299398 321),,(2.4096397067 688),,(5.62978400421 1007),(5.57754537365 1182),(5.67154436034 1355),(5.60425088267 1536),(11.2781315369 1677),,(5.4987566847 2080),(10.9046149403 2217),(2.06712178438 2493),,(9.408045775 2776),,,
Point2,H4,(0.532018437516 134),(0.631159399598 337),(1.7651478456 497),(1.43975954328 707),(2.34367477478 853),,,(2.77903894884 1384),(1.44817587982 1604),,,(1.57340844009 2146),,(1.55545443767 2516),(0.73065205267 2704),(0.724090891961 2879),,,
