Cycle,0.722884615385
Average Width,5.15166130694
Width,,5.24823815883,5.47683519612,5.59346753723,5.65477153917,5.66009849218,5.1761516712,5.15126464405,5.21633454794,5.18889381929,4.95022135434,5.22681396264,5.12720316656,5.08231364686,4.76742209925,4.84603467127,5.20163435656,5.31668340202,5.14937355132,5.07727103531,5.15828822313,5.09834737353,5.04788918742,5.14080944419,4.9369411197,4.86496037694,4.94165398639,4.79493872387
Point1,H6,(-0.00184853106865 1),(0.0 144),(3.5527136788e-15 289),(2.6645352591e-15 425),(4.4408920985e-15 564),(7.1054273576e-15 717),(3.5527136788e-15 868),(-8.881784197e-16 1015),(-0.00344523751108 1169),(3.5527136788e-15 1315),(-5.3290705182e-15 1457),(-3.5527136788e-15 1590),(-7.1054273576e-15 1729),(-0.0100434827991 1862),(-4.4408920985e-15 2017),(2.6645352591e-15 2176),(8.881784197e-16 2331),(8.881784197e-16 2483),(-8.881784197e-16 2640),(-5.3290705182e-15 2799),(8.881784197e-16 2962),(8.881784197e-16 3123),(-8.881784197e-16 3279),(-2.6645352591e-15 3426),(-8.881784197e-16 3573),(0.0 3732),(0.0 3894),
Point2,H1,(23.2601059538 25),(24.3497649452 169),(21.7994806521 313),(20.5249313689 456),(23.9370918938 598),(23.9242142294 744),(20.7350391641 897),(23.6870497593 1047),(24.6831874332 1195),(24.7906901443 1339),(24.7599320968 1482),(20.6307154826 1621),(25.6057727194 1754),(22.5779475046 1895),(23.9963873613 2041),(22.1282011568 2201),(20.6099578263 2360),(22.4389629749 2508),(23.3318802094 2665),(23.9320118068 2825),(25.0532507384 2986),(23.8751715812 3148),(21.5137805883 3304),(24.143452055 3450),(20.3764584963 3604),(21.3035568412 3760),(22.3794954231 3926),
Point2,H2,(4.64007471014 50),(4.40731609906 193),(3.63678071757 339),(2.9750402132 481),(5.24132023179 624),(5.06855961871 770),,(5.3363992944 1072),(9.17627731736 1221),(8.60648219396 1370),(5.91751884237 1509),(3.66843134839 1646),,(5.55702641964 1918),(8.25666146427 2065),,(5.90071758114 2381),(9.84536507125 2537),(8.05086708779 2687),(8.60832633152 2847),(10.3108573442 3011),(9.01065866038 3180),(5.05300105163 3327),(10.1207627989 3475),(8.35950720264 3629),,
Point2,H3,(9.95517260676 80),(10.1608701465 222),(8.45005876492 365),(9.24719745782 505),(11.2487555887 648),(10.1991638896 795),,(11.2778730895 1097),(13.6546085951 1246),(12.2757736283 1392),(10.6459282681 1535),(10.612646766 1667),,(9.37506707276 1938),(9.93631167164 2082),,(11.5357597969 2403),(12.5675406844 2557),(10.9153964456 2706),(11.7328073529 2869),(13.2025079465 3038),(11.2001326554 3199),(11.3868401022 3353),(13.0752266394 3501),(12.026142156 3649),,
Point2,H4,(1.96845409726 123),(2.30115784379 265),(0.0543916718856 415),(2.60087665097 533),(1.00834995922 703),(2.70584086017 838),(5.51285364398 926),(4.11804993663 1147),(4.78763702733 1286),(4.03071965444 1430),(3.75252523714 1562),(2.72017052374 1702),(8.06569524362 1779),(2.21737981735 1992),(0.89791613933 2152),(7.76999596946 2223),(2.89419027622 2455),(2.04250647973 2617),(1.64211324274 2775),(2.89147910878 2935),(4.25007606008 3094),(0.839906582131 3259),(2.78938482784 3398),(3.82084870691 3543),(3.29043766476 3703),,
Point2,H5,(2.15989113632 130),(2.71386293439 274),(0.0783182469212 419),(2.87816292239 541),(1.01417210005 705),(3.81201912171 851),(11.3946178461 949),(4.20838501331 1152),(5.82403011992 1298),(4.73184692653 1441),(3.78530025479 1566),(3.87560826627 1714),(11.064080355 1804),(2.9990251741 2003),(1.28258520308 2163),(10.5037448529 2243),(4.53242115965 2468),(2.44091745987 2627),(2.14111819418 2786),(3.98366960901 2947),(5.64732197618 3107),(1.12069016919 3267),(4.14699682775 3411),(4.37420956638 3553),(4.23200976221 3715),,
Point2,H6,(-1.15463194561e-14 144),(-1.33226762955e-14 289),(-1.24344978758e-14 425),(-2.6645352591e-15 563),(-0.00296176158908 717),(-0.00285643769756 868),(6.2172489379e-15 1012),(1.59872115546e-14 1170),(7.1054273576e-15 1315),(-1.59872115546e-14 1458),(-1.7763568394e-14 1590),(-7.1054273576e-15 1729),(0.0 1862),(0.0 2017),(1.06581410364e-14 2175),(8.881784197e-15 2331),(1.59872115546e-14 2483),(-0.0060107033106 2641),(-1.68753899743e-14 2800),(-1.42108547152e-14 2962),(-2.6645352591e-14 3123),(-1.42108547152e-14 3279),(-5.3290705182e-15 3426),(-7.1054273576e-15 3572),(-8.881784197e-15 3731),(-4.4408920985e-15 3893),
Point3,H1,(19.0541517772 25),(19.6067011462 168),(16.2641388711 313),(14.6266956359 456),(19.6018452352 598),(20.0912665119 744),(16.9724792097 898),(20.2037609371 1047),(20.1980670124 1194),(21.99408764 1339),(21.3737336415 1482),(18.6863861621 1621),(23.0760240249 1754),(20.1759487429 1894),(20.409151545 2041),(19.036102854 2200),(17.5404441627 2359),(18.7637235048 2508),(20.1159075714 2664),(21.311975057 2824),(22.6364083017 2986),(20.9995758408 3147),(20.0943889507 3304),(21.7324486944 3450),(18.8598778047 3604),(21.0452034896 3760),(22.153863981 3926),
Point3,H2,(5.02487558949 50),(4.34493898581 193),,(2.60536719785 482),,(4.41755107101 770),,(4.52337611834 1071),(8.39081912955 1223),(7.55942668894 1371),,(3.69928267285 1645),,(5.61422155358 1918),(7.62332164542 2066),(7.71734711013 2223),(5.61947913244 2381),(8.43866501652 2539),(7.68118137619 2687),(8.61049695884 2847),(9.68202038829 3011),(7.79397505902 3179),(5.47681930185 3327),(8.91188484472 3477),(8.10267565299 3629),,
Point3,H3,(8.71547531247 78),(7.82278178392 221),,(6.25701195171 504),,(7.13587716013 793),,(8.40811987138 1098),(11.6272328119 1246),(10.6374934761 1391),,(9.22718060605 1666),,(7.64261774996 1934),(8.26265297916 2080),(9.06797749036 2240),(9.47898109815 2404),(10.2433023808 2558),(9.4483080207 2705),(10.2814980531 2865),(11.4832429723 3036),(9.68925056766 3198),(10.1222722309 3352),(11.3716985892 3500),(11.1431551452 3649),,
Point3,H4,(1.97937503979 121),(1.80402533831 265),(3.18528157614 340),(1.59685811107 532),,(2.69348853807 838),(4.45483873638 925),(3.02544986853 1146),(4.49318647801 1286),(3.620223558 1429),(5.04818226975 1510),(2.9365301234 1700),(7.75095454146 1781),(1.67470541143 1990),(0.813656682379 2150),(1.83175686805 2297),(2.66087053934 2455),(1.59144415398 2616),(1.50121272854 2773),(2.66291549223 2933),(3.78189714891 3093),(1.06576249637 3257),(2.37960592121 3398),(3.26546708774 3542),(3.59167391223 3702),,
Point3,H5,(2.20473804154 129),(2.0238680306 273),(5.79557491349 364),(1.79537353928 540),,(2.99935845855 848),(8.68761611134 948),(3.07732504437 1151),(5.07591565588 1296),(4.23628287152 1440),(8.56624709112 1534),(4.23328258531 1713),(9.35252744559 1804),(2.89663851714 2003),(1.36952071838 2162),(1.84354837392 2301),(3.77001706815 2466),(2.10303172688 2626),(2.12759810331 2786),(3.73776580729 2946),(4.93367787798 3105),(1.46980191195 3266),(3.84099348335 3411),(3.6869817508 3552),(4.46094856483 3713),,
Point3,H6,(-0.00272854830589 143),(0.0 288),(3.5527136788e-15 426),(1.59872115546e-14 562),(5.3290705182e-15 718),(-3.5527136788e-15 866),(-7.9936057773e-15 1016),(-0.00532784425171 1168),(7.1054273576e-15 1314),(-8.881784197e-15 1457),(5.3290705182e-15 1589),(0.0 1729),(-0.00145116483303 1863),(8.881784197e-16 2017),(-4.4408920985e-15 2175),(-1.7763568394e-15 2330),(-1.7763568394e-15 2482),(-1.33226762955e-14 2640),(-0.00111417095875 2799),(-7.1054273576e-15 2961),(-1.06581410364e-14 3122),(-1.06581410364e-14 3279),(-1.15463194561e-14 3425),(-0.00198198057279 3571),(-5.3290705182e-15 3731),(-0.00604970899614 3893),
Point4,H1,(7.73112704411 27),(7.63985587581 170),(6.50346244134 315),(5.55269320654 459),(8.43675095497 600),(7.17848330222 746),(6.49762239026 902),(8.13304106084 1049),(9.18985242271 1197),(9.89499699563 1342),(10.3664844983 1484),(9.00577197069 1623),(10.1698465845 1756),(7.12040306239 1896),(7.88905769667 2043),(8.33941293769 2203),(7.60598470491 2361),(7.84906953007 2512),(8.508391103 2666),(9.99940690407 2826),(10.312192334 2988),(9.48211492741 3151),(8.98413051462 3306),(9.2013216439 3453),(7.76418123243 3608),(8.72453889471 3764),(9.48152086962 3928),
Point4,H2,,(2.07787002866 198),,(1.07925934426 488),(2.84316110775 626),,(1.43149122262 928),(1.84271261612 1074),(4.51000125561 1228),(4.29127716782 1373),,(2.03519552668 1646),,(1.8708287663 1922),,(4.91312154098 2226),(3.13098386444 2383),(4.19010124359 2542),(4.30623614695 2690),(4.93058098696 2850),(5.56599267938 3019),,(3.58623479507 3332),,(4.32047408585 3633),(4.94730513285 3795),,
Point4,H3,,(3.34130044215 222),,(2.06406923867 506),(4.46806160756 649),,(3.54848726645 951),(3.34764930796 1099),(5.79034042476 1247),(5.60687851887 1392),,(4.13870505826 1666),,(2.86915248206 1947),,(4.9730276846 2233),(4.90589219852 2408),(4.68808413843 2558),(4.88920620378 2708),(5.74642588204 2872),(6.64520662347 3042),,(4.82042587381 3355),,(4.95689076456 3652),(5.64666506208 3812),,
Point4,H4,(3.05881125528 53),(0.859559026323 266),(1.22567432659 344),(0.125066469695 535),(2.08878194068 676),(1.08641308127 774),(-0.000650446821857 1002),(2.32652015667 1122),(2.46595711761 1287),(1.5037646555 1431),(2.55656142362 1514),(1.00013396438 1705),(4.21607359551 1788),(0.6842892991 1991),(-0.00156097689225 2146),(0.428630871362 2316),(1.64564951018 2457),(1.17497086629 2614),(0.820998190887 2778),(1.70735959033 2935),(1.66858520563 3094),,(0.684341068233 3400),(5.01091279204 3483),(1.81246678863 3705),(0.877271416674 3864),,
Point4,H5,(4.45157015548 78),(0.940788742006 274),(2.24546926517 364),(0.150454810995 542),(2.23956784528 686),(2.64896522731 795),(0.218498592355 1013),(2.33601614268 1125),(2.63334715167 1296),(1.70639576263 1441),(4.48778718322 1536),(1.04543592887 1712),(4.67520934575 1804),(1.07222613421 2003),(1.29998157618 2166),(0.438107446923 2321),(1.70975312499 2464),(1.31692919106 2625),(0.896750071143 2786),(2.07884432181 2946),(2.0648329288 3106),,(1.21072927733 3412),(5.83092692031 3502),(1.84322987386 3710),(1.01988639542 3874),,
Point4,H6,(-0.0214038295927 1),(7.54951656745e-15 144),(5.3290705182e-15 289),(-0.0489449458927 425),(-0.000412218441994 558),(6.2172489379e-15 719),(-0.00489170570165 865),(-0.000650446821857 1002),(3.99680288865e-15 1170),(3.5527136788e-15 1315),(5.3290705182e-15 1457),(-4.4408920985e-15 1592),(-1.33226762955e-15 1728),(-0.00416783711134 1867),(4.21884749358e-15 2018),(-0.00156097689225 2146),(2.6645352591e-15 2334),(0.0 2483),(2.22044604925e-15 2641),(5.77315972805e-15 2800),(5.3290705182e-15 2963),(1.7763568394e-15 3123),(5.3290705182e-15 3280),(3.5527136788e-15 3426),(2.22044604925e-15 3574),(-8.881784197e-16 3732),(-0.00343527450649 3895),
