Cycle,0.877341269841
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(12.2305355612 46),(19.3483344447 236),(18.3618457106 450),(17.8689342522 654),(21.7722119979 842),(17.3786969133 1035),(22.1076010297 1233),(20.8169916452 1434),(21.5809205987 1619),(19.8636828701 1817),(20.2272889939 2031),(22.4542269986 2221),(24.836343914 2407),(21.127778065 2621),(16.6109821857 2826),
Point0,H2,,(18.8654696934 248),,(12.8890822903 678),,,,,,,(20.0672917186 2040),,,,
Point0,H3,,(18.9279717796 254),,(14.190615871 693),,,,,,,(20.0688384182 2041),,,,
Point0,H4,,(15.7992029045 282),(1.50704077298 578),(1.06581410364e-14 785),(1.53805316081 981),(11.9114102996 1081),,,,(4.09129655251 1947),(12.8851904007 2072),(15.2728586185 2256),(17.8090198906 2440),,
Point0,H5,,(15.8299496806 287),(1.89907046604 590),(6.78624664095 805),(1.95942722572 991),(11.925937693 1085),,,,(4.28845335934 1959),(13.2176925807 2081),(15.2760096929 2258),(18.7055553205 2455),,
Point0,H6,(-0.00663842935956 195),(-0.00438140941023 402),(-1.7763568394e-15 606),(1.06581410364e-14 785),(-6.2172489379e-15 1006),(-1.7763568394e-14 1194),(7.1054273576e-15 1391),(1.7763568394e-15 1578),(-8.881784197e-15 1789),(-0.00514047100098 1998),(-3.5527136788e-15 2177),(-0.00332514091611 2365),(-1.7763568394e-15 2573),(-2.6645352591e-15 2797),
Point1,H1,(5.4214421831 158),(8.04194199595 336),(5.46054383581 472),(5.62449550254 552),(8.23534543941 735),(2.48393685533 853),(7.42550168097 970),(7.93726738879 1154),(7.00862290973 1345),(5.72000138464 1491),(6.63231801558 1553),(6.90248465434 1739),(6.09068576323 1942),(6.32692943229 2130),(7.38878284748 2296),(7.99821284738 2527),(6.46336768731 2736),(5.74236418106 2960),(7.61763718797 3114),
Point1,H2,,,,,,,,,,,(0.0 1596),(-4.88498130835e-15 1780),,,,(-1.15463194561e-14 2577),,
Point1,H3,,,,,,,,,,,(4.61378483279 1655),(2.22227211447 1816),,,,(4.01671680904 2648),,
Point1,H4,(-0.0199981673994 202),,(4.57658032156 500),,(7.06587795873 758),(-1.94289029309e-15 911),,,(-0.00199333854569 1399),(4.82219959731 1509),(4.51578417783 1664),(2.17957863008 1824),,,,(3.2602772833 2671),,
Point1,H5,(5.21406340991 270),,(4.79906961901 516),,(7.10425396686 763),(1.75132774059 935),,,(3.19916306561 1436),(5.37519053453 1526),(5.97476990613 1687),(3.96525301009 1875),,,,(5.31129479874 2706),,
Point1,H6,(-0.152329415813 8),(-0.0199981673994 202),(-8.881784197e-16 393),(-0.00930695386632 598),(-0.065928387631 806),(-1.94289029309e-15 911),(-0.0653596105469 1010),(-0.00930988325439 1200),(-0.00199333854569 1399),(0.0 1596),(-4.88498130835e-15 1780),(2.6645352591e-15 2000),(7.1054273576e-15 2195),(-7.1054273576e-15 2375),(-1.15463194561e-14 2577),(-0.000252126610809 2783),(-0.012161268264 2993),
Point2,H1,(7.59424615734 164),(9.08809765124 345),(8.14728202569 563),(8.15905012923 770),(13.283353213 973),(9.13098389005 1159),(10.3514199197 1354),(9.78023654361 1557),(10.1202530827 1743),(9.01534114024 1949),(8.72810271424 2138),(9.93014903696 2337),(11.1533183456 2530),(8.93281389165 2739),(7.92731583413 2964),
Point2,H2,,,(7.1054273576e-15 604),(2.6645352591e-15 805),(-0.00034080825175 1017),,,,,,(8.41601707288 2151),,(5.3290705182e-15 2582),,,
Point2,H3,,,(7.75838330854 720),(6.87630110606 873),(5.07392676852 1066),,,,,,(8.51283966384 2158),,(5.04460610662 2650),,,
Point2,H4,,(1.7763568394e-15 398),(7.70366741823 729),(6.65499528949 886),(4.86407635 1076),,,(0.0 1599),,(-8.881784197e-16 1986),(8.881784197e-16 2197),,(4.13716621032 2670),,,
Point2,H5,,(6.53908134769 489),(7.79928896239 740),(8.98984529345 936),(6.94367385043 1099),,,(8.18917145462 1694),,(7.83848494314 2104),(9.05460996364 2303),,(7.38904315367 2713),,,
Point2,H6,(-0.0318247233446 2),(-0.00201693372117 199),(1.7763568394e-15 398),(7.1054273576e-15 604),(2.6645352591e-15 805),(-0.00034080825175 1017),(3.5527136788e-15 1203),(-0.00235441285895 1393),(0.0 1599),(-0.00309428067021 1784),(-8.881784197e-16 1986),(8.881784197e-16 2197),(5.3290705182e-15 2379),(5.3290705182e-15 2582),(7.9936057773e-15 2772),(-0.000764914166627 2994),
