Cycle,0.738885869565
Average Width,12.9963943121
Width,,10.8605721223,0.0,0,18.7074581568,0,0.0,0.0,19.7463474348,19.1885144694,20.2357072083,13.1897021427,16.1251173083,18.4777825745,9.8159645163,12.7904916763,13.5616968942,12.5305640382,9.93084692479,12.0021142685,9.50925788366,13.4122407538,9.82514933707,11.9715024514,10.0959105083,9.11858549913,10.5573360368,25.6695842555,12.9444948966,11.893534351,11.2988478552,9.38330040059,11.063790255,8.74192536983,8.91276238694,11.7782500463,12.4133056447,10.494375122,13.5867899176,17.958609066,0,11.6194616294,10.4494401792,9.03324586619,14.3731677894,10.4158511732,16.172174075
Point1,H5,(0.793866444942 175),(6.98735718939 270),(2.04940543997 461),(6.07016541256 564),(7.10290843229 719),,,(5.11596218023 1166),(7.30027196729 1311),(7.15438979699 1455),(2.41169628338 1642),,,(2.0474813392 2126),(6.50649137329 2224),(7.05139215513 2379),(2.22917344485 2572),(2.94024035632 2732),,(0.0556336345196 3038),(2.02327170354 3180),(1.24823679757 3340),(1.90779994949 3496),(1.52754129904 3662),(2.03835098478 3805),(5.98292569909 3909),(6.87569599232 4065),(2.346951504 4270),(5.8258986716 4384),(0.638652230116 4560),(6.67608805081 4656),(9.02934227539 4802),(5.65713084295 4959),(2.80445508443 5133),,(3.29234560431 5434),(2.59566964684 5595),(3.61209609681 5736),,(3.15913433628 6044),,,(7.40060880974 6449),(7.47654318152 6593),,
Point1,H6,(-0.0234131466136 159),(1.06581410364e-14 332),(2.04281036531e-14 478),(6.2172489379e-15 624),(7.1054273576e-15 787),(1.11022302463e-14 934),(-0.00710686439816 1071),(-0.00612241234566 1221),(8.881784197e-15 1375),(1.42108547152e-14 1524),(8.881784197e-15 1663),(-6.2172489379e-15 1806),(7.9936057773e-15 1962),(6.2172489379e-15 2141),(1.24344978758e-14 2289),(-0.00526264649677 2439),(1.7763568394e-14 2590),(7.9936057773e-15 2751),(-0.00478470070508 2906),(-0.00549950765398 3045),(1.24344978758e-14 3197),(-7.9936057773e-15 3356),(1.7763568394e-15 3525),(9.7699626167e-15 3677),(5.3290705182e-15 3822),(-5.3290705182e-15 3976),(1.7763568394e-15 4141),(-7.1054273576e-15 4297),(-9.7699626167e-15 4429),(-5.3290705182e-15 4572),(-6.2172489379e-15 4717),(-0.00679312993419 4873),(4.4408920985e-15 5013),(-1.7763568394e-15 5152),(-0.00446052279239 5299),(7.1054273576e-15 5456),(6.2172489379e-15 5617),(1.24344978758e-14 5761),(6.2172489379e-15 5907),(1.7763568394e-15 6063),(-6.2172489379e-15 6224),(-4.4408920985e-15 6366),(5.3290705182e-15 6510),(8.881784197e-15 6668),(1.7763568394e-15 6829),
Point2,H1,(12.0890914534 62),(9.56745155164 215),(9.76538192091 362),(9.1728587298 507),(10.3158536213 661),(8.93055111321 822),(8.58435603982 968),(11.4585456227 1109),(11.8756233617 1257),(10.5384936952 1406),(9.95059454616 1559),(10.5384968975 1694),(10.8751700639 1841),(12.8838386891 1993),(13.0766453557 2168),(11.65634854 2326),(12.0838540292 2473),(12.6711696971 2621),(12.6021219557 2787),(13.6018407665 2935),(11.8267021164 3079),(12.4852911917 3228),(13.4567993368 3386),(12.7177651301 3558),(11.5909523921 3705),(12.6077488252 3851),(12.0838346088 4009),(11.3685772281 4170),(11.5308936633 4329),(9.68888368446 4458),(11.5915974056 4600),(14.5888941198 4750),(12.4162411025 4903),(12.7360695398 5048),(12.8670018948 5188),(12.7455909828 5336),(12.0488790663 5491),(10.795490053 5651),(11.7641466548 5799),(9.29202593236 5941),(14.0499731879 6095),(13.8680465814 6259),(12.4257389552 6397),(13.0315961719 6539),(14.7900784758 6697),(13.5189808732 6859),(12.7025975527 7028),
Point2,H2,,,(3.02122448356 402),,,(5.87438796627 846),,(4.63796991739 1140),,,(5.13465732898 1606),(6.80580412933 1731),,(8.3489934849 2037),,,(6.46235500816 2510),(6.61510781264 2662),,,(4.85011540129 3122),(6.43123214867 3273),,(5.80490774558 3606),(4.78121061479 3749),,(6.02542146558 4052),,,(2.13673916202 4503),,(8.8375013465 4792),,,,,,,,,(8.80308302314 6134),(7.86564225558 6291),,,,,
Point2,H3,,,(3.68001541325 417),,,(5.93708975815 853),,(4.71125746219 1155),,,(5.15369229324 1611),(7.33747807863 1744),,(8.5720523063 2047),,,(6.7545834413 2522),(7.12692180053 2678),,,(5.27957876926 3134),(6.45539924108 3279),,(5.80988621997 3609),(5.43928025689 3762),,(6.6795006754 4067),,,(3.03705518825 4526),,(8.87103864462 4798),,,,,,,,,(9.27964464703 6147),(8.09216840207 6302),,,,,
Point2,H4,(-4.4408920985e-15 161),(4.30471034839 248),(0.812085366939 451),(4.23532980404 549),(5.84210838419 707),,,,(6.65532657581 1299),(6.12378569082 1448),(2.7310753696 1639),(2.07955995986 1782),(6.65300416122 1883),(2.15421410138 2117),(5.4290778241 2213),(5.98046597292 2372),(2.135603607 2565),(2.15204124371 2722),,(4.27552670054 2975),(1.9729412589 3168),(1.33218364133 3331),(6.18423517839 3430),(1.08273177306 3656),(1.58100965818 3797),(5.68175272033 3896),(1.75789886938 4117),(5.8528178411 4214),(5.42544216585 4374),(0.467720411793 4553),(5.88658054535 4642),,(5.28934737896 4950),(5.6637774366 5090),,,,,,(5.31150659568 5990),(3.45144399357 6198),,(6.44189298125 6434),,(2.41107307861 6805),,
Point2,H5,(1.3490171177 179),(6.56493653892 273),(1.33485538128 464),(5.16197891299 565),(6.21659397274 720),,,,(7.03308272399 1313),(6.26107938528 1457),(2.76773123146 1644),(2.27333681288 1790),(6.72165756931 1892),(2.18615847304 2123),(5.99773403386 2226),(6.08673784745 2380),(2.23588076216 2573),(2.90693695568 2735),,(5.21598732737 2991),(2.3855830259 3181),(1.92911282434 3343),(6.93719050855 3443),(1.11565977651 3662),(1.83545109568 3806),(5.91204194393 3908),(1.95997614679 4126),(6.05837629643 4225),(5.49284937792 4381),(0.597057298392 4560),(6.18906931435 4655),,(5.39706374354 4957),(5.89103374539 5101),,,,,,(5.31399911178 5993),(3.6313862291 6206),,(7.32427171257 6451),,(2.45988142209 6811),,
Point2,H6,(-4.4408920985e-15 161),(6.2172489379e-15 334),(4.88498130835e-15 479),(-5.77315972805e-15 624),(-9.7699626167e-15 788),(-0.00528290303197 927),(-0.00315448632692 1073),(-7.1054273576e-15 1224),(1.24344978758e-14 1376),(5.3290705182e-15 1523),(1.24344978758e-14 1664),(1.42108547152e-14 1808),(1.33226762955e-14 1964),(1.15463194561e-14 2142),(9.7699626167e-15 2290),(1.15463194561e-14 2440),(-1.06581410364e-14 2591),(-2.6645352591e-15 2753),(-7.1054273576e-15 2907),(-8.881784197e-15 3047),(-2.04281036531e-14 3199),(-0.000304602154809 3358),(1.7763568394e-15 3527),(-1.7763568394e-15 3677),(-0.00159047407318 3822),(1.06581410364e-14 3976),(3.5527136788e-15 4143),(-8.881784197e-16 4301),(-0.00232433327279 4431),(-8.881784197e-15 4572),(0.0 4718),(-0.0124562047608 4873),(4.4408920985e-15 5014),(-8.881784197e-16 5153),(-7.1054273576e-15 5299),(-1.06581410364e-14 5456),(-7.1054273576e-15 5617),(-8.881784197e-15 5761),(-1.42108547152e-14 5906),(-2.30926389122e-14 6063),(-7.9936057773e-15 6226),(-3.5527136788e-15 6367),(5.3290705182e-15 6511),(0.0 6669),(-4.4408920985e-15 6830),(-7.1054273576e-15 6993),
Point3,H1,(10.81979361 64),(10.3004424417 216),(10.0359694134 363),(9.20765936281 510),(10.2669183553 663),(9.30327807778 824),(8.80686159119 968),(11.4998069879 1109),(11.9927661449 1257),(11.7689398278 1408),(11.1505348947 1558),(11.3554517049 1698),(12.2552844082 1843),(13.2344414945 1994),(14.3028519485 2169),(12.8637874063 2326),(12.7630064407 2472),(13.4470021982 2622),(13.8060156052 2787),(13.9752318169 2936),(13.1672564055 3080),(13.4462131204 3227),(14.577405795 3387),(14.6121366929 3558),(13.0104644284 3706),(13.2074483297 3852),(14.1562006103 4009),(12.9842005451 4170),(12.8416004489 4329),(11.5135883472 4459),(12.8631738165 4601),(15.1862847503 4750),(13.108119494 4904),(13.6247865863 5048),(14.2824051226 5188),(14.3503565215 5335),(13.388755203 5492),(12.2640806333 5652),(13.6181727398 5799),(11.6843963778 5942),(15.2234519541 6097),(15.1274183788 6260),(13.7354350619 6398),(15.24632036 6539),(15.9948576256 6697),(15.3662689222 6860),
Point3,H2,,,(3.66981541693 402),,,,,,(6.35950288943 1299),,(4.95100349493 1606),(6.44381926135 1731),(6.94152672075 1884),(8.05889208941 2040),,,(6.22488039544 2514),(6.98851323625 2667),,,(5.18782913724 3122),(6.43199243254 3273),(7.27297476227 3431),(6.80178925831 3601),(5.5545034645 3748),,(6.83541480883 4054),(6.64253957139 4214),,(3.28292352852 4502),,,,,,,(6.26208210096 5539),(5.86479900328 5686),,,,(7.89729048117 6293),,,,
Point3,H3,,,(4.1263201494 415),,,,,,(6.663674571 1312),,(5.00463609267 1612),(6.84151317262 1745),(6.99185832555 1891),(8.17847920573 2048),,,(6.92383310873 2527),(7.10796657285 2677),,,(5.35704745087 3131),(6.52595511851 3282),(7.6581226084 3442),(7.07067000585 3612),(6.08301642537 3760),,(7.03870860372 4064),(6.6990876292 4222),,(3.67958086844 4516),,,,,,,(6.45260183071 5549),(5.95632551063 5697),,,,(8.28463953058 6305),,,,
Point3,H4,(-1.68753899743e-14 161),(4.71159839696 248),(1.31991425436 451),,(6.15663884378 697),,(1.83278545277 1046),(3.71257354379 1157),(3.21627541683 1349),(6.27640768258 1451),(2.03746669834 1638),(1.93567393719 1781),(1.27857098485 1944),(1.70310310774 2116),(5.99154289907 2212),(6.01788027814 2369),(2.11098298413 2565),(2.33189279473 2723),,(5.07178069034 2976),(1.57065669907 3170),(1.40477980116 3331),(2.83823589649 3488),(1.70935582809 3651),(2.09252826936 3796),(6.24815761903 3903),(1.94782337113 4116),(1.2366697539 4281),,(0.792877421342 4552),(6.10389363472 4645),(8.91161224928 4788),(5.75351772943 4949),(5.59225320084 5089),,,(2.97944180709 5586),,,,(9.37878966553 6134),,(7.54946751014 6434),(8.32148785047 6586),,
Point3,H5,(1.60791325344 180),(6.45310404486 272),(1.38013546996 459),,(6.62537490713 716),,(1.86958618208 1052),(3.83365381921 1166),(3.39686187038 1357),(6.31124011117 1458),(2.29347671129 1647),(2.40215634944 1792),(1.29144436269 1948),(1.86306289589 2125),(6.87734511976 2226),(6.11264085086 2378),(2.18182905341 2572),(2.69020109379 2734),,(5.51302527208 2989),(2.19965459636 3183),(2.09070180966 3343),(2.85035630134 3492),(2.11781529033 3662),(2.365679286 3806),(6.24970055395 3905),(2.24535171337 4126),(1.2458666726 4284),,(0.890973843325 4559),(6.30497331563 4655),(9.5273384099 4801),(6.15008050843 4960),(6.26816437228 5103),,,(2.99084655951 5590),,,,(9.78070332471 6147),,(8.23703044222 6450),(8.36077424488 6592),,
Point3,H6,(-1.68753899743e-14 161),(-1.68753899743e-14 335),(-1.95399252334e-14 478),(-0.00613439396082 622),(-7.1054273576e-15 789),(5.3290705182e-15 937),(-0.00296732493207 1074),(-8.881784197e-16 1223),(3.5527136788e-15 1377),(-0.00320984225085 1524),(4.4408920985e-15 1665),(-1.42108547152e-14 1809),(6.2172489379e-15 1965),(4.4408920985e-15 2141),(-4.4408920985e-15 2291),(-0.00389361200471 2440),(-0.00284066560277 2590),(2.6645352591e-15 2752),(-1.33226762955e-14 2906),(-0.00167774190255 3047),(-8.881784197e-16 3199),(7.1054273576e-15 3359),(-9.7699626167e-15 3526),(-9.7699626167e-15 3679),(-1.24344978758e-14 3823),(-1.24344978758e-14 3978),(-1.7763568394e-15 4143),(-3.5527136788e-15 4300),(0.0 4430),(-1.42108547152e-14 4572),(-1.33226762955e-14 4718),(1.7763568394e-15 4872),(-0.000773388549007 5013),(5.3290705182e-15 5153),(7.1054273576e-15 5300),(8.881784197e-15 5456),(-8.881784197e-16 5617),(-7.1054273576e-15 5762),(1.7763568394e-15 5908),(2.6645352591e-15 6063),(0.0 6225),(8.881784197e-16 6366),(1.33226762955e-14 6511),(1.06581410364e-14 6669),(-0.00580991865464 6830),
