Cycle,0.73130952381
Average Width,5.28562788703
Width,,4.85306124103,7.18574282814,5.15248045386,4.93401591321,5.14658868898,5.70816106849,5.86601268164,4.79221511996,5.11094760591,4.66018512568,5.80702036367,5.95886498199,5.79981074977,5.0501821014,5.568457681,0,5.25913835789,0,0,4.88618919666,5.44393916658,5.02526037999,5.45661312126,0,4.99975876199,5.14160482303,4.86260640813,4.9472446094,4.52459574615
Point0,H1,(16.1665005629 29),(15.5286354286 193),(17.4373042297 343),(17.515031926 499),(18.1596583186 651),(18.3273088659 806),(19.1376215571 953),(19.4294016544 1109),(17.8293802813 1261),(18.2444877103 1418),(18.5706346021 1572),(19.0767999658 1725),(19.080359803 1885),(17.5069385473 2044),(18.3858007802 2197),(19.3228159045 2344),(18.7662804366 2501),(19.0492712514 2647),(18.2194497373 2799),(18.7787982699 2952),(18.034791657 3104),(17.9413881318 3244),(18.294041963 3396),(19.3196828566 3543),(16.5329631916 3689),(18.728398375 3836),(18.4157969888 3989),(20.65201709 4140),(17.7660205472 4288),
Point0,H2,(7.82585785434 66),,,(9.06917630002 526),(8.85295354976 687),(7.94557071541 828),(8.47307569152 989),(10.5500614471 1132),(9.20727288919 1294),(8.88777524135 1449),(8.51227642877 1600),,,(7.79037907147 2078),(9.49041426282 2221),(8.70052177351 2389),(9.19656579612 2524),(11.6302495425 2670),(11.1012848756 2836),,(9.40494843828 3133),(9.20323314799 3283),,,(7.75999387851 3722),(8.99949863632 3873),(8.69715563874 4015),(9.85107147515 4171),,
Point0,H3,(8.27097783353 77),,,(10.3701057286 544),(9.33489863748 698),(11.03150307 852),(8.83726555886 999),(11.2548883442 1143),(9.9199361468 1309),(9.85422115169 1462),(10.2076543181 1618),,,(8.93302464375 2092),(9.80087784975 2229),(8.72031117579 2393),(9.85776452614 2534),(13.9217414992 2694),(11.2832515573 2845),,(10.3862276319 3146),(9.37788239385 3291),,,(9.30241984978 3738),(9.9981932606 3887),(8.95628039367 4025),(11.0897884999 4185),,
Point0,H4,(1.43353685947 113),,(1.51256664371 429),(3.71581039389 593),(2.4487184765 733),(3.06468705872 891),(0.783895506122 1039),(2.93213751216 1198),(3.19895784813 1362),(1.56253983565 1502),(1.94453987696 1653),,(4.54788041355 1983),(0.908967249181 2127),(2.43319173148 2277),(1.83629356837 2429),(2.68059329612 2580),(4.71598575719 2739),(4.08405406472 2896),(2.51027913084 3043),(2.56443385465 3186),(2.25815496386 3329),(2.1461749355 3484),(1.93407235209 3635),(1.23733279852 3773),(3.18757783862 3921),(2.47863688554 4076),(2.23521767599 4227),,
Point0,H5,(3.18495199334 141),,(2.91334204163 446),(4.34904807472 605),(2.82925107798 744),(4.57042175073 909),(2.45594333959 1056),(3.85143452175 1213),(4.16000858483 1374),(2.63362346819 1517),(4.38132259799 1678),,(5.9025067019 1998),(2.16823906296 2143),(4.44101621907 2301),(2.7670749645 2445),(3.01348704853 2598),(4.86831691397 2746),(4.33432924689 2906),(2.72515264839 3052),(4.4734589922 3200),(3.4744292943 3343),(2.39066462834 3498),(2.62415986944 3647),(4.29114551118 3792),(3.61594532832 3932),(4.5558554099 4094),(2.81392684379 4238),,
Point0,H6,(-0.0281209137344 1),(1.15463194561e-14 160),(8.881784197e-16 318),(-8.881784197e-16 465),(-1.06581410364e-14 623),(9.7699626167e-15 780),(8.881784197e-15 927),(-7.9936057773e-15 1075),(-5.3290705182e-15 1231),(6.2172489379e-15 1391),(-1.7763568394e-15 1537),(1.7763568394e-15 1696),(-1.7763568394e-15 1856),(-3.5527136788e-15 2017),(9.7699626167e-15 2164),(-7.1054273576e-15 2319),(-9.7699626167e-15 2470),(-0.00215602772778 2620),(-1.42108547152e-14 2768),(3.5527136788e-15 2926),(4.4408920985e-15 3071),(-7.1054273576e-15 3217),(-6.2172489379e-15 3362),(-1.86517468137e-14 3516),(-1.15463194561e-14 3662),(-1.59872115546e-14 3808),(-0.00119952206329 3957),(1.7763568394e-15 4112),(6.2172489379e-15 4256),
Point1,H1,(15.5246388297 30),(15.2472457752 193),(16.0895465634 342),(16.7776903516 500),(16.4891529665 651),(17.1544950848 805),(16.9443281216 954),(18.430097316 1108),(16.6247993047 1261),(17.104982967 1417),(16.9183924972 1571),(17.1116042094 1726),(17.7028061877 1886),(15.9259101579 2045),(17.0434375868 2196),(16.8910050251 2344),(17.2214133242 2501),(17.3898352223 2647),(15.710812974 2800),(16.8660773661 2951),(17.1412417605 3104),(17.3032492701 3244),(15.9657145344 3396),(16.5816426577 3542),(15.0716225115 3689),(17.3482277835 3836),(17.3285729178 3988),(20.0517641653 4140),(17.5622531312 4288),
Point1,H2,(7.52135028176 64),,,(8.86215128282 528),,(8.60051897184 828),(7.38106289277 988),(10.5011686103 1131),(9.27354786811 1292),(8.60756667646 1451),(8.10459822623 1598),,,(7.10521764742 2075),(8.81859859639 2220),(7.61039353064 2384),,(11.6801407442 2669),(9.92359319248 2834),,(9.43534758943 3130),,,,(6.73891265811 3721),(8.64394782936 3874),(8.89965384634 4013),,
Point1,H3,(7.82995118494 75),,,(9.8804350561 544),,(9.64368572089 847),(7.63214001166 997),(11.0253070869 1140),(10.1985698016 1309),(8.78499370878 1459),(9.33555296461 1614),,,(8.46306928534 2091),(8.94853990005 2226),(8.00092501855 2394),,(13.5697889596 2691),(10.286133905 2846),,(10.410367319 3144),,,,(8.49267934087 3738),(9.1506026186 3886),(9.05107042621 4021),,
Point1,H4,(1.68125747859 114),,(1.34660757292 429),(3.25634310786 589),,(2.20453784027 892),(0.506394823437 1038),(2.85318477604 1195),(3.44611256573 1363),(0.946825124475 1501),(1.81047303774 1648),,(4.16845309738 1982),(1.55063385789 2126),(2.46979296795 2279),(1.13802060192 2428),(2.28926646326 2580),(3.16072092151 2738),(3.6502080743 2898),(2.33711515363 3044),(2.80171535745 3185),(2.91357581143 3329),(1.72383595749 3485),(1.90483760501 3634),(1.03998620449 3773),(2.98914686306 3923),(1.90560786231 4073),,
