Cycle,0.583653846154
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(12.5444467596 42),(12.6042898763 167),(7.12444495523 291),(12.5622684042 413),(9.99936638185 530),(8.16155062138 659),(12.0522819603 770),(8.17629637385 880),(12.4050156144 996),(10.5713312069 1108),(11.5610905026 1236),(11.6935065041 1348),(9.4409036636 1466),(10.655493942 1579),(9.3552427503 1700),(12.3915273843 1842),(15.0223383726 1969),(5.45780105315 2101),(9.51106150472 2213),(6.07939938195 2339),(10.028150978 2465),(5.77021784159 2602),(5.04954414549 2721),(10.9792841252 2850),(6.93025269969 2986),(4.74388054996 3103),(13.2528664325 3202),
Point0,H2,,,,,,,,(1.94538152515 908),,,,,,(3.53847037809 1619),(3.54995275341 1746),,,,,,,,,,(2.86815634467 3011),(3.682259653 3120),,
Point0,H3,,,,,,,,(2.64193252286 926),,,,,,(3.7797495108 1628),(3.64573470025 1753),,,,,,,,,,(3.09722820729 3020),(4.53255142444 3134),,
Point0,H4,,(-0.00982631479267 204),(3.57017931828 316),(2.26159752696 478),,(4.14315253569 691),(4.41745114597 807),(1.05804047631 949),,(2.67441504716 1153),(6.94221343218 1265),,,(0.843417988142 1650),(1.51405742655 1776),(10.2689724531 1869),(1.87576493586 2048),(1.69567930296 2128),(1.04732378884 2294),,(1.63519358464 2537),(1.55429116144 2638),(0.598622829853 2750),(7.65576350211 2887),(-0.0156905838279 3043),(2.99199136013 3149),,
Point0,H5,,(2.04087311305 225),(5.85602984271 334),(2.55310723071 489),,(4.83103164696 708),(4.73480264482 818),(1.08396483988 953),,(2.98298234672 1167),(7.31891915569 1277),,,(1.21744299312 1660),(1.85039563793 1786),(11.3970427106 1891),(1.87931978609 2051),(2.5987366375 2143),(1.04850396563 2296),,(1.69924574708 2546),(2.30839533684 2658),(1.40439176301 2766),(7.78196344551 2897),(0.322295675657 3054),(4.64960324125 3163),,
Point0,H6,(-0.00713782501756 136),(-0.00982631479267 204),(1.33226762955e-15 264),(-1.7763568394e-15 379),(-2.6645352591e-15 506),(-3.99680288865e-15 632),(-1.7763568394e-15 742),(-0.00780782469821 855),(-1.06581410364e-14 968),(-0.0128977784848 1083),(-3.5527136788e-15 1200),(-0.00507975206569 1321),(1.7763568394e-15 1436),(0.0 1547),(3.5527136788e-15 1673),(-4.4408920985e-15 1803),(3.5527136788e-15 1926),(-0.00910406941165 2075),(-0.01709233272 2167),(5.77315972805e-15 2313),(6.66133814775e-15 2436),(2.6645352591e-15 2570),(-1.99840144433e-15 2693),(-0.49288201459 2788),(3.5527136788e-15 2937),(-0.0765001806599 3067),(1.7763568394e-15 3180),
