Cycle,0.81560828877
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H5,,(6.81933521814 242),(1.69857463312 444),(2.74313361852 604),(1.30535504368 784),(9.39214970863 881),,(2.26263148451 1263),,(8.14026676711 1537),(8.17268980902 1701),(9.61971130558 1874),,(3.380442302 2287),(2.74549837269 2460),(1.9960339842 2622),(8.88936528381 2738),(2.11289431719 2971),(11.7263759659 3091),(3.50137453804 3326),,,(1.78282095703 3840),,,(1.43554370354 4365),,(4.09919863118 4677),(0.810221995523 4855),,,,(9.95576164845 5506),,
Point1,H6,(-0.0745184341306 1),(-0.0662918040361 145),(1.7763568394e-15 305),(-0.00329180737622 464),(-0.000207808421611 626),(-7.1054273576e-15 796),(-1.59872115546e-14 959),(0.0 1122),(1.06581410364e-14 1281),(-0.000490606161976 1439),(-1.24344978758e-14 1610),(3.5527136788e-15 1784),(3.5527136788e-15 1959),(-0.0002528406308 2097),(7.1054273576e-15 2304),(3.73034936274e-14 2477),(1.7763568394e-15 2639),(-0.00593721224901 2813),(-3.5527136788e-15 2992),(-3.5527136788e-15 3172),(-2.13162820728e-14 3343),(-0.00262620186503 3502),(-1.7763568394e-14 3678),(-1.86517468137e-14 3853),(-8.881784197e-15 4030),(-1.59872115546e-14 4207),(-0.00494062004765 4380),(-1.59872115546e-14 4544),(-1.7763568394e-15 4717),(-2.04281036531e-14 4876),(1.7763568394e-15 5062),(-3.5527136788e-15 5246),(5.3290705182e-15 5420),(-0.0125304097563 5586),
Point2,H1,(7.53582070804 50),(6.55087761727 179),(11.2036134829 282),(11.3656195051 440),(9.99130999826 601),(9.03712522794 759),(14.5309627499 923),(12.7887346577 1106),(10.3665892952 1257),(10.3262302296 1412),(12.0210556921 1578),(9.45843057213 1735),(11.2989032566 1936),(10.3456680135 2088),(20.5003326703 2284),(15.2365215504 2446),(13.1649994642 2600),(12.9084334732 2777),(14.2272119336 2954),(22.5656501655 3140),(12.6208345109 3304),(14.8665633446 3484),(15.9126290486 3641),(11.868413395 3801),(13.0639588079 3976),(15.7919002743 4176),(16.5815868268 4347),(15.0673447434 4507),(17.2807809136 4680),(13.1915688153 4863),(18.5312525147 5018),(13.3232606622 5193),(12.3784627345 5372),(14.0453835604 5546),(12.6611041071 5719),
Point2,H2,(-0.00988447193749 99),,,,,,(13.7455381019 935),,(2.81483721998 1305),(2.38636508495 1478),,,(6.25611194531 1961),,(3.73588375782 2347),,(11.6215814189 2613),(4.84858528127 2829),,(8.56415146881 3183),(0.749831845706 3355),,,,,(9.69596552292 4202),,,(1.90794787809 4760),,(17.907623718 5028),,(11.8225493639 5382),,,
Point2,H3,(4.45749028164 125),,,,,,(13.8303263069 941),,(2.82493098842 1309),(2.40609628589 1484),,,(6.64907935631 1971),,(3.79980702899 2353),,(12.7182084312 2626),(4.86313334032 2833),,(8.7285439542 3192),(1.03859723792 3364),,,,,(10.0417942564 4213),,,(2.80740936653 4777),,(18.3889223126 5038),,(11.9165292094 5388),,,
Point2,H4,(4.45543969511 127),,,(-0.191128520645 526),(0.811259685407 687),,,,(-1.7763568394e-14 1343),(0.617441737512 1510),(6.7288153913 1622),,(1.28055547711 2018),,(2.82525498136 2371),(8.881784197e-15 2516),(0.996298828347 2701),(0.533558444838 2881),,,(0.169534837587 3381),,(5.5135289859 3692),,,(2.463323932 4279),(0.51684447742 4452),,(-7.9936057773e-15 4813),,,,(-0.499456333414 5467),,,
Point2,H5,(6.09382605962 149),,,(-0.0131122439648 539),(1.72655494875 704),,,,(2.01832780034 1363),(0.840189802774 1521),(7.12593911696 1633),,(1.90077092263 2034),,(3.16297664452 2381),(2.98785254903 2537),(1.08360049926 2710),(1.60916145413 2897),,,(1.97968172052 3422),,(5.92806425872 3702),,,(2.52959371897 4285),(0.784906039725 4463),,(12.9588660136 4844),,,,(1.17671127525 5502),,,
Point2,H6,(-0.00988447193749 99),(-0.213723509129 232),(-2.6645352591e-14 402),(-0.952845260185 559),(-0.0117506789547 725),(-0.175006169399 871),(-0.00986672683336 1055),(-1.68753899743e-14 1218),(-1.7763568394e-14 1343),(-6.2172489379e-15 1537),(-0.0560788705945 1708),(-0.0176978574502 1785),(-0.0798228451774 1868),(-1.7763568394e-14 2059),(-0.00781381088842 2193),(-0.0160348247932 2401),(8.881784197e-15 2516),(-0.00297585680871 2572),(1.73194791842e-14 2732),(-0.00975970521569 2915),(-0.0153419097841 3083),(1.7763568394e-15 3269),(0.169534837587 3381),(-9.7699626167e-15 3439),(6.66133814775e-15 3593),(-0.0132037045421 3773),(-0.634997992644 3921),(-1.42108547152e-14 4127),(-0.00897652531091 4305),(5.3290705182e-15 4475),(-2.6645352591e-15 4640),(-7.9936057773e-15 4813),(-8.881784197e-15 4945),(-0.017086429125 5160),(-0.0408850616785 5281),(5.3290705182e-15 5344),(-0.499456333414 5467),(-0.0438223331204 5678),
Point3,H1,(22.4374634265 125),(18.9999087691 282),(27.1531500378 440),(30.7320063337 599),(23.7980094521 773),(22.8300883772 935),(30.1005637676 1096),(28.7160474144 1256),(26.8075522771 1415),(25.3046674295 1584),(27.6042728227 1754),(27.6511861091 1923),(27.0820638716 2108),(7.33879645596 2185),(16.7470528427 2279),(28.2330274907 2414),(24.6597262311 2616),(26.7745218658 2793),(19.863374256 2971),(30.3467153308 3145),(26.5561839509 3318),(28.5511383756 3481),(26.7420845317 3622),(28.9755476432 3825),(26.3290403275 4003),(25.4034379975 4127),(24.7343258549 4355),(22.1509591654 4519),(26.8018959699 4692),(24.0675678803 4859),(22.8782061495 5031),(30.2724541139 5219),(22.1938625228 5394),(25.4335769743 5560),
Point3,H2,(-1.95399252334e-14 160),,(2.48689957516e-14 477),(-7.1054273576e-15 638),,,,,,,(1.7763568394e-15 1791),(-4.97379915032e-14 1966),(-0.0513423425472 2143),,,,,,(1.7763568394e-15 3004),(-0.00222920757389 3182),(-0.00952054169581 3349),(3.90798504668e-14 3518),,,(7.1054273576e-15 4033),,,,,,,,,,
Point3,H3,(12.2780971294 206),,(17.8067962904 528),(16.2945148599 688),,,,,,,(19.1716232922 1840),(4.30005292838 1984),(5.76512208609 2162),,,,,,(15.6176614702 3057),(15.3500753089 3230),(14.8691396343 3397),(8.12328305632 3540),,,(4.07421302412 4050),,,,,,,,,,
Point3,H4,(11.5141580465 217),(-3.5527136788e-14 317),(17.4475696013 536),(15.4936167823 699),,(1.7763568394e-14 968),(2.48689957516e-14 1134),(-5.3290705182e-15 1291),(-3.01980662698e-14 1453),,(18.2209321796 1851),(3.77791383604 1992),,,(-0.0588185333756 2307),,,,(15.394035408 3064),(14.4543325663 3242),(14.8443512767 3401),(8.0869558514 3544),,,(4.07257108477 4051),,,(-3.73034936274e-14 4555),,(-1.95399252334e-14 4894),(-3.5527136788e-15 5070),,,,
Point3,H5,(17.2332362003 247),(22.7949034511 412),(27.3071202324 572),(22.7239322297 741),,(28.6014976872 1063),(25.0365340723 1227),(24.3379063027 1387),(23.5088065909 1543),,(23.0317253896 1876),(20.4009101314 2048),,,(18.3020329208 2353),,,,(28.2451198173 3108),(23.3081250218 3291),(25.8877279598 3448),(15.0318137751 3571),,,(19.6045503466 4083),,,(26.282891324 4668),,(15.0465563789 4943),(16.6003356759 5121),,,,
Point3,H6,(-0.125060885104 1),(-1.95399252334e-14 160),(-3.5527136788e-14 317),(2.48689957516e-14 477),(-7.1054273576e-15 638),(5.3290705182e-15 799),(1.7763568394e-14 968),(2.48689957516e-14 1134),(-5.3290705182e-15 1291),(-3.01980662698e-14 1453),(7.1054273576e-15 1615),(1.7763568394e-15 1791),(-4.97379915032e-14 1966),(-0.0513423425472 2143),(-3.90798504668e-14 2208),(-0.0588185333756 2307),(2.84217094304e-14 2480),(-2.13162820728e-14 2651),(-2.84217094304e-14 2831),(1.7763568394e-15 3004),(-0.00222920757389 3182),(-0.00952054169581 3349),(3.90798504668e-14 3518),(4.97379915032e-14 3680),(3.90798504668e-14 3856),(7.1054273576e-15 4033),(-3.73034936274e-14 4212),(-5.68434188608e-14 4383),(-3.73034936274e-14 4555),(-4.26325641456e-14 4720),(-1.95399252334e-14 4894),(-3.5527136788e-15 5070),(7.1054273576e-15 5250),(1.7763568394e-15 5423),(1.24344978758e-14 5598),
