Cycle,0.783228070175
Average Width,5.20252930117
Width,,4.73003488474,4.70394329647,4.41198987672,4.54699465328,4.34460475228,4.21932282404,4.03715034809,4.42474112893,4.86965694161,4.18410133931,4.87765317548,4.45413711212,3.65302803126,4.39301579514,4.17282499483,4.30541918587,4.20041478846,4.52026368917,4.38021098352,3.96175231141
Point0,H1,(15.3794521129 33),(15.1390247148 192),(13.2396936172 352),(15.8922084715 515),(16.2385096572 673),(17.433173061 838),(17.5903399039 994),(19.0968750264 1153),(19.7131388819 1313),(16.5633896204 1474),(18.6547157803 1637),(15.4968052098 1808),(13.7755014306 1972),(17.0203943058 2144),(16.0537556353 2318),(16.5148090713 2483),(8.78731206875 2657),(10.8701391721 2838),(10.9432304334 3025),(18.6112938504 3211),
Point0,H2,,,,,,,,,,,,(7.68822508832 1853),(12.9534068505 1985),,,(2.05885784348 2560),,,,,
Point0,H3,,,,,,,,,,,,(7.9884687922 1865),(12.9725084244 1988),,,(4.33978432899 2585),,,,,
Point0,H4,,(-0.00356254755221 280),(2.24444982143 435),(3.02912753594 601),,(3.75985625512 925),(2.35665751632 1082),(2.77104342372 1243),(3.22134439741 1401),,,(2.75134782648 1920),(8.01499771152 2015),(2.98793476141 2247),(3.50339866988 2423),(0.81680616965 2608),,,,,
Point0,H5,,(0.467833780234 300),(2.3861643156 446),(3.33711615277 612),,(3.97491708522 933),(2.79641891402 1093),(3.05528588025 1253),(3.79750028505 1413),,,(2.75163483042 1921),(8.62734511285 2027),(3.50173831056 2260),(4.96229301827 2438),(1.10211037507 2617),,,,,
Point0,H6,(-0.0119097663864 157),(-0.00356254755221 280),(-0.00914349102424 476),(-6.2172489379e-15 633),(-8.881784197e-15 791),(-7.1054273576e-15 953),(-8.881784197e-16 1112),(5.3290705182e-15 1272),(3.5527136788e-15 1434),(8.881784197e-15 1605),(1.7763568394e-15 1769),(-2.6645352591e-15 1943),(-8.881784197e-16 2104),(-8.881784197e-16 2280),(0.0 2456),(-0.00302137983025 2631),(3.2605084497 2709),(3.5527136788e-15 2806),(-5.3290705182e-15 2982),(-0.0207266603942 3136),
Point1,H1,(14.6209234833 35),(15.2867738174 194),(13.3240850411 352),(15.7316612778 516),(16.6235125565 673),(17.607237157 836),(18.4206519284 992),(19.2895495393 1154),(19.4264911644 1315),(16.9178081188 1476),(17.9429783593 1639),(15.4085908286 1808),(15.104955008 1972),(17.8920681434 2145),(16.9147161861 2322),(17.5425065769 2483),(9.20052514718 2658),(11.3075620776 2858),(12.4462014412 3020),(18.731717596 3212),
Point1,H2,,,,,,(10.3348037838 871),,,,,,,,,(10.2788027497 2357),(2.78140825463 2567),,,,,
Point1,H3,,,,,,(10.5468390901 881),,,,,,,,,(10.2811817159 2359),(3.9195631262 2586),,,,,
Point1,H4,,(0.159969730495 284),,,,(4.18789773656 925),(1.74600124733 1082),(2.47614313201 1243),(3.01526520195 1404),,(2.57067601645 1744),(7.17353124718 1854),(8.10485349115 2015),(2.65420010916 2248),(4.11183895375 2422),(0.961435950356 2608),,(0.931129001918 2945),(9.18144373009 3080),,
Point1,H5,,(0.195134505462 291),,,,(4.53774136172 934),(3.05302196214 1097),(2.884145528 1254),(3.46670063465 1415),,(2.57590299698 1747),(7.83282527871 1867),(9.20039336867 2028),(3.61845750178 2263),(5.3848033306 2438),(1.37355693035 2618),,(1.85842407485 2966),(9.55779509024 3094),,
Point1,H6,(-0.00898486974802 158),(-0.00323807596167 307),(-0.00533993560399 477),(1.7763568394e-15 634),(-0.00543566983541 792),(1.7763568394e-15 954),(7.9936057773e-15 1113),(5.3290705182e-15 1273),(1.7763568394e-15 1435),(0.0 1605),(2.6645352591e-15 1770),(2.6645352591e-15 1944),(8.881784197e-16 2105),(2.6645352591e-15 2281),(7.1054273576e-15 2457),(1.1990408666e-14 2632),(3.36324754321 2710),(7.9936057773e-15 2808),(7.9936057773e-15 2984),(-0.0211364789505 3139),
Point2,H1,(8.22871100785 34),(9.67327546821 192),(7.65400596058 351),(9.14110228207 517),(9.65051129207 673),(9.43881507741 834),(9.81634762583 994),(11.2164848978 1156),(12.2450106844 1317),(9.15511911179 1477),(10.7943865431 1639),(8.75823867783 1806),(7.01552961589 1972),(11.1103119736 2143),(9.71827367871 2314),(10.7710483271 2481),(5.28117264648 2655),(7.17136613897 2861),(8.70992023636 3017),(8.68726489988 3095),(17.6925375572 3236),
Point2,H2,,,,,,(5.97695841417 865),,,,,,(3.42762583927 1849),(4.13568782304 2012),,(6.52817295545 2351),,,(1.59098401206 2915),,,,
Point2,H3,,,,,,(6.83412373625 885),,,,,,(4.83566903127 1868),(5.68783746123 2030),,(6.78801180831 2362),,,(1.61616895892 2920),,,,
Point2,H4,,(6.2172489379e-15 287),,,(7.07624246316 704),(3.36833636289 925),(0.6670295675 1081),(1.10547837591 1243),(1.85424062028 1403),(0.692117118227 1587),,(2.55729144432 1893),(1.46932213742 2078),(1.11863579745 2247),(3.45750933394 2415),,,(3.99680288865e-15 2943),(7.571232981 3043),,,
Point2,H5,,(0.344180078914 305),,,(7.14862590795 714),(3.58718526398 934),(1.83258994131 1097),(1.29927127682 1254),(2.39861609378 1416),(0.709018223847 1591),,(2.66115884992 1901),(1.52421170018 2085),(2.43268251135 2265),(5.17887732555 2438),,,(1.72227047111 2968),(8.21265379788 3065),,,
Point2,H6,(5.3290705182e-15 157),(6.2172489379e-15 287),(4.4408920985e-15 477),(-0.0043517053273 632),(9.7699626167e-15 793),(3.5527136788e-15 955),(1.06581410364e-14 1114),(7.9936057773e-15 1272),(-0.00180252088622 1436),(2.6645352591e-15 1605),(-0.00199287739399 1769),(-0.000565642078463 1942),(8.881784197e-16 2106),(2.6645352591e-15 2282),(1.7763568394e-15 2458),(-0.0135636307683 2565),(1.33226762955e-15 2632),(-4.58353016616e-05 2713),(1.33226762955e-15 2807),(3.99680288865e-15 2943),(-0.0333387905034 3137),
