Cycle,0.82476744186
Average Width,5.75439488072
Width,,5.84512831026,6.09127009883,5.79405486123,5.67745918002,5.67267577357,5.76005833317,5.62491754471,5.94723817579,5.53985111898,5.79822416705,5.58640331578,5.44552520972,5.84022089867,5.57995643129,5.64937110315,5.22485468396,5.64563489526,5.9937235433,5.63087346072,5.68249078376,5.75747692774,5.62870965993,5.72056739967,6.00041523582,5.59665073439,5.66650268984,5.83794453665,5.96200377949,5.80827424556,5.80060715298,5.72184559202,5.75161047054,5.72905125278,6.2312687286,5.63644348947,5.80872306384,6.14204753691,5.89852395329,5.66608906469,5.85047814172,5.61938972952,5.92924814323,5.81452107008,6.08039894798
Point1,H5,(2.10056682336 161),(1.78034096485 318),(8.55382974825 434),(2.84740741787 653),(7.92596348366 769),(3.44939933714 988),(2.88764222633 1165),(9.32810358936 1281),,(2.85501860068 1678),,(1.69506716898 2015),,(2.69154819193 2349),(1.1550979304 2527),(3.26966529825 2685),(0.654973071533 2860),(2.23307078934 3022),(0.843195533239 3197),(3.46304116369 3353),(2.41225736565 3534),(2.43460306311 3689),,(2.89241110303 4031),(2.0543353646 4203),(4.25679641392 4363),,(3.08817784877 4701),(2.12433572657 4878),,,,(3.02837123174 5548),,,(9.21332011198 6001),(3.21905541172 6219),(3.25645726852 6397),,(3.03412730576 6728),(0.915782598518 6913),(6.06450774982 7025),(2.04840703722 7245),,
Point1,H6,(-0.0873821557507 2),(-0.0751636128635 135),(-0.000626104237044 334),(1.95399252334e-14 507),(2.22044604925e-14 675),(3.5527136788e-15 837),(1.59872115546e-14 1009),(2.13162820728e-14 1183),(-0.00750713977151 1349),(-1.15463194561e-14 1520),(-0.00119046264235 1695),(6.2172489379e-15 1825),(-1.06581410364e-14 2029),(-1.15463194561e-14 2192),(1.42108547152e-14 2367),(-5.3290705182e-15 2540),(-3.5527136788e-15 2703),(1.59872115546e-14 2874),(2.13162820728e-14 3041),(1.15463194561e-14 3211),(-1.42108547152e-14 3377),(-1.7763568394e-15 3550),(3.5527136788e-15 3712),(-0.00174328880318 3870),(-1.7763568394e-15 4048),(-8.881784197e-16 4221),(1.24344978758e-14 4384),(-1.7763568394e-14 4553),(-1.06581410364e-14 4721),(-3.01980662698e-14 4894),(-1.42108547152e-14 5057),(-1.7763568394e-14 5230),(-3.5527136788e-15 5400),(-1.06581410364e-14 5567),(-0.00332296999031 5731),(-0.00262538005155 5902),(-8.881784197e-15 6076),(-0.000360835756047 6242),(-2.6645352591e-14 6415),(-1.33226762955e-14 6584),(-2.39808173319e-14 6751),(-2.6645352591e-15 6925),(-1.06581410364e-14 7090),(-0.0237554573369 7262),
Point2,H1,(10.7034299001 35),(14.6400211287 200),(13.3040377297 383),(14.2037788004 537),(14.0457876387 712),(15.4553410014 871),(16.6165768497 1048),(15.343023147 1220),(14.085064249 1382),(15.7200437403 1562),(14.0422077208 1722),(14.6617661918 1865),(17.7543732365 2059),(16.1127632205 2231),(16.8955782996 2402),(13.882584087 2567),(13.2189325324 2738),(12.9589002255 2905),(13.5704448092 3076),(12.8101095383 3240),(16.1930633797 3414),(14.9672977156 3581),(16.7859408781 3750),(14.8450763359 3914),(14.2722467048 4082),(14.6172616472 4250),(15.5644319201 4428),(17.1603841575 4584),(16.9501747662 4758),(15.8351977583 4924),(14.6337044106 5094),(14.1439804167 5280),(15.8869160245 5432),(15.5713403317 5610),(15.6348115316 5768),(14.8347448196 5943),(12.0756741386 6109),(13.8785280037 6278),(13.2227047074 6461),(13.8690033052 6616),(12.0706239775 6785),(12.4014253057 6953),(12.2295702705 7126),(12.0528433676 7294),
Point2,H2,(2.88138295373 94),,,,,,,,,(8.20795491454 1606),(13.0421645752 1735),(6.29955013711 1911),,,,,,(12.1601224101 2916),,(11.3687719627 3254),(8.94706996275 3463),(14.7731099188 3590),,,,(13.462421261 4265),,(14.5525501439 4601),(5.7950437161 4810),,(7.43576596202 5151),,(14.0310929342 5447),,(14.1805585839 5783),,,,,(12.079319683 6630),,(11.549727146 6965),,,
Point2,H3,(2.90291872005 98),,,,,,,,,(8.72991596079 1617),(13.1572519569 1742),(6.77478587422 1923),,,,,,(12.8507882567 2929),,(11.849100426 3265),(9.55773313892 3474),(14.8071915262 3594),,,,(13.4923932177 4270),,(14.61892033 4606),(6.17226697851 4820),,(7.43689948732 5152),,(14.2642866105 5455),,(14.3160243848 5790),,,,,(12.5443819716 6640),,(12.1067655065 6976),,,
Point2,H4,(-0.0244092493481 131),(1.52395711687 306),(3.66973851388 462),(1.5271648335 636),(6.1758939856 762),,(2.55153590137 1156),(7.3896433581 1272),,(2.69424178414 1667),,(1.10443035586 2003),,,(0.901132593396 2518),,,,,(3.98682758048 3337),(2.22530057416 3525),,(6.93425365777 3800),(2.30665935933 4018),(2.03394431273 4192),(3.17583848404 4352),,(1.81400265534 4688),(2.10603493293 4868),,(7.1054273576e-15 5229),,,,,(7.7334539629 5992),(2.81631093517 6209),,,(2.77291344436 6721),(3.5527136788e-15 6897),,,,
Point2,H5,(2.73381561943 159),(1.9785265659 318),(3.68205609461 465),(2.1776119158 652),(6.20368765658 766),,(2.68685113645 1163),(7.7066240257 1281),,(2.83979289206 1675),,(1.41614846158 2013),,,(0.997592579999 2525),,,,,(4.26464436162 3349),(2.33423400113 3532),,(7.06563463595 3807),(2.61492893288 4028),(2.32807636024 4203),(3.57984271637 4363),,(2.54285935558 4702),(2.14948394772 4874),,(13.9501483629 5261),,,,,(8.08922681268 6002),(2.82573824562 6213),,,(2.77842392928 6724),(1.5454341683 6913),,,,
Point2,H6,(-0.0312448577514 1),(-0.0244092493481 131),(-5.3290705182e-15 334),(0.0 506),(3.28626015289e-14 674),(1.24344978758e-14 823),(2.6645352591e-15 1008),(-1.24344978758e-14 1182),(7.9936057773e-15 1346),(-0.0078753547535 1519),(-0.00464593271255 1694),(5.3290705182e-15 1822),(-7.1054273576e-15 2028),(5.3290705182e-15 2194),(1.06581410364e-14 2365),(-9.7699626167e-15 2539),(-1.7763568394e-15 2701),(-0.00393914400728 2870),(-0.000530044426077 3040),(1.7763568394e-15 3208),(-0.00669574809028 3375),(2.04281036531e-14 3549),(-0.00217192205872 3710),(1.33226762955e-14 3872),(-2.6645352591e-15 4046),(-1.50990331349e-14 4221),(5.3290705182e-15 4383),(2.6645352591e-15 4552),(1.06581410364e-14 4720),(-1.15463194561e-14 4892),(2.6645352591e-15 5055),(7.1054273576e-15 5229),(-8.44692256923e-05 5397),(-0.00108854201966 5567),(-0.00297343155162 5731),(-0.00480341911276 5901),(-1.7763568394e-15 6073),(-1.24344978758e-14 6239),(-8.881784197e-16 6414),(-0.00287893050614 6585),(-0.00620026924064 6750),(3.5527136788e-15 6897),(-2.6645352591e-15 7085),(-0.00400929512744 7260),
Point3,H1,(5.38009732006 41),(8.26581153142 206),(7.37550646087 393),(7.44813006409 544),(7.20898960777 718),(8.94005273555 878),(9.22326399662 1057),(8.78116243071 1227),(7.61103525453 1388),(8.55377741475 1564),(7.75776731101 1728),(8.43619959078 1872),(9.85589415418 2066),(8.71793569984 2237),(9.92052806133 2407),(7.22169705311 2572),(7.12858106141 2743),(7.11161639747 2915),(6.83018495214 3082),(7.0026955304 3273),(9.15182675359 3421),(7.71197513132 3589),(10.3085914481 3756),(9.04820489492 3921),(8.07613810547 4087),(8.58208668911 4257),(9.37206408761 4439),(10.0188158968 4589),(10.0016120867 4764),(9.87143758052 4930),(8.39353964847 5102),(8.07005818978 5288),(9.1540065434 5439),(10.0906466951 5620),(9.35069813763 5776),(9.00129454597 5953),(7.53747225725 6120),(8.31570739392 6283),(7.74645818181 6452),(8.47595846863 6622),(6.84240739233 6790),(7.48306664162 6984),(7.04637385467 7132),(7.57399621561 7300),
Point3,H2,,,,,,(7.06632903347 896),,,,,,(4.06772358741 1921),,,,,(7.0462059216 2752),(6.95336282011 2925),,,,(7.67983885297 3595),(7.95727969711 3778),,,,,(8.02539295253 4606),,,,,(8.12374710355 5454),,(8.73886505091 5789),,,(4.54811896421 6338),(7.40572430117 6466),(6.87169513043 6638),,(4.02219868057 7022),(6.03593014582 7148),,
Point3,H3,,,,,,(7.08264928288 900),,,,,,(4.11221255035 1929),,,,,(7.05864267556 2759),(7.01201458604 2934),,,,(7.70063449173 3600),(7.96663723264 3781),,,,,(8.26822205783 4615),,,,,(8.29380824881 5463),,(8.97509533206 5799),,,(4.67594587358 6348),(7.40689736939 6468),(7.19124316639 6648),,(4.02892898975 7026),(6.27771474338 7158),,
Point3,H4,,(0.290376477438 311),(2.1436841655 466),(0.386564816361 641),,(3.85972037493 927),,(4.7161952029 1277),,,,(0.510573481297 2008),,,(0.264941235304 2525),,,,,(2.24422021763 3346),(5.10447059272 3468),(3.70896891049 3634),,(1.46427581728 4025),(1.11009845284 4199),,(0.118438857989 4546),(0.859076453354 4694),,,,,(6.13535715063 5487),,,(5.82805365635 5998),(2.2962803544 6212),(1.32527738179 6386),(0.783870691871 6553),(1.37411097192 6733),,(2.14195669729 7057),(3.3429356045 7184),,
Point3,H5,,(1.0958805829 327),(2.20666697601 473),(1.37168865781 661),,(4.12072490569 938),,(5.15940331452 1289),,,,(0.74510259517 2020),,,(0.317952598988 2533),,,,,(2.32327652639 3355),(5.77250401864 3485),(4.09855650431 3649),,(1.5375320544 4033),(1.38622554939 4211),,(0.119096411613 4548),(1.60763054378 4709),,,,,(6.28640719543 5496),,,(5.90258958636 6006),(2.31465017169 6218),(1.88913909886 6402),(1.01143153469 6568),(1.38393998029 6737),,(2.15381211915 7062),(3.74403363229 7199),,
Point3,H6,(-0.12674996242 5),(-0.0101588975252 136),(-1.7763568394e-15 342),(-3.5527136788e-15 513),(-7.1054273576e-15 682),(-7.54951656745e-15 826),(-1.15463194561e-14 1014),(-3.5527136788e-15 1190),(-0.00716387841681 1353),(1.7763568394e-15 1527),(-8.881784197e-15 1701),(-0.00383638186695 1828),(8.881784197e-16 2034),(-3.08763930996e-05 2201),(-6.2172489379e-15 2372),(-0.0071136976535 2545),(-3.99680288865e-15 2707),(-0.00421943997523 2875),(-0.00649999654772 3046),(-0.00159984687301 3213),(4.4408920985e-15 3382),(8.881784197e-16 3554),(1.33226762955e-15 3716),(-0.00321432472478 3869),(7.1054273576e-15 4053),(7.9936057773e-15 4228),(1.7763568394e-15 4390),(2.22044604925e-15 4557),(8.881784197e-16 4727),(-4.4408920985e-16 4900),(7.1054273576e-15 5063),(5.3290705182e-15 5235),(1.24344978758e-14 5406),(6.2172489379e-15 5573),(8.881784197e-15 5739),(-0.00351604918322 5905),(4.4408920985e-15 6079),(4.88498130835e-15 6246),(-0.00283880141847 6421),(-8.881784197e-16 6591),(-5.3290705182e-15 6757),(-5.77315972805e-15 6905),(-0.000464325297657 7091),(-0.00228018457181 7267),
