Cycle,0.776781385281
Average Width,5.967201061
Width,,5.0755047928,5.49096941322,6.72301774052,6.35904338636,6.28339109344,6.93777337285,6.47076265058,5.61998989619,5.02140838288,5.67045696275,6.04906270198,6.55905028848,6.73157165996,5.80561829094,5.93099605385,5.88206286094,5.89666275751,6.12007458269,6.35175569586,5.6237460124,5.93006803529,6.23563428447
Point0,H1,(3.4237427415 33),(4.11158468353 194),(5.79016440213 356),(5.80217020008 515),(5.69736007927 676),(8.73130320292 838),(8.92106798349 1009),(5.91957876306 1167),(4.09775837263 1337),(5.04314902485 1496),(6.16101202967 1662),(6.66336332015 1829),(7.6846882176 1994),(6.79497473522 2152),(7.20155181305 2314),(7.36741670971 2474),(6.62777189749 2636),(6.62916842192 2792),(7.08904820272 2952),(5.13119612642 3119),(6.23209044885 3291),(6.38599754907 3451),(5.43865829582 3617),
Point0,H2,(0.175747955383 59),,(1.36795492003 380),(0.796521016661 559),(-0.00126226456786 751),,(2.94768402129 1078),,,(3.10192189748 1523),(0.302577084109 1723),,,(4.92579512335 2177),,(6.13253968964 2499),,(8.881784197e-16 2865),,,,,,
Point0,H3,(0.367885231795 70),,(1.65822041928 392),(0.797652335964 562),(1.35983391274 781),,(3.32861454129 1090),,,(3.24383018069 1536),(0.73959636249 1742),,,(5.34036926807 2191),,(6.1487173131 2505),,(1.37762584032 2886),,,,,,
Point0,H4,(-0.0422469741831 96),,(-0.000130837897804 439),(1.33226762955e-15 595),(1.35977041414 782),(-0.00942465666603 934),(2.23741230499 1107),,,(1.7763568394e-15 1595),(3.10862446895e-15 1759),(0.300558733834 1915),(-2.6645352591e-15 2081),(0.364925709434 2233),,(0.26212131529 2584),(-1.7763568394e-15 2712),(1.01895573653 2898),(4.4408920985e-16 3029),(0.915878726633 3187),,(1.45448081266 3548),,
Point0,H5,(1.54434982037 141),,(1.38525811894 465),(2.33388575203 641),(1.81560441984 801),(1.44044139953 960),(2.56315498939 1118),,,(2.24191803937 1621),(1.68449730647 1778),(1.64625802676 1940),(1.51132111091 2114),(0.678052212937 2250),,(0.277890858585 2589),(1.20861527758 2750),(1.77131034282 2914),(2.43974392014 3072),(1.69613787684 3207),,(1.83266107197 3564),,
Point0,H6,(-0.0431768164262 3),(-0.0422469741831 96),(-1.11022302463e-15 167),(1.44328993201e-15 245),(1.55431223448e-15 332),(-0.000130837897804 439),(1.33226762955e-15 595),(-0.00126226456786 751),(-0.00942465666603 934),(-0.00866519992015 1138),(3.5527136788e-15 1240),(-3.10862446895e-15 1302),(1.33226762955e-15 1401),(1.33226762955e-15 1470),(1.7763568394e-15 1595),(3.10862446895e-15 1759),(1.7763568394e-15 1963),(-2.6645352591e-15 2081),(0.0 2281),(2.22044604925e-15 2418),(-0.00856333731801 2602),(-1.7763568394e-15 2712),(8.881784197e-16 2865),(4.4408920985e-16 3029),(-3.10862446895e-15 3256),(-2.6645352591e-15 3424),(-1.33226762955e-15 3585),
Point1,H1,(8.99292674986 27),(6.64823359025 187),(8.07762542376 354),(9.04803355836 509),(8.32349844712 673),(11.6742602534 837),(11.4648421265 1001),(10.5629209961 1162),(9.1463505572 1324),(8.9785524172 1494),(10.3934921945 1655),(10.9409009342 1818),(10.5206564714 1990),(10.6149656206 2149),(11.1985811198 2311),(11.3064292612 2470),(10.2700095995 2631),(10.2463861874 2789),(10.6475685679 2950),(9.32107046236 3113),(10.6275496427 3287),(9.38762344314 3448),
Point1,H2,(3.44283884327 62),(1.06695480576 224),(2.0109525155 379),,(2.41704225814 706),(5.8604874419 862),(2.09143229619 1080),,(4.918373236 1364),(3.72748520849 1523),(0.593199245481 1731),(1.19908554835 1896),,(5.89873643908 2174),,(7.4478809501 2496),(4.67706374507 2661),,(2.6645352591e-15 3033),(-0.000721595480341 3189),(1.96584622362 3368),,
Point1,H3,(3.47349157531 67),(1.07165051161 227),(2.86745551494 393),,(2.49812285355 714),(6.4027451369 874),(2.45043676125 1092),,(4.94331382916 1369),(3.86655213392 1534),(1.03193539011 1746),(1.3355909349 1905),,(6.55536306536 2189),,(7.59467096462 2505),(4.71309009326 2668),,(0.52258208688 3048),(0.890215200747 3206),(2.24459918985 3380),,
Point1,H4,(0.835017977626 114),(-0.00522057229867 256),(0.280115663207 444),(-0.000682967425723 594),(-0.00398911134525 760),(-0.00347857162255 933),(1.31641479768 1109),,(0.262079186407 1427),(-0.00248638139574 1582),(0.0247157621068 1761),(0.486888984525 1922),(3.5527136788e-15 2084),(0.437023415403 2237),,,(0.366148535833 2723),(-0.00259279700707 2869),(0.418425210622 3057),(0.533450928021 3219),(1.44427716272 3397),,
Point1,H5,(2.07772350479 142),(1.15706366626 303),(1.51382492119 465),(1.68259240314 623),(0.92170055725 785),(0.813335322885 958),(1.79887797862 1120),,(0.315476409021 1436),(1.51335994863 1621),(2.34871074236 1779),(1.6609794612 1939),(0.899818254671 2101),(1.61998670205 2257),,,(0.741051392093 2736),(1.25826284823 2894),(1.39407165523 3073),(1.13763554943 3234),(1.66891167167 3407),,
Point1,H6,(3.5527136788e-15 161),(-0.00522057229867 256),(-4.4408920985e-16 321),(6.66133814775e-15 480),(-0.000682967425723 594),(-0.00398911134525 760),(-0.00347857162255 933),(0.0 1136),(-6.2172489379e-15 1298),(-0.000842491850019 1457),(-0.00248638139574 1582),(1.33226762955e-15 1793),(4.4408920985e-16 1957),(3.5527136788e-15 2084),(4.4408920985e-15 2275),(1.7763568394e-15 2433),(-0.00133814090547 2588),(6.2172489379e-15 2752),(-0.00259279700707 2869),(2.6645352591e-15 3033),(-1.33226762955e-15 3087),(-0.000721595480341 3189),(4.4408920985e-15 3252),(3.5527136788e-15 3423),
Point2,H1,(10.8553517363 24),(8.81455578995 185),(9.06101380148 352),(10.3620786774 506),(9.79782391363 670),(12.3669472421 837),(12.9854985822 999),(12.1438462637 1160),(10.6791903056 1323),(11.0386985971 1492),(12.3727499163 1654),(10.7750247024 1819),(11.0268807431 1988),(12.2915481836 2147),(12.3784531446 2309),(12.5381812703 2469),(11.717131851 2629),(11.6220985628 2786),(12.0229124395 2949),(11.5662291995 3112),(11.458891571 3284),(11.2607710196 3447),
Point2,H2,(1.54433990631 97),,(2.17712647636 378),(0.367627752853 583),,(6.3775222238 868),(7.73495180984 1024),,(5.82475652394 1357),,,(1.1754866418 1898),,(6.73373811632 2173),,(7.70863632375 2499),(5.18229304144 2656),(5.1305259331 2816),(0.221050237768 3036),,(1.09352411404 3362),,
Point2,H3,(2.17589910545 113),,(3.03365133507 392),(0.640859044395 594),,(6.37855418248 869),(7.78324080023 1030),,(6.02684856962 1368),,,(1.23763929792 1905),,(7.41406728474 2187),,(7.80007274954 2507),(5.65879643407 2670),(5.1407010881 2819),(0.227375476093 3040),,(1.44923989676 3378),,
Point2,H4,(0.964150474559 130),,(0.250628600947 449),(8.881784197e-16 609),(-0.110181883066 768),(-0.00314790965901 940),,(1.69860278155 1264),(0.475485338555 1426),,(-3.99680288865e-15 1755),(0.857167786075 1921),(-5.3290705182e-15 2082),(1.46515906526 2243),,(1.59095137614 2564),(1.12915889604 2719),(0.0592619006362 2874),(4.4408920985e-15 3054),(0.462887357303 3211),(0.306918372001 3403),,
Point2,H5,(2.27586355919 145),,(1.21543994351 465),(1.31937060452 626),(0.373783786386 785),(1.00312415399 962),,(2.52758451604 1279),(0.829664439348 1440),,(0.804765558956 1780),(1.28423913205 1934),(1.18877089441 2098),(1.50453502146 2250),,(1.6465262716 2571),(1.586916387 2733),(0.89899838502 2896),(1.49893821524 3073),(0.890061899068 3228),(0.308588240439 3405),,
Point2,H6,(-6.2172489379e-15 160),(-6.2172489379e-15 257),(-3.10862446895e-15 320),(-4.4408920985e-15 478),(8.881784197e-16 609),(-0.110181883066 768),(-0.00314790965901 940),(-7.9936057773e-15 1133),(-1.06581410364e-14 1296),(-0.00324511870112 1458),(-5.3290705182e-15 1573),(-3.99680288865e-15 1755),(-4.88498130835e-15 1952),(-5.3290705182e-15 2082),(8.881784197e-16 2271),(5.3290705182e-15 2431),(0.0 2594),(4.88498130835e-15 2752),(7.1054273576e-15 2911),(4.4408920985e-15 3054),(8.881784197e-16 3248),(-1.7763568394e-15 3417),(0.266526290723 3526),
Point3,H1,(7.68613124977 28),(5.34134005694 188),(6.95364995099 353),(7.2228945108 509),(6.88988571986 673),(9.10675415019 837),(8.74919455245 1001),(8.36964651876 1163),(6.8799237869 1326),(7.80608155168 1494),(9.08352498789 1655),(7.44168274548 1824),(7.56191670046 1991),(8.86933314958 2148),(8.77912836697 2312),(8.97045544474 2472),(7.97820713594 2630),(8.57767299495 2788),(9.04836223292 2952),(7.67385242909 3114),(8.9931774785 3286),(8.53269957797 3449),
Point3,H2,(1.61625620937 105),,(2.22633861484 379),(0.100355400997 585),,,(6.01977119665 1027),(5.02086916127 1198),(4.28237357187 1361),,,,,(5.08182182992 2172),,(6.01737932817 2502),(3.94234716889 2657),,,,,,
Point3,H3,(1.61992931001 109),,(2.69840375 392),(0.226251683968 595),,,(6.11666701202 1037),(5.02229341857 1200),(4.3509026132 1369),,,,,(5.61354604929 2186),,(6.08920130595 2510),(4.12283039871 2670),,,,,,
