Cycle,0.765339506173
Average Width,0
Width,,11.9160818581,0,0,0,33.4219783607,0,0,0.0,0,12.5924677971,27.8600662789,12.4533335107,0,11.7814163367,15.2315728651,14.2190571714,0,12.9504501555,0,13.1514578288,13.4467405839,13.0003973393,11.5741338941,13.4174698335,12.1377827127,12.3764964962,15.2710856335
Point0,H1,(22.1614320377 45),(22.8162270707 207),(22.0224850898 367),(22.3140342497 529),(20.9945692909 690),(22.683618666 848),(21.7745209561 1006),(22.3609261444 1165),(21.9056700847 1325),(23.968000472 1483),(18.4298038945 1645),(17.3626677597 1807),(18.0937815509 1966),(19.0739420935 2126),(19.2534356339 2283),(21.4718009953 2446),(22.5844955484 2606),(21.7180472726 2766),(23.1332259087 2926),(21.6252314126 3087),(21.893993544 3250),(20.4745363885 3423),(19.4825844318 3582),(20.6079920999 3742),(21.5095823828 3902),(19.5708864995 4068),(18.0682869007 4237),
Point0,H2,,(1.16210055317 253),,,,(1.93940432853 928),,(2.28524235567 1215),,(5.5506335474 1532),(1.07934085855 1693),(-0.0120698529191 1865),(1.30017776038 2026),(1.78424186733 2189),,,,(2.24292634455 2815),,,,,(0.392658989555 3641),,,(3.49746557603 4115),,
Point0,H3,,(2.78455727267 267),,,,(2.02841696157 935),,(2.66632555612 1225),,(5.55642166593 1535),(1.19272300663 1701),(1.00773092559 1883),(1.5638904149 2038),(1.9485594062 2199),,,,(2.62471430918 2824),,,,,(0.488633610701 3650),,,(3.60818452594 4121),,
Point0,H4,,(-1.7763568394e-15 285),,,,(1.02606697526 952),,(0.490595624439 1254),(3.15555195263 1372),,(-0.0112082500222 1722),(0.687095462848 1894),(0.37662264365 2056),(1.41386180533 2213),,,(0.765439009119 2689),(-1.68753899743e-14 2846),,,,,(-0.103810762981 3667),,,(1.67833984743 4163),,
Point0,H5,,(2.64847235885 323),,,,(2.16613152333 966),,(0.698781524918 1266),(3.82046472143 1383),,(3.6430279746 1751),(2.0206017751 1910),(1.4256703295 2071),(2.77583104768 2229),,,(1.60372896388 2706),(1.17022792071 2865),,,,,(1.01082110973 3687),,,(1.68882829347 4168),,
Point0,H6,(-0.513264119391 123),(-1.7763568394e-15 285),(-1.59872115546e-14 416),(-5.3290705182e-15 471),(4.29393899639 578),(5.3290705182e-15 661),(8.881784197e-16 790),(1.59872115546e-14 979),(1.7763568394e-15 1055),(2.22044604925e-14 1112),(-0.0045459258776 1289),(-0.00360903545102 1407),(-0.00331672585701 1573),(-0.0112082500222 1722),(-0.0120698529191 1865),(8.881784197e-15 1926),(1.50990331349e-14 2084),(2.04281036531e-14 2246),(3.5527136788e-15 2405),(1.7763568394e-15 2563),(-1.06581410364e-14 2726),(-1.68753899743e-14 2846),(-7.1054273576e-15 3057),(-1.68753899743e-14 3221),(-5.3290705182e-15 3381),(-0.299109583507 3510),(-0.103810762981 3667),(7.1054273576e-15 3850),(1.59872115546e-14 4036),(-0.0582649319964 4195),
Point1,H1,(20.1990236541 47),(20.5285360512 210),(21.1828729365 369),(20.6499322047 532),(20.2288616598 692),(21.4886889481 851),(21.7829733113 1009),(21.4667097708 1168),(20.7316629174 1328),(24.1441717938 1485),(17.4145342041 1648),(17.106751206 1809),(18.668661263 1969),(19.6097243768 2129),(19.2798266824 2286),(22.1479557973 2448),(21.9908268208 2609),(22.1948168561 2769),(24.073835954 2928),(21.2719743913 3090),(22.5054781709 3253),(20.90666578 3417),(20.1055222697 3585),(20.6622075852 3745),(21.8728592006 3905),(19.5660734421 4071),(18.8000296195 4240),
Point1,H2,,,,,,(2.38068797133 903),,(0.982668864191 1217),,,(-0.0172427789873 1696),(-0.0107403767028 1855),(1.6396167067 2025),(1.81313751673 2171),,,,(1.35865834924 2818),(2.68098302561 2976),,,,(-1.15463194561e-14 3644),,,,,
Point1,H3,,,,,,(2.5237785073 912),,(1.48239826161 1229),,,(0.244673122892 1709),(0.767363840269 1881),(2.03989704339 2043),(1.84235158717 2175),,,,(2.03601043399 2829),(4.90351127316 2991),,,,(0.311560978784 3658),,,,,
Point1,H4,,,,,,(0.70401694413 954),,(-0.017329562433 1254),(1.93218337781 1375),(-0.0101708521836 1576),(-0.108688063748 1727),(0.758484698416 1886),(1.32924262616 2059),(0.830032056282 2214),,,(0.492119998315 2694),(-0.00301576396323 2850),(1.50602220018 3012),,,,(0.227835525196 3667),,,(2.8278820102 4117),,
Point1,H5,,,,,,(1.88351797316 969),,(0.553560330256 1273),(2.66704462248 1387),(0.898225458386 1595),(3.00401521901 1756),(2.67800844171 1912),(1.76331526852 2071),(2.18567148311 2232),,,(0.79136466267 2708),(1.39874166537 2875),(2.15148072434 3027),,,,(1.32384014013 3688),,,(3.06187254271 4125),,
Point1,H6,(-1.08220273186 99),(7.9936057773e-15 287),(0.281281063155 342),(-0.000374308998481 419),(-5.3290705182e-15 504),(3.23395109064 580),(2.6645352591e-15 664),(-0.26172368473 793),(-6.2172489379e-15 982),(-6.2172489379e-15 1058),(-0.114890535341 1142),(-0.017329562433 1254),(-0.019025189346 1409),(-0.0101708521836 1576),(-0.108688063748 1727),(-0.0107403767028 1855),(2.6645352591e-15 1929),(-1.24344978758e-14 2087),(0.0 2248),(1.15463194561e-14 2349),(-0.00827687721759 2407),(5.3290705182e-15 2567),(9.7699626167e-15 2726),(-0.00301576396323 2850),(-0.0108639447649 3060),(-1.42108547152e-14 3138),(-0.000701350245819 3223),(3.5527136788e-15 3384),(-0.0124782321956 3513),(-1.15463194561e-14 3644),(-5.3290705182e-15 3709),(9.7699626167e-15 3796),(4.4408920985e-15 3851),(-2.6645352591e-15 4039),(-0.0534007136888 4192),
Point2,H1,(19.6256623091 50),(18.5512504699 212),(16.2037452183 371),(18.6304390241 532),(17.0245485914 696),(18.5468535989 852),(18.9436284868 1011),(18.2452880807 1171),(18.7354819129 1331),(24.3945272864 1486),(16.8051748883 1649),(16.9278559297 1812),(16.3512396208 1970),(18.9528769584 2130),(17.9031790664 2289),(20.9262399326 2449),(19.6646741701 2611),(20.1206682662 2771),(21.3768701577 2931),(20.2501862811 3092),(20.9737943346 3256),(19.2887010536 3427),(20.560782894 3585),(20.1095527011 3746),(21.2979810757 3907),(19.3740020093 4072),(16.9997209061 4242),
Point2,H2,,,,,,(1.21123453924 903),,,,,,,,(0.794801337321 2190),(0.616238190881 2330),,,,,,,(1.45804806434 3463),(-0.00382242501743 3637),,,(3.02441054715 4117),,
Point2,H3,,,,,,(1.89032313696 917),,,,,,,,(1.17314361556 2203),(0.682230670557 2336),,,,,,,(1.72958067755 3471),(0.419127103001 3656),,,(3.70787465356 4128),,
Point2,H4,,,,,,(0.073331066427 953),,(0.518306201806 1218),(3.1491815403 1375),,(1.24344978758e-14 1698),(3.5527136788e-15 1870),,(0.143677668603 2221),(-0.00506822347297 2353),(2.2509765115 2511),(0.212203798449 2691),(1.19869076856 2820),,,,(-3.5527136788e-15 3489),(0.36137166179 3664),,,(2.44821791065 4144),,
Point2,H5,,,,,,(1.56923060208 971),,(1.03188618128 1232),(4.11700308667 1388),,(4.9447143008 1759),(1.81278880665 1912),,(1.2875835034 2236),(1.90689801181 2393),(3.39700767249 2532),(0.947152209105 2711),(1.97250781133 2832),,,,(2.35599946584 3530),(2.12256056593 3689),,,(2.9176341358 4155),,
Point2,H6,(-1.82076576039e-14 129),(-0.0315891530089 184),(-0.013267299391 258),(-0.00949171424759 344),(1.15463194561e-14 419),(-1.06581410364e-14 505),(-1.06581410364e-14 665),(-7.9936057773e-15 741),(5.3290705182e-15 984),(-0.00115412621397 1058),(9.7699626167e-15 1118),(-0.26694966451 1261),(-0.0175473858159 1414),(-0.0279065070807 1581),(1.24344978758e-14 1698),(3.5527136788e-15 1870),(5.3290705182e-15 1930),(-5.3290705182e-15 2010),(-1.59872115546e-14 2089),(-1.33226762955e-14 2250),(-0.00506822347297 2353),(0.0 2410),(-1.68753899743e-14 2568),(3.5527136788e-15 2729),(1.86517468137e-14 2855),(-1.33226762955e-14 3063),(-1.59872115546e-14 3139),(1.24344978758e-14 3225),(0.0 3386),(-3.5527136788e-15 3489),(-0.00382242501743 3637),(-0.00604447057932 3711),(-0.00891207684905 3794),(1.7763568394e-15 3956),(5.3290705182e-15 4042),(-0.104399084016 4200),
Point3,H1,(15.5803859396 53),(15.1335196869 215),(12.061416947 375),(14.7628300343 536),(13.3088145022 702),(15.409576291 855),(15.5084223138 1014),(2.22167735927 1103),(14.222501604 1174),(16.4546096396 1334),(21.6441109699 1489),(14.5262637134 1652),(14.9852446666 1814),(14.469550745 1974),(16.2876061548 2132),(15.5010138636 2291),(17.9244173551 2452),(16.5524293936 2614),(16.9589441379 2774),(18.2864358912 2934),(16.9239520047 3096),(17.445691654 3260),(16.2071715273 3430),(17.1466243656 3588),(18.5768041619 3750),(18.313384034 3910),(16.1535070157 4088),(13.5647653402 4244),
Point3,H2,,(8.881784197e-15 262),,(1.51358201009 603),(5.3290705182e-15 745),(1.30563442186 909),,(6.2172489379e-15 1121),,(3.6227859877 1378),,,(-0.000618659532829 1868),,(-0.00576744082514 2192),(-2.6645352591e-15 2352),,,,,,,,,(-1.7763568394e-14 3798),,(2.64291861407 4120),,
Point3,H3,,(1.36910132969 278),,(2.7747414276 623),(2.37038542888 784),(1.64530670445 923),,(1.43484588671 1136),,(4.31315017838 1390),,,(1.74639818797 1897),,(0.613884675533 2209),(0.341995822981 2371),,,,,,,,,(2.62376019968 3817),,(3.32916343869 4130),,
