Cycle,0.830600790514
Average Width,6.17527979794
Width,,5.563412391,6.04641643508,7.13509307354,6.45549172001,6.25741039476,6.64625501476,7.09885890172,6.15118274225,6.30823630525,5.93577606533,6.72094881771,6.3038799506,5.83815962477,5.98515161368,6.48434076844,6.10902975484,6.33866329324,5.91807157687,6.22743893019,5.81376054422,6.01308624635,5.89802249195,6.00959567713
Point2,H4,(2.92243472131 148),(2.10267307885 324),(3.38721988759 500),,,(2.06096516391 1025),,(2.29170379188 1382),(2.02863130749 1555),(2.49202232518 1731),,(0.496670579138 2047),(2.54295317805 2227),,(2.54338616941 2559),(1.17934942997 2752),(3.98679342998 2908),(2.16978745574 3093),,(4.04479373468 3416),(0.612901920692 3637),,,
Point2,H5,(3.1794292007 157),(2.44841265075 334),(4.24325694482 511),,,(2.56637612866 1037),,(2.36758642167 1389),(3.15524611271 1568),(2.94615505439 1742),,(0.89220986865 2061),(2.91811050258 2238),,(2.59337030387 2565),(1.3247772906 2763),(4.01495267725 2913),(2.80627444139 3105),,(4.10473501692 3422),(1.03760315976 3648),,,
Point2,H6,(1.06581410364e-14 176),(-1.95399252334e-14 350),(-2.48689957516e-14 528),(-1.7763568394e-14 703),(-1.06581410364e-14 881),(-3.5527136788e-15 1058),(1.7763568394e-15 1232),(-0.000349438093394 1406),(1.42108547152e-14 1584),(1.95399252334e-14 1759),(1.50990331349e-14 1922),(6.2172489379e-15 2085),(-0.00857966721251 2255),(1.24344978758e-14 2427),(1.24344978758e-14 2603),(3.5527136788e-15 2779),(7.1054273576e-15 2956),(-0.00408194753579 3124),(1.15463194561e-14 3300),(8.881784197e-16 3475),(4.4408920985e-15 3660),(4.4408920985e-15 3826),(5.3290705182e-15 4003),
Point3,H1,(14.4883270233 37),(14.1235621098 214),(12.9781026538 382),(13.7329477556 560),(14.3035104849 743),(16.0508116485 921),(12.8390911165 1097),(14.7859801478 1265),(16.8303263049 1436),(15.5000105071 1619),(16.2980466743 1796),(16.3165501726 1963),(19.4130296811 2121),(18.8392486083 2291),(16.542767468 2459),(16.7875784841 2634),(17.8249068338 2812),(18.3383215414 2988),(18.2965772103 3161),(18.0478752308 3337),(18.6468672713 3514),(18.7435288272 3691),(17.4692102646 3865),(17.9854054714 4041),
Point3,H2,(3.50782723102 121),,,,(2.90190313677 817),(3.71235217906 972),,,(3.49193149839 1531),,,,,,(5.97927302342 2509),(2.46825853488 2729),,,,(5.22050936124 3391),,(5.55862146917 3740),,
Point3,H3,(3.66276290153 130),,,,(3.31991577729 832),(3.83652435553 980),,,(3.53887098797 1537),,,,,,(6.04509083788 2515),(2.90677885365 2741),,,,(5.22387525078 3394),,(5.63801718591 3746),,
Point3,H4,(1.80282666241 152),(1.48584203628 314),,(1.7426620878 671),(1.99629727711 852),(0.930863009012 1028),(0.786279583454 1203),(1.67003982563 1386),(1.69457637756 1560),(2.22489378558 1733),,(1.7085520397 2049),(7.07120932186 2175),,(1.36689842583 2562),(1.31309681222 2763),,(2.19552853299 3094),(2.18603564648 3259),,,,,
Point3,H5,(1.90930878899 159),(1.65483410834 327),,(2.01524747339 684),(2.52522126174 865),(0.954030612315 1034),(1.43373332783 1217),(1.67750525974 1389),(1.81236554137 1567),(2.22973964223 1736),,(2.50608672201 2064),(7.08472959407 2179),,(1.45597220926 2570),(1.31925004047 2766),,(2.2249270671 3099),(2.78755241147 3273),,,,,
Point3,H6,(-8.881784197e-16 178),(8.881784197e-16 350),(-2.6645352591e-15 530),(-6.2172489379e-15 705),(-7.1054273576e-15 885),(-1.33226762955e-14 1057),(-8.881784197e-16 1232),(-0.000229095206624 1407),(-7.1054273576e-15 1584),(-2.6645352591e-15 1760),(-3.5527136788e-15 1922),(1.7763568394e-15 2086),(7.1054273576e-15 2256),(7.9936057773e-15 2427),(4.4408920985e-15 2603),(9.7699626167e-15 2782),(4.4408920985e-15 2959),(-1.7763568394e-15 3124),(-5.3290705182e-15 3302),(-3.5527136788e-15 3481),(-3.5527136788e-15 3661),(0.0 3829),(-6.2172489379e-15 4007),
Point4,H1,(9.29275128516 146),(9.93555227585 322),(11.9283178304 495),(11.3272745027 674),(9.51337274309 849),(11.5843760121 1027),(11.0310055585 1202),(8.73615672642 1377),(10.0927434261 1552),(8.85861787974 1731),(9.9791090797 1893),(8.65300525688 2039),(7.05913055078 2228),(8.68979431712 2373),(9.7278054479 2568),(8.52998720979 2747),(8.57146491887 2913),(7.89667916362 3091),(9.2354993072 3267),(8.38439622452 3443),(8.9888708242 3628),(7.75107816437 3795),(8.35157447353 3966),
Point4,H2,,,,,,,(-8.881784197e-15 1235),(-1.42108547152e-14 1406),,,,,,(8.27913788563 2388),(-5.3290705182e-15 2603),(-1.7763568394e-15 2781),(-3.5527136788e-15 2954),(-8.881784197e-16 3131),,,,(5.3290705182e-15 3835),,
Point4,H3,,,,,,,(7.37574715817 1324),(6.72529819894 1480),,,,,,(8.5658970069 2398),(5.76678782564 2649),(5.31585222731 2831),(4.76979185483 3004),(7.09955013765 3211),,,,(5.80797499102 3886),,
Point4,H4,,(-8.881784197e-15 350),(-1.33226762955e-14 529),(-0.00526423362311 715),,,(7.23270203493 1334),(6.69937641711 1486),(-9.7699626167e-15 1583),(-1.24344978758e-14 1762),,(-0.000326600777009 2093),,(-8.881784197e-16 2428),(5.02784866558 2662),(5.22750296656 2839),(4.66661757241 3012),(7.02817692193 3218),(2.6645352591e-15 3306),,(5.3290705182e-15 3661),(5.76036753513 3893),,
Point4,H5,,(6.83784760006 407),(8.07593857793 620),(4.89876547837 756),,,(7.691528731 1350),(8.68732160981 1523),(7.64125551633 1702),(8.8671798504 1860),,(6.78742165872 2195),,(7.7977246876 2502),(6.72813880538 2684),(7.29770467943 2874),(6.83440940685 3054),(9.00372004129 3243),(7.22944687964 3417),,(6.82217575152 3768),(7.0411984965 3928),,
Point4,H6,(0.0 182),(-8.881784197e-15 350),(-1.33226762955e-14 529),(-0.00526423362311 715),(3.5527136788e-15 891),(8.881784197e-16 1063),(-8.881784197e-15 1235),(-1.42108547152e-14 1406),(-9.7699626167e-15 1583),(-1.24344978758e-14 1762),(-8.881784197e-16 1928),(-0.000326600777009 2093),(-0.00213970259854 2255),(-8.881784197e-16 2428),(-5.3290705182e-15 2603),(-1.7763568394e-15 2781),(-3.5527136788e-15 2954),(-8.881784197e-16 3131),(2.6645352591e-15 3306),(1.24344978758e-14 3481),(5.3290705182e-15 3661),(5.3290705182e-15 3835),(1.7763568394e-15 4010),
