Cycle,0.76275103981
Average Width,6.34795885982
Width,,0,6.04715741414,7.53708010484,5.65128184003,16.0456595022,6.35778345803,0.0,7.33319095528,22.0628358017,7.48780440886,6.60327593133,0.0,2.70025912544,5.15380026963,5.60248529663,6.40851561015,0.0,0.0,3.44978159828,0.0,0.0,6.45026763971,3.55663025422,7.34620902634,6.42756848296,5.88409288192,6.43927753597,6.45677796516,5.21275448451,5.94809482725,8.25807887772,4.31025117395,5.63489214932,6.72605948274
Point0,H1,(8.89674479191 57),(6.41460122521 221),(7.23142701616 393),(6.87707221659 551),(8.50117149986 733),(8.09663320606 890),(6.6418753251 1058),(7.87841214094 1244),(5.87533750702 1399),(6.37156218767 1572),(7.04747449624 1736),(4.96293519826 1883),(3.97111197855 1946),(9.85183146446 2037),(8.05266203448 2188),(9.61361889431 2331),(8.17704169219 2474),(6.22854380367 2622),(5.99791908097 2765),(7.38886744644 2908),(4.07855594974 3066),(4.96227862304 3231),(8.36032330567 3379),(8.09670837889 3546),(7.27619318584 3727),(9.27497159368 3903),(9.187064418 4091),(7.48616229663 4282),(9.76697412866 4460),(8.22382885465 4642),(8.01933839483 4809),(10.117069698 4972),(9.04912156963 5143),(10.4084918175 5305),
Point0,H2,,(-0.294508424773 311),,,(4.5469386287 760),(2.71365296491 965),,(4.40600193549 1272),,(3.93944044187 1592),(5.4552435953 1753),,,(0.944781579974 2106),(3.25695013243 2229),,(3.44288623917 2519),,(2.31782300032 2804),(2.70689237353 2953),,(1.85525340605 3254),,(2.95785580299 3591),(3.61876786784 3765),(5.31645208549 3946),,(3.51118273586 4324),(5.34129160431 4497),(3.48443762613 4680),,,,,
Point0,H3,,(0.103494894998 329),,,(5.07747437171 773),(3.06322831547 977),,(4.62585052841 1282),,(4.88278094291 1608),(6.3071316941 1776),,,(1.10768720037 2116),(3.47141848964 2239),,(3.9470964445 2535),,(3.40914195944 2821),(2.76679378667 2960),,(3.30271064181 3274),,(3.40386298257 3603),(4.24591726827 3779),(5.34137026655 3952),,(4.50905332421 4340),(6.58577433538 4514),(3.77982447039 4690),,,,,
Point0,H4,,(0.0450545631358 338),(1.29701221869 482),,(2.1066512184 818),(1.51537961367 998),,(0.311451097342 1351),,(-3.10862446895e-15 1669),(5.53092497909 1802),,,(0.449407025484 2137),(1.50420662568 2268),(2.35565113042 2399),(0.925848474444 2566),(0.649850275737 2686),,(1.11734658545 2991),,(0.175194214987 3306),,(1.76583904981 3629),(1.25723906628 3840),(3.05112854517 3993),,(2.22698935044 4376),(2.27214921494 4563),(0.446488888401 4737),(2.38645713275 4903),(0.884392864564 5070),,,
Point0,H5,,(0.174208114922 351),(1.54605596763 494),,(2.23042719539 828),(1.73015017043 1007),,(0.50934589477 1361),,(0.388865946258 1689),(5.53652399063 1806),,,(0.46432065265 2141),(1.51470259506 2273),(2.43347514696 2407),(1.3121708755 2577),(1.35511500123 2716),,(1.1429772944 2998),,(1.29570487907 3326),,(3.03917721582 3651),(1.85351757359 3855),(3.06105572818 3998),,(2.26031398677 4383),(2.71446587992 4576),(0.954346540967 4752),(2.39266178899 4907),(1.10378405916 5083),,,
Point0,H6,(-0.168806662648 8),(-5.99520433298e-15 191),(-0.294508424773 311),(-0.00162342652607 517),(-0.226494116046 658),(8.881784197e-16 853),(3.5527136788e-15 1025),(9.7699626167e-15 1195),(7.1054273576e-15 1373),(-8.881784197e-15 1517),(-3.10862446895e-15 1669),(3.5527136788e-15 1858),(-7.1054273576e-15 1920),(-0.00175820448572 2156),(-1.02140518266e-14 2299),(-8.881784197e-16 2446),(-0.00821818142826 2593),(-0.0060788332422 2735),(-0.00142872569071 2877),(-0.0121231736823 3025),(-0.00345050814115 3121),(-0.0103814677392 3186),(-0.00312894742847 3343),(-1.33226762955e-15 3516),(0.0 3696),(3.5527136788e-15 3872),(-0.00459681927712 4059),(7.1054273576e-15 4250),(7.1054273576e-15 4429),(2.6645352591e-15 4603),(-7.54951656745e-15 4770),(7.9936057773e-15 4941),(7.1054273576e-15 5104),(-1.33226762955e-15 5268),
Point1,H1,(8.57411095055 52),(7.56087388191 218),(8.24332279958 390),(8.04266228132 548),(9.11383417357 731),(9.36753181589 889),(7.4984324553 1055),(8.80803904225 1242),(6.91827036845 1397),(7.30188507016 1569),(8.36171734732 1733),(5.87093197313 1879),(11.1339791781 2035),(9.37242210097 2185),(11.1374240772 2328),(9.08289799498 2471),(8.01593366457 2618),(7.57762589622 2760),(8.85608597201 2905),(6.84434190086 3064),(3.09931586035 3137),(6.40491742513 3227),(10.5320501072 3373),(10.0623356739 3543),(9.61841452035 3721),(10.8978206299 3899),(11.0635161429 4087),(10.0369187394 4279),(11.9940705342 4455),(9.89274755754 4634),(9.36915465315 4805),(11.6112204506 4968),(10.5575702848 5140),(10.8697081358 5302),
Point1,H2,(2.39028165991 106),(-0.171894316637 307),,(1.42468583437 605),(4.91828015666 756),(5.82058871469 918),,,(5.8159541455 1412),(4.4356640153 1589),(6.33080727356 1752),(-1.7763568394e-15 1918),,(3.98043644246 2224),,(4.20878764967 2516),,(2.72305553327 2802),(2.69810642919 2950),(2.3970004612 3094),(1.45344773341 3153),(2.50581928188 3251),(5.36825923809 3409),,,(5.89791546304 3940),,(5.01990044317 4321),(6.74546135928 4496),(4.6397768551 4678),(4.93586661806 4838),(4.88895717662 5015),,
Point1,H3,(2.428200889 113),(0.489102253313 326),,(1.49220417385 618),(5.62765672065 769),(5.98365895008 928),,,(6.01831659772 1421),(5.157168033 1603),(6.92854129002 1774),(4.31469298581 1942),,(4.28548491602 2236),,(4.32773982079 2527),,(3.87009220105 2820),(2.84159288554 2958),(2.59810832513 3103),(2.36719568821 3166),(4.0776785324 3269),(6.10746039428 3422),,,(6.07543154256 3950),,(6.01826775627 4335),(7.60958299963 4511),(4.80907911193 4686),(5.02591857724 4847),(4.99811865128 5023),,
Point1,H4,(1.31950041538 159),(0.389781494713 336),(1.00432475529 481),(0.587678594985 652),(2.11107967217 817),,(0.842270876151 1160),,(3.14401489254 1445),(-0.00178973625951 1668),(5.97235595603 1798),,(1.34630380532 2107),,(2.41373262134 2397),(1.03094807135 2562),(1.25647983488 2691),,(0.611368535034 2988),,(2.6645352591e-15 3183),(0.238822860075 3307),(2.7668358054 3447),,,,,,(3.20902358966 4558),(0.644270520649 4731),(2.21850153834 4899),(1.40819497822 5068),,
