Cycle,0.788101851852
Average Width,6.10728588519
Width,,7.14293036081,6.59996528355,6.39976738062,7.16261141804,7.43541077827,7.63261966099,6.95483797769,7.15850789466,6.78783122691,6.1239678783,6.69322520771,6.73778569452,5.03649161096,5.31881648879,5.20322660227,5.83345552857,5.64304615642,5.5809838819,5.41071845797,5.4089423771,5.36736642034,5.87401269898,5.83834582121,6.2198594553,6.20818239829,6.3992695063,6.618001102,6.2399199658
Point2,H1,(16.7388764465 31),(16.5972413448 175),(22.9648921643 321),(22.0125322837 481),(23.5209328945 646),(21.2366583949 822),(20.3425919695 996),(21.8068305781 1173),(22.1950570474 1338),(24.8887172408 1505),(23.7073755103 1680),(25.1205778447 1854),(21.2433819536 2013),(23.2757296886 2178),(20.401236505 2337),(23.583583032 2502),(22.2952459077 2670),(25.5033906424 2831),(22.8723681259 2991),(22.2133095225 3159),(21.8700898003 3315),(22.2817409804 3486),(22.591539329 3649),(19.5886868236 3813),(21.2715563944 3971),(16.4944004527 4125),(18.99492476 4277),(19.6925727247 4431),
Point2,H2,(5.92575540703 55),(5.0365847277 201),,(4.11065674169 565),(12.4896922031 686),,,,(10.096316871 1366),(10.3323133299 1545),(9.35958210646 1704),(10.4941306369 1879),,(7.74012473603 2259),,(12.6811828183 2544),(10.8726348555 2695),(16.1314207942 2853),,(5.2590277707 3238),(10.3377055583 3357),,,,(9.45048396326 4007),(4.71454520327 4149),(10.641895597 4311),,
Point2,H3,(9.33977086982 76),(8.49785791977 223),,(4.28375627819 574),(13.3459017308 697),,,,(12.4321764615 1384),(10.6059423849 1555),(10.5254113905 1718),(13.6330094569 1897),,(8.01290198011 2268),,(12.6814318934 2545),(12.7153930382 2712),(16.9535871963 2863),,(5.39304211544 3245),(10.4884421878 3364),,,,(10.3106913573 4020),(9.62446096238 4172),(11.0134130349 4322),,
Point2,H4,(2.0414513516 105),(1.70288692924 269),(2.71523456864 408),(3.81506824749 588),(3.38841060281 764),,,,(3.57777712589 1451),(1.40750056401 1634),(1.70887871033 1780),(3.40054432245 1949),,(5.13832421175 2289),,(4.05632991897 2601),(2.61208784617 2751),,,(4.49505463474 3259),(3.70611940973 3405),,,,(1.4522139845 4058),(1.3493565445 4218),(3.03468447955 4363),,
Point2,H5,(2.83074155252 121),(3.11477898185 282),(2.96616590509 419),(4.01486789947 597),(4.46044551669 776),,,,(4.19969463247 1463),(1.4106738555 1637),(2.21261640406 1794),(3.61732106867 1958),,(5.22011295301 2294),,(4.40445273242 2612),(5.52470744519 2773),,,(5.7339905854 3272),(4.03261016595 3424),,,,(2.62528415936 4073),(4.23830006237 4234),(3.10499880885 4369),,
Point2,H6,(-0.190497298868 3),(-5.3290705182e-15 150),(-1.33226762955e-14 296),(-2.13162820728e-14 453),(1.24344978758e-14 616),(1.95399252334e-14 794),(-1.7763568394e-15 969),(-3.5527136788e-15 1145),(-1.24344978758e-14 1306),(8.881784197e-15 1480),(4.4408920985e-15 1652),(2.6645352591e-15 1818),(7.1054273576e-15 1981),(-0.0114205661783 2152),(-5.3290705182e-15 2313),(3.5527136788e-15 2473),(3.5527136788e-15 2636),(-5.3290705182e-15 2798),(-1.24344978758e-14 2957),(1.7763568394e-15 3129),(1.7763568394e-14 3290),(1.06581410364e-14 3450),(-0.000104265775146 3625),(2.13162820728e-14 3785),(1.42108547152e-14 3946),(1.15463194561e-14 4094),(1.24344978758e-14 4250),(1.15463194561e-14 4401),
Point3,H1,(12.6313564779 30),(12.3756119847 174),(17.1774066506 320),(17.0327428169 481),(18.6887590817 646),(16.7975685771 821),(14.9128957876 996),(17.2918902177 1173),(18.456741994 1337),(19.8894176879 1504),(19.1022651625 1678),(20.9760210552 1852),(15.2193095997 2012),(15.351258441 2179),(13.7066472873 2336),(17.2556904343 2502),(16.1454964984 2669),(18.3538915285 2830),(16.1326480846 2990),(15.3902518245 3160),(14.9348544452 3314),(16.4593731675 3485),(15.8438654552 3648),(13.7485335258 3813),(15.4919045598 3970),(12.2129462806 4124),(13.7837929161 4277),(14.4762212306 4430),
Point3,H2,(6.17647961869 53),(5.19339443931 200),,,(11.0207206772 685),,(10.175427577 1030),,(8.37892559389 1365),,(7.90314918558 1703),,(5.39194462324 2036),(6.97201974851 2254),,,(9.5944431841 2695),(12.9353448873 2850),,(3.95560866055 3234),(7.45681253584 3358),(10.6786906647 3509),(10.7599337699 3668),(8.33520802065 3845),(7.93401940703 4007),(4.2390553315 4147),,,
Point3,H3,(8.8117229257 75),(7.40079041096 222),,,(11.2825227067 694),,(11.0302847245 1044),,(10.8111159685 1384),,(8.29334988641 1714),,(6.90212516409 2052),(7.7062023181 2266),,,(9.97425599438 2706),(13.6750999536 2861),,(4.46479577972 3246),(7.54297766318 3364),(11.3361663211 3523),(10.8344132505 3674),(8.95562916486 3861),(8.23343907251 4017),(7.29449334423 4171),,,
Point3,H4,(2.58326896342 105),(1.57504694337 266),(2.60286982059 408),(2.82616627876 583),(2.74282403084 760),,(3.16068047813 1080),,(2.33369730594 1447),,(0.442875141229 1782),,(-7.1054273576e-15 2122),(5.01592958103 2287),,(3.86132461868 2590),(2.39584445736 2751),,,(4.06975841632 3257),(2.99858138947 3405),(3.70412156426 3594),(2.09933755896 3733),(3.11373003542 3911),(1.46665424578 4058),(0.596580681675 4214),(8.31773825559 4307),,
Point3,H5,(3.32133789018 121),(2.5518167598 279),(2.63753223308 414),(3.32371498296 596),(3.99525988516 775),,(4.69740679725 1100),,(3.16609543129 1461),,(0.847309791568 1796),,(1.0700465181 2137),(5.0860462204 2292),,(4.60488644923 2607),(4.26927108524 2771),,,(4.84966002232 3270),(3.19644279518 3423),(3.91295044246 3603),(2.95800906503 3764),(4.50193415982 3926),(1.85077650103 4070),(3.229453075 4233),(8.71669316718 4318),,
Point3,H6,(-0.0772071275134 2),(4.4408920985e-15 147),(-1.06581410364e-14 294),(-2.57571741713e-14 451),(-1.7763568394e-15 615),(-2.13162820728e-14 792),(-9.7699626167e-15 967),(0.0 1142),(-8.881784197e-15 1304),(1.7763568394e-15 1478),(-0.000527997024824 1652),(-0.00419885456873 1816),(8.881784197e-16 1980),(-0.478440923808 2150),(-1.06581410364e-14 2312),(-3.5527136788e-15 2471),(5.3290705182e-15 2635),(-8.881784197e-16 2797),(-1.24344978758e-14 2957),(-3.5527136788e-15 3127),(1.95399252334e-14 3288),(1.06581410364e-14 3449),(8.881784197e-15 3623),(7.9936057773e-15 3783),(4.4408920985e-15 3944),(-0.00210787943619 4095),(-0.00259588955535 4248),(-0.00710378091485 4400),
