Cycle,0.703333333333
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(6.96934245977 101),(7.88141183075 214),(9.39013722125 404),(8.53122486704 506),(7.23900288155 697),(5.99768431288 821),(5.99299468758 966),(7.64487413726 1095),(7.71374638558 1268),(7.06487145148 1431),(6.60178555688 1580),(7.02894771641 1727),(6.68105081874 1870),(8.32617393903 1989),(7.77401735327 2135),(5.19693264429 2321),(6.58753725271 2468),(7.75719730682 2581),(6.66694731212 2768),(7.3924965369 2898),(7.07913315686 2997),(6.18306268007 3202),(6.74742380899 3329),(6.2679489438 3478),(5.99584016098 3590),
Point0,H2,,(6.98364588104 245),,(8.00058103629 526),,(5.70361039043 837),(5.46009514162 981),(6.7596315907 1121),(-1.33226762955e-15 1325),,(-1.46549439251e-14 1614),,,(6.94350425585 2017),(6.00155257311 2157),(-8.881784197e-16 2355),,(5.74768578562 2609),,,(4.27223255449 3031),,(6.45633861942 3347),,
Point0,H3,,(6.98781141705 248),,(8.52927171883 544),,(5.73937623147 843),(5.87493603933 993),(7.23414844712 1136),(0.263159888343 1336),,(5.40704624893 1664),,,(6.94376515731 2019),(7.09920271819 2176),(5.25807514421 2394),,(6.62824290309 2624),,,(5.70709427767 3057),,(6.50344404049 3353),,
Point0,H4,,(-0.00565251853484 296),,(-3.5527136788e-15 594),,(-4.4408920985e-15 893),,,(0.194260972712 1343),,(5.05273306039 1682),,,(8.881784197e-16 2060),(-0.00174564632485 2214),(4.84034882379 2409),,(-0.00302637147904 2664),(-4.06408297948e-06 2809),,(-0.00742761621273 3094),,(8.881784197e-16 3385),,
Point0,H5,,(8.39957713072 368),,(6.56672040159 655),,(4.48453568242 930),,,(5.63617621273 1396),,(6.39173916583 1707),,,(5.50262736975 2101),(4.2508573846 2281),(5.125907449 2428),,(4.49688149247 2705),(7.18570448111 2870),,(5.78448699129 3171),,(5.30524486935 3436),,
Point0,H6,(-8.881784197e-16 150),(-0.00565251853484 296),(-1.7763568394e-15 445),(-3.5527136788e-15 594),(-0.00467070413406 733),(-4.4408920985e-15 893),(-0.00177392508494 1029),(-0.00448026069252 1180),(-1.33226762955e-15 1325),(-3.5527136788e-15 1473),(-1.46549439251e-14 1614),(-8.881784197e-15 1755),(-0.00267392987192 1912),(8.881784197e-16 2060),(-0.00174564632485 2214),(-8.881784197e-16 2355),(-0.00106251572094 2505),(-0.00302637147904 2664),(-4.06408297948e-06 2809),(3.5527136788e-15 2946),(-0.00742761621273 3094),(-0.00707691707574 3244),(8.881784197e-16 3385),(-0.0161073490872 3535),
