Cycle,0.809908435613
Average Width,11.1296174901
Width,,0,5.6319831366,0,0,0,5.40530627254,4.63118264386,4.56253008988,4.71355865854,4.53082983484,4.77417838697,4.81079726877,5.58260715076,0,0,0,0,0,0,4.89970077507,0,0,5.20416641006,5.21821932063,5.48634930322,0,0,5.12818444684,5.19132905828,5.12894908087,5.37160217146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3.47176714817,0,0,5.03599174323,22.2336008285,0.0,3.96819164832,0.0
Point0,H1,(22.248512574 80),(20.0310149706 250),(11.8468093801 417),(10.6940362461 574),(20.9274951865 734),(21.7925824986 894),(24.9487193688 1053),(30.2481409701 1208),(30.5201224568 1370),(29.008198158 1538),(25.2172014021 1699),(24.0188988368 1851),(22.3836086385 1998),(15.1775772806 2148),(16.5016856978 2295),(22.9061955142 2444),(18.4966196012 2602),(15.2153677736 2754),(24.5849017042 2908),(27.449815039 3067),(27.1608763433 3231),(24.8382552423 3394),(31.2614918649 3557),(32.9490211784 3726),(30.3679881452 3899),(28.9843065893 4064),(34.711107315 4231),(33.4717283281 4403),(33.0351625722 4572),(35.5205926672 4743),(32.9098859809 4923),(30.7307461095 5093),(24.8447245297 5268),(18.8126652301 5445),(19.6704144678 5610),(20.601459523 5776),(16.9118538793 5942),(14.2597130235 6095),(18.3565417327 6250),(23.8915717839 6402),(24.4493068438 6562),(20.6231345562 6726),(22.1849451598 6888),(20.9352164079 7053),(17.0462195741 7216),(17.0348238208 7381),(10.3072379096 7547),(8.17497116919 7711),(10.1265936496 7870),(12.4340116971 8030),(13.8931230301 8189),(15.3667848837 8344),(24.9910048008 8499),(25.7475153087 8659),(23.678747851 8821),(28.2178455287 8991),(23.4864761775 9167),(14.7932249425 9343),(19.1062107973 9519),(9.07838669468 9701),
Point0,H2,,,,(-0.525449322138 636),,,,,,,,,,,(1.44493794967 2352),,,,,,,(5.13541959035 3476),,,,,,,,,,,,(2.00511295829 5514),,,,,,,,,,,(8.1331548975 7252),,,,(1.86255215869 7935),,,,,,,,,(-9.7699626167e-15 9418),,,
Point0,H3,,,,(0.143918912159 652),,,,,,,,,,,(1.83864348356 2362),,,,,,,(5.14480427345 3478),,,,,,,,,,,,(2.05931550224 5523),,,,,,,,,,,(8.65738571098 7267),,,,(1.9629908109 7944),,,,,,,,,(0.854670531557 9435),,,
Point0,H4,(0.682974695507 181),,(1.06631254008 479),(-0.351697275431 665),(-0.0015378208382 824),(0.0434835611736 967),(2.13162820728e-14 1147),(-0.0234139365441 1306),(1.00410203786 1456),(-0.00253130845619 1624),(-9.7699626167e-15 1784),,(-0.00389633894902 2073),(0.459073791443 2237),(0.901333766777 2377),(4.4408920985e-15 2534),(0.787516814505 2679),(1.22931105173 2837),(1.77487090113 3002),,(1.49244925274 3341),(2.79726004615 3498),(3.59689660633 3660),(2.58713875125 3835),,(1.31331463489 4168),,(2.64137894038 4501),(2.4522287665 4682),(1.9828918604 4856),(1.22337903386 5035),(3.58291401939 5181),(-0.00746553287135 5370),(0.775857575776 5546),(1.08519752556 5699),(0.77413886132 5883),(-0.00898025172901 6052),(0.198020040345 6176),(0.677426108953 6331),(1.25390395066 6465),(0.60649329727 6665),(1.95191376252 6827),,(-0.000837882033041 7158),,(1.31953759257 7481),(0.921801005956 7630),(1.0690366858 7790),(0.75741506561 7964),(0.420904134857 8127),(0.597512917095 8283),(-0.103085946243 8449),(2.86348433499 8587),,,(2.33329251298 9071),(-0.000663076687959 9260),(0.465549949261 9449),(-0.0100801113236 9629),,
Point0,H5,(0.916603042705 192),,(1.44445348122 492),(0.433974645949 682),(0.631870796934 839),(1.7039747735 996),(1.20590993323 1161),(0.52305954167 1319),(1.16149765019 1465),(1.18925307324 1646),(1.51929429726 1801),,(1.51123876371 2092),(0.540111302378 2245),(1.94728587997 2392),(2.43473120972 2553),(1.25978993309 2704),(2.43508744448 2854),(2.78735861808 3015),,(1.57452991756 3349),(4.13401852555 3511),(3.59756645423 3661),(3.02619133017 3845),,(2.21796021337 4182),,(3.22898547051 4514),(2.8511937909 4692),(2.78522523931 4869),(1.38820813961 5044),(3.9715334599 5193),(0.86564655292 5397),(1.4199724067 5559),(1.19955334767 5713),(1.02362889403 5894),(-0.00534264660765 6055),(1.37725634977 6198),(1.00626465179 6344),(1.72245008319 6476),(0.715601831234 6675),(2.1690867868 6836),,(1.03462486656 7177),,(1.70861734978 7494),(2.09863608753 7651),(1.5726906277 7806),(1.04521280425 7976),(0.469064133342 8134),(1.1903008289 8296),(-0.00764317403874 8457),(3.069458658 8596),,,(2.36578784181 9078),(2.18523513666 9291),(1.61795235047 9468),(1.28030598328 9654),,
Point0,H6,(7.9936057773e-15 210),(-0.0436497975081 354),(-0.0102576034033 538),(-0.525449322138 636),(-0.331039886865 855),(-0.00829995513439 1014),(2.13162820728e-14 1147),(-0.32408693134 1331),(-0.00637242696116 1484),(-0.00253130845619 1624),(-9.7699626167e-15 1784),(8.881784197e-16 1932),(-0.00389633894902 2073),(-2.6645352591e-15 2258),(-8.881784197e-16 2408),(4.4408920985e-15 2534),(-3.5527136788e-15 2723),(-0.0125151350336 2871),(-1.7763568394e-14 3031),(-0.000673890084567 3193),(-0.0122795307312 3363),(-1.24344978758e-14 3526),(-1.06581410364e-14 3690),(-0.00210302041656 3863),(-0.000403032162351 4022),(7.1054273576e-15 4196),(-5.3290705182e-15 4367),(-2.30926389122e-14 4534),(-7.1054273576e-15 4708),(-3.5527136788e-15 4886),(1.06581410364e-14 5058),(-1.7763568394e-15 5234),(-0.00746553287135 5370),(2.6645352591e-15 5574),(8.881784197e-15 5736),(-1.7763568394e-15 5908),(-0.0245462603232 6060),(7.9936057773e-15 6213),(4.4408920985e-15 6363),(3.5527136788e-15 6526),(7.1054273576e-15 6689),(-0.00838226095383 6853),(-1.7763568394e-14 7015),(-0.000837882033041 7158),(1.06581410364e-14 7349),(-0.00365168739155 7513),(7.54951656745e-15 7680),(-0.0074002927748 7833),(-0.000923686979728 7992),(7.1054273576e-15 8149),(-8.881784197e-15 8310),(-0.103085946243 8449),(5.3290705182e-15 8623),(-8.881784197e-15 8782),(-0.00165704064224 8950),(-0.00432947151005 9124),(-0.000663076687959 9260),(-9.7699626167e-15 9418),(-0.0100801113236 9629),(-1.02140518266e-14 9789),
Point1,H1,(18.2020451142 80),(17.6615493103 250),(10.3558935023 416),(7.44531869085 574),(17.8958675118 734),(18.926607369 894),(23.0698537214 1052),(29.4690223493 1208),(29.7994434491 1370),(28.4323968139 1537),(23.5084086179 1699),(22.8358119476 1850),(20.1471846082 1998),(12.1549226557 2149),(13.880431875 2296),(20.1005540022 2443),(15.6060422626 2601),(11.7161805156 2753),(20.0733581447 2907),(24.0881594468 3067),(23.6921022124 3231),(20.9689644679 3394),(28.3084627426 3557),(28.4842097881 3726),(27.0992582313 3898),(24.6491909418 4063),(29.6675969425 4231),(29.6559293209 4404),(29.5615331057 4571),(31.7458159371 4743),(28.4210305935 4922),(26.2893889628 5094),(20.3918649955 5268),(15.32064077 5446),(15.5736462788 5611),(16.2541031471 5776),(12.8461269394 5942),(11.8243601203 6093),(14.4901818003 6249),(19.3497477631 6402),(20.8292547245 6561),(16.7865268555 6726),(17.5234049194 6889),(15.7482751346 7053),(12.5717071215 7215),(12.6525632995 7382),(6.58382360323 7546),(6.41777993107 7871),(8.53705949187 8029),(10.0763067209 8190),(11.3111479963 8345),(19.2745958882 8499),(20.2807184898 8659),(18.7218937591 8821),(21.6518294867 8991),(18.7107739574 9166),(12.1031132344 9344),(15.6494784286 9517),(6.55954620658 9700),
Point1,H2,,,,(-0.945491149722 634),,,,(1.507616563 1284),,,,,,,(0.738432766465 2351),,,,,,,,,,,,,,,,,,,,,,,,,(0.577022421428 6463),,,,,(6.83228705877 7248),,,,,,,,,,,,(2.6645352591e-15 9416),,,
Point1,H3,,,,(0.11956804775 653),,,,(1.51638901008 1287),,,,,,,(1.10132407301 2361),,,,,,,,,,,,,,,,,,,,,,,,,(1.13304218046 6475),,,,,(7.7878414801 7267),,,,,,,,,,,,(0.960701601473 9436),,,
Point1,H4,(0.134311162492 180),(1.76004633693 321),(1.80269167518 491),(-0.0581961611082 663),(-0.0315123980505 820),(-0.455701733756 961),(-0.00487239138923 1144),(1.02442126138 1303),(1.10890352861 1453),(-1.7763568394e-14 1619),(-2.30926389122e-14 1780),,(-0.0155864695467 2072),(0.255564852482 2232),(0.694609636775 2373),(-0.00843581290225 2532),(1.07982162617 2680),(0.211390826322 2825),(0.972160906649 2999),(-0.00577261264338 3185),(0.913437787914 3338),(3.48267014549 3495),,(2.32285887075 3833),,(1.50738237868 4167),(0.438899649042 4344),(2.94936915687 4503),(2.96246895128 4681),(1.66894674967 4853),(1.0084923427 5031),(3.8486747871 5179),(0.825355784014 5370),(1.0773010725 5542),,(0.315744908484 5879),,(0.448780905645 6178),,(0.196220586873 6501),(-0.000843178158159 6653),(1.99077378395 6824),,(-0.00177570441813 7149),(3.87934643149 7297),(1.54759322786 7480),,(0.0998590890606 7964),(0.167631665027 8121),(0.463401452659 8280),(-0.115369881689 8442),(1.99670424423 8585),(-0.00576689633177 8758),(3.14353519287 8892),(1.59172281359 9088),(-3.5527136788e-15 9257),(0.910876416331 9443),(-0.00805716750653 9628),,
Point1,H5,(0.571562357331 196),(1.77521065558 326),(1.89897897141 502),(0.367868901296 679),(0.120295374409 831),(1.21143174814 995),(1.63111632763 1160),(1.38079305349 1315),(1.22126974993 1462),(1.04030693615 1644),(1.8242413412 1800),,(1.25546390679 2091),(0.703871096708 2245),(1.9615909982 2390),(2.18072964574 2551),(1.36612346815 2703),(2.00129161788 2850),(2.0783756381 3014),(0.0135874495478 3189),(1.24278234689 3349),(4.7071351185 3508),,(2.6417104967 3842),,(2.16729145407 4180),(0.80753217742 4356),(3.0108650383 4509),(3.0656067085 4688),(2.88487749924 4868),(1.28099873716 5042),(4.20995650225 5190),(1.61139396529 5393),(1.62801075793 5557),,(0.866693559359 5894),,(1.38574362251 6197),,(0.621912735848 6516),(0.918923665486 6675),(2.26848144251 6835),,(0.884522063832 7173),(3.94774274413 7304),(1.73494982652 7491),,(0.278718173405 7976),(0.327657252969 8134),(1.08451902086 8294),(0.420645644389 8455),(2.25288617807 8599),(0.793613501325 8774),(3.36309043433 8902),(1.5986278587 9092),(2.6218845423 9289),(2.2839563348 9468),(1.1700953334 9652),,
Point1,H6,(-0.00419024871976 210),(-0.0123993319898 350),(-0.0115618301876 540),(-0.945491149722 634),(-0.394010900101 851),(-0.455701733756 961),(-0.00487239138923 1144),(-2.6645352591e-15 1330),(-0.000620065310514 1481),(-0.287917833973 1663),(-2.30926389122e-14 1780),(-0.000917080150409 1936),(-0.0155864695467 2072),(-0.000128278541746 2258),(-0.00800956400675 2407),(-0.00843581290225 2532),(2.04281036531e-14 2722),(-0.0197507020347 2870),(5.3290705182e-15 3030),(-0.0330754264198 3195),(1.7763568394e-15 3362),(-1.42108547152e-14 3525),(-1.7763568394e-14 3689),(7.1054273576e-15 3861),(2.04281036531e-14 4028),(2.6645352591e-14 4195),(1.95399252334e-14 4367),(-0.00644709471601 4532),(1.06581410364e-14 4707),(1.7763568394e-15 4885),(-0.000345632884121 5057),(-0.0158964054121 5235),(-6.2172489379e-15 5411),(6.2172489379e-15 5574),(1.7763568394e-14 5736),(4.4408920985e-15 5907),(-0.00264670215105 6049),(-0.00472719155035 6212),(7.9936057773e-15 6366),(8.881784197e-15 6528),(-0.000843178158159 6653),(-1.7763568394e-15 6853),(-8.881784197e-15 7014),(-0.00177570441813 7149),(-1.7763568394e-15 7347),(-8.881784197e-15 7512),(5.10702591328e-15 7626),(1.15463194561e-14 7682),(1.13242748512e-14 7838),(-0.000863989466027 7991),(8.43769498715e-15 8150),(-0.00777348364386 8309),(-0.115369881689 8442),(-0.00247852916955 8625),(-0.00576689633177 8758),(-0.00182348400601 8949),(-0.00831545185254 9118),(-3.5527136788e-15 9257),(2.6645352591e-15 9416),(-0.00805716750653 9628),(-5.77315972805e-15 9789),
Point2,H1,(11.0260883899 108),(10.2393890089 277),(6.00167167467 443),(3.47811239035 603),(10.0995485244 762),(10.0932864726 918),(11.724666278 1080),(16.6258288868 1235),(17.6985697982 1396),(16.0852870605 1565),(12.7966440263 1727),(13.1592289528 1877),(12.1558564105 2025),(6.90589627689 2174),(8.91455746606 2324),(11.7830970109 2471),(8.0355422693 2627),(4.52346150678 2782),(10.1440704495 2933),(11.5519795594 3094),(14.2611854989 3255),(12.0655480036 3423),(16.0759948588 3588),(14.3369705047 3754),(15.7495147796 3928),(12.4040099518 4092),(15.6963919328 4259),(15.6332407413 4431),(16.2499940528 4598),(17.1308368433 4772),(14.8076015259 4950),(14.9356961036 5122),(10.6066703012 5300),(8.22646764129 5470),(8.8870041162 5638),(9.63772295922 5804),(6.91581486296 5969),(6.42716732999 6118),(7.2257852644 6277),(9.73381398765 6429),(11.5795929936 6590),(8.91509984821 6753),(8.21764530696 6919),(8.17954768074 7079),(6.88872086674 7241),(6.27463953147 7410),(4.52944328344 7575),(3.98869776437 7897),(5.29075132128 8057),(5.85325746257 8217),(6.50930069044 8371),(10.2198015492 8525),(11.1794935702 8686),(10.0750869021 8849),(12.0922827178 9020),(9.89040184239 9195),(7.76555109555 9369),(8.22413551505 9544),(3.82413839581 9721),
Point2,H2,,,,,,,,(2.23661992672 1303),,,,,,,,,(4.75658566405 2653),,(1.68456575785 2998),,,,,,,(1.73457965037 4170),,,,,(1.27869118031 5035),,,(1.32301928308 5535),(2.48952769627 5690),,,(0.833190405546 6167),,(0.310782256926 6484),,,,,(4.07475979435 7267),(4.72118678436 7434),,(1.85421969923 7928),(1.69688979197 8118),(1.9234191952 8280),(2.08991677696 8440),,,(2.68911901187 8923),,,,,,
Point2,H3,,,,,,,,(2.55713346471 1314),,,,,,,,,(4.83609538321 2661),,(1.94131542314 3008),,,,,,,(1.74481218495 4174),,,,,(1.33354615941 5042),,,(1.9355837141 5553),(2.49458973695 5694),,,(0.871214154004 6174),,(1.12640177915 6499),,,,,(6.3828680526 7293),(4.77691190348 7441),,(2.17768249711 7943),(1.79513221572 8126),(2.0951052742 8290),(2.109531548 8445),,,(2.694414375 8926),,,,,,
Point2,H4,(0.101859056235 206),,(-0.158487570044 551),(-0.0682881921058 679),(-0.0214223743918 830),(1.12955901402 983),(-0.0058310446335 1164),(1.59175856872 1332),(0.622506417525 1488),(0.713116569551 1652),(0.0 1807),(1.15463194561e-14 1951),(-0.0131567375654 2112),(0.125821665455 2240),(1.47829814837 2394),(1.11330267628 2542),(0.796578105155 2696),,(0.796758276852 3027),,(0.610234856422 3361),(3.97949499577 3518),,,(2.15267755898 4008),(1.14358913932 4195),(0.934976532403 4353),,(1.97559749515 4707),(2.09606213752 4861),(1.01400877365 5057),(3.13580595005 5202),(0.793442204763 5407),(1.19571904889 5572),(0.718128260879 5728),(0.145265303668 5898),(0.700383651792 6044),(0.242588913232 6195),(0.974600627674 6346),(0.253191007693 6517),(0.770986758227 6671),(0.486403986239 6852),(0.318598379482 7012),(-0.000471622179455 7180),(2.22166897924 7326),(1.3230049416 7504),,(0.379844235187 7983),(3.99680288865e-15 8149),(1.51870327276 8307),(0.20729184268 8471),,(0.356233282022 8781),(1.69510134123 8949),(2.32682926368 9091),(1.7763568394e-15 9269),(4.88498130835e-15 9446),(-0.0119563251644 9652),,
