Cycle,0.847086956522
Average Width,4.86930699288
Width,,4.77617064147,5.07806213288,4.75977345363,4.69719925651,4.86788509157,4.90867268832,4.92730124,4.92388993111,4.85120858858,4.73640444814,4.83044181127,4.91272321297,4.72935343535,4.90241702895,4.87577612112,5.01867095629,5.14410390161,4.69393586767,4.97250845395,5.05926949547,4.91391348698,4.83556861679,4.73912730716,4.79991243259
Point0,H1,(9.50330668872 27),(12.4912324028 219),(8.27956882122 400),(7.65489024435 579),(11.0404281686 734),(10.6378670421 930),(10.0829935078 1106),(10.8676698897 1259),(11.01161604 1436),(9.32759024637 1617),(10.0362834692 1809),(11.3569313602 1978),(9.7119322967 2160),(9.8223731803 2332),(10.9231602937 2507),(11.9165068166 2684),(12.0250067251 2881),(9.13710990097 3054),(11.9989767749 3229),(11.8703033003 3401),(10.8873132317 3577),(11.9217972793 3754),(10.3842506559 3932),(10.1503357657 4115),
Point0,H2,(2.23531489005 104),(1.04871749749 327),,(1.38196048599 644),(0.887359725317 842),,(4.2179112686 1128),,(10.203527997 1449),(1.44738463749 1700),(4.04803177585 1866),,,,(4.41374662504 2554),,,,(5.9779304073 3272),,,,,
Point0,H3,(2.53045809854 115),(1.17752432194 336),,(1.9945776738 658),(0.939253116933 853),,(5.38570983087 1141),,(10.2415858222 1455),(2.72683896173 1716),(4.07288380593 1871),,,,(4.55224551864 2561),,,,(6.15993680344 3283),,,,,
Point0,H4,(1.99897605614 131),(3.5527136788e-15 351),,(5.3290705182e-15 678),(0.0 876),,(3.02460637936 1160),,(1.98143302714 1535),(0.0532161678292 1737),,(1.2454055852 2085),(2.72050595673 2256),(0.848216377308 2409),(-0.188851333576 2623),,,(0.908355804343 3126),(2.15860545385 3332),(3.02195750606 3476),(0.795359988895 3690),,,
Point0,H5,(2.56376349905 147),(8.26843827939 381),,(0.928786504797 693),(10.1484517097 906),,(3.4109801354 1171),,(2.0687316526 1543),(0.442576036486 1747),,(1.7657380622 2097),(2.83102261024 2266),(0.937640229993 2419),(0.627970040455 2641),,,(1.78742084054 3143),(2.37709513924 3342),(4.80743485586 3493),(0.798061055461 3693),,,
Point0,H6,(-0.0117151264865 173),(3.5527136788e-15 351),(-3.10862446895e-15 527),(5.3290705182e-15 678),(0.0 876),(-6.2172489379e-15 1055),(-2.6645352591e-15 1230),(-0.00112906300855 1376),(-0.000319933256399 1581),(-0.0060189023744 1758),(-4.4408920985e-15 1936),(-1.06581410364e-14 2114),(-4.88498130835e-15 2296),(-1.7763568394e-15 2463),(-0.188851333576 2623),(1.06581410364e-14 2830),(-5.3290705182e-15 3008),(-8.881784197e-16 3183),(0.0 3361),(7.9936057773e-15 3536),(3.5527136788e-15 3713),(-0.00136910987194 3893),(-0.00700048249108 4068),
Point1,H1,(25.4737289191 30),(29.1614452307 213),(25.9983643333 385),(24.532297277 558),(28.4352746139 734),(26.4612059008 909),(26.4391069794 1085),(27.9189487813 1262),(26.9003482388 1439),(25.7204761804 1627),(27.7306860801 1807),(28.8883297864 1981),(27.5480650064 2159),(26.2274853413 2334),(27.7850374716 2509),(27.0423332078 2686),(28.0493429995 2880),(25.2326034339 3056),(28.0019091942 3232),(29.0489896882 3407),(28.3402359667 3580),(29.208321142 3758),(28.4353705816 3934),(27.3139917187 4112),
Point1,H2,,,,,,(8.18336067117 955),(7.87969864428 1130),(9.92646558866 1305),(10.9490602072 1484),,(12.5453672529 1838),,,(2.82240114208 2414),,(9.3257883645 2731),,,,,,,,
Point1,H3,,,,,,(9.77818277363 967),(9.89086846433 1143),(11.9524859353 1318),(11.4278004959 1493),,(12.7772183902 1844),,,(2.88942461297 2420),,(10.9791043402 2743),,,,,,,,
Point1,H4,(8.79226068559 77),(2.13382070111 327),(11.1277494366 427),,(9.71590054509 781),(0.251486049081 1035),(4.73127157269 1165),(0.26071040859 1380),(2.73777383994 1559),,(4.35654965591 1910),(2.70556931793 2088),(3.30650237584 2262),(2.24973744103 2437),,(-3.5527136788e-15 2832),,,(3.15296821037 3334),(6.35672223351 3481),(2.71063994287 3688),,,
Point1,H5,(9.16068203583 85),(2.98254788602 338),(12.7898064959 440),,(10.0338085663 789),(0.488736335479 1044),(4.81009618849 1171),(1.39825074134 1395),(2.99725789306 1568),,(4.73341368492 1920),(3.25644936849 2098),(3.65244897621 2272),(2.39388887821 2446),,(27.1988131255 2867),,,(4.04170693352 3346),(7.56889348319 3494),(2.78715306614 3695),,,
Point1,H6,(-2.13162820728e-14 176),(-2.84217094304e-14 353),(-0.00736698918553 527),(-5.3290705182e-15 683),(-1.7763568394e-15 874),(-1.42108547152e-14 1053),(-0.00797034967812 1229),(-3.01980662698e-14 1407),(-1.59872115546e-14 1585),(-8.881784197e-15 1761),(-1.42108547152e-14 1939),(-2.48689957516e-14 2115),(-1.59872115546e-14 2294),(0.0 2469),(3.5527136788e-15 2654),(-3.5527136788e-15 2832),(1.7763568394e-15 3009),(-5.3290705182e-15 3186),(-1.59872115546e-14 3363),(1.7763568394e-15 3539),(-0.00118523904081 3716),(-0.00566399709553 3895),(-3.5527136788e-15 4070),
Point2,H1,(28.6193340494 31),(31.828745056 211),(31.1290705467 387),(30.6414897876 559),(31.6381176447 733),(31.055778819 910),(30.5671527875 1087),(29.3310603157 1263),(29.8850648553 1442),(30.1317253351 1633),(32.4670020999 1795),(31.1449195347 1984),(31.6174339039 2161),(27.9324736554 2335),(29.7755566388 2510),(28.741976482 2686),(28.3597373939 2869),(29.1002391113 3056),(30.3076937471 3233),(29.8291509286 3408),(29.3896705005 3583),(29.2393578852 3759),(29.78192818 3935),(29.6209730348 4111),
Point2,H2,,(12.3196818849 253),,,,(10.451747715 956),(9.70439249322 1134),(10.1229568256 1309),,(5.30437550983 1711),(32.2125110645 1803),,,,(8.96930207902 2556),(9.45685141882 2732),(12.3040465403 2908),(10.484344906 3088),,,,,,
Point2,H3,,(13.1411522748 263),,,,(11.6812994981 966),(10.058943147 1142),(10.8973644192 1319),,(5.31141267831 1715),(32.2157127255 1804),,,,(9.46407299804 2565),(10.8214051296 2743),(13.2167030808 2918),(10.7273620204 3095),,,,,,
Point2,H4,,(2.95271285878 328),,(8.43021699793 605),(9.05815835573 781),(4.92627562325 993),(-0.0724229035463 1209),(2.07038650068 1382),,(3.34270515829 1736),(2.84288913035 1912),(3.32115696401 2087),(3.58021999454 2261),(2.4129523326 2433),(4.8552683607 2589),(2.88551305149 2806),(3.46046298337 2982),(3.51781590865 3156),(3.20576440425 3336),(2.99686832035 3512),(2.08034235875 3689),(1.82694547597 3863),,
Point2,H5,,(3.7476816945 339),,(9.06632812342 614),(10.4383706889 791),(4.93213580668 996),(0.813754331473 1221),(2.86667447692 1394),,(3.85322918593 1746),(3.82881966031 1923),(4.07586707426 2099),(4.14330491321 2273),(2.55018614866 2443),(4.97943807221 2596),(3.31237810359 2817),(3.55035888794 2990),(4.29507951935 3169),(3.82251455522 3347),(3.64134794267 3523),(2.61070588142 3700),(2.20562126328 3874),,
Point2,H6,(-2.30926389122e-14 177),(1.24344978758e-14 354),(2.30926389122e-14 527),(8.881784197e-15 700),(-0.00133370781019 874),(-5.3290705182e-15 1051),(-0.0724229035463 1209),(2.84217094304e-14 1410),(2.84217094304e-14 1587),(2.30926389122e-14 1762),(-0.00259179059047 1940),(1.24344978758e-14 2116),(2.13162820728e-14 2294),(1.7763568394e-14 2469),(1.59872115546e-14 2653),(7.1054273576e-15 2834),(1.42108547152e-14 3010),(1.59872115546e-14 3187),(3.5527136788e-15 3363),(-7.1054273576e-15 3541),(-1.06581410364e-14 3717),(-0.0134991229076 3896),(-0.000712285294691 4069),
Point3,H1,(16.9262815626 31),(20.3049519039 222),(20.0741918793 401),(19.3597141414 559),(19.2727508741 733),(19.2292486489 909),(19.452618213 1087),(18.1904582852 1264),(18.6092148351 1444),(18.5394371622 1633),(20.5464540084 1797),(18.7143381269 1985),(18.7343545932 2162),(16.074518229 2335),(17.4667306412 2510),(17.151170438 2687),(16.8714060744 2881),(16.9087325434 3056),(18.6075619864 3232),(17.8342632507 3408),(17.0934971983 3584),(16.72912834 3759),(16.6350410089 3934),(16.85785883 4110),
Point3,H2,(5.70776027938 76),,(9.00989655612 428),,,(8.2448268462 955),,(7.72624805813 1310),(7.70936015565 1486),(3.77286984952 1708),(20.5254879388 1801),,,,,,(8.5177632796 2909),,,,,,(6.14393863294 3981),,
Point3,H3,(6.32217343801 87),,(10.0343276599 439),,,(9.15194881997 966),,(8.08954919875 1319),(7.99507213112 1494),(3.79743287728 1715),(20.5381366245 1804),,,,,,(8.97239070323 2918),,,,,,(6.64374606917 3991),,
Point3,H4,(1.52470423661 154),,(1.15519399532 509),,,(4.16475175489 991),(-2.6645352591e-15 1207),(1.65214594461 1383),(3.21895079849 1558),(2.43506516177 1739),(1.33565282185 1912),(2.36319559157 2087),(2.3523584618 2262),(0.69754164823 2428),(5.92605626956 2557),,(2.05569345973 2976),(2.47337885228 3153),(2.64111628403 3338),(1.58836452643 3512),(1.75647702919 3691),(0.765185842385 3865),(2.03350905651 4037),,
