Cycle,0.775181461353
Average Width,0.0
Width,,0.0,8.01976878861,0.0,0.0,25.3481124408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83262603282,11.0927535661,9.00155918819
Point0,H1,(17.248780327 53),(18.617911 228),(20.4922573035 425),(21.6902621163 588),(21.8349920172 789),(23.3085872486 948),(23.9644112612 1109),(24.6455530624 1263),(23.2922890625 1440),(22.8353435198 1642),(26.1881685999 1806),(26.1605682258 1983),(25.0745934707 2183),(22.6408865942 2350),(23.4085965052 2542),(22.7062548729 2720),(23.1493475799 2896),(21.3552522279 3090),(19.316821972 3281),
Point0,H2,,,,,,,,,,,,,,,(20.6602844758 2559),(21.2932876184 2733),(21.3192864249 2910),,
Point0,H3,,,,,,,,,,,,,,,(20.765921499 2565),(21.5484212171 2741),(21.7626664143 2920),,
Point0,H4,(11.5984921216 80),(-1.06581410364e-14 360),(3.23995414628 520),(1.06581410364e-14 726),,(3.7368854732 1036),,(22.1998949706 1276),,,,,,(20.2915669896 2363),(2.26111428595 2670),(3.1743798361 2846),(4.14766564764 3019),,
Point0,H5,(11.6897769946 88),(18.7774911092 398),(3.67092073107 530),(21.8087916014 766),,(3.73706635007 1038),,(22.9712740247 1287),,,,,,(22.4875058772 2379),(2.26756764949 2673),(3.17970480256 2848),(4.16709451097 3022),,
Point0,H6,(-1.06581410364e-14 180),(-1.06581410364e-14 360),(-3.5527136788e-15 549),(1.06581410364e-14 726),(7.1054273576e-15 900),(8.881784197e-15 1060),(1.7763568394e-15 1231),(-1.59872115546e-14 1408),(7.1054273576e-15 1588),(-5.3290705182e-15 1766),(-0.00142046791035 1944),(1.42108547152e-14 2132),(1.24344978758e-14 2321),(1.7763568394e-15 2504),(7.1054273576e-15 2690),(-0.00241496318576 2866),(-1.7763568394e-15 3046),(0.0 3236),
Point1,H1,(14.3420201563 54),(14.7519894026 230),(18.8757729578 427),(18.3185976651 590),(19.2067310705 762),(18.7076773752 951),(20.5606726592 1113),(23.3865229334 1261),(22.7122488626 1438),(22.0870681815 1644),(25.8502025397 1804),(26.5639858828 1981),(25.4996327213 2160),(24.7028195823 2348),(26.1577279563 2540),(25.2183022884 2719),(25.8794565005 2894),(23.746371362 3088),(22.1265864141 3266),
Point1,H2,(9.53104409422 79),(11.304994867 272),,,,(3.61847969553 1033),,(19.5426852279 1278),,,,(22.6110619401 1997),(23.8449085443 2171),(19.4289222196 2364),(20.5033308682 2558),(22.1613405314 2734),(21.6826606875 2910),,
Point1,H3,(9.62185593655 86),(11.3100366871 274),,,,(4.15898702912 1043),,(20.1893795685 1288),,,,(23.4647180882 2007),(25.4767265477 2184),(22.8034429215 2380),(21.3032026072 2568),(22.6170835593 2742),(22.7274598428 2921),,
Point1,H4,(5.11232897828 128),(8.881784197e-15 360),(2.86474439131 521),(3.64781982915 697),,(-7.1054273576e-15 1061),,,,(4.74310738422 1739),,,,(12.4533908409 2418),,(2.85745332888 2845),(4.6615775255 3018),,
