Cycle,0.717028985507
Average Width,2.60602201032
Width,,2.61801468943,2.57618875278,2.62828132553,2.68689659604,2.58099231126,2.61063631616,2.64322703611,2.61087162507,2.52904673401,2.58708877148,2.62197658872,2.76962262499,2.70312353714,2.63171418444,2.63579343506,2.51160121247,2.5441136497,2.65029748069,2.6276602427,2.65346474343,2.53401002643,2.49089186669,2.47578010519,2.63983622952
Point0,H1,(7.01543642756 28),(7.05923224015 183),(8.54181372124 347),(9.41111476538 519),(8.96729767644 683),(10.8424796907 844),(9.77354062052 1009),(8.53255280371 1166),(6.10705992159 1331),(6.10976601242 1467),(7.98681613386 1631),(9.48838997462 1802),(7.9438186853 1955),(6.83598920585 2095),(7.84119333096 2235),(7.03830581339 2362),(5.05678676244 2507),(6.9746389706 2654),(6.77340990017 2795),(8.18512451221 2940),(7.67402623877 3084),(6.24055899729 3214),(6.44645025865 3353),(7.68632753397 3483),
Point0,H2,,(3.48111716751 212),(6.13319746251 370),,,(7.78268243135 864),,(1.58310113515 1253),(4.21010237932 1351),,(5.83688954157 1674),,(4.66076037043 1989),(3.79010254117 2137),(3.07902385268 2269),(4.79153983383 2378),(3.9956170622 2524),,,(6.25661825555 2958),,(1.86625437255 3256),,
Point0,H3,,(3.89977411039 238),(6.86468414136 402),,,(7.89187647684 872),,(1.90214771405 1266),(5.34693814791 1367),,(5.93069855081 1683),,(5.15756233627 2004),(3.89143140295 2146),(3.11995243949 2274),(5.86523943545 2392),(4.39822761254 2539),,,(6.30052971476 2963),,(2.81209075315 3270),,
Point0,H4,,,,(1.66771182579 617),(0.369277325408 797),(2.5216289348 953),(2.62911813036 1086),(8.881784197e-16 1285),,,(1.97319089053 1734),(1.82632257665 1889),(2.14770225893 2043),,(0.887646896546 2308),,,(0.6790868502 2733),(0.405203656858 2873),(3.24818618442 2989),(0.642660050506 3161),(0.58020627051 3291),,
Point0,H5,,,,(1.684067927 622),(0.431236428286 803),(2.54863659356 959),(2.76401339809 1096),(5.81326283831 1313),,,(2.36161521327 1746),(2.40878838047 1905),(2.16735447696 2047),,(1.02249218456 2320),,,(0.854141951425 2745),(0.770040639963 2894),(3.29750354987 2995),(1.09327099131 3173),(0.896728488406 3302),,
Point0,H6,(8.881784197e-15 149),(-0.000697825107974 311),(4.4408920985e-15 483),(-1.7763568394e-15 647),(-0.000371918651966 814),(-5.3290705182e-15 980),(-4.4408920985e-16 1136),(8.881784197e-16 1285),(4.4408920985e-15 1439),(-0.00172681498059 1601),(8.881784197e-16 1766),(0.0 1925),(-1.33226762955e-15 2068),(-3.10862446895e-15 2196),(-1.7763568394e-15 2337),(-2.22044604925e-15 2477),(-4.4408920985e-15 2613),(-1.7763568394e-15 2766),(-2.22044604925e-15 2912),(-3.10862446895e-15 3057),(-0.00474672808651 3188),(-4.4408920985e-15 3317),(-8.881784197e-16 3449),
Point1,H1,(22.8028180617 26),(22.1500641135 183),(25.5783472254 345),(24.502283282 516),(24.8845108283 680),(26.6366924933 842),(24.5510937524 1009),(23.6265360828 1164),(22.171518217 1311),(24.5286907581 1466),(26.029437762 1628),(25.7016922689 1800),(23.6068189853 1953),(22.2289289907 2093),(22.4875517651 2232),(22.3068109715 2364),(22.4842719454 2506),(25.1366024059 2650),(23.8242414311 2794),(26.0956100892 2939),(23.4465156751 3083),(20.7145586453 3214),(22.2511618095 3349),(23.2750499585 3481),
Point1,H2,,,(14.5167050592 395),,,,,,,,(14.7403829316 1675),,(12.7251559315 1992),,,,,,,,(9.081224993 3130),(9.29579896198 3255),,
Point1,H3,,,(14.5665849255 400),,,,,,,,(14.8979328622 1681),,(12.9360271181 2000),,,,,,,,(9.32245866528 3137),(10.0437116587 3266),,
Point1,H4,(2.40570278758 119),,(5.03572671539 456),,(2.7176723299 794),,,(4.01964844155 1253),(11.8513049138 1353),,(4.95504434642 1736),(4.60725880369 1893),(4.96488012641 2041),(11.0087980865 2136),(3.64573585387 2312),(9.67015569382 2413),,,(2.00735908788 2888),(3.79662192139 3034),(2.89053815531 3161),(3.52962676817 3290),,
Point1,H5,(2.51868697823 126),,(5.33749378649 464),,(2.78047684922 799),,,(5.27999857803 1266),(12.1238578 1362),,(5.02559836987 1742),(5.47198078924 1905),(4.99578595 2045),(11.4633228939 2145),(3.7632483908 2319),(9.74749356178 2418),,,(2.13251397362 2896),(3.82418605395 3038),(3.57650945803 3170),(3.84708359223 3298),,
