Cycle,0.854928571429
Average Width,5.86616148864
Width,,6.34038271519,5.88792123397,5.66442548668,6.01032529182,5.62827721528,5.8239414866,5.60713856304,5.48812704638,5.5519825379,5.76430166605,5.48097764283,5.71558609529,5.74182496287,5.84075945069,5.68574099695,5.67511115763,5.80278219978,5.83144425709,5.73368646652,6.03094073988,5.73162671764,6.28265761537,6.2088903046,6.00608618225,5.93427518453,5.89047004975,5.69678644881,5.78784089096,5.94280764605,5.97827457585,5.80194710033,5.95680787089,5.87635574813,5.62799501112,5.4570608075,6.1244759619,5.74465208373,6.26609410031,6.26155772831,6.08223535414,6.13739559486,6.21191141163,6.53857519349
Point1,H5,,,(2.46864554705 513),(3.08913140564 688),(2.8617058952 841),(0.124782799698 1040),,(3.69644696705 1373),,,(3.01378696182 1891),,(9.00138183725 2195),(3.79510476167 2447),(2.86442900616 2622),,(2.34601239063 2990),(1.61631669825 3168),(2.52213213538 3344),,,(1.3408954056 3903),(2.67192739811 4064),(2.15968045559 4235),(1.47644623036 4414),,(3.49886771023 4768),,(2.62593396521 5121),(2.64835004676 5295),(2.95569826445 5471),(11.3703969611 5585),,(4.38918518698 5982),(0.469772552281 6160),(2.01183942559 6320),(1.50914518623 6497),(11.4259045203 6595),(22.5496509296 6877),(0.930118331292 7007),(9.5984342047 7107),,
Point1,H6,(-0.0135465474394 178),(-0.00861312117032 352),(-0.00274632465894 528),(3.90798504668e-14 705),(1.59872115546e-14 866),(1.7763568394e-14 1048),(1.42108547152e-14 1231),(1.7763568394e-15 1393),(-5.3290705182e-15 1568),(1.42108547152e-14 1750),(-7.1054273576e-15 1930),(2.84217094304e-14 2102),(-0.00337128108576 2283),(3.5527136788e-15 2465),(2.13162820728e-14 2639),(1.7763568394e-15 2817),(3.5527136788e-15 3006),(-1.24344978758e-14 3181),(-8.881784197e-15 3361),(-0.000702605685788 3536),(7.1054273576e-15 3726),(1.7763568394e-15 3917),(-7.9936057773e-15 4081),(-0.00145331597179 4257),(3.5527136788e-15 4435),(5.3290705182e-15 4605),(-7.1054273576e-15 4785),(-0.00252992349369 4961),(-2.30926389122e-14 5135),(-3.5527136788e-15 5312),(0.0 5489),(-0.00803260634724 5662),(-0.00653156403649 5826),(-1.7763568394e-14 6002),(-2.57571741713e-14 6170),(-2.30926389122e-14 6334),(7.1054273576e-15 6509),(1.59872115546e-14 6684),(5.3290705182e-15 6847),(-1.7763568394e-15 7020),(-7.1054273576e-15 7191),(-1.06581410364e-14 7358),
Point2,H1,(47.4126831617 43),(37.5945077122 220),(39.3323284825 396),(42.4977540581 569),(38.9094179483 748),(39.5758977513 906),(39.4497303135 1082),(37.7019191863 1259),(39.2930977167 1436),(42.9815930391 1610),(38.8408704879 1786),(38.0039329431 1962),(38.9672270928 2138),(38.3038603087 2316),(39.8026081944 2507),(37.0158478526 2667),(42.4243538864 2858),(37.2753018709 3036),(37.4728929496 3211),(40.647681553 3403),(36.5718836664 3578),(38.9248483584 3772),(35.6807384181 3947),(36.0085049034 4121),(39.1112549165 4298),(39.2323554338 4474),(36.2360553102 4653),(41.2317885084 4826),(41.3367778876 5002),(39.3647485065 5180),(41.9940397462 5355),(41.7660922367 5531),(37.9686821695 5693),(40.8321110893 5866),(39.9940578238 6043),(35.8738074274 6202),(37.8381885623 6364),(40.4607059431 6539),(38.6605658678 6715),(40.0793729221 6895),(35.5914372975 7051),(41.2621382241 7226),(36.3666780208 7406),
Point2,H2,,,,,,,(13.8193362055 1133),(35.8903044821 1269),,,,,(13.2691574498 2187),(37.0738698004 2326),,(35.0577955889 2680),(17.2743607398 2906),,,,,,(13.4524491854 3997),,(12.9042388207 4347),,(5.74054756815 4727),,,,,,(37.1565612263 5702),(14.9505547975 5914),(3.74036812699 6126),,,(37.8567586473 6551),,,(33.1535389352 7064),,
Point2,H3,,,,,,,(13.8693748082 1137),(36.8553487649 1278),,,,,(13.5179060833 2193),(37.5329970574 2333),,(35.114468883 2683),(17.4614255846 2913),,,,,,(13.5274029619 4001),,(13.0970389138 4353),,(6.12889879958 4737),,,,,,(37.2747027763 5707),(15.6368690241 5922),(3.76652053131 6129),,,(38.2188754398 6557),,,(33.2587962109 7068),,
Point2,H4,(4.65768044363 150),,(2.43682179116 498),(4.45022967739 676),(4.08064440644 836),(11.8054637213 955),(4.29944520177 1205),(5.96655591933 1363),,(14.1204743281 1660),(13.6615461012 1834),(15.0298802434 2013),(2.35691157361 2264),(4.80420027294 2434),(4.05977928518 2613),(3.04384652676 2788),(3.11849180888 2981),,(2.80750423903 3332),,(2.70177594164 3700),(1.77619160326 3894),(3.69741470921 4051),(2.34027917742 4224),(3.23351542535 4403),,(3.90099052263 4755),,(2.80471688068 5108),(3.6264852242 5283),(3.36615139015 5460),(3.34026616188 5638),,(4.86459313065 5971),(1.0394501793 6151),(2.85207703811 6308),(1.64150954722 6483),(15.7684198905 6588),,(1.6614722253 7001),(13.2680514408 7098),,
Point2,H5,(4.70056703196 155),,(4.17415475405 512),(5.56379977736 687),(4.22343848503 843),(11.9091943985 960),(4.70225112752 1213),(6.68356722334 1373),,(14.1948434352 1664),(13.9623061385 1841),(15.0690897615 2016),(2.38804560349 2268),(5.62580165988 2445),(4.34625771905 2621),(3.82465366325 2799),(3.59245642127 2990),,(3.71681505334 3343),,(3.39811603531 3711),(2.25184939485 3903),(4.46914791551 4062),(2.67894096088 4234),(3.24817810398 4407),,(4.78033163495 4766),,(4.16546981718 5120),(4.56307551036 5294),(3.93023854635 5470),(3.54448984628 5645),,(5.61359880588 5982),(1.37484589524 6159),(3.52297584802 6318),(2.90016026231 6496),(15.8709261665 6593),,(1.70520429714 7006),(13.8369648225 7106),,
Point2,H6,(-0.0357791814286 177),(7.1054273576e-15 351),(3.19744231092e-14 528),(3.90798504668e-14 704),(2.48689957516e-14 865),(2.13162820728e-14 1048),(1.06581410364e-14 1230),(1.42108547152e-14 1392),(1.7763568394e-15 1568),(2.13162820728e-14 1749),(3.01980662698e-14 1929),(1.59872115546e-14 2103),(0.0 2284),(-1.06581410364e-14 2464),(4.4408920985e-14 2637),(1.42108547152e-14 2816),(-1.7763568394e-14 3005),(1.59872115546e-14 3180),(-3.37507799486e-14 3360),(-3.5527136788e-14 3543),(-1.7763568394e-15 3726),(0.0 3916),(3.5527136788e-14 4080),(-1.42108547152e-14 4256),(-5.3290705182e-15 4433),(-3.5527136788e-15 4604),(-2.13162820728e-14 4784),(-4.61852778244e-14 4960),(-2.30926389122e-14 5135),(-7.1054273576e-15 5311),(0.0 5488),(5.3290705182e-15 5661),(2.30926389122e-14 5826),(3.19744231092e-14 6001),(5.3290705182e-15 6171),(0.0 6333),(-1.24344978758e-14 6509),(-1.06581410364e-14 6682),(1.7763568394e-14 6846),(-1.42108547152e-14 7019),(0.0 7191),(-1.95399252334e-14 7357),
Point3,H1,(53.7038290843 43),(43.3179834134 220),(43.9028931056 396),(49.0301994347 570),(45.0821608768 748),(45.9069904114 907),(43.3686125724 1082),(41.6672886617 1259),(41.4180456298 1435),(46.5692286585 1610),(41.3109544228 1786),(42.4411240352 1962),(43.5556836152 2138),(42.4508503215 2316),(43.898813545 2507),(40.6487087866 2667),(46.031701625 2857),(41.6768774138 3036),(40.9357352496 3211),(45.0890006844 3402),(40.7250353004 3578),(45.5434341643 3772),(43.6389629186 3947),(41.1360587171 4120),(43.3715743255 4298),(42.1499331532 4473),(36.643178569 4654),(42.7861980843 4826),(43.9084892366 5002),(42.6829759518 5180),(43.0557986466 5354),(43.2520806976 5531),(39.8983298953 5693),(41.4580429567 5866),(39.7271772899 6043),(40.4858713236 6202),(40.167134271 6364),(44.5005717298 6539),(44.7429647894 6714),(44.5689474049 6894),(40.6595656633 7050),(45.633274511 7226),(40.5229090051 7406),
Point3,H2,,,,,,,,(39.4979869116 1270),,,,,(15.8219283811 2188),(40.8922274777 2327),,,(19.4848429742 2904),(40.1591473153 3047),,,,,(17.4926112726 3996),,,,(6.20743160697 4730),,(17.5828726048 5052),,,,(38.9237032967 5702),(16.4296990868 5914),,(16.4446070444 6252),(38.6717241859 6374),,,,(38.0655578057 7064),,
Point3,H3,,,,,,,,(40.2870810465 1278),,,,,(15.9030904003 2192),(41.083516465 2332),,,(20.4272206262 2914),(40.2307246464 3051),,,,,(17.7212605126 4003),,,,(6.2646695563 4735),,(17.6099232614 5055),,,,(39.1569743298 5708),(16.8475439275 5922),,(16.5720301028 6257),(39.1853727669 6382),,,,(38.2160198761 7069),,
Point3,H4,(6.52853054926 147),(4.90760056619 325),(3.13757803528 498),(6.02896293588 676),(4.80718066986 834),,,(5.87881742557 1364),,(16.4807006813 1660),(16.2756329521 1834),(17.4439241713 2013),(1.84319755535 2261),(4.97497956989 2436),(3.770140891 2613),,(3.11869418813 2983),(2.80438535906 3157),,,,,(5.44188414141 4051),(3.2135925103 4224),,,(3.55849078379 4755),,(4.42914324118 5107),(3.61430940868 5282),(4.72988139663 5462),(3.51062894824 5639),,(3.56903553317 5971),(5.36918317026 6131),(5.61836264665 6307),(2.16807696923 6490),,,,,,
Point3,H5,(6.86456817823 155),(5.40920587022 334),(4.76934892332 511),(6.72529597864 686),(5.39067946529 844),,,(6.40400035495 1373),,(16.4971653102 1663),(16.6101845068 1841),(17.4481128219 2015),(2.49829995292 2271),(5.60336332451 2445),(4.49729439599 2622),,(3.27109800563 2990),(3.07051053227 3165),,,,,(5.76755850203 4059),(3.59817964335 4234),,,(4.74960674331 4767),,(5.57272434705 5118),(5.20065220733 5295),(4.78989849319 5467),(3.70685353845 5646),,(4.67945977148 5983),(5.40893155478 6135),(5.7348943459 6313),(2.18760701009 6493),,,,,,
Point3,H6,(-5.68434188608e-14 177),(-1.24344978758e-14 351),(1.42108547152e-14 527),(1.7763568394e-14 703),(7.1054273576e-15 865),(2.13162820728e-14 1047),(3.5527136788e-15 1230),(-2.84217094304e-14 1392),(-1.06581410364e-14 1569),(-0.00325806877722 1747),(3.5527136788e-14 1929),(2.6645352591e-14 2104),(2.48689957516e-14 2284),(-1.06581410364e-14 2463),(4.26325641456e-14 2638),(-0.00203485359587 2815),(0.0 3005),(-4.26325641456e-14 3180),(-5.3290705182e-14 3360),(-2.30926389122e-14 3543),(-2.13162820728e-14 3726),(-2.48689957516e-14 3916),(-1.7763568394e-14 4079),(-1.42108547152e-14 4257),(-5.68434188608e-14 4432),(-4.97379915032e-14 4605),(-1.7763568394e-15 4783),(-0.00863885114144 4959),(6.75015598972e-14 5135),(4.26325641456e-14 5312),(7.1054273576e-15 5488),(3.5527136788e-15 5661),(5.3290705182e-14 5825),(6.39488462184e-14 6000),(5.86197757002e-14 6169),(5.3290705182e-14 6333),(1.7763568394e-14 6507),(2.48689957516e-14 6682),(-1.06581410364e-14 6847),(1.42108547152e-14 7015),(1.7763568394e-14 7189),(1.7763568394e-14 7357),
Point4,H1,(38.4521877589 44),(28.7376021566 225),(28.9099443529 398),(33.1010959691 569),(29.102373987 750),(30.7257730473 908),(27.3911288759 1082),(26.1909452433 1259),(26.1050462502 1437),(30.9930924528 1609),(25.8535011956 1787),(27.4823377125 1962),(29.1155212419 2138),(29.3778965486 2337),(29.0442987758 2508),(27.0213257189 2667),(31.6827072069 2858),(28.4365011486 3036),(27.270309744 3212),(32.1744338667 3402),(28.014398369 3578),(33.4567817736 3773),(32.2283804611 3948),(29.5550273385 4120),(30.601823044 4298),(29.3053189033 4474),(24.8088121488 4658),(28.8944175196 4826),(30.8074241327 5002),(29.9257099954 5181),(29.353317261 5354),(29.7178180832 5533),(27.9371423566 5713),(27.2252558593 5866),(25.6620364238 6043),(28.3960861076 6202),(27.1678505615 6365),(32.0450698002 6541),(32.6160036653 6738),(33.5638241828 6897),(28.9781433225 7051),(33.6796685827 7227),(31.5605080851 7411),
Point4,H2,,,,,,,,(24.1963059572 1271),,,(23.561330974 1803),(24.5242161341 1976),,,,(24.8171211557 2680),(18.2772628592 2903),(26.8389818218 3048),(25.9486216919 3222),,(25.4543690112 3592),,(30.0668578475 3961),,,(26.4251830035 4490),(4.73956787021 4730),,,,,(2.65773351797 5641),,,,(25.4618602787 6218),(26.2040230449 6375),(30.3478071647 6554),,,(27.6098508193 7062),,
Point4,H3,,,,,,,,(25.5081941083 1282),,,(23.5882927765 1806),(25.3582259574 1986),,,,(25.2989738459 2688),(19.4585625767 2915),(27.1247843747 3055),(27.0812217053 3233),,(25.9949681116 3601),,(30.2869811397 3967),,,(26.5138418844 4495),(4.95148128012 4738),,,,,(2.78397807294 5647),,,,(25.6243232898 6224),(27.1176083412 6386),(30.4673373403 6559),,,(28.7692162853 7074),,
Point4,H4,,,(1.76593231983 499),(4.94476527454 677),(4.41247326165 836),(12.438229246 958),,(4.43343191731 1366),,,(15.1736409603 1835),,,(4.11265128897 2439),(3.87624013843 2615),(3.04027788332 2790),(2.75038615848 2984),(2.04736179348 3161),,,(2.48605279648 3702),,(4.88558594086 4055),(2.99751047454 4224),,(1.7763568394e-14 4605),(2.87655533961 4756),,(2.90712556468 5110),(2.68079485882 5283),,(-1.59872115546e-14 5662),,,(5.27319759374 6131),,,(-2.84217094304e-14 6683),(6.42610850738 6822),,,,
Point4,H5,,,(2.98273337256 512),(5.51603883629 687),(4.63610885133 844),(12.443998033 961),,(4.49175950596 1371),,,(15.3129051637 1841),,,(4.1817102815 2445),(4.07357197536 2622),(3.13690559747 2797),(2.88746165804 2990),(2.06384636624 3165),,,(3.06008585203 3712),,(4.90240632876 4058),(3.47860147221 4236),,(23.5725650704 4638),(3.70569150429 4768),,(3.36208187411 5119),(3.56064566383 5295),,(27.7546697023 5693),,,(5.68689058427 6142),,,(32.5752841245 6715),(6.64100973677 6829),,,,
Point4,H6,(-0.0270502945705 179),(2.13162820728e-14 352),(2.13162820728e-14 528),(1.95399252334e-14 705),(4.79616346638e-14 866),(1.95399252334e-14 1048),(-1.7763568394e-15 1231),(3.5527136788e-15 1393),(1.24344978758e-14 1571),(-0.00277960626705 1749),(1.42108547152e-14 1930),(5.3290705182e-15 2104),(-5.3290705182e-15 2285),(1.42108547152e-14 2464),(1.59872115546e-14 2639),(0.0 2817),(-1.7763568394e-15 3006),(5.3290705182e-15 3181),(-1.7763568394e-15 3360),(2.13162820728e-14 3543),(3.5527136788e-15 3727),(-5.3290705182e-15 3917),(-3.5527136788e-15 4080),(-3.5527136788e-15 4259),(-2.13162820728e-14 4434),(1.7763568394e-14 4605),(-1.7763568394e-14 4785),(-0.00408996853377 4956),(-2.13162820728e-14 5135),(-0.0113623824356 5312),(-1.59872115546e-14 5488),(-1.59872115546e-14 5662),(0.0 5825),(2.13162820728e-14 6001),(-3.19744231092e-14 6170),(-0.00450159635558 6335),(-0.00261324920941 6506),(-2.84217094304e-14 6683),(2.30926389122e-14 6848),(1.7763568394e-14 7015),(-0.0134896137899 7191),(-0.0116294532526 7358),
