Cycle,0.616794871795
Average Width,6.27244920442
Width,,4.50503610881,4.76943349449,5.44854371961,5.05724482133,5.60538693178,5.66617194953,5.77443531564,5.35894879123,6.02284815363,10.4933998578,5.74546927857,5.82659138104,6.11072930864,10.472205112,5.53819751074,6.90174126237,10.7300675599,5.22658768611,6.43353227548,6.28720995363,8.46832823845,25.2758683624,6.29891467763,0,9.46219689104,14.8644834916,7.87338916657
Point0,H1,(8.72060269498 34),(9.44676826644 156),(8.47058513457 288),(9.99522188663 419),(8.90602506699 553),(7.88651633045 684),(9.46276536597 820),(8.65476111916 954),(8.37088689632 1094),(7.9062191517 1234),(6.87115437728 1363),(6.72617406071 1492),(6.70738321819 1621),(6.9284770101 1757),(5.85216347219 1887),(7.91474819036 2014),(7.18989751684 2142),(8.68087001473 2270),(6.60604934895 2391),(6.3626969712 2511),(5.98840901047 2628),(5.22052500227 2748),(4.26435133568 2862),(6.7808498986 2992),(6.07872240561 3114),(4.64680964732 3241),(6.76889893939 3367),
Point0,H2,(5.44697653971 60),,,(6.32329297729 444),,(2.80835235652 709),,(5.93835928392 989),,,(4.0344176494 1387),(3.0259628107 1527),,,,,,(5.54971890556 2293),,(3.25893544319 2531),,,,(2.66333686302 3017),,,,
Point0,H3,(5.57113167488 69),,,(6.43807587767 452),,(3.69354426363 723),,(6.02342489019 996),,,(4.96520383943 1406),(3.54239534241 1544),,,,,,(5.81289360738 2304),,(3.76595276676 2543),,,,(3.59696915154 3034),,,,
Point0,H4,,(4.65242110726 189),(3.7680224417 318),,(5.91584070082 584),(0.692819434966 753),(5.99152061224 844),(2.91127124341 1038),,,(1.7763568394e-15 1441),(1.09664177239 1571),(4.74449815648 1652),(2.74117523312 1785),(2.33747328813 1912),(3.74449860362 2039),(3.2075197588 2170),,(3.02685494027 2426),,,(2.56362505699 2771),(-0.00434789694349 2895),(1.03534459359 3058),(3.03866358212 3141),(2.10014724553 3263),,
Point0,H5,,(4.74474847385 198),(4.08238618659 331),,(5.99479442203 592),(1.13485500992 769),(6.96275841929 862),(2.93775655242 1043),,,(0.422981460211 1454),(1.12580620439 1577),(4.86192835049 1665),(3.31690164313 1801),(3.76277025877 1933),(4.72254895112 2056),(4.47720600555 2188),,(3.04535667847 2431),,,(3.32139392632 2788),(1.73215881207 2927),(1.33382024801 3068),(4.20840876275 3161),(4.0759023703 3284),,
Point0,H6,(3.5527136788e-15 123),(8.881784197e-16 254),(7.54951656745e-15 387),(6.2172489379e-15 520),(1.1990408666e-14 651),(-0.00677653658938 788),(2.6645352591e-15 924),(-1.7763568394e-15 1067),(-3.5527136788e-15 1204),(4.4408920985e-16 1311),(1.7763568394e-15 1441),(1.7763568394e-15 1594),(-0.000581694840135 1723),(2.6645352591e-15 1857),(1.7763568394e-15 1980),(8.881784197e-16 2101),(-0.0011801326079 2236),(4.4408920985e-15 2364),(3.99680288865e-15 2480),(6.66133814775e-15 2602),(5.77315972805e-15 2714),(-0.00330752320151 2831),(-0.00434789694349 2895),(-0.0130220104846 2962),(8.881784197e-16 3084),(5.77315972805e-15 3213),(6.66133814775e-15 3334),
Point1,H1,(10.0518594569 32),(11.0375888916 156),(9.38532853038 286),(11.4888777487 416),(10.1522873504 549),(9.00161345681 682),(11.3992083969 816),(11.2195052091 949),(10.9334849037 1091),(9.96736252492 1232),(9.08444462302 1362),(9.21244025117 1490),(9.29490404686 1619),(8.27880980282 1753),(8.08257312229 1885),(9.34205250749 2012),(8.63674010846 2140),(11.0921105463 2267),(8.21697067223 2390),(8.96294100117 2510),(8.181173507 2626),(7.17657313396 2745),(6.86900024191 2862),(8.0507283542 2990),(8.23680464255 3113),(7.08527259144 3238),(8.76182206976 3362),
Point1,H2,,,,(6.00186150846 441),,(3.3634187135 708),(6.5552806623 840),(5.93864001621 987),,(4.52472202024 1258),(3.80022828389 1388),(3.88145831088 1529),(4.72869359291 1658),,,,,,,,,,,(2.3209342561 3015),,,
Point1,H3,,,,(6.68203254287 456),,(4.23699488411 723),(7.14722787078 855),(6.50907957425 1000),,(5.17046417026 1273),(5.64167070625 1407),(4.40790350846 1544),(5.20971682671 1670),,,,,,,,,,,(4.15364868109 3034),,,
Point1,H4,(5.05831785617 57),(4.61468132376 184),(4.3100581256 315),(1.54627617947 495),(5.51592457138 582),(0.896954382112 753),(3.3954252728 897),(2.94831387903 1037),(6.36753412847 1132),(-0.00194333177691 1310),(0.200994356394 1438),(1.3887021031 1568),(0.556008684422 1696),(3.00209917532 1781),(3.36530899904 1910),(3.56406199726 2035),(3.11316990683 2167),(5.96377856682 2294),(2.95649937283 2419),(3.39934677324 2533),(3.57257582772 2662),(2.74969991563 2770),(1.64541187683 2891),(1.00563429198 3057),(3.70336126255 3141),,
Point1,H5,(5.81060310929 73),(5.17752415711 198),(4.9470687146 329),(1.64503881702 503),(5.75065547367 593),(1.14897426658 766),(3.41604698613 901),(2.98822416299 1043),(6.49057336813 1140),(0.777183374265 1324),(0.753841012018 1451),(1.67491722582 1577),(1.3635366184 1708),(4.30608350309 1799),(4.62017929851 1929),(5.53147673519 2054),(5.45117387599 2187),(6.63128821179 2309),(3.81229855343 2435),(4.45469651539 2551),(3.59699388577 2668),(3.90540218573 2786),(3.13701478626 2911),(1.32072888459 3067),(5.42953511669 3162),,
Point1,H6,(-9.7699626167e-15 122),(-8.881784197e-16 252),(4.4408920985e-15 383),(3.5527136788e-15 520),(-3.5527136788e-15 650),(-4.4408920985e-15 786),(-6.2172489379e-15 922),(0.0 1065),(6.2172489379e-15 1201),(-0.00194333177691 1310),(2.6645352591e-15 1463),(0.0 1593),(3.99680288865e-15 1723),(2.6645352591e-15 1851),(3.99680288865e-15 1979),(8.881784197e-16 2100),(-3.5527136788e-15 2234),(-3.5527136788e-15 2362),(-3.5527136788e-15 2477),(-0.000794885097768 2600),(2.22044604925e-15 2712),(2.6645352591e-15 2829),(5.77315972805e-15 2958),(2.6645352591e-15 3083),(2.22044604925e-15 3211),(0.0 3333),
Point2,H1,(7.39929174006 28),(8.74099941441 153),(7.76427160495 282),(9.38480216836 412),(8.81355060527 547),(7.87370017524 679),(10.5869365839 814),(10.6165514116 947),(11.0077852042 1088),(11.1879744821 1228),(9.03357645025 1358),(9.43261593732 1487),(9.77190413362 1616),(8.96786825188 1749),(8.1275843169 1881),(9.17927425602 2009),(9.41859165956 2136),(10.2282037023 2263),(8.20186218357 2387),(9.61230300516 2506),(9.31544955589 2622),(8.9340510673 2743),(7.8815192736 2859),(9.39087777799 2985),(9.51024047023 3110),(9.07134894317 3235),(9.52444999177 3358),
Point2,H2,,,,,(4.74384790749 576),(2.66266628045 707),,,,,(4.7040799148 1383),(4.23730940313 1528),(5.19417751785 1650),,,,,,,(3.80606173059 2528),,,,(4.07342215506 3011),(4.04729182459 3135),,
Point2,H3,,,,,(5.17912507726 589),(3.32569596222 721),,,,,(5.9177578022 1400),(4.54618987029 1540),(5.47404376997 1663),,,,,,,(4.8639663893 2544),,,,(4.9700451596 3027),(5.62640440613 3154),,
Point2,H4,(3.77156980542 54),(3.5344926063 183),(3.46696761544 313),(5.43486038189 436),(0.721539709255 623),(0.398924196414 756),,(5.51382762421 984),,(5.37495870957 1254),(0.121700854745 1435),(1.22281045718 1566),(1.42432890509 1694),(3.51476713369 1777),(2.84240902941 1905),(3.75749558169 2033),(3.54547181221 2161),(5.60829484807 2290),(3.31874252626 2416),(1.23454232322 2577),(3.92437606124 2659),(3.37327570494 2770),(2.26768429365 2886),(1.58861979117 3056),(2.34060002284 3181),,
Point2,H5,(3.91831225456 64),(4.15788735548 197),(3.57375637281 323),(6.09072805173 452),(0.764356379368 630),(0.533606003055 766),,(5.9256732155 996),,(6.16553526644 1269),(0.540977412109 1447),(1.31943425969 1572),(1.48034583702 1700),(4.90893539163 1796),(4.95119181288 1926),(5.32437381692 2051),(5.44878266205 2181),(6.5574286832 2307),(3.95550786988 2431),(1.25204348553 2580),(4.04357636333 2668),(4.29302641076 2790),(4.30141115347 2905),(1.60674070089 3060),(2.42849072049 3188),,
