Cycle,0.977960526316
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.28663423745 69),(5.75337272863 276),(5.64320171913 488),(7.45903588415 694),(7.13092991648 900),(6.27251458659 1108),(7.07942511071 1315),(6.49538857552 1514),(5.71126434606 1717),(6.46761191235 1909),(6.40855960948 2126),(5.5378446281 2312),(6.81405325535 2519),(6.67489054628 2739),(6.01159088428 2951),(7.11682611461 3170),(8.05067340838 3351),(6.45362182138 3559),(7.10507390856 3780),(6.14811325486 3973),
Point0,H2,,,(1.84317101256 528),,,(2.51158326469 1188),,,,(5.39493734106 1923),,,(3.41963821707 2564),(2.19723650193 2805),(0.49180787025 3069),,,,(3.63806379233 3835),,
Point0,H3,,,(3.17972128676 548),,,(2.55262560192 1195),,,,(5.76795183161 1934),,,(3.72955535026 2578),(2.38607909482 2821),(1.42212616094 3090),,,,(3.74323703556 3847),,
Point0,H4,,(0.136352782566 408),(1.88955581331 589),,,(1.56886588967 1219),,,(3.1564289836 1763),(3.09507658682 1956),,,(3.37660587682 2596),(1.89307370224 2855),(-3.10862446895e-15 3112),,,,(2.61889253692 3874),,
Point0,H5,,(0.871324892298 431),(1.89515089257 595),,,(1.72605532491 1230),,,(3.58146731302 1777),(4.0602859736 1973),,,(3.56321180676 2611),(1.90163767142 2862),(7.06061661335 3142),,,,(2.98724764559 3890),,
Point0,H6,(-1.33226762955e-15 241),(-2.22044604925e-16 451),(1.84317101256 528),(-2.6645352591e-15 659),(-8.881784197e-16 870),(3.99680288865e-15 1071),(2.6645352591e-15 1277),(1.02140518266e-14 1484),(7.1054273576e-15 1679),(-4.4408920985e-16 1880),(-0.00159797428745 2076),(-4.4408920985e-16 2273),(-0.0177719809482 2474),(1.7763568394e-15 2690),(-3.99680288865e-15 2896),(-3.10862446895e-15 3112),(-8.881784197e-16 3325),(1.33226762955e-15 3532),(-2.6645352591e-15 3743),(-1.33226762955e-15 3948),
Point1,H1,(6.32037948185 74),(4.38161983761 281),(4.37339807128 495),(5.56364885664 701),(5.90586576144 906),(4.95975419607 1115),(5.44407546541 1322),(4.97361325468 1569),(4.78229357986 1723),(5.46216752636 1943),(4.81919926417 2130),(4.72020664841 2343),(6.05344811877 2524),(5.3823900122 2737),(6.1311120024 2979),(6.91518468203 3177),(6.65946513009 3360),(6.23139873961 3591),(6.06649740966 3782),(5.29201157014 4003),
Point1,H2,,(3.38124440582 299),,(5.28182609445 714),(4.9971935456 920),,,(4.15605034962 1590),,,(4.30668610815 2156),(4.3842531759 2357),,,(-0.131319007131 3077),,,(4.64174578801 3623),,,
Point1,H3,,(3.50924968819 308),,(5.35889884403 724),(5.66576656752 936),,,(4.27029713664 1599),,,(4.30745655716 2159),(4.58951573332 2369),,,(0.738569563585 3100),,,(4.78373098495 3635),,,
Point1,H4,,(0.132052570624 410),,(4.90834136385 743),(5.11148133867 952),,,(0.252796549555 1656),,(4.71820571547 1959),(4.4408920985e-16 2279),(2.84737101641 2394),(3.27412518468 2615),(2.54086272136 2813),(-0.00243127603774 3118),,,(1.55583027202 3710),,,
Point1,H5,,(0.526310607098 435),,(5.02857553879 754),(5.14764266953 959),,,(0.439827170507 1669),,(5.11729269462 1973),(4.58273185094 2316),(2.96891989465 2404),(3.54332326747 2630),(2.54466982673 2818),(5.85359378937 3150),,,(1.92345790637 3726),,,
