Cycle,0.817857142857
Average Width,5.87897453797
Width,,6.51588072001,5.88771192663,6.03423967748,6.23677740291,6.11501393506,6.39022583483,5.94791326286,5.88261278421,6.59456536726,6.11380653104,5.92978490496,5.86277920387,5.99658176278,5.83250999648,5.34077564477,5.33330843302,6.03713706889,5.89513100258,5.98728151318,5.95219321699,6.28156741705,5.37192943538,5.54580439358,5.76055378648,5.50101359697,5.4769556052,5.75953529039,5.62772511063,6.46654391338
Point1,H6,(-0.178213724937 162),(-0.0370750089113 228),(-0.0300722271046 322),(-8.881784197e-16 492),(-2.39808173319e-14 665),(-0.000165229215566 782),(1.10147918161 939),(-8.881784197e-15 999),(-0.0131123390724 1124),(-0.00356864368722 1184),(-0.0224539594245 1303),(4.4408920985e-15 1364),(-0.0100663567094 1425),(-8.43769498715e-15 1480),(8.881784197e-15 1538),(-1.24344978758e-14 1713),(-2.22044604925e-14 1882),(-0.0145323770538 2037),(-0.0332647232621 2185),(-1.24344978758e-14 2374),(-2.39808173319e-14 2545),(8.881784197e-16 2716),(-6.2172489379e-15 2885),(-6.2172489379e-15 3058),(-9.7699626167e-15 3218),(-0.0209504598376 3346),(-1.95399252334e-14 3551),(-3.19744231092e-14 3728),(-1.42108547152e-14 3893),(-6.2172489379e-15 4067),(2.6645352591e-14 4237),(-0.00403572292346 4358),(-8.881784197e-16 4509),(3.5527136788e-15 4718),
Point2,H1,(29.9434048988 35),(16.9889979345 191),(18.5129847877 358),(20.8152998514 522),(19.4988734518 696),(20.8054037201 859),(20.1862414333 1032),(21.1446053479 1211),(17.7194106995 1395),(20.9582136006 1567),(21.6960977251 1740),(18.6463464512 1912),(18.7299064601 2071),(20.1642569878 2235),(21.4791217576 2409),(18.4613093491 2578),(21.2019351228 2746),(23.1791131756 2920),(22.3846359173 3092),(20.8281262931 3247),(24.0685956077 3410),(25.4423922958 3580),(25.1078497708 3757),(24.3597947603 3928),(20.8285554524 4093),(22.3570304022 4266),(19.566234147 4425),(22.1322586642 4586),(21.5266421318 4747),
Point2,H2,(20.3459901918 62),,(5.22386777137 392),(6.60494959263 553),(2.33627941402 725),,,,,,(4.88805800409 1777),(3.705056947 1941),(3.80049171834 2102),,(7.75447960046 2437),(4.14891005822 2609),(5.38043475841 2784),,(8.36830317348 3123),(3.73248924602 3285),(9.52650791254 3445),,(10.4360001906 3796),,(5.58196656266 4129),(5.88930065654 4304),,(9.30137591561 4614),,
Point2,H3,(22.3647868654 78),,(6.83531443686 408),(7.52480151786 574),(4.30102555935 751),,,,,,(7.53154539003 1797),(6.8217524316 1963),(5.93700785991 2122),,(9.53305558628 2465),(7.48768826228 2630),(7.76965995266 2804),,(10.2873529464 3143),(6.33189940104 3303),(12.2089522812 3462),,(12.4990823563 3813),,(9.118986618 4151),(7.99152068517 4324),,(10.8103746543 4642),,
Point2,H4,(14.7970489066 114),,(1.5563342821 451),(1.21297623386 619),(-2.6645352591e-15 783),,,,,,(1.49214085946 1838),(1.50990331349e-14 2005),(-0.0238042029585 2165),(7.33035733882 2266),(2.74698377663 2512),(1.43347914168 2669),(2.21807258342 2838),,(2.25757086337 3186),(-1.95399252334e-14 3347),(3.83029425868 3501),,(2.58255274388 3858),,(1.61657841423 4190),(-0.188021185532 4381),,(1.80842472097 4697),,
Point2,H5,(14.8051107821 116),,(2.03078402468 465),(4.32894970498 642),(1.9122710229 817),,,,,,(2.62154548711 1857),(1.89372279952 2022),(0.403980658375 2188),(10.5032449314 2291),(3.64119823986 2528),(1.93497679217 2685),(3.73626292582 2863),,(4.04202686694 3203),(3.28354815015 3365),(4.39388916947 3515),,(3.83379521559 3874),,(2.9211393072 4209),(-0.165003707543 4386),,(1.86872382763 4703),,
Point2,H6,(-0.174640897682 163),(-0.0555721175886 229),(-0.00758254432231 323),(-8.881784197e-15 492),(1.68753899743e-14 665),(-2.6645352591e-15 783),(-0.0122060643107 1000),(-0.000787156199285 1119),(-7.9936057773e-15 1185),(-0.0227382884504 1365),(1.42108547152e-14 1425),(-0.0135898308566 1479),(-2.39808173319e-14 1539),(-6.2172489379e-15 1714),(-0.0120865924232 1882),(1.50990331349e-14 2005),(-0.0238042029585 2165),(3.5527136788e-15 2376),(5.3290705182e-15 2547),(7.9936057773e-15 2716),(-7.1054273576e-15 2886),(-3.5527136788e-15 3060),(-3.10862446895e-14 3219),(-1.95399252334e-14 3347),(-1.59872115546e-14 3552),(-8.881784197e-15 3729),(3.5527136788e-15 3894),(-3.5527136788e-15 4067),(9.7699626167e-15 4238),(-0.330092520875 4394),(-0.450063158188 4511),(-1.7763568394e-15 4719),
Point3,H1,(23.5919030105 37),(12.3069965843 192),(15.3660454486 359),(17.7552255572 522),(16.9658299866 696),(19.1923650323 859),(17.6281794077 1032),(18.2470528857 1211),(15.6539802943 1396),(18.3794699414 1567),(19.2903995033 1741),(15.477586413 1913),(15.2464637223 2072),(16.5215782883 2236),(15.8881556037 2409),(14.1723056059 2579),(17.6034797296 2747),(18.4176881587 2921),(18.0748909783 3093),(16.792175244 3248),(19.7209110969 3411),(18.7211649822 3581),(18.5714884881 3757),(18.800057389 3929),(15.5905601749 4094),(16.7458002567 4266),(15.4748846704 4425),(17.3936614181 4586),(18.4453833918 4798),
Point3,H2,(15.9281218426 60),,(4.01111091844 394),(6.28716459097 554),(1.77424669012 726),,,,,(7.10688836413 1601),(4.76524274815 1777),(3.51970775463 1942),(3.24468782788 2103),,(5.85246147669 2440),(3.52398486362 2609),(4.31850092823 2786),,(7.94527635173 3124),(2.54980351839 3286),(8.71908715595 3446),,(8.4672167457 3797),(7.85598160211 3960),(4.18345124038 4128),(4.60696318496 4305),(2.24453559288 4456),,,
Point3,H3,(18.4516741073 78),,(5.00000332569 409),(6.94994637511 571),(3.67939013595 751),,,,,(9.43875607158 1621),(7.04051386682 1797),(5.56003643796 1964),(5.35860548798 2124),,(7.88264706037 2467),(6.71032628086 2630),(6.71864544508 2805),,(9.00234415591 3141),(4.39566983924 3304),(10.6374944677 3463),,(10.6148814733 3814),(8.72290217576 3979),(6.96972234552 4150),(6.45682456971 4324),(5.31023101722 4483),,,
Point3,H4,(12.3428989309 110),,(1.52388004911 449),(1.44105585507 619),(-1.99840144433e-14 782),,,,,(3.81055881743 1658),(2.06060693752 1838),(-0.00147745578652 2006),(0.0680888430888 2164),(6.36717092297 2267),(2.22032501742 2510),(1.81142544293 2669),(1.85278336387 2834),,(1.92824459223 3187),(-8.881784197e-15 3348),(2.89822764159 3501),,(1.67214960973 3857),(2.46040654511 4037),(1.36487235209 4189),(-0.0046631617275 4379),(-0.309960235961 4509),,,
Point3,H5,(12.622513156 119),,(1.86791852282 462),(4.13243651107 640),(1.64699002948 819),,,,,(4.94155333574 1675),(2.90249135666 1855),(1.59387544194 2022),(0.632554465708 2184),(9.23321831646 2290),(2.91220304562 2527),(1.98968345165 2681),(3.18669002311 2862),,(3.32535578235 3203),(2.86870095008 3366),(3.53869406576 3516),,(3.05655050552 3875),(3.41970300083 4050),(2.55426711707 4210),(0.0782064123614 4388),(1.33346740701 4528),,,
Point3,H6,(-0.0877180250334 163),(-0.0533810573715 230),(-3.99680288865e-15 324),(-1.7763568394e-15 493),(-1.7763568394e-14 666),(-1.99840144433e-14 782),(5.3290705182e-15 1000),(3.06421554797e-14 1125),(1.15463194561e-14 1185),(-0.0266717818374 1366),(6.66133814775e-15 1426),(2.6645352591e-15 1539),(5.3290705182e-15 1714),(-0.0100155201956 1883),(-0.170369325442 2038),(-0.0161600813705 2203),(8.881784197e-15 2377),(-8.881784197e-15 2547),(0.0 2717),(4.4408920985e-15 2886),(-6.2172489379e-15 3061),(-1.7763568394e-15 3219),(-8.881784197e-15 3348),(-2.39808173319e-14 3552),(-2.75335310107e-14 3729),(-1.68753899743e-14 3895),(0.0 4067),(3.01980662698e-14 4239),(-0.0164843574964 4394),(-0.309960235961 4509),(-2.30926389122e-14 4720),
