Cycle,0.750138461538
Average Width,6.38362012813
Width,,6.74842687227,6.17956351044,6.66587502577,6.34016239291,7.03315920875,7.38847396102,6.06379446449,6.32616110896,7.39018515737,6.97080046208,5.89074148691,5.80238113388,6.98668274847,6.39312418315,6.56692107743,6.50353081927,6.73356120052,6.47490135063,6.2072804488,5.62628916802,6.36598104794,5.8815482632,5.94972370775,7.34359143983,6.23707411718,5.54744283239
Point0,H1,(4.9987554847 25),(6.45751838567 175),(6.96075744491 339),(6.90627766293 488),(9.89835917134 635),(11.0371847258 791),(7.2477025908 942),(7.08351770837 1096),(9.88573990983 1240),(9.56168676598 1400),(6.45646161518 1553),(5.35769695332 1706),(9.45023079572 1883),(6.44739086288 2037),(7.14228968646 2198),(8.11628431888 2355),(8.8805747332 2504),(6.35423441605 2700),(6.7846865572 2817),(4.51306034812 2896),(6.95036714236 2982),(6.27714832107 3150),(5.78260197923 3316),(8.26119838005 3477),(6.27095620012 3638),(4.22708258584 3798),(6.34411423444 3959),
Point0,H2,,,(4.06419677227 369),(3.02794766027 516),,,(3.89654903514 981),(5.62294536052 1118),,(6.43169038986 1424),(6.31176411031 1570),(0.547029078024 1780),,(3.5756710285 2061),(4.37006136897 2223),,,,,,(5.33635012982 3013),(3.17240840167 3183),(3.94750459529 3338),(5.64687835887 3507),,,
Point0,H3,,,(5.0816876198 385),(4.30217140734 533),,,(4.02716802964 990),(6.1341393956 1134),,(7.88792993464 1447),(6.31195859664 1571),(0.904711644357 1793),,(4.85855136653 2081),(4.89254674195 2240),,,,,,(5.38261101233 3021),(3.52215400277 3198),(4.19896227203 3350),(5.96375410919 3526),,,
Point0,H4,(-0.0146660574657 64),(2.17647225587 202),(2.22109701658 409),(0.190246039574 581),(3.37438625358 672),,(-0.00438285805644 1024),(3.31770775666 1164),(-3.5527136788e-15 1348),(2.90041267036 1475),(0.744224235939 1646),(0.368233286639 1808),(5.42985476315 1941),(1.87941863488 2113),(3.02071062787 2263),(6.97300782061 2377),,,,,(1.71144335125 3076),(0.911029867333 3246),(0.671052274923 3411),(1.97726836121 3563),(0.417365657978 3727),,
Point0,H5,(2.30828026108 110),(3.71791862421 226),(2.66820406556 422),(0.393761178539 591),(5.02436682665 695),,(1.60675908471 1057),(4.35433362864 1181),(0.339333896974 1362),(4.30975865819 1492),(1.61992166244 1663),(1.57503586939 1824),(5.91071168708 1955),(2.17549843709 2133),(3.40466172401 2276),(7.47475610498 2394),,,,,(2.56349753717 3094),(0.915442047692 3250),(0.73136542278 3420),(2.34102617606 3577),(1.07429220373 3744),,
Point0,H6,(-0.0146660574657 64),(4.10782519111e-15 131),(-9.7699626167e-15 299),(-8.881784197e-16 452),(-0.00653993461205 602),(-0.0016426073052 743),(6.2172489379e-15 912),(-0.00438285805644 1024),(1.7763568394e-15 1208),(-3.5527136788e-15 1348),(-8.881784197e-16 1518),(1.7763568394e-15 1680),(-2.6645352591e-15 1840),(-3.5527136788e-15 2008),(-4.88498130835e-15 2167),(-5.77315972805e-15 2320),(-1.06581410364e-14 2470),(-0.00291676305665 2635),(-4.4408920985e-15 2781),(-2.22044604925e-15 2936),(-8.881784197e-16 3119),(-2.22044604925e-15 3278),(1.33226762955e-15 3438),(-1.7763568394e-15 3605),(-2.6645352591e-15 3762),(2.22044604925e-16 3922),
Point1,H1,(6.06717390383 28),(10.6157753263 185),(10.0184311723 341),(10.6633223201 493),(12.389024202 641),(12.9453779507 797),(10.2024787465 945),(8.89749788976 1101),(12.68975624 1246),(11.8667456095 1406),(9.23781615247 1555),(8.87054127094 1711),(11.5898091233 1878),(9.2188966414 2045),(10.0424777578 2204),(11.0657815903 2358),(11.3771631167 2509),(7.5485255608 2670),(9.87639393716 2818),(9.40333331229 2983),(9.45774763555 3156),(9.80019154743 3320),(10.8304877123 3482),(9.53122294504 3644),(7.98209781463 3802),(10.1254570823 3966),
Point1,H2,,(5.00026113362 210),(5.0506856072 375),(4.81637484295 521),,,(4.82849700713 987),(6.34794331251 1128),,(7.00748798609 1431),,(2.04824852431 1790),(8.12537015965 1915),(4.53520388608 2069),,(8.1660844464 2383),,(6.51402889455 2692),,,,(6.64566897209 3347),,,(4.15380306119 3833),,
Point1,H3,,(6.22742513895 230),(5.78595421895 390),(5.97621995972 539),,,(4.85834228722 992),(6.64176008958 1140),,(8.48375597376 1452),,(2.18917001133 1800),(8.20853742238 1922),(6.11320445604 2088),,(8.77557104741 2398),,(6.63919775753 2702),,,,(6.83236634999 3356),,,(5.02165048522 3849),,
Point1,H4,(0.52710155578 70),(1.4659122025 281),(2.70431161569 415),(0.816600090882 585),(4.86399840044 680),(2.47593389776 892),(-0.00311855574374 1027),(3.34662133586 1171),,(3.79460512111 1481),(1.27530903786 1659),(1.68566590952 1815),(4.96770994236 1951),(2.49869719208 2117),,(4.17044618694 2435),(1.96541023033 2604),(3.02212244079 2745),(4.35953388021 2889),(2.49665519128 3085),(5.72967918287 3188),(1.47907717833 3418),(2.5483986947 3576),(1.3412111017 3737),(1.13058948125 3900),,
Point1,H5,(1.34711079678 117),(1.66877411065 291),(3.29904209707 429),(1.45758352517 597),(5.6482722985 696),(2.52867026287 898),(0.8670377688 1045),(4.07372509745 1186),,(4.65066705553 1497),(1.3506497833 1667),(2.23923909961 1828),(5.06348690869 1960),(2.55196027353 2125),,(4.21815181232 2441),(2.18337320712 2613),(3.0711763375 2754),(4.89254739094 2904),(2.71882643986 3100),(5.77627354822 3195),(1.56487458023 3426),(2.59796575306 3582),(1.7489258764 3749),(1.21422186522 3908),,
Point1,H6,(-0.0898486430268 3),(0.52710155578 70),(-0.0375666204365 140),(4.4408920985e-15 309),(1.06581410364e-14 462),(1.06581410364e-14 612),(6.2172489379e-15 755),(-0.00680090533348 918),(-0.113602790686 1062),(-6.2172489379e-15 1215),(-5.3290705182e-15 1372),(-1.7763568394e-15 1524),(-8.881784197e-16 1684),(-5.3290705182e-15 1846),(-8.881784197e-16 2016),(8.881784197e-16 2170),(-3.5527136788e-15 2326),(0.0 2475),(-7.1054273576e-15 2633),(-1.33226762955e-14 2789),(-6.2172489379e-15 2948),(-1.7763568394e-15 3125),(-1.15463194561e-14 3285),(-4.4408920985e-15 3446),(-7.9936057773e-15 3609),(-0.00421781640677 3768),(-0.00094856739877 3929),
