Cycle,0.758625243665
Average Width,0.0
Width,,4.21118033447,4.76383141731,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.62513041238,0.0,0.0
Point0,H1,(12.0730374028 134),(10.4465165343 285),(11.8443514355 415),(10.4998823804 630),(12.8929200038 790),(11.5888670183 967),(10.6354965447 1142),(11.4408777526 1313),(9.25510089441 1479),(7.90944195563 1637),(7.292886178 1751),(7.92791820087 1813),(11.9864217938 1974),(15.3377236993 2122),(15.2512676896 2323),(14.415452689 2502),(8.06361645487 2667),(9.91083975418 2830),(10.7632865155 2996),(12.2188628299 3172),
Point0,H2,,,,,(-5.3290705182e-15 838),,(-1.06581410364e-14 1172),,(-1.33226762955e-14 1519),(0.332799467259 1670),,(-0.0123849477722 1840),,,,,,,,
Point0,H3,,,,,(8.86682002438 913),,(0.316322983862 1182),,(7.01809605264 1591),(0.34505423272 1673),,(0.870141198732 1853),,,,,,,,
Point0,H4,,,,(-1.15463194561e-14 662),(8.86355813308 916),(-0.00624354428482 1005),(0.180503277367 1190),(-2.13162820728e-14 1347),(7.01622898784 1594),,,,,(-7.1054273576e-15 2203),(-3.5527136788e-15 2379),,(-1.33226762955e-15 2711),(-0.00607577884982 2864),,
Point0,H5,,,,(9.17289879979 740),(10.8615087912 938),(3.39506359964 1063),(3.91381771449 1220),(4.89416232934 1388),(7.2051081194 1610),,,,,(14.2364478639 2284),(13.8870293518 2471),,(3.0918097094 2749),(10.5508798125 2972),,
Point0,H6,(-0.00290613369505 177),(-1.7763568394e-15 338),(-1.95399252334e-14 501),(-1.15463194561e-14 662),(-5.3290705182e-15 838),(-0.00624354428482 1005),(-1.06581410364e-14 1172),(-2.13162820728e-14 1347),(-1.33226762955e-14 1519),(-0.00256407027737 1686),(-0.0123849477722 1840),(-0.0156153434915 2020),(-7.1054273576e-15 2203),(-3.5527136788e-15 2379),(-0.0673949453025 2595),(-1.33226762955e-15 2711),(-0.00607577884982 2864),(2.6645352591e-15 3041),(-0.0429759119828 3205),
Point1,H1,(11.5097483862 135),(10.2537126071 294),(10.7865461503 414),(9.23781107972 630),(11.6530286074 791),(10.022558321 967),(9.46260847781 1142),(2.46647108655 1214),(8.79845796227 1317),(7.41229126882 1479),(5.85551552883 1636),(5.40917243717 1751),(5.71814986781 1815),(9.93089155786 1976),(12.4201511381 2126),(12.1174036887 2324),(12.0151469721 2503),(5.99936842579 2672),(6.66199138638 2830),(7.88830836149 2999),(8.86258497276 3173),
Point1,H2,,,,,,,,,(8.881784197e-16 1349),,,(3.23747801773 1773),(0.00855071632718 1846),,,,,,(-0.0163322804835 2867),,
Point1,H3,,,,,,,,,(3.64476372629 1389),,,(4.27901990868 1792),(0.034086343633 1851),,,,,,(6.81043643387 2928),,
Point1,H4,,,,,(0.0 839),(-0.00590927580052 1009),,,(3.40613701249 1401),(2.0872192863e-14 1520),,,(-0.0183906874127 1858),(3.64153152077e-14 2024),(2.84217094304e-14 2203),(1.68753899743e-14 2378),,(-0.00714140251865 2713),(6.7584745777 2938),,
Point1,H5,,,,,(8.83274513409 938),(1.80450748336 1056),,,(3.94764522497 1418),(5.26847730938 1585),,,(3.5814988762 1891),(9.19480086604 2068),(11.1351452419 2286),(11.1607768976 2472),,(1.78170426144 2747),(7.76947819674 2968),,
Point1,H6,(4.4408920985e-15 176),(-8.881784197e-16 341),(-0.00334103307192 507),(-7.1054273576e-15 666),(0.0 839),(-0.00590927580052 1009),(-0.00971588455253 1190),(-4.88498130835e-15 1252),(8.881784197e-16 1349),(2.0872192863e-14 1520),(-0.00156963795683 1679),(-0.0183906874127 1858),(3.64153152077e-14 2024),(2.84217094304e-14 2203),(1.68753899743e-14 2378),(-0.0701987681841 2600),(-0.00714140251865 2713),(-0.0163322804835 2867),(-0.00947728180185 3047),(-0.00696783379218 3219),
Point2,H1,(5.29595551706 74),(6.2423637562 199),(7.93371581968 381),(7.12141945899 526),(9.88376266549 685),(10.7817444564 860),(12.0172667219 1034),(11.2965787267 1208),(11.4237234986 1386),(10.7452405251 1549),(10.7895046962 1706),(9.23761197539 1879),(11.2556605871 2048),(10.4780716879 2218),(12.2266673539 2394),(8.1848377286 2577),(8.64883248065 2729),(9.28506312472 2903),(8.26724203315 3066),
Point2,H2,,(4.6554367804 218),,(4.94891749289 569),,,(9.95784238994 1051),(7.67310182512 1230),(7.28110291005 1425),,(8.36750333165 1724),(5.89103478432 1898),,,(8.79811368469 2414),(5.62923462007 2600),,(2.32718233163 2990),,
Point2,H3,,(6.04099507727 243),,(4.99494714394 576),,,(10.1722330837 1059),(7.74393494159 1236),(7.35021890174 1433),,(8.5360517863 1732),(8.03835996011 1919),,,(8.82947337026 2418),(5.98456070887 2611),,(2.33269217423 2993),,
Point2,H4,(1.49205786191 132),(5.71847275919 260),,(1.01018725883 627),,,(0.433942193717 1134),(1.22489703245 1308),(2.36703071088 1476),,,(3.45493647696 1988),,(5.23628445664 2262),(1.03813014667 2474),(2.5705571383 2652),,(1.05975422572 3017),,
Point2,H5,(1.49970422294 136),(5.99686079241 274),,(1.50479091882 641),,,(0.897386096183 1150),(1.44275407425 1322),(2.52736531085 1485),,,(3.50578948688 1994),,(6.36407158583 2278),(1.91908862478 2490),(2.60467458278 2660),,(1.12860944581 3024),,
Point2,H6,(-0.0129159013782 1),(-2.22044604925e-15 165),(-4.4408920985e-15 338),(0.0 496),(-2.6645352591e-15 657),(-7.9936057773e-15 833),(-3.5527136788e-15 1006),(5.3290705182e-15 1174),(-0.00301985810223 1345),(8.881784197e-16 1506),(-0.00377822690454 1678),(1.7763568394e-15 1847),(0.0 2018),(4.4408920985e-15 2192),(0.0 2366),(-4.88498130835e-15 2528),(-3.5527136788e-15 2700),(0.0 2867),(-0.00281272420934 3040),
