Cycle,0.889598345588
Average Width,0.0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72979548232
Point0,H1,(15.7910334279 44),(9.03885015881 232),(12.4359864046 435),(10.0924023769 634),(10.4011457584 825),(10.3994118641 1030),(9.28835528666 1222),(9.3459828258 1414),(8.84835539814 1624),(5.09669571204 1724),(11.2270633985 1839),(9.24939939288 2023),(9.06948492123 2236),(9.54662709499 2421),(8.48588849961 2628),(3.19839119992 2722),(12.3811658463 2822),(7.42208415093 3036),
Point0,H2,,(-0.0173221406743 318),(3.88804929173 487),(0.972792676568 685),,(-0.0365983212459 1101),(3.07282325994 1270),,,(1.15463194561e-14 1762),,(2.71425966736 2113),,(-0.0128802425092 2513),(1.66774506055 2676),(0.913083635094 2749),(5.8513384328 2881),,
Point0,H3,,(1.59059401697 348),(4.06683506841 497),(1.2114864114 699),,(0.591035111682 1132),(3.46111175201 1283),,,(0.76448834862 1775),,(3.01422291986 2127),,(0.839191664365 2534),(2.0942175014 2689),(1.50673686484 2766),(6.04805393009 2892),,
Point0,H4,,(1.49167445053 362),,(-3.99680288865e-15 722),(-0.029716428968 905),(-0.0701123431919 1151),(1.68281983671 1333),,,,(6.66133814775e-15 1966),(1.83126298185 2156),,(0.736475061846 2545),,,(3.63664780922 2919),,
Point0,H5,,(2.04939349538 378),,(1.72235291823 754),(2.80995890853 966),(0.451954805675 1167),(2.17658442097 1350),,,,(0.743163930665 1986),(2.92653801522 2172),,(0.945469278965 2560),,,(3.69789914028 2925),,
Point0,H6,(-0.0389995185538 200),(-0.0173221406743 318),(3.5527136788e-15 397),(-0.0332881035948 589),(-3.99680288865e-15 722),(1.33226762955e-15 794),(-0.029716428968 905),(5.3290705182e-15 989),(-0.0701123431919 1151),(-1.37667655054e-14 1387),(-0.00737937400553 1473),(-0.00159971164469 1585),(1.15463194561e-14 1762),(6.66133814775e-15 1966),(4.4408920985e-15 2191),(-6.2172489379e-15 2284),(2.6645352591e-15 2396),(-0.0128802425092 2513),(0.0 2585),(1.66774506055 2676),(-1.7763568394e-15 2789),(-0.0165642704007 2967),
Point1,H1,(17.7720748343 41),(10.5783624677 233),(14.8699142322 435),(12.4501021747 632),(12.0311963983 826),(13.2754467033 1026),(11.121912561 1222),(13.1910749181 1417),(10.4181194961 1624),(4.62867357876 1727),(13.3735329525 1836),(11.4518832988 2023),(10.3584018873 2235),(11.4457333555 2424),(11.7055104238 2630),(15.7932666452 2823),(9.30825712519 3032),
Point1,H2,,,,,(-0.0463117343918 903),,,(-0.00884252979181 1507),,(0.196358810799 1764),,,,(-0.00430586961233 2516),(2.46456617011 2701),,,
Point1,H3,,,,,(2.75082806871 951),,,(0.410153064539 1525),,(0.523689462849 1775),,,,(0.551559449903 2535),(3.82761398752 2721),,,
Point1,H4,(3.447255005 133),(-0.0255394143036 319),(-0.00573666669559 563),,(2.71673761663 957),,,(0.221197738927 1539),,,,,,(0.208132563299 2557),(1.36983396825 2749),,,
Point1,H5,(3.56104441592 142),(2.08049399373 377),(0.197253364632 578),,(3.00482663458 969),,,(1.38384831107 1565),,,,,,(0.412535219553 2572),(1.59430724679 2760),,,
Point1,H6,(-0.692569777695 201),(-0.0255394143036 319),(-6.2172489379e-15 397),(-0.00573666669559 563),(-0.00449811482959 725),(-5.77315972805e-15 796),(-0.0463117343918 903),(-1.33226762955e-14 990),(-0.0286808894226 1097),(-0.00281289194053 1183),(-0.00712848231544 1329),(-7.9936057773e-15 1388),(-0.00884252979181 1507),(-0.0185549999662 1587),(-4.4408920985e-15 1786),(-1.15463194561e-14 1967),(-2.6645352591e-15 2192),(-4.4408920985e-16 2287),(0.0 2397),(-0.00430586961233 2516),(-2.22044604925e-15 2587),(-1.7763568394e-15 2788),(-0.0186441589581 2982),
Point2,H1,(19.5326038495 40),(16.5035070675 232),(20.1319001211 433),(17.7642501869 632),(18.1849311023 828),(17.9303283687 1022),(17.7530273506 1223),(18.7756665957 1417),(16.6095687588 1623),(19.4263756451 1820),(15.3043633814 2023),(16.0047310399 2227),(15.8964147236 2426),(17.4638158205 2631),(22.9664824036 2824),(15.9409968633 3021),
Point2,H2,(1.10027387085 133),,,(-0.0137669263471 717),,(-0.0607713815996 1116),(1.92079567996 1334),(-0.0124464794887 1494),(2.31449977662 1704),(1.01680838756 1930),,,,,(11.8406393264 2870),,
Point2,H3,(1.27793313979 143),,,(1.398634398 755),,(0.373370358462 1136),(2.40065039055 1350),(0.475812611163 1533),(4.53815687643 1729),(1.02492531966 1934),,,,,(12.2331407068 2880),,
Point2,H4,(0.183432081585 164),,(0.768352141508 551),(0.849257879778 768),,(0.231759875201 1147),(2.15155402466 1360),(0.432189982042 1542),(1.11059757186 1761),(0.493787026346 1954),,,(-0.000474373098519 2518),(3.0514327954 2703),(1.58589772632 2961),,
Point2,H5,(0.391378678448 177),,(0.978130879781 564),(2.08747645559 783),,(1.54721304666 1168),(2.69726059026 1373),(1.47526598868 1566),(1.83837900159 1774),(0.677064545569 1966),,,(2.13285364953 2569),(4.15719415827 2728),(2.43301779211 2974),,
Point2,H6,(-0.0103216458808 1),(4.4408920985e-15 195),(2.45314381138 340),(7.9936057773e-15 399),(-0.0112113448216 591),(-0.0137669263471 717),(-0.0074260095024 797),(2.54422812079 903),(-0.00282084890142 991),(-0.0607713815996 1116),(6.2172489379e-15 1185),(1.06581410364e-14 1389),(-0.0124464794887 1494),(-0.024165736471 1585),(-6.2172489379e-15 1788),(-0.00168338306257 1987),(-8.881784197e-16 2191),(3.23380396014 2289),(-0.00895271706841 2397),(-0.000474373098519 2518),(3.10862446895e-15 2590),(-0.00284961314547 2787),(2.6645352591e-15 2990),
Point3,H1,(25.2225928596 39),(21.847200698 232),(26.8753027586 433),(23.6103967067 632),(23.2054102244 828),(22.9692844327 1022),(24.6971693676 1223),(27.4735470309 1418),(22.3012058516 1622),(26.175678416 1820),(20.8758848094 2023),(23.00125862 2227),(22.0973183907 2427),(23.5012478672 2630),(29.96871988 2825),(22.636692671 3020),
Point3,H2,,(1.84392528021 338),,(-0.0175939070333 719),,,,,(0.677320137306 1700),,,(4.02711231872 2313),,,(14.7013128824 2871),,
Point3,H3,,(3.03272827719 354),,(1.41927421303 756),,,,,(3.06487370275 1728),,,(4.12297253262 2324),,,(14.7949765531 2877),,
Point3,H4,(1.75328588212 132),(1.96638288657 368),(1.36253670056 552),(1.10512690224 766),,(-0.0384872875706 1118),,,(0.497510854628 1760),(1.24422094413 1950),,(1.51171688478 2370),(9.7699626167e-15 2529),(3.49585973375 2708),(3.29451488863 2960),,
Point3,H5,(2.06036910177 144),(3.81259985149 383),(1.59417451404 565),(2.61902152472 782),,(1.86139326918 1166),,,(2.02948671294 1775),(1.58328230836 1964),,(2.23709133653 2382),(2.01816201015 2573),(3.9977243834 2728),(4.14050004112 2973),,
Point3,H6,(-0.00270529893433 196),(1.84392528021 338),(-7.9936057773e-15 399),(-0.00345283259505 593),(-0.0175939070333 719),(-7.1054273576e-15 797),(2.82825036466 903),(1.7763568394e-15 990),(-0.0384872875706 1118),(-1.7763568394e-15 1185),(-8.881784197e-15 1388),(-8.881784197e-16 1585),(0.677320137306 1700),(-8.881784197e-15 1788),(0.0 1987),(-0.00497560861382 2190),(-0.00238412226497 2397),(9.7699626167e-15 2529),(1.24344978758e-14 2590),(-0.015194831358 2786),(1.7763568394e-15 2990),
