Cycle,0.80178030303
Average Width,11.7774501783
Width,,12.8097635644,10.1604172411,10.7804702263,13.497122147,11.6764772691,10.9685890038,10.1344051727,11.2492255973,16.1105754051,10.3321864415,12.6392158142,11.0657387624,12.6297468836,10.8997331502,23.7535043539,11.9932731191,13.5458637071,9.55172455669,9.83957046749,11.5015028079,13.4698508909,11.542074994,10.4223827455
Point0,H1,(11.1921557925 41),(8.62590900373 219),(7.91102069987 393),(11.0462007152 562),(9.55148427614 733),(10.6111053911 906),(8.02294963778 1081),(12.1449443211 1240),(9.55648877253 1418),(8.94207033961 1590),(7.88416589282 1757),(7.65683724243 1929),(10.9737979718 2092),(9.99213534615 2250),(12.4487054771 2416),(8.45211922884 2585),(10.0770639043 2748),(8.66491471788 2908),(7.05652762057 3079),(11.3483402234 3243),(9.52230435113 3419),(6.29308994024 3584),(10.1454998972 3747),
Point0,H2,,,(-0.010745203979 427),,(0.378316298364 789),(4.4408920985e-16 977),(2.04806597039 1115),,(2.45732209987 1457),,,(1.2482663227 1964),(1.03499495156 2141),,(3.27176340803 2453),(2.46175521501 2621),(-3.10862446895e-15 2801),(2.57848522715 2949),,(2.07201351502 3288),(3.84357212052 3449),,,
Point0,H3,,,(0.588729783007 444),,(0.457217990932 798),(0.8532934854 998),(2.10219685878 1122),,(2.95818462898 1473),,,(1.28264645526 1971),(1.60357634217 2156),,(3.79039817606 2465),(2.65399048023 2632),(1.02259558336 2821),(2.65316673675 2957),,(2.07790783304 3291),(3.85042283618 3452),,,
Point0,H4,,(0.27231606828 299),(-0.306322813938 463),(-0.0699783498524 653),(0.0667093209001 814),(0.787535619241 1007),,,,(0.345483048158 1657),(0.275694906275 1842),(1.2411437792 1980),(7.54951656745e-15 2178),(7.54951656745e-15 2311),(2.74355732568 2485),(0.761072057946 2661),(0.619213455538 2846),(1.22195567564 2983),(0.391328861006 3132),(2.6645352591e-15 3318),(1.62358552793 3476),,,
Point0,H5,,(1.05492599076 322),(1.69001677341 488),(0.866883947039 671),(0.574672634422 830),(0.998174530669 1019),,,,(1.67171676552 1686),(0.939095482098 1867),(1.35991340063 1993),(0.512778049608 2193),(2.8835187564 2340),(2.85030676092 2493),(1.06241178292 2676),(0.670438259493 2855),(1.38315692412 2998),(1.28239957144 3154),(2.1753155959 3362),(1.9109431345 3489),,,
Point0,H6,(-0.134511417658 3),(-0.00284220096475 113),(1.06581410364e-14 347),(-0.306322813938 463),(-0.0699783498524 653),(1.06581410364e-14 845),(4.4408920985e-16 977),(-2.6645352591e-15 1035),(3.10862446895e-15 1191),(-8.881784197e-16 1348),(4.4408920985e-16 1547),(3.5527136788e-15 1711),(-0.00037436255393 1883),(-0.00392417682926 2039),(7.54951656745e-15 2178),(7.54951656745e-15 2311),(-0.00347418959874 2539),(1.33226762955e-15 2698),(-3.10862446895e-15 2801),(-0.00459445730904 2873),(-2.22044604925e-15 3033),(-0.0175911425869 3184),(2.6645352591e-15 3318),(1.08801856413e-14 3544),(-0.0202310494988 3646),
Point1,H1,(16.0490268042 43),(12.3066380239 221),(12.3628220198 392),(14.8846205923 560),(14.1339354006 733),(15.5121845987 905),(12.7594215755 1076),(15.933134633 1242),(14.4902489111 1415),(13.4705981965 1587),(13.9333189123 1756),(13.0351319168 1922),(15.2752940449 2089),(14.2919745593 2249),(16.704820518 2414),(12.6804998049 2580),(14.0703072846 2746),(11.4833834782 2909),(10.6180822065 3079),(14.8531038202 3244),(12.4502098113 3417),(11.7883124205 3584),(12.6206568581 3750),
Point1,H2,,,(0.580263372268 426),,(0.341058597097 789),(-0.00104906011098 974),(2.09349883168 1113),,,,,(0.873549914893 1965),(0.821109334009 2147),,(3.43524246649 2455),(1.80558836506 2619),(9.7699626167e-15 2801),(1.62867086563 2951),,,(-0.00168366028237 3476),,,
Point1,H3,,,(0.887607794595 438),,(0.39005373192 796),(1.81555973855 996),(2.16061268859 1119),,,,,(0.904680493978 1971),(0.836607773232 2152),,(3.7095375057 2466),(2.12588837474 2632),(1.22336077969 2822),(1.68824744524 2958),,,(0.494761314123 3495),,,
Point1,H4,,(-0.287490634309 295),(-0.00129560078725 461),(1.55431223448e-14 638),(-0.0019778376991 813),(1.42515145133 1008),(1.02195923577 1140),,,(0.445906958335 1658),(-0.00297925130405 1851),,(-8.881784197e-16 2175),(-0.00333222561534 2310),,(0.300657802282 2661),(0.409452236604 2848),(0.710829622537 2981),(-0.0867889223935 3136),(-0.00619716254922 3320),(0.494099578286 3497),,,
Point1,H5,,(1.01459789142 331),(2.0635490002 489),(0.574417357801 670),(0.792889578928 834),(1.66852185462 1019),(1.24177665495 1153),,,(1.6689621892 1691),(1.12326964015 1869),,(0.405621878878 2192),(2.57350869067 2342),,(0.573232047272 2674),(0.542688823671 2859),(1.17699959843 3003),(0.978119738215 3156),(1.52227445438 3358),(0.808137001209 3519),,,
Point1,H6,(-0.094368093784 3),(-2.10942374679e-15 116),(-0.287490634309 295),(-0.00129560078725 461),(1.55431223448e-14 638),(-0.0019778376991 813),(-0.00104906011098 974),(1.7763568394e-15 1036),(-0.000946760521234 1191),(-0.00124258795153 1342),(3.10862446895e-15 1547),(-9.7699626167e-15 1713),(-0.00297925130405 1851),(-0.000913777637741 2040),(-8.881784197e-16 2175),(-0.00333222561534 2310),(-0.0101391806917 2538),(1.02140518266e-14 2695),(9.7699626167e-15 2801),(6.66133814775e-15 2872),(4.88498130835e-15 3033),(-0.0867889223935 3136),(-0.00619716254922 3320),(-0.00168366028237 3476),(-0.00523190240928 3542),(-0.00280126791738 3650),
Point2,H1,(22.4346970564 40),(18.4637897601 218),(17.4288902867 387),(19.9483996364 557),(20.6633539113 729),(21.4575034524 901),(18.7646705093 1071),(21.8983303774 1239),(21.0580388821 1412),(19.63958593 1583),(21.3227168518 1752),(20.203582733 1917),(21.5566683128 2084),(20.7332976747 2245),(23.4017029446 2411),(19.125374383 2575),(19.2921313029 2741),(16.8846295482 2905),(15.051978089 3077),(19.7427142805 3240),(19.5951873666 3413),(16.3577008554 3580),(21.0245443332 3746),
Point2,H2,,,(0.64587694745 423),(1.22676952757 600),(5.3290705182e-15 799),(2.59992129061 936),(0.80701371399 1114),,,,,,,(-0.00617976263284 2308),(3.3274364975 2459),(1.29411875407 2615),,(3.99680288865e-15 2943),(0.51321825986 3119),,,,,
Point2,H3,,,(0.874783316342 431),(1.32378160605 607),(1.72545657478 835),(2.64266834324 940),(0.83270219521 1119),,,,,,,(3.38487934558 2338),(3.46614597851 2472),(1.68411381602 2626),,(1.3647559769 2962),(0.656562415975 3141),,,,,
Point2,H4,(1.02140518266e-14 99),(-0.0110729294832 289),(-0.00309757063506 449),(-0.00387765389888 648),(1.72422486686 837),(1.15463194561e-14 966),,(-0.00162177054334 1334),,(-0.00957482426878 1651),(3.5527136788e-15 1849),,(0.135912464102 2140),(3.06535961135 2348),,(-0.00061605971648 2656),(4.4408920985e-15 2798),(0.522484356054 2987),(-0.0408220259526 3169),(4.4408920985e-15 3313),,,,
Point2,H5,(3.87631849705 162),(1.77504480139 325),(2.56083229098 502),(1.29355736366 671),(1.9436190296 855),(1.60453573579 1011),,(1.25918573026 1357),,(1.06204906816 1691),(1.09698007478 1866),,(0.743254183962 2156),(3.40640739797 2361),,(1.10338793528 2681),(1.19853967175 2818),(0.622004197836 3003),(1.12430293585 3196),(4.40533308758 3357),,,,
Point2,H6,(-0.0679448428779 2),(1.02140518266e-14 99),(-0.0110729294832 289),(-0.00309757063506 449),(-0.00387765389888 648),(5.3290705182e-15 799),(1.15463194561e-14 966),(5.3290705182e-15 1032),(-0.00329437931637 1167),(-0.00162177054334 1334),(3.5527136788e-15 1543),(-0.00957482426878 1651),(-0.000267703161405 1710),(3.5527136788e-15 1849),(2.6645352591e-15 2036),(-0.00107263253749 2179),(-0.00617976263284 2308),(8.881784197e-16 2535),(-0.00061605971648 2656),(4.4408920985e-15 2798),(-0.0219680844664 2867),(3.99680288865e-15 2943),(-0.00794423090206 3034),(-0.0408220259526 3169),(4.4408920985e-15 3313),(8.881784197e-15 3545),(-0.130765893416 3619),
Point3,H1,(28.1106847863 37),(22.2453298129 216),(22.6847645987 385),(24.2207752121 555),(26.2930294564 727),(26.3367582559 899),(24.3888911887 1069),(26.7432827796 1237),(24.8710856628 1408),(26.1002893088 1580),(27.6801831733 1750),(27.2187214362 1915),(27.275332745 2081),(26.8765161567 2243),(26.9550838275 2409),(25.2177403486 2572),(24.2485965835 2738),(20.9046055522 2904),(20.516530425 3076),(24.6781084519 3239),(24.0654952505 3410),(23.0460184304 3578),(24.5590732499 3743),
Point3,H2,,,,(1.73932455743 599),(-6.2172489379e-15 798),,(1.89902122791 1107),,,(-8.881784197e-16 1652),(1.17727758216 1827),,,,,(1.75762333849 2613),(-6.2172489379e-15 2797),(-1.06581410364e-14 2942),(0.800181873444 3111),,,(0.29667594397 3618),,
Point3,H3,,,,(1.74695074302 602),(1.37412931129 827),,(2.36750209698 1117),,,(1.05166640699 1679),(1.1790814217 1829),,,,,(2.06540907584 2623),(1.00377127522 2817),(1.2596076514 2964),(1.53822355557 3128),,,(0.730597858846 3629),,
Point3,H4,(-0.0020721083682 117),(-0.016045222713 284),,(-0.00405540846161 648),(1.26611986536 836),,(5.3290705182e-15 1163),(-0.00617727135772 1334),,(0.953889426373 1690),(0.337824566973 1848),,(0.339734087787 2141),(-0.0201013088962 2310),,(-0.0101776748945 2655),(0.0247193706727 2839),(1.03499998241 2981),(-0.00740071170337 3173),(-0.00935073199765 3310),,(-0.000216467668431 3645),,
Point3,H5,(4.48018066397 163),(2.23878643272 336),,(1.77248367264 674),(2.17131875428 854),,(1.18602434672 1191),(0.193459004924 1352),,(0.954930175181 1692),(1.74708648777 1864),,(0.593017321107 2153),(2.58814534978 2335),,(0.905405355291 2678),(1.26391057941 2855),(1.17566798418 3008),(1.65958345789 3193),(3.72763864974 3355),,(2.55057489626 3689),,
Point3,H6,(-0.0269929679015 1),(-0.0020721083682 117),(-0.016045222713 284),(-0.00213983241186 449),(-8.881784197e-15 518),(-0.00405540846161 648),(-6.2172489379e-15 798),(0.0 969),(-0.00376229083979 1031),(5.3290705182e-15 1163),(-0.121852115989 1366),(3.5527136788e-15 1471),(-0.00420026131465 1541),(-8.881784197e-16 1652),(-1.24344978758e-14 1712),(2.6645352591e-15 1878),(-0.000300202285382 2010),(-0.00870888503356 2171),(-0.0201013088962 2310),(7.1054273576e-15 2372),(2.86912066246 2448),(5.3290705182e-15 2535),(-0.0101776748945 2655),(-6.2172489379e-15 2797),(-0.491798944199 2870),(-1.06581410364e-14 2942),(-0.00865509762018 3036),(-0.00740071170337 3173),(-0.00935073199765 3310),(-0.000759047926874 3472),(-9.7699626167e-15 3542),(-0.000216467668431 3645),
Point4,H1,(38.7470855562 38),(30.8392225785 216),(31.7444628366 385),(33.5084101857 555),(36.3728500299 727),(37.9620548598 899),(33.5613516558 1068),(36.2565929711 1237),(39.1497401026 1408),(35.3628607577 1580),(39.233830553 1750),(38.0878262746 1915),(38.1402434862 2082),(37.496426369 2242),(38.9661685001 2409),(35.7443251016 2571),(33.94178187 2738),(27.8787969604 2904),(27.2475158987 3075),(33.7511535387 3240),(37.1095433234 3409),(31.6310570791 3579),(33.6160001532 3744),
Point4,H2,,(0.739555912439 274),,,(-0.0043440897685 809),(6.19360695152 935),(4.55942197247 1111),(2.33465282648 1279),(5.51074789648 1448),(-0.012226523927 1655),,,(1.11652870519 2147),(-0.0130686545419 2312),,,(2.03903258043 2801),,(1.5705535429 3112),,,(0.770715962383 3620),,
Point4,H3,,(0.768932586921 279),,,(1.85016763764 833),(6.35677309078 941),(4.56173594508 1113),(2.56302189203 1288),(5.53098997095 1451),(2.02982634072 1678),,,(1.1171746787 2148),(2.92261115879 2334),,,(2.1053119525 2808),,(2.11020436007 3124),,,(1.15479239151 3631),,
Point4,H4,(-0.00454052010738 115),(-0.0142783808612 298),,(-0.00772066133483 656),(1.84466299105 836),(2.28215803682 975),(0.363132325788 1165),,(1.75886246727 1508),(1.70516463267 1688),(0.884492981059 1845),(0.517643366519 1984),(-0.00888000302967 2169),(2.24909744864 2347),,(-0.0170461136233 2662),(-0.0328017605603 2839),,(-0.00724811503793 3149),(-1.7763568394e-15 3308),,(-0.0126560575862 3656),,
Point4,H5,(4.73527342807 166),(2.18350976971 337),,(0.865686113367 677),(2.62221866575 853),(3.17897805827 1010),(1.15365402184 1183),,(2.49073516833 1523),(2.02544154767 1699),(2.97229076938 1863),(0.777395586992 1995),(1.87013136235 2199),(2.3640802071 2355),,(1.70775432695 2683),(0.808337575858 2853),,(2.57497575031 3191),(7.1819005939 3356),,(2.03261312342 3688),,
Point4,H6,(-0.0353378808941 1),(-0.00454052010738 115),(-0.0142783808612 298),(-0.0119244567432 454),(2.22044604925e-14 517),(-0.00772066133483 656),(-0.0043440897685 809),(-5.3290705182e-15 1031),(8.881784197e-16 1199),(-0.0443939903478 1323),(1.7763568394e-15 1542),(-0.012226523927 1655),(1.7763568394e-15 1714),(1.24344978758e-14 1878),(3.5527136788e-15 2023),(-0.00888000302967 2169),(-0.0130686545419 2312),(-8.881784197e-15 2372),(3.5527136788e-15 2535),(-0.0170461136233 2662),(-1.22853894986 2869),(-0.00413823514872 2945),(-0.00533193112984 3039),(-0.00724811503793 3149),(-1.7763568394e-15 3308),(-0.00277354235163 3543),(-0.0126560575862 3656),
Point5,H1,(30.8551587524 34),(21.6697287729 213),(22.9219408188 381),(26.684183997 552),(27.8786330416 724),(26.8502553386 895),(23.7903357862 1066),(26.5487145694 1233),(31.4431510664 1405),(25.2246820961 1576),(31.9525848869 1747),(28.6751700086 1912),(29.4897547987 2077),(26.8489746293 2238),(35.2186014343 2406),(27.1474972867 2568),(26.9755783022 2736),(18.4372092577 2902),(18.7463507949 3071),(24.4754319007 3237),(27.4336391686 3404),(24.653575987 3576),(24.1370043338 3740),
Point5,H2,(-0.0341785085929 122),(0.0612328351726 262),(3.12259084636 417),(5.5931446866 592),(-0.000978096707311 807),,,(1.7296949656 1271),,(-0.0612580502252 1649),,,(0.235456194435 2142),,,,(5.64786192734 2771),,,(1.37686820712 3280),(1.86517468137e-14 3465),(1.98395180642 3614),,
Point5,H3,(0.111677867095 133),(1.66261089902 279),(3.25368147644 423),(5.64696583456 597),(1.63986248898 825),,,(2.46477209106 1284),,(2.38082179282 1676),,,(0.306849884839 2149),,,,(5.76735112534 2777),,,(1.3830332639 3282),(2.34972188442 3490),(2.46366057164 3625),,
