Cycle,0.744325236167
Average Width,8.48024347014
Width,,5.35827152276,6.20638711824,8.42025198086,7.96522393105,8.29619634054,5.39122841461,7.52084630179,5.80112179865,7.14024603865,7.65457951806,6.36146304972,17.5734932729,7.05166788882,15.1886927665,6.71647150405,7.28250687052,6.30648431767,7.47823794482,7.07656142239,7.23029447454,7.72972902893,8.91687713436,7.1381090503,10.580214825,24.7387617539,9.59699346079,16.5496437461,6.93011758845,18.5810938444,13.7472248765,0,25.5270777217,9.67591582575,10.4364404608,0,13.0534087081,8.46246744626,110.000983408,11.5125866821
Point0,H1,(15.982489603 105),(16.7564835262 245),(15.5187535692 389),(15.8210781976 533),(19.3554206929 672),(15.2755757545 812),(15.0017003442 961),(19.0516435899 1116),(15.5201675718 1263),(19.3282001476 1415),(13.0449773012 1561),(11.460254113 1704),(14.4260285403 1837),(15.682722317 1976),(15.6082178558 2111),(16.3769380974 2264),(19.2554674228 2421),(15.2365225878 2576),(14.6267048988 2729),(15.6937498327 2886),(13.6964471036 3045),(12.4150758266 3208),(14.1039056231 3369),(12.3380843549 3524),(13.0888086381 3673),(13.5775198506 3820),(11.5719625432 3979),(10.4291120317 4142),(11.6004885504 4310),(10.5366287644 4460),(10.861165021 4616),(10.5551136242 4779),(9.25189139812 4941),(10.5892992362 5099),(12.2418147423 5256),(13.0178968135 5418),(10.8025813362 5580),(9.86071109299 5738),(9.28888454742 5895),(8.91421454783 6050),
Point0,H2,,(3.50784612916 271),(3.17051760504 415),(-7.1054273576e-15 559),(-0.0179481086966 705),(2.22929345269 843),,(5.58366640949 1150),(4.21698384313 1295),(5.85236549208 1439),(1.31363787236 1585),(5.77315972805e-15 1727),,(4.99606347343 1998),(5.64424386283 2141),(5.63635033253 2289),(10.6348228396 2446),(4.66292833099 2604),(3.70068658209 2751),(5.75029681317 2911),(5.24033697853 3070),,(4.60734864508 3390),(3.95219895531 3552),(5.34021722984 3695),(6.4455693511 3858),,(5.55874429732 4174),(4.98319832824 4336),,,(5.69542970271 4801),,(3.91454758925 5122),(6.27872186629 5279),(8.17858616551 5440),(4.908052467 5607),(3.97097328392 5760),(4.32595358102 5917),,
Point0,H3,,(6.03533382835 287),(6.0231266374 434),(4.00588159013 580),(3.25064372133 725),(4.45267397871 862),,(6.69803110494 1165),(7.38219666312 1317),(8.6534978966 1457),(3.95261959298 1611),(4.54514856272 1751),,(7.66805913655 2015),(7.24869088473 2156),(6.20158268902 2298),(12.1577333726 2461),(6.94910313601 2621),(5.65456342679 2767),(7.82618442095 2929),(6.99462030982 3087),,(7.24121022868 3409),(6.49597437133 3573),(7.76255326321 3715),(6.50610529892 3867),,(5.83691958614 4186),(5.78956597224 4349),,,(6.50040834017 4817),,(5.25618440131 5147),(8.59582317547 5299),(8.95410840164 5455),(6.13820182247 5625),(6.49055399985 5788),(6.47408723431 5937),,
Point0,H4,,(1.63408103933 326),(3.49187605166 468),(1.74735438866 613),(-1.05135776121 759),(0.774417351725 893),,(-0.00899613832752 1206),(3.05229340904 1345),,(-0.0541544766841 1659),(2.32255246194 1782),(4.61955016139 1865),(4.25894170615 2057),(2.17817017789 2199),(-0.0233557903474 2358),(2.97595903761 2520),(-0.0129596061477 2684),(1.41946364677 2821),(2.25637850328 2984),(1.27244017874 3144),,(2.2026783075 3462),(1.05923099482 3607),(2.0637173437 3768),(0.979114368038 3931),,(0.141671961144 4247),(1.752671663 4407),(2.43521402569 4489),(3.65294919209 4641),(1.21018867155 4888),(0.775062733059 5044),(0.202226831497 5187),(3.92714675287 5336),(-0.00941795865507 5520),,(2.07251029761 5822),,,
Point0,H5,,(2.43782178797 339),(3.8069377406 477),(3.78689886011 628),(0.818210835745 774),(3.75486993684 916),,(4.07953894422 1224),(3.08464898175 1349),,(0.527873569714 1671),(3.25470265359 1795),(6.5177699921 1886),(4.3893054644 2063),(2.35217604584 2208),(2.77661376639 2376),(4.34004098916 2533),(0.476171233785 2694),(2.23006320135 2835),(2.70014679232 2995),(1.32232508178 3151),,(2.65876920405 3474),(1.12738138413 3614),(2.70635600809 3780),(1.18918121826 3940),,(0.428209702073 4260),(2.35110837111 4420),(4.64372742935 4511),(5.50542840145 4664),(1.73350358552 4900),(2.09007201732 5061),(0.725956523845 5203),(4.21309228778 5348),(2.20640688559 5542),,(2.83011639895 5839),,,
Point0,H6,(-0.00644921688724 81),(9.7699626167e-15 211),(-5.3290705182e-15 357),(2.6645352591e-14 501),(-7.1054273576e-15 559),(-0.00988948152677 644),(-1.38704257186 787),(-0.0245316518004 933),(3.5527136788e-15 1090),(-0.00899613832752 1206),(-0.0134719072414 1371),(-0.00751335151433 1538),(-0.0541544766841 1659),(5.77315972805e-15 1727),(8.881784197e-16 1812),(-0.00426871064509 1941),(1.06581410364e-14 2084),(3.5527136788e-15 2230),(-0.0233557903474 2358),(-0.0134692545125 2550),(-0.0129596061477 2684),(1.7763568394e-15 2853),(7.9936057773e-15 3014),(-1.7763568394e-15 3178),(8.881784197e-16 3342),(3.5527136788e-15 3493),(-0.00277180200465 3640),(2.6645352591e-15 3796),(-0.0112494641407 3954),(-4.4408920985e-16 4117),(2.6645352591e-15 4273),(-1.50990331349e-14 4436),(-9.7699626167e-15 4553),(-0.00155300698552 4750),(5.3290705182e-15 4916),(5.3290705182e-15 5076),(-0.0111341036124 5219),(-0.00479803284665 5379),(-0.00941795865507 5520),(1.06581410364e-14 5708),(5.3290705182e-15 5863),(3.5527136788e-15 6021),
Point1,H1,(22.0125369005 106),(22.340960498 245),(18.8086836636 388),(21.0051411838 533),(23.886808611 672),(25.988882838 813),(22.5508100372 962),(26.7668653053 1116),(22.191022749 1263),(24.5902734099 1415),(19.9173848832 1562),(17.6148198182 1704),(22.2342373455 1837),(21.9013672916 1976),(24.5774333202 2111),(23.4853155476 2264),(25.4407618169 2420),(22.5169094445 2575),(22.6851382546 2730),(22.5534700374 2885),(21.1290462164 3045),(19.9117814234 3208),(21.5390288015 3370),(19.4954679726 3523),(20.4246949264 3673),(22.9699872536 3820),(21.6839753912 3979),(20.0978180236 4142),(19.3250130925 4310),(18.4914173807 4460),(18.1412842292 4617),(19.3212157029 4779),(18.5652644348 4941),(19.0855797703 5099),(19.129424639 5256),(22.0309293288 5418),(20.0451412762 5580),(17.6816386457 5738),(18.0314266734 5895),(17.0061085485 6049),
Point1,H2,(1.06581410364e-14 130),(4.77467998753 272),(-1.82076576039e-14 416),(5.3290705182e-15 560),(-1.7763568394e-15 704),(6.37402389957 845),,(6.30787023502 1144),(4.69388368974 1295),(5.25737391088 1440),,(-7.1054273576e-15 1728),,(5.53896462782 1999),(8.66119299858 2142),(7.29216335897 2288),(11.867141135 2447),(6.87893987588 2605),(5.07692804367 2752),(8.92225051565 2912),(7.82713871587 3071),(4.22964417746 3232),(5.57507634059 3392),(5.75054931725 3551),(6.35073570862 3695),(9.90628302493 3846),,(9.66942596069 4177),(7.12771214705 4335),(5.10548458591 4486),(5.89438888333 4640),(8.85321044841 4801),(7.95593464695 4969),(6.52854827108 5122),(8.31764197194 5280),(9.97362194417 5441),(7.39846262374 5606),(5.70243572242 5761),(7.46869107267 5918),,
Point1,H3,(4.5674064088 164),(9.02616774319 290),(5.60401369347 438),(6.65075693035 582),(5.18312240931 724),(9.33239501542 865),,(8.73195190306 1167),(9.75651802221 1318),(10.1439666853 1461),,(6.84097328225 1750),,(10.9574778831 2017),(10.8249816498 2158),(10.0033003889 2303),(14.8841724227 2464),(10.3729640823 2623),(9.18692099219 2770),(11.7227952265 2930),(10.8678013533 3090),(8.31282233885 3253),(9.93860445857 3414),(10.0358622295 3570),(10.6393398665 3716),(10.4680111571 3866),,(10.1502671581 4191),(10.3688741091 4353),(8.05036494073 4508),(9.11136257997 4659),(10.8556084731 4817),(8.52186829268 4989),(9.1657762589 5147),(11.8220405985 5300),(12.4502391409 5459),(10.1554266215 5627),(9.36589128255 5785),(11.2589735406 5938),,
Point1,H4,(0.927084311885 184),(2.76918056211 328),(2.00783480631 469),(2.86685929175 613),(0.191961364667 758),(3.18018012842 902),,(1.7763568394e-15 1207),(3.93990156346 1348),(0.460400834984 1519),(2.20903992042 1586),(2.3528580884 1783),(5.83421454603 1865),(4.4699406826 2057),(2.861790018 2200),(0.997733872219 2359),(4.25788728181 2521),(0.353636008144 2687),(2.2865380695 2823),(3.07672441335 2984),(1.91361929108 3145),(1.19056546362 3303),(2.6790885906 3462),(2.22177757711 3608),(2.56892595971 3769),(2.21892334472 3932),,(1.94710350785 4248),(2.50477226373 4410),(0.492482190165 4553),,(2.04251977784 4888),(1.45973281138 5049),(1.71762382652 5191),,(1.29525549613 5525),,(3.40299088404 5829),(4.00598677288 5993),,
