Cycle,0.753125
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.72530671059 39),(6.13351592563 199),(8.20099721134 363),(8.54148018475 519),(8.04188853642 676),(7.7841562838 835),(7.56551642525 996),(5.31505092892 1146),(8.00009223433 1301),(6.84568312003 1461),(6.24940219559 1622),(5.71953156082 1779),(7.41649180858 1948),(6.09681995579 2091),(6.3323692707 2269),(4.72506834214 2404),(4.99116823224 2553),(5.54772433707 2711),(5.37749049168 2866),(4.97219074641 3062),(7.67526861887 3198),(6.43393343575 3338),(8.97889364204 3498),(6.79019773183 3658),(6.45448261778 3814),
Point0,H2,,,,,,,(6.18287244981 1036),(5.27464270892 1154),(6.9336391531 1318),,,(4.63120860607 1795),,,,(4.0196022904 2418),,,(3.95310780054 2886),(4.93047694136 3070),,,(8.88672067825 3505),,
Point0,H3,,,,,,,(6.31103240801 1047),(5.27990256622 1157),(7.02067427071 1326),,,(4.88157953611 1806),,,,(4.5589022807 2436),,,(4.02705441803 2893),(4.95794992923 3077),,,(8.97873643647 3514),,
Point0,H4,(4.52127340085 119),,(5.66748161227 401),,,,(1.84306335467 1091),,,(0.362398896823 1535),(4.34584122669 1661),,(4.4408920985e-15 2031),,,,(0.730210597801 2654),,(-0.00607087418027 2998),(2.59435999615 3123),,(0.30812798693 3441),(3.40739656104 3571),,
Point0,H5,(4.53757580388 123),,(5.78503393897 410),,,,(1.88014682833 1096),,,(1.0286126952 1553),(4.45579890008 1673),,(0.484709425799 2045),,,,(0.891585747755 2665),,(4.79984003147 3026),(2.59556250706 3125),,(0.386734425637 3450),(3.67634394654 3581),,
Point0,H6,(1.7763568394e-15 172),(4.4408920985e-15 328),(3.5527136788e-15 485),(-0.00296357471831 636),(-3.99680288865e-15 792),(-1.7763568394e-15 957),(-4.4408920985e-16 1116),(5.77315972805e-15 1270),(-5.3290705182e-15 1425),(-0.000610213259498 1589),(0.0 1749),(3.99680288865e-15 1899),(4.4408920985e-15 2031),(4.4408920985e-16 2219),(-0.000284390548427 2376),(4.4408920985e-16 2521),(0.0 2682),(-0.00418843172596 2838),(-0.00607087418027 2998),(8.881784197e-16 3148),(2.6645352591e-15 3306),(-0.00221623809803 3462),(-8.881784197e-16 3626),(0.0 3742),
