Cycle,0.707832193342
Average Width,4.16674765481
Width,,4.66131645223,3.78667921317,4.71315842096,4.36742614839,4.0042819759,4.11932118987,3.91395647512,3.88825954707,4.362957246,4.31147116654,4.5162647277,4.06802482408,4.01655030668,4.41573147816,4.26962970846,4.50195367327,4.51080281573,3.89699133863,4.16241638382,4.56537547358,4.23795441705,4.19454570559,3.90222416599,3.8983932006,3.5583163713,4.34259218912,4.36805979921,5.78907701105,4.11170890487,4.01337016557,4.53705104658,4.06430430193,3.89567861089,4.2610371862,5.03295420716,4.06758047393,4.08824607214,4.36093770136,4.80480268695,4.35038003534,3.83956315066,4.4088645536,4.34654630258,4.06254303798,4.13425964071,4.01041211325,4.19902340668,4.20288987247,3.92788508693,4.48112059399,3.94633930689,3.96497056297,4.24456150549,4.1320307728,3.84995521123,4.25598639058,4.15139440306,4.38956598717,3.9238134317,4.21207997303,4.54307048926,4.81495701667,3.9990742331,4.0151155786,4.20753718559,3.93230783555,3.91360196597,4.10930420494,4.1023760068,3.94764107312,4.05610857204,4.18916477401,4.99941154791,4.63359180061,4.37700428182,4.08498970561,4.23521301985,3.91878293073,3.57345416985,4.29539132541,4.09742053377,4.56456328883,4.76742848954,5.20759094136,4.08763824745,3.5516468043
Point0,H1,(6.29949620519 61),(6.66791927033 206),(8.64850255544 351),(7.88361816437 497),(8.07382821238 652),(9.44497075171 796),(8.20355107213 936),(8.3879247388 1082),(7.99530425163 1226),(8.24235673244 1363),(9.86790801927 1504),(9.32934856828 1654),(8.040577778 1794),(8.22336116032 1932),(9.35101077239 2076),(7.85879366523 2226),(8.23979290152 2366),(8.87371640537 2505),(9.2247440587 2638),(7.58667775514 2774),(8.49978463669 2913),(8.32468373619 3055),(8.19893563762 3191),(8.61878455454 3330),(7.59567535272 3481),(8.57232353174 3616),(9.53514143891 3756),(9.42292945866 3901),(9.44653938318 4045),(7.64993524779 4185),(8.47973554045 4320),(9.77763468246 4461),(8.86973637343 4603),(9.87816697858 4736),(9.55211515925 4867),(8.81222459826 5006),(8.86783817273 5147),(8.52342527001 5289),(9.25883325222 5422),(8.71887178012 5554),(8.80333695964 5692),(9.28341495251 5829),(9.75265458964 5963),(8.80662799475 6093),(7.97038890381 6234),(8.91833174382 6377),(8.94101499398 6523),(9.30360275257 6656),(8.65731491792 6788),(10.1563622874 6926),(8.64436661565 7071),(8.02008673785 7216),(8.39768683063 7359),(8.83229618637 7501),(9.22479545707 7662),(9.77861456316 7822),(10.6442511843 7972),(10.8672801398 8123),(9.07122230609 8269),(9.33089366142 8414),(9.14504176771 8554),(9.4119655594 8689),(8.21538919111 8841),(7.72639768219 9005),(8.63643266202 9165),(8.81203880598 9328),(9.39563761722 9500),(10.4611569311 9663),(9.94328015719 9822),(9.97339677076 9971),(8.43003644944 10125),(9.68909474456 10269),(8.55165997077 10411),(8.79955195548 10556),(10.1400601494 10701),(9.12487299177 10840),(9.20618190989 10974),(8.31965497062 11119),(7.22530246336 11263),(8.84192746023 11402),(9.33165226293 11534),(8.47658389795 11677),(8.18363898147 11825),(8.32850097295 11968),(7.20901978246 12108),(7.47212975684 12240),
Point0,H2,(1.43296683664 88),(2.65035743896 236),(3.6627208575 391),(2.16341289072 535),(2.90525599303 677),(3.9485816916 823),(2.52167329086 962),(2.42203012125 1106),(1.98146682944 1253),(3.65239754357 1393),(5.15082916819 1544),(3.3257748896 1683),(2.51374864421 1828),(2.12169160142 1960),(3.68989698116 2099),(3.36811237105 2259),(2.71383541938 2393),(2.7775653476 2537),(2.9125369408 2664),(3.21660455019 2803),(1.98501099491 2952),(3.29298684021 3085),(3.32195282116 3225),(2.58666560179 3369),(2.25874197689 3512),(2.48581363328 3648),(2.50356620361 3777),(3.38200689333 3925),(2.84858054758 4070),(2.98341573058 4214),(2.28930426294 4358),(4.16739211333 4491),(3.28367882567 4630),(4.16356959055 4769),(3.60714073401 4902),(2.77511689306 5034),(2.13832451258 5172),(2.38285924006 5319),(3.46427194049 5450),(2.81054776754 5590),(2.84339901021 5716),(3.06524564665 5858),(3.70196641677 5990),(2.85843757961 6118),(3.01106592299 6259),(3.36157559927 6411),(3.29358629709 6550),(3.74433195461 6688),(3.18765355552 6822),,(3.80949774449 7110),(3.00691208698 7256),(2.77456538462 7392),(2.71942068453 7542),(3.00032248899 7697),(3.98795908655 7849),(4.79360288914 8005),(4.48231983402 8149),(3.35753533154 8293),(3.64813809674 8437),(3.2628259314 8581),(3.33895715542 8728),(3.64296866221 8871),(2.83086644908 9029),(2.79533985608 9189),(4.02313744499 9358),(3.41131717735 9527),(3.08728559946 9695),(3.40449141097 9863),(4.07666970779 10012),(3.11674427272 10149),(3.92450983782 10293),(3.37175125728 10436),(2.56397414873 10581),,(3.57886517861 10871),(3.34139404131 11003),(2.97302347702 11158),(2.12254796241 11301),(2.56593225857 11431),(4.35587503382 11560),(2.77205508013 11704),(3.57973600813 11856),(2.79230269066 12004),(1.87379627558 12133),,
Point0,H3,(2.19604919127 115),(3.39227137279 257),(4.1948699941 406),(3.66614898261 555),(4.36240325172 704),(5.01756354257 852),(4.19412179555 985),(3.82666701168 1127),(3.37861270104 1275),(4.70036495592 1412),(5.54359787589 1557),(4.69085868973 1702),(3.22611920459 1845),(2.76512125972 1983),(4.20646105021 2109),(3.93228849354 2276),(4.89657984065 2423),(3.63850212148 2557),(4.35944457362 2695),(4.73471380727 2834),(3.27841112781 2969),(3.73202114095 3106),(3.5459853821 3238),(3.67424829258 3391),(3.44212457118 3534),(4.00944685004 3669),(4.2206309972 3794),(4.27070850201 3950),(4.51525348857 4103),(4.00599529688 4234),(3.95682617198 4377),(4.34865825251 4512),(4.58890422601 4660),(4.48194631999 4784),(5.23992539354 4920),(3.79104726257 5054),(3.91360051381 5197),(4.16250703033 5338),(4.64012739671 5477),(3.87454925258 5608),(3.8598966825 5746),(4.55033242788 5878),(5.03511944786 6011),(3.69877712863 6147),(3.79067470372 6273),(3.46547534727 6420),(5.15643975882 6574),(4.53114429565 6709),(4.34699024878 6842),,(4.17947866436 7124),(3.99608996002 7273),(3.43442148474 7412),(3.3296847075 7559),(3.74981931582 7716),(4.86496343397 7871),(5.68327371461 8024),(5.27498379672 8176),(3.66979407428 8305),(3.80539001866 8445),(4.55278817328 8600),(4.92887131473 8747),(4.11256416338 8888),(3.27256758026 9043),(3.4783186941 9219),(4.35500579994 9374),(3.85936113435 9544),(4.17172224342 9716),(4.32103315219 9880),(4.09659088725 10018),(3.59785338377 10163),(4.26379865886 10305),(3.83230336292 10449),(3.64019372911 10612),,(3.91580608019 10883),(4.39761036273 11030),(3.87276633437 11176),(3.61928699868 11322),(3.1571047202 11449),(4.35694458704 11561),(3.77011798308 11727),(4.65013940758 11877),(3.9362834669 12023),(3.02429764771 12165),,
Point0,H4,(-0.017328788105 158),(-5.3290705182e-15 298),(0.794129044315 448),(1.03768803925 587),,(2.4638399754 878),,,,(1.57333285333 1453),,(1.81111728146 1740),,(0.944668791775 2012),(0.00117889574229 2179),,,(0.10166643212 2592),(1.21799698937 2722),(1.22908002671 2863),,(1.42646398516 3132),(0.67049282006 3276),(0.876297453439 3425),,(-0.00276585626154 3706),,(0.734077577103 4000),(0.891978146909 4128),(0.457373185042 4271),,,(1.73843573082 4686),(1.89507766911 4811),,,,,,,,,,,(1.81498180115 6316),(0.506657666669 6458),(0.967832752435 6606),,,(0.320541093132 7020),(1.09335530075 7162),(0.92863966635 7308),,,(-0.00408446455198 7774),(1.13692148584 7916),,,(0.169000198757 8363),(3.48299645817 8457),(1.28954845849 8636),,,(0.890044889156 9100),(0.747532254852 9273),(1.25046516995 9433),(0.961388668989 9598),(1.0227092575 9760),(1.01163804531 9915),,(2.22044604925e-15 10219),(4.21687134082 10312),,(-0.000241000812608 10651),,(0.0307209937847 10927),(0.938161681034 11069),,,(0.480686529335 11491),(3.42091729371 11581),,,,,,
Point0,H5,(-0.000804462724213 166),(0.784852343361 313),(0.809124092578 453),(1.03911490575 589),,(2.53940694081 884),,,,(1.7110125184 1461),,(2.11374881385 1750),,(0.960071822339 2016),(0.0249451293891 2185),,,(0.289168965131 2601),(1.23238965215 2726),(1.44569814332 2871),,(1.77257538137 3143),(1.38586479581 3289),(0.883195308541 3429),,(1.03513260669 3724),,(0.760772864379 4005),(1.07755155849 4137),(0.570428339604 4279),,,(1.86243748733 4694),(2.28667358805 4822),,,,,,,,,,,(1.98914451649 6325),(0.65247853475 6469),(1.27956393747 6616),,,(0.61319157954 7032),(1.41293082745 7174),(1.14144270537 7318),,,(0.0912458981871 7785),(1.53546055947 7927),,,(0.943011205498 8377),(4.16458103517 8472),(1.49368676482 8646),,,(0.95826468321 9111),(1.25578095235 9287),(1.54833995467 9446),(1.5512235257 9620),(1.07089208409 9770),(1.95138911229 9928),,(0.572193318742 10233),(4.37882475869 10324),,(0.467920487637 10665),,(0.334252061402 10938),(1.14810179105 11079),,,(0.481271147311 11492),(3.47573306295 11587),,,,,,
Point0,H6,(-0.0276351682881 2),(-0.0826723427326 175),(-5.3290705182e-15 298),(0.0 469),(4.4408920985e-15 617),(7.1054273576e-15 756),(5.77315972805e-15 906),(-4.4408920985e-16 1047),(-6.66133814775e-15 1191),(-1.33226762955e-15 1332),(7.1054273576e-15 1478),(1.24344978758e-14 1622),(4.4408920985e-15 1768),(-7.70069920275e-06 1898),(-4.4408920985e-16 2047),(1.33226762955e-15 2191),(4.88498130835e-15 2340),(4.4408920985e-15 2469),(1.15463194561e-14 2610),(1.11022302463e-14 2743),(-1.7763568394e-15 2887),(4.4408920985e-16 3026),(-5.3290705182e-15 3161),(4.88498130835e-15 3303),(1.7763568394e-15 3447),(2.6645352591e-15 3589),(-0.00276585626154 3706),(8.881784197e-16 3870),(8.881784197e-16 4019),(9.32587340685e-15 4153),(3.10862446895e-15 4292),(4.88498130835e-15 4428),(-7.9936057773e-15 4568),(4.4408920985e-15 4710),(8.881784197e-16 4840),(-0.000229059837272 4974),(-4.4408920985e-16 5108),(-8.881784197e-16 5254),(6.66133814775e-15 5391),(0.0 5527),(-0.00144937719878 5659),(2.6645352591e-15 5797),(4.4408920985e-15 5929),(5.3290705182e-15 6066),(-3.99680288865e-15 6201),(6.66133814775e-15 6345),(5.3290705182e-15 6487),(-8.881784197e-16 6630),(3.5527136788e-15 6759),(-4.4408920985e-16 6898),(3.10862446895e-15 7044),(-9.7699626167e-15 7190),(-2.30926389122e-14 7333),(-1.37667655054e-14 7469),(-0.000585685286691 7620),(-0.00408446455198 7774),(7.9936057773e-15 7943),(2.6645352591e-15 8088),(7.9936057773e-15 8244),(5.3290705182e-15 8389),(-1.7763568394e-15 8521),(8.881784197e-16 8662),(-8.881784197e-16 8808),(1.33226762955e-15 8974),(4.4408920985e-15 9138),(2.22044604925e-15 9302),(4.88498130835e-15 9469),(1.7763568394e-15 9637),(9.32587340685e-15 9795),(9.7699626167e-15 9944),(5.77315972805e-15 10094),(2.22044604925e-15 10219),(4.88498130835e-15 10376),(5.77315972805e-15 10508),(-0.000241000812608 10651),(1.7763568394e-15 10809),(-4.4408920985e-16 10947),(-2.6645352591e-15 11094),(2.22044604925e-15 11236),(6.66133814775e-15 11368),(4.88498130835e-15 11506),(6.66133814775e-15 11647),(-0.00228217506147 11796),(5.77315972805e-15 11941),(7.1054273576e-15 12078),(9.7699626167e-15 12211),
Point1,H1,(8.9087573762 30),(9.80205021215 175),(10.585771821 321),(10.7651786187 468),(11.3539083556 621),(12.6972220632 766),(11.2317302628 905),(11.0249133024 1052),(10.5038338015 1196),(11.4571853521 1331),(12.6354684556 1474),(12.1370467483 1623),(10.7399443826 1763),(11.3054899161 1902),(12.3142663023 2046),(11.0070530819 2194),(10.9461261351 2336),(12.0807561994 2474),(11.6930084607 2608),(10.4974809236 2744),(10.9177487318 2883),(11.2859543877 3024),(11.6243627479 3161),(12.0290033184 3300),(10.732914943 3449),(11.3769366251 3585),(11.994763478 3726),(11.4977723259 3871),(11.8615676856 4016),(10.7521497478 4155),(11.1661226191 4290),(13.087281111 4431),(11.9681451764 4572),(12.7598952686 4705),(11.7254978287 4838),(12.1339740279 4975),(11.1769041724 5116),(10.9033414388 5258),(11.6726315585 5391),(11.3465530058 5523),(11.7913373996 5662),(11.6609898933 5798),(11.3747050175 5933),(11.5151856314 6063),(10.4778479072 6203),(11.2801626909 6346),(11.7225824266 6493),(12.0359798814 6626),(11.2881974101 6757),(12.3228832332 6896),(11.9886501694 7040),(10.7935714766 7185),(10.0346207631 7328),(11.6962228247 7471),(12.3420482898 7632),(12.2321585596 7792),(13.1455863831 7941),(12.8061250059 8094),(11.0482805872 8239),(11.4418165809 8383),(10.7498273441 8523),(10.5948567839 8658),(10.5410498905 8811),(10.5993146686 8975),(10.5384348068 9135),(11.5098429368 9298),(12.0584342833 9470),(12.4812224255 9633),(12.3961638014 9792),(12.4418367483 9940),(10.9091055005 10095),(12.0331585422 10239),(9.83777355379 10380),(10.8016133492 10526),(12.0552265757 10672),(11.652491384 10808),(11.5432955971 10944),(11.2231041025 11090),(9.82245699574 11233),(10.8692216649 11371),(11.7329769991 11505),(10.3411747539 11648),(10.0235827513 11794),(9.38345440311 11939),(9.13939339578 12077),(10.4707363945 12208),
Point1,H2,(2.15607678391 55),(3.91470297135 201),(4.48911795153 359),(3.82358783943 502),(4.07996397993 647),(5.66799899885 791),,(3.47367373587 1079),(3.36365695258 1223),(5.08702674264 1366),(6.80931130304 1506),(4.87585689042 1655),(4.09545357462 1797),(3.50019064745 1927),(5.15878987161 2070),(4.34058589437 2225),,(4.56947797423 2505),(3.81081726001 2634),(4.41222072053 2773),(3.1544570044 2920),(4.77336162554 3052),(5.29447019601 3193),,(2.49602821163 3482),,(3.41826923781 3748),(3.83308205282 3900),(3.30623929877 4043),(3.99674698303 4185),(3.95216578535 4324),(5.21618531254 4457),(3.88474035925 4599),(5.22329810152 4736),(5.40344717224 4872),(4.06214915919 5001),(3.37151691034 5142),(3.53240986168 5288),,(4.27999331932 5560),(4.14296061008 5687),(4.2678544275 5832),(4.89876729492 5959),(4.17573258085 6088),(4.54476299605 6228),(4.46507385468 6380),(5.02510293281 6519),(5.44830306428 6661),(4.59238321599 6792),(4.88494794049 6922),(5.71067493752 7065),(4.67876833397 7227),(3.37247976255 7353),(4.18025220429 7510),(4.85763193905 7661),(4.42683818422 7820),(6.07342245019 7974),(4.9058896885 8121),(3.85174379436 8263),,(4.23817613674 8552),(4.80806997761 8696),(5.11659655218 8842),(3.19568815853 9001),,(4.82149458938 9327),,(3.84320936785 9667),(4.65166694545 9820),(5.30294956795 9980),(4.12718819769 10118),(4.64038247811 10264),(4.26246386258 10406),(3.38300038675 10552),(3.70536994841 10711),(4.52936372636 10840),(4.32576208102 10981),(4.34328643492 11123),,(3.32173262672 11401),(4.37115249945 11546),(4.25046846843 11675),(4.16799775143 11826),(2.68100869112 11974),,
Point1,H3,(3.83038162274 85),(4.54282106564 229),(4.8065296076 373),(5.07585150748 521),(6.2564098472 675),(7.24327395299 819),,(5.29241374533 1102),(4.85751947165 1249),(6.24049276621 1384),(7.57322758995 1524),(7.07637965655 1676),(5.16319618239 1815),(4.26635271961 1952),(5.74575167835 2083),(5.72219530198 2244),,(6.34567842688 2525),(5.30723127032 2662),(5.94966032975 2795),(4.74714281906 2938),(5.10073771613 3077),(6.36727871858 3212),,(5.09105087727 3503),,(4.71645454329 3762),(5.23417703685 3921),(5.72131944287 4071),(4.86968187136 4202),(5.62656673516 4344),(6.21599079174 4483),(5.58264502971 4629),(5.80783513899 4756),(7.74378010238 4890),(4.85566304508 5024),(5.89485433994 5166),(5.64805197441 5308),,(5.63186671884 5578),(5.78904448943 5715),(6.06362635627 5851),(6.55023783672 5981),(5.66345541371 6117),(6.05111435203 6245),(4.98486637374 6395),(6.8491197239 6542),(6.12634140457 6679),(5.58439030309 6809),(5.57073112827 6942),(6.25439915067 7091),(5.04336407833 7239),(4.37607432642 7381),(4.97532493428 7529),(5.4230687168 7681),(6.16791696142 7841),(7.36464195266 7992),(5.78554008888 8143),(4.47761032447 8277),,(5.40115742776 8570),(5.58716982068 8714),(5.94774816396 8860),(4.22745051802 9022),,(6.14550303946 9349),,(4.79859714837 9686),(5.71071153376 9847),(5.35404816694 9986),(4.92059048279 10132),(4.97019028261 10275),(4.81303440908 10419),(4.36348067206 10581),(4.72000737234 10729),(5.95543662595 10859),(5.45098772601 11001),(5.64173088096 11144),,(4.45213697923 11420),(4.79571854379 11559),(4.74482322488 11695),(5.39201936001 11846),(4.05765347533 11993),,
Point1,H4,,(0.463371325905 268),(0.485201519787 415),(0.840158776328 557),,(2.21464992029 848),(3.67915326814 935),,,(1.28865276842 1424),(2.39439185291 1567),(2.38366955607 1710),,,(-1.7763568394e-15 2144),(0.502205997675 2291),(4.42913470618 2363),,,(1.1682827321 2832),,(1.81781866092 3105),(1.20818351485 3248),(4.54134119591 3339),(0.94365678538 3535),(3.58502230673 3619),(4.18491917443 3775),(0.674934334779 3968),,(0.308760232745 4242),,,(1.74395185603 4656),(2.60563185374 4785),,,,,(4.47622947156 5417),,,,,(1.88349139651 6145),(2.06472210701 6287),(1.5340519204 6430),,,,(0.684044935843 6988),(1.19499513353 7136),(0.584210811781 7279),,(1.31990688503 7564),,(0.822479269964 7886),,(0.590079904172 8192),(1.55431223448e-14 8334),(4.03363654998 8409),(1.03844490377 8607),(1.96725549803 8750),(1.38445711045 8900),(0.613067700831 9067),,(1.8850208751 9403),,(0.661913134844 9728),(1.45733393224 9885),,(-4.04069156534e-05 10190),(4.93746386731 10281),,(-0.0197761347009 10620),(1.94971924641 10753),(0.167885824121 10900),(1.39502123271 11038),,(2.63258516298 11267),,,(0.637119228984 11742),(0.792069182471 11890),,,
