Cycle,0.680080645161
Average Width,6.96784030002
Width,,6.29467081948,6.21270005107,6.23485854403,6.70115223893,6.09421325352,6.600378555,6.72057847236,6.87996676263,7.68872748609,7.85437990174,8.73317500863,7.76395317836,7.94176731574,7.43058594132,7.88043641906,7.40201511126,6.80016163234,7.50814324664,7.45320123664,6.92091138343,7.37292965237,7.22740395983,7.29887362061,7.14472917802,7.13494268607,7.22224752085,6.86713613067,7.03310521227,7.28692022139,6.79492243555,7.25715809735,7.32853489972,7.47458676301,7.93940832528,7.62835242913,7.5968932814,7.16567518262,9.54214568943,8.4046207004,6.0380990614,6.49649871603,6.55172354634,6.16039605749,6.46800359589,6.31935414133,6.12746284111,6.42186267546,6.34505348968,7.2427518874,6.77940722531,8.44440926992,6.67257799619,7.00196986376,7.80713186148,7.87177961145,6.75576206084,7.11855301309,6.59131948942,7.46709215237,6.62910608996,6.6418577175,6.99477435056,5.21035174807
Point1,H5,,(2.87971654316 237),(1.89525175096 364),(3.18331937546 514),(4.9775374423 656),(5.21700203102 791),,,,,(3.7420404601 1581),(1.63688866553 1729),,(3.32271866664 2013),,(2.94026798748 2287),,,(1.29535656708 2688),(2.58451232775 2813),(3.24353083391 2962),(1.74898190587 3107),,(2.72032798091 3368),(2.96028471897 3513),(2.04770945387 3661),(2.03510571608 3805),(3.68441006124 3951),(2.85785291438 4098),,,(4.18730409992 4496),,(1.72550373729 4769),,,,(3.09908284553 5299),,(3.56337042254 5563),(2.88903993275 5705),(2.2292758918 5853),(1.99523419316 6002),,(3.5744794708 6272),,,,,,(2.0055333517 7042),(2.58285544113 7183),(3.83521797088 7339),(3.84750799658 7489),(5.66570208851 7633),(1.88495139737 7778),(0.303653287171 7906),,,,,,,
Point1,H6,(-0.00488099601805 1),(-0.00570629515034 123),(-0.0048108417172 255),(-3.5527136788e-15 384),(-0.000353102037688 529),(3.5527136788e-15 674),(0.0 831),(1.06581410364e-14 991),(-1.7763568394e-14 1142),(-1.24344978758e-14 1298),(-2.13162820728e-14 1457),(-3.5527136788e-15 1605),(-5.3290705182e-15 1754),(-0.0106678237022 1888),(-1.7763568394e-15 2034),(-2.04281036531e-14 2170),(-1.24344978758e-14 2304),(-1.42108547152e-14 2434),(-2.6645352591e-15 2561),(-8.881784197e-16 2701),(-2.6645352591e-15 2833),(1.7763568394e-15 2978),(-2.93098878501e-14 3119),(-3.5527136788e-15 3254),(-2.22044604925e-14 3403),(-2.6645352591e-14 3548),(-2.57571741713e-14 3686),(-0.0053373549432 3826),(-2.04281036531e-14 3971),(-2.6645352591e-15 4113),(-3.5527136788e-15 4248),(3.5527136788e-15 4380),(-1.24344978758e-14 4514),(1.59872115546e-14 4649),(-7.1054273576e-15 4783),(-0.0018160031876 4903),(-1.06581410364e-14 5038),(-0.0038515762998 5170),(-5.3290705182e-15 5314),(-0.000223721601562 5452),(-8.881784197e-15 5588),(-0.00200060568429 5734),(-0.000303279311185 5874),(-1.7763568394e-14 6016),(7.1054273576e-15 6148),(1.24344978758e-14 6290),(1.86517468137e-14 6416),(-0.00844233409049 6652),(1.06581410364e-14 6775),(2.6645352591e-15 6907),(0.0 7056),(-0.000577924151804 7213),(-3.19744231092e-14 7363),(-3.28626015289e-14 7508),(3.5527136788e-15 7651),(-1.68753899743e-14 7791),(-0.130760242734 7894),(-0.0132463714143 8046),(1.7763568394e-14 8108),(-0.011054240135 8177),(-1.06581410364e-14 8306),(2.48689957516e-14 8433),(1.95399252334e-14 8560),
Point2,H1,(15.2354568597 24),(16.3094740297 151),(17.6928372689 283),(18.0630229558 418),(19.1147847338 556),(20.5401456349 703),(22.1000498042 857),(23.2598293561 1016),(22.0319638325 1174),(22.1576665077 1326),(22.0165963525 1481),(20.1778874595 1636),(19.3295142267 1782),(20.7111403409 1925),(17.7051285453 2064),(18.6627143285 2198),(20.7903911098 2330),(18.1612409124 2466),(18.3070114671 2595),(19.2255776926 2727),(18.1645413791 2867),(17.6998287314 3004),(20.4669762861 3144),(19.5246447013 3285),(19.5559528344 3431),(18.4275308053 3575),(18.737517443 3717),(18.5665947364 3860),(17.8838716862 4002),(17.4900047013 4137),(17.5127331783 4277),(17.3152781641 4407),(17.2274733159 4539),(15.3222553527 4677),(15.7647649491 4808),(17.9508374687 4935),(18.6161307774 5064),(17.1046304514 5199),(17.5311740091 5341),(17.6374648729 5479),(18.7489987531 5620),(17.6033264839 5765),(15.782637604 5908),(16.327832032 6041),(16.2298405122 6182),(16.006497549 6315),(14.474607594 6444),(12.4627977753 6566),(15.8142522328 6680),(18.4053277198 6806),(17.083306778 6936),(21.5466449764 7082),(21.4760960719 7240),(18.6817317416 7396),(15.8485583894 7537),(18.8512033254 7676),(17.4921499452 7816),(19.6518964987 7955),(16.2709621566 8081),(19.4738513711 8211),(16.0092008217 8336),(18.440474852 8459),(18.3125975514 8584),
Point2,H2,(4.1476681562 50),(5.29366598774 175),(7.22484218979 309),(6.96188371936 443),(8.13785221611 584),(9.31285714239 730),,(8.39863868198 1042),,,(9.29457671041 1508),(5.47556610164 1659),(5.33804704537 1806),(6.46116561728 1949),(4.56123169767 2090),(4.49243149858 2222),(7.79224511607 2357),(4.67661569032 2489),(5.0948409769 2619),(5.12693543917 2749),(4.77244335459 2889),(5.47665362631 3031),(7.4230112967 3167),,(6.09902624355 3456),(5.15510446115 3600),(4.66945683665 3741),(6.56394168303 3884),(6.35449918618 4027),(6.51822555571 4162),(5.37682289902 4301),(5.66382799722 4432),(7.29316304172 4567),(5.06773044521 4700),(5.45081001564 4831),(7.33330511183 4959),(7.31495645551 5089),(5.21872203624 5228),(6.96549961295 5367),(5.46907095389 5502),(6.04373081705 5644),(5.82981113843 5788),(4.92723136705 5932),(5.8072335782 6069),(6.20533555108 6204),(6.22788650307 6343),(2.91764641017 6471),(1.46393825448 6591),(4.50653770579 6707),(6.584862912 6831),(6.6080634888 6962),(10.4045779482 7110),(9.49423526455 7265),(5.54171296312 7421),(3.64164246066 7561),(4.08161561852 7704),(3.03212406853 7842),(2.49695509424 7981),(1.7763568394e-15 8107),(4.02233386495 8235),(4.08054811513 8360),(3.40998008438 8488),,
Point2,H3,(7.69695515282 71),(8.26463293192 195),(9.71789967268 326),(9.97110247488 460),(10.6217663262 600),(11.614503097 745),,(11.3746324097 1062),,,(13.1484041539 1527),(10.6979687958 1678),(9.05886071044 1828),(11.228958861 1970),(9.47491468174 2110),(10.1133258462 2244),(11.972074811 2377),(10.1900073073 2509),(9.65989035659 2637),(9.43906017154 2770),(9.94095015727 2907),(10.6396336611 3050),(10.464087417 3188),,(9.40167279907 3477),(9.0982746018 3622),(9.54786905717 3763),(10.5947943229 3903),(10.1811571078 4045),(10.4762211714 4183),(9.30195667003 4320),(8.75992403124 4452),(9.51889510832 4585),(8.24196977891 4718),(7.82154618135 4851),(9.42688576501 4976),(9.77347260306 5109),(6.90630317231 5243),(10.8206657892 5386),(8.96866581356 5524),(9.20872073847 5661),(9.03849680327 5807),(8.78318328832 5952),(8.21726610462 6091),(9.25023203539 6223),(8.39516913829 6362),(6.8106022442 6490),(6.85626125173 6615),(9.32658815396 6727),(8.36667895898 6846),(7.82560086686 6982),(11.5644855077 7125),(12.0808759671 7285),(11.8780545038 7444),(10.6909697242 7582),(8.8201566545 7723),(7.16840162801 7864),(8.08411601472 8002),(8.49204229338 8131),(10.2106784353 8257),(9.64522812406 8379),(8.94373370486 8512),,
Point2,H4,(0.722870516226 105),(2.71317530651 227),(2.05179179083 356),(1.95913385633 499),(2.86562046766 644),(3.59903572705 782),,(2.36719705073 1109),,,(3.22392800855 1573),(1.87321433178 1712),,(2.52887933934 2001),,(2.33153923797 2275),,,(1.2040986969 2677),(2.59191351523 2802),(1.62482110244 2947),(0.756027260452 3093),,,(2.31063641678 3507),(2.09322038654 3652),(2.1350584121 3796),(2.43812963576 3939),(2.00739730518 4084),,(1.14844422492 4358),(2.65059802667 4483),,(1.13345047514 4755),,(1.65093953704 5017),(2.73972858117 5141),(1.64257422783 5282),,(2.73320043457 5558),(1.84401931391 5700),(2.15653397636 5845),(1.27862107392 5988),,(2.58988390536 6262),,,,,(0.284101774169 6888),(1.20400331544 7029),,(3.27021215278 7331),(2.42646923705 7475),(2.46986212995 7617),(1.05961369454 7765),(0.252229090888 7892),,,,,,,
Point2,H5,(0.802994566944 112),(2.94293179141 235),(2.33747813423 366),(3.17709245594 513),(4.29053056368 657),(4.14593211485 794),,(2.7409398601 1119),,,(3.52821123287 1582),(2.31591351245 1722),,(3.2493006104 2013),,(3.21780993819 2287),,,(1.46601402092 2687),(2.8997018333 2810),(3.06245993206 2961),(1.63771675339 3105),,,(2.44470686097 3515),(2.37793154966 3661),(2.51797450335 3805),(3.21610619697 3951),(2.76645067326 4096),,(1.22594569369 4365),(3.30410368651 4495),,(2.11468047979 4768),,(1.65949184103 5020),(3.02119746068 5150),(3.06535866863 5297),,(2.77682324126 5562),(1.93869776493 5706),(2.21681765418 5850),(2.17542560541 6001),,(3.05231573846 6271),,,,,(0.452531731247 6897),(1.95689543602 7041),,(3.3348921089 7337),(3.18731321915 7487),(4.69176843233 7633),(1.62641737365 7776),(0.591452569584 7903),,,,,,,
Point2,H6,(9.7699626167e-15 124),(-0.000986854490686 254),(7.1054273576e-15 385),(-2.84217094304e-14 528),(-0.000213161188304 673),(-5.3290705182e-15 831),(-8.881784197e-15 991),(-1.42108547152e-14 1140),(-5.3290705182e-15 1297),(1.24344978758e-14 1456),(-0.00598369061398 1604),(1.33226762955e-14 1754),(1.7763568394e-15 1886),(-0.00100045585067 2033),(1.7763568394e-15 2168),(-0.00870476224101 2303),(-0.00812504574306 2434),(1.42108547152e-14 2560),(1.7763568394e-15 2700),(7.9936057773e-15 2832),(-0.00270523368096 2976),(3.5527136788e-15 3118),(2.6645352591e-15 3253),(0.0 3402),(9.7699626167e-15 3547),(-8.881784197e-16 3685),(1.7763568394e-14 3826),(7.9936057773e-15 3970),(-0.00521972570618 4111),(1.50990331349e-14 4247),(1.24344978758e-14 4380),(1.86517468137e-14 4512),(7.1054273576e-15 4646),(-2.6645352591e-15 4783),(-0.00611100944587 4902),(5.3290705182e-15 5037),(7.9936057773e-15 5169),(0.0 5313),(1.24344978758e-14 5451),(3.5527136788e-15 5586),(-7.1054273576e-15 5731),(-8.881784197e-16 5873),(1.7763568394e-15 6015),(-7.1054273576e-15 6149),(-1.33226762955e-14 6288),(-2.30926389122e-14 6415),(-1.95399252334e-14 6540),(-0.0153702081653 6651),(-2.22044604925e-14 6774),(0.0 6907),(-8.881784197e-16 7054),(0.0 7212),(-8.881784197e-16 7362),(-8.881784197e-15 7506),(3.5527136788e-15 7650),(-0.00535339155444 7790),(0.0 7917),(-0.00472777883374 8043),(1.7763568394e-15 8107),(-0.0125391056141 8175),(-3.5527136788e-15 8305),(-2.57571741713e-14 8432),(-0.00613120658026 8559),
Point3,H1,(11.9240636796 26),(12.0118633017 153),(13.4255270846 284),(14.0339094534 419),(14.7478928337 557),(16.1695941496 703),(17.0833899126 859),(17.9838141781 1017),(18.8918174359 1174),(19.6881428961 1327),(20.2237351588 1482),(20.5247427583 1637),(17.8133300713 1783),(16.9656408195 1926),(16.7360957798 2065),(16.2584557988 2199),(17.7390030349 2332),(16.3294597418 2466),(16.0792934952 2595),(16.688818587 2728),(15.7246765694 2868),(16.2438971057 3006),(17.6861724569 3145),(16.9762642803 3287),(16.9664297422 3432),(16.2438363065 3576),(16.6487019476 3718),(16.0908060633 3860),(16.5291797392 4003),(15.1518139126 4138),(15.6923642547 4278),(16.0776588252 4409),(15.5933232383 4540),(15.0405237564 4678),(15.1220072927 4808),(15.3242558145 4936),(15.457092934 5065),(17.2765486525 5199),(15.0674991571 5342),(13.7465110343 5480),(15.1428054773 5621),(14.019037851 5767),(11.6700650476 5909),(12.9475617268 6043),(12.7650604777 6183),(12.5041203541 6316),(12.3800364489 6445),(9.84466521145 6567),(13.317304179 6681),(15.2511104766 6807),(14.3874014291 6937),(17.6321128406 7083),(17.5404840235 7241),(15.6270495886 7398),(13.299425414 7538),(16.0864982587 7676),(14.2547452346 7816),(15.2475114169 7957),(12.6573112477 8083),(14.0436661271 8212),(12.0937067049 8338),(15.1986893673 8460),(12.9133276501 8585),
Point3,H2,(4.57821094193 52),(4.77130337215 176),(5.51559865276 310),(5.84149043775 443),(6.17659211608 585),,,(6.04006664295 1043),,,(8.22402767509 1511),(5.47233035845 1660),(3.82426979337 1807),(5.04969561923 1950),(4.8052676771 2091),(3.76645300649 2223),(6.53161708549 2358),(4.2531845428 2491),(3.98680636527 2620),(4.57683134622 2751),(4.32941976208 2891),(5.26142886535 3032),(6.32352129896 3168),(4.98378052741 3311),(5.45310806327 3458),(3.9554694037 3601),(4.33215239386 3742),(5.69430722625 3884),(5.86394224207 4027),(5.23141520471 4163),(4.79894819758 4301),(5.89100491682 4434),(6.52851906432 4567),(4.46457028622 4702),(4.79336876732 4833),(6.59773491966 4960),(5.63040649565 5090),(4.20980344315 5229),(6.03871024303 5369),(3.81033470259 5503),(5.01323452082 5645),(5.20309163601 5790),(3.28086747803 5933),(4.59725273106 6069),(4.99038557354 6206),(5.58161249413 6344),(3.18869564402 6473),(0.544400151149 6591),(4.62664819442 6707),(6.5466149407 6831),(5.97097445048 6962),(8.54389049484 7110),(6.32812801441 7268),(4.90577931151 7421),(2.86209450884 7561),(2.44876926069 7704),(1.62384193284 7843),(1.6249134297 7982),(-8.881784197e-15 8109),(3.16591797681 8235),(3.34338497535 8360),(3.17482633827 8489),,
