Cycle,0.931666666667
Average Width,3.96030587032
Width,,4.20830494194,0,3.72762128085,4.06436835168,4.00322738683,4.01732916913,4.12699297261,4.0005697736,3.9401189804,3.83887682612,3.77449856092,3.8762137843,3.86286791865,3.82510689344,3.85212809099,3.81210773343
Point0,H1,(54.845013237 34),(63.9564748004 254),(53.6192482179 438),(62.2568271102 646),(53.9260446724 839),(53.7069061309 1046),(56.1266209369 1260),(48.889084672 1447),(53.1879992513 1640),(50.4103644406 1845),(53.4136163123 2040),(52.4250260121 2251),(54.4513541075 2444),(51.1176732126 2631),(52.4494208741 2823),(57.5225623561 3040),
Point0,H2,,,,,(47.7928428469 852),,,,,,(49.1417714222 2052),,,(9.39327690561 2713),,
Point0,H3,,,,,(50.1745654186 862),,,,,,(51.6019776443 2062),,,(9.62525684186 2720),,
Point0,H4,,,,(27.9825307308 696),(5.86023005052 976),,,,(50.1154292742 1651),(18.362429302 1895),(8.65307096175 2176),(5.99285867737 2369),(7.42829711379 2562),(3.99874416363 2751),,
Point0,H5,,,,(28.6702136469 704),(6.16019370348 984),,,,(52.6120555567 1662),(19.140275139 1904),(9.26108895806 2186),(7.47165017587 2380),(8.52399048077 2572),(4.03159936064 2756),,
Point0,H6,(-7.81597009336e-14 204),(-0.028354737219 410),(-2.48689957516e-14 607),(-0.00726648542587 811),(-3.19744231092e-14 1008),(-1.7763568394e-14 1212),(-0.0150162355033 1414),(-6.75015598972e-14 1611),(-6.75015598972e-14 1807),(-4.61852778244e-14 2008),(-0.000832936228864 2205),(0.0 2397),(1.06581410364e-14 2591),(0.0 2788),(-3.5527136788e-14 2988),
Point1,H1,(70.912256654 36),(53.17957835 256),(49.5215278721 440),(55.2657226275 648),(48.2051678386 840),(48.8150322581 1047),(51.337239619 1260),(47.0538259384 1448),(55.2786658609 1664),(52.9508815676 1847),(56.4501779428 2041),(54.08093004 2253),(56.2186607822 2445),(52.6789084049 2632),(53.9255401391 2824),(60.1067057056 3041),
Point1,H2,(-3.5527136788e-14 154),,,(23.5734236201 697),(42.2912370094 853),,,,,(17.9547641856 1897),(52.5201988536 2052),,,(8.20674917805 2712),,,
Point1,H3,(9.06946145155 192),,,(24.4437609049 706),(44.4666722979 863),,,,,(18.4489884622 1904),(55.4598135387 2063),,,(8.73549465266 2721),,,
Point1,H4,(5.1263802304 205),,,(4.46352026412 791),(5.13610858981 977),,,,,,(8.90290263517 2177),(6.08614600316 2370),(7.41843823518 2562),(3.66112432182 2748),,,
Point1,H5,(50.9505545802 236),,,(4.53642139532 796),(5.51714881532 986),,,,,,(9.31781323942 2186),(7.22401570984 2381),(8.56542597596 2573),(3.81417013193 2755),,,
Point1,H6,(-0.0447405858794 1),(-3.5527136788e-14 154),(0.0 411),(1.06581410364e-14 608),(-0.0169520672256 812),(3.5527136788e-14 1009),(-3.5527136788e-15 1213),(3.5527136788e-15 1414),(1.06581410364e-14 1612),(1.06581410364e-14 1808),(0.0 2008),(-4.26325641456e-14 2206),(-1.42108547152e-14 2398),(1.42108547152e-14 2592),(-7.1054273576e-15 2789),(3.5527136788e-14 2989),
Point2,H1,(54.9465353576 40),(22.8271037329 226),(13.2681888852 463),(17.5732013198 648),(14.9793539616 864),(16.6034328674 1048),(19.5238591947 1249),(19.6065059405 1446),(27.4578005777 1663),(25.3318485402 1846),(26.2286805522 2062),(25.3351525214 2249),(26.1600359135 2444),(23.7586901677 2631),(24.6345170673 2846),(27.8638994709 3040),
Point2,H2,,,(4.28076072835 523),(6.54650507932 729),(9.96370656454 888),,,,,,(14.1867410668 2089),,,,,
Point2,H3,,,(4.36920661399 535),(6.58108330761 735),(10.0018937842 893),,,,,,(14.4403773602 2096),,,,,
Point2,H4,,,(2.57809528262 576),(5.3290705182e-15 810),(2.68879882435 972),,(3.37960615517 1371),,,,(4.30454767383 2175),(3.55014988266 2368),(4.20171498314 2558),,,
Point2,H5,,,(2.83988075198 586),(14.2476034046 840),(2.82599405746 982),,(3.50966469002 1380),,,,(4.49901989898 2184),(3.92047099108 2379),(4.94063980203 2571),,,
Point2,H6,(-0.0168253205299 152),(5.3290705182e-15 410),(-1.7763568394e-15 608),(5.3290705182e-15 810),(6.2172489379e-15 1008),(1.06581410364e-14 1212),(-8.881784197e-15 1412),(1.7763568394e-15 1611),(-1.06581410364e-14 1807),(5.3290705182e-15 2007),(-7.1054273576e-15 2205),(-1.24344978758e-14 2397),(-1.42108547152e-14 2591),(0.0 2775),(-0.0347092455102 2988),
